# columns: T_lo[K]  T_hi[K]  T_mid[K]  dP/dT[1/K]  dP/dlnT
  2.25745E+000   2.28867E+000   2.27301E+000   0.00000E+000   0.00000E+000
  2.28867E+000   2.32031E+000   2.30443E+000   0.00000E+000   0.00000E+000
  2.32031E+000   2.35239E+000   2.33630E+000   0.00000E+000   0.00000E+000
  2.35239E+000   2.38492E+000   2.36860E+000   6.80491E+000   1.61182E+001
  2.38492E+000   2.41790E+000   2.40135E+000   3.79473E+000   9.11256E+000
  2.41790E+000   2.45133E+000   2.43456E+000   1.88958E+000   4.60033E+000
  2.45133E+000   2.48522E+000   2.46822E+000   1.34372E+000   3.31661E+000
  2.48522E+000   2.51959E+000   2.50235E+000   1.05768E+000   2.64669E+000
  2.51959E+000   2.55442E+000   2.53695E+000   8.79089E-001   2.23022E+000
  2.55442E+000   2.58974E+000   2.57202E+000   7.52808E-001   1.93625E+000
  2.58974E+000   2.62555E+000   2.60759E+000   6.60384E-001   1.72202E+000
  2.62555E+000   2.66186E+000   2.64364E+000   5.87988E-001   1.55444E+000
  2.66186E+000   2.69866E+000   2.68020E+000   5.28495E-001   1.41648E+000
  2.69866E+000   2.73598E+000   2.71725E+000   4.80511E-001   1.30568E+000
  2.73598E+000   2.77381E+000   2.75483E+000   4.39589E-001   1.21100E+000
  2.77381E+000   2.81216E+000   2.79292E+000   4.03990E-001   1.12832E+000
  2.81216E+000   2.85104E+000   2.83153E+000   3.73428E-001   1.05738E+000
  2.85104E+000   2.89046E+000   2.87069E+000   3.45936E-001   9.93081E-001
  2.89046E+000   2.93043E+000   2.91038E+000   3.22286E-001   9.37983E-001
  2.93043E+000   2.97095E+000   2.95062E+000   3.00476E-001   8.86599E-001
  2.97095E+000   3.01203E+000   2.99142E+000   2.80917E-001   8.40348E-001
  3.01203E+000   3.05368E+000   3.03278E+000   2.63111E-001   7.97964E-001
  3.05368E+000   3.09590E+000   3.07472E+000   2.46860E-001   7.59030E-001
  3.09590E+000   3.13871E+000   3.11723E+000   2.31944E-001   7.23028E-001
  3.13871E+000   3.18211E+000   3.16033E+000   2.18173E-001   6.89505E-001
  3.18211E+000   3.22610E+000   3.20403E+000   2.05598E-001   6.58747E-001
  3.22610E+000   3.27071E+000   3.24833E+000   1.93723E-001   6.29281E-001
  3.27071E+000   3.31594E+000   3.29325E+000   1.82945E-001   6.02489E-001
  3.31594E+000   3.36178E+000   3.33878E+000   1.72647E-001   5.76435E-001
  3.36178E+000   3.40827E+000   3.38495E+000   1.63151E-001   5.52263E-001
  3.40827E+000   3.45539E+000   3.43175E+000   1.54364E-001   5.29742E-001
  3.45539E+000   3.50317E+000   3.47920E+000   1.45942E-001   5.07766E-001
  3.50317E+000   3.55161E+000   3.52731E+000   1.38274E-001   4.87740E-001
  3.55161E+000   3.60072E+000   3.57608E+000   1.30833E-001   4.67872E-001
  3.60072E+000   3.65051E+000   3.62553E+000   1.23983E-001   4.49508E-001
  3.65051E+000   3.70098E+000   3.67566E+000   1.17433E-001   4.31647E-001
  3.70098E+000   3.75215E+000   3.72648E+000   1.11274E-001   4.14663E-001
  3.75215E+000   3.80403E+000   3.77801E+000   1.05509E-001   3.98615E-001
  3.80403E+000   3.85663E+000   3.83024E+000   9.99853E-002   3.82971E-001
  3.85663E+000   3.90996E+000   3.88320E+000   9.47905E-002   3.68094E-001
  3.90996E+000   3.96402E+000   3.93690E+000   8.99335E-002   3.54062E-001
  3.96402E+000   4.01883E+000   3.99133E+000   8.52240E-002   3.40160E-001
  4.01883E+000   4.07440E+000   4.04652E+000   8.08985E-002   3.27360E-001
  4.07440E+000   4.13074E+000   4.10247E+000   7.67335E-002   3.14799E-001
  4.13074E+000   4.18785E+000   4.15920E+000   7.27621E-002   3.02634E-001
  4.18785E+000   4.24576E+000   4.21671E+000   6.90647E-002   2.91228E-001
  4.24576E+000   4.30446E+000   4.27501E+000   6.55312E-002   2.80149E-001
  4.30446E+000   4.36398E+000   4.33412E+000   6.21836E-002   2.69513E-001
  4.36398E+000   4.42432E+000   4.39405E+000   5.90193E-002   2.59336E-001
  4.42432E+000   4.48550E+000   4.45480E+000   5.59983E-002   2.49463E-001
  4.48550E+000   4.54752E+000   4.51640E+000   5.31423E-002   2.40014E-001
  4.54752E+000   4.61040E+000   4.57885E+000   5.04550E-002   2.31028E-001
  4.61040E+000   4.67414E+000   4.64216E+000   4.78440E-002   2.22102E-001
  4.67414E+000   4.73877E+000   4.70635E+000   4.54374E-002   2.13846E-001
  4.73877E+000   4.80430E+000   4.77142E+000   4.30876E-002   2.05591E-001
  4.80430E+000   4.87073E+000   4.83740E+000   4.09028E-002   1.97864E-001
  4.87073E+000   4.93807E+000   4.90428E+000   3.88380E-002   1.90474E-001
  4.93807E+000   5.00635E+000   4.97209E+000   3.68306E-002   1.83127E-001
  5.00635E+000   5.07557E+000   5.04084E+000   3.49833E-002   1.76347E-001
  5.07557E+000   5.14575E+000   5.11054E+000   3.31870E-002   1.69605E-001
  5.14575E+000   5.21690E+000   5.18121E+000   3.14811E-002   1.63112E-001
  5.21690E+000   5.28904E+000   5.25285E+000   2.98829E-002   1.56972E-001
  5.28904E+000   5.36217E+000   5.32548E+000   2.83555E-002   1.51008E-001
  5.36217E+000   5.43631E+000   5.39911E+000   2.69072E-002   1.45276E-001
