# columns: T_lo[K]  T_hi[K]  T_mid[K]  dP/dT[1/K]  dP/dlnT
  9.17707E+000   9.22070E+000   9.19886E+000   0.00000E+000   0.00000E+000
  9.22070E+000   9.26454E+000   9.24259E+000   0.00000E+000   0.00000E+000
  9.26454E+000   9.30859E+000   9.28654E+000   0.00000E+000   0.00000E+000
  9.30859E+000   9.35284E+000   9.33069E+000   0.00000E+000   0.00000E+000
  9.35284E+000   9.39731E+000   9.37505E+000   0.00000E+000   0.00000E+000
  9.39731E+000   9.44199E+000   9.41962E+000   0.00000E+000   0.00000E+000
  9.44199E+000   9.48688E+000   9.46441E+000   0.00000E+000   0.00000E+000
  9.48688E+000   9.53198E+000   9.50940E+000   0.00000E+000   0.00000E+000
  9.53198E+000   9.57730E+000   9.55461E+000   0.00000E+000   0.00000E+000
  9.57730E+000   9.62283E+000   9.60004E+000   0.00000E+000   0.00000E+000
  9.62283E+000   9.66859E+000   9.64568E+000   5.59656E-006   5.39827E-005
  9.66859E+000   9.71455E+000   9.69154E+000   5.57008E-006   5.39827E-005
  9.71455E+000   9.76074E+000   9.73762E+000   1.10874E-005   1.07965E-004
  9.76074E+000   9.80715E+000   9.78392E+000   5.51749E-006   5.39827E-005
  9.80715E+000   9.85377E+000   9.83043E+000   1.34207E-005   1.31932E-004
  9.85377E+000   9.90062E+000   9.87717E+000   1.88226E-005   1.85914E-004
  9.90062E+000   9.94769E+000   9.92413E+000   8.36845E-006   8.30496E-005
  9.94769E+000   9.99499E+000   9.97131E+000   2.69255E-005   2.68483E-004
  9.99499E+000   1.00425E+001   1.00187E+001   2.26214E-005   2.26637E-004
  1.00425E+001   1.00903E+001   1.00664E+001   3.56869E-005   3.59237E-004
  1.00903E+001   1.01382E+001   1.01142E+001   3.83670E-005   3.88052E-004
  1.01382E+001   1.01864E+001   1.01623E+001   5.43800E-005   5.52627E-004
  1.01864E+001   1.02349E+001   1.02106E+001   6.11440E-005   6.24318E-004
  1.02349E+001   1.02835E+001   1.02592E+001   6.11206E-005   6.27047E-004
  1.02835E+001   1.03324E+001   1.03079E+001   7.27645E-005   7.50053E-004
  1.03324E+001   1.03815E+001   1.03569E+001   7.94153E-005   8.22501E-004
  1.03815E+001   1.04309E+001   1.04062E+001   1.04429E-004   1.08671E-003
