# columns: T_lo[K]  T_hi[K]  T_mid[K]  dP/dT[1/K]  dP/dlnT
  1.55797E+001   1.56230E+001   1.56013E+001   0.00000E+000   0.00000E+000
  1.56230E+001   1.56664E+001   1.56447E+001   0.00000E+000   0.00000E+000
  1.56664E+001   1.57099E+001   1.56881E+001   0.00000E+000   0.00000E+000
  1.57099E+001   1.57536E+001   1.57317E+001   0.00000E+000   0.00000E+000
  1.57536E+001   1.57973E+001   1.57754E+001   0.00000E+000   0.00000E+000
  1.57973E+001   1.58412E+001   1.58193E+001   0.00000E+000   0.00000E+000
  1.58412E+001   1.58852E+001   1.58632E+001   0.00000E+000   0.00000E+000
  1.58852E+001   1.59294E+001   1.59073E+001   0.00000E+000   0.00000E+000
  1.59294E+001   1.59736E+001   1.59515E+001   0.00000E+000   0.00000E+000
  1.59736E+001   1.60180E+001   1.59958E+001   0.00000E+000   0.00000E+000
  1.60180E+001   1.60625E+001   1.60403E+001   0.00000E+000   0.00000E+000
  1.60625E+001   1.61071E+001   1.60848E+001   0.00000E+000   0.00000E+000
  1.61071E+001   1.61519E+001   1.61295E+001   0.00000E+000   0.00000E+000
  1.61519E+001   1.61968E+001   1.61743E+001   0.00000E+000   0.00000E+000
  1.61968E+001   1.62418E+001   1.62193E+001   0.00000E+000   0.00000E+000
  1.62418E+001   1.62869E+001   1.62643E+001   0.00000E+000   0.00000E+000
  1.62869E+001   1.63322E+001   1.63095E+001   0.00000E+000   0.00000E+000
  1.63322E+001   1.63775E+001   1.63548E+001   0.00000E+000   0.00000E+000
  1.63775E+001   1.64230E+001   1.64003E+001   1.72360E-005   2.82675E-004
  1.64230E+001   1.64687E+001   1.64458E+001   1.71883E-005   2.82675E-004
  1.64687E+001   1.65144E+001   1.64915E+001   1.78098E-005   2.93712E-004
  1.65144E+001   1.65603E+001   1.65373E+001   1.11237E-005   1.83956E-004
  1.65603E+001   1.66063E+001   1.65833E+001   2.88041E-005   4.77668E-004
  1.66063E+001   1.66525E+001   1.66294E+001   2.42347E-005   4.03007E-004
  1.66525E+001   1.66987E+001   1.66756E+001   9.50182E-005   1.58448E-003
  1.66987E+001   1.67451E+001   1.67219E+001   2.10813E-005   3.52520E-004
  1.67451E+001   1.67916E+001   1.67684E+001   1.45234E-004   2.43533E-003
  1.67916E+001   1.68383E+001   1.68150E+001   1.78184E-004   2.99615E-003
  1.68383E+001   1.68851E+001   1.68617E+001   1.53039E-004   2.58050E-003
  1.68851E+001   1.69320E+001   1.69085E+001   2.41818E-004   4.08879E-003
  1.69320E+001   1.69790E+001   1.69555E+001   2.20765E-004   3.74318E-003
  1.69790E+001   1.70262E+001   1.70026E+001   3.27859E-004   5.57445E-003
  1.70262E+001   1.70735E+001   1.70498E+001   3.91778E-004   6.67976E-003
  1.70735E+001   1.71210E+001   1.70972E+001   4.02679E-004   6.88469E-003
  1.71210E+001   1.71685E+001   1.71447E+001   6.22881E-004   1.06791E-002
  1.71685E+001   1.72162E+001   1.71924E+001   6.05049E-004   1.04022E-002
  1.72162E+001   1.72641E+001   1.72401E+001   8.36602E-004   1.44231E-002
  1.72641E+001   1.73120E+001   1.72880E+001   8.34711E-004   1.44305E-002
  1.73120E+001   1.73601E+001   1.73361E+001   1.08510E-003   1.88114E-002
  1.73601E+001   1.74084E+001   1.73842E+001   1.19255E-003   2.07315E-002
  1.74084E+001   1.74567E+001   1.74325E+001   1.45860E-003   2.54270E-002
  1.74567E+001   1.75052E+001   1.74810E+001   1.51457E-003   2.64761E-002
  1.75052E+001   1.75539E+001   1.75295E+001   1.75904E-003   3.08351E-002
  1.75539E+001   1.76026E+001   1.75782E+001   2.01245E-003   3.53753E-002
  1.76026E+001   1.76515E+001   1.76271E+001   2.31909E-003   4.08788E-002
  1.76515E+001   1.77006E+001   1.76760E+001   2.77971E-003   4.91343E-002
  1.77006E+001   1.77498E+001   1.77252E+001   3.03984E-003   5.38816E-002
  1.77498E+001   1.77991E+001   1.77744E+001   3.49562E-003   6.21325E-002
  1.77991E+001   1.78485E+001   1.78238E+001   3.69169E-003   6.57999E-002
  1.78485E+001   1.78981E+001   1.78733E+001   4.11093E-003   7.34759E-002
  1.78981E+001   1.79478E+001   1.79230E+001   4.61753E-003   8.27598E-002
  1.79478E+001   1.79977E+001   1.79728E+001   5.38363E-003   9.67587E-002
  1.79977E+001   1.80477E+001   1.80227E+001   5.97056E-003   1.07606E-001
  1.80477E+001   1.80979E+001   1.80728E+001   6.65817E-003   1.20332E-001
  1.80979E+001   1.81481E+001   1.81230E+001   7.14105E-003   1.29417E-001
  1.81481E+001   1.81986E+001   1.81733E+001   8.28652E-003   1.50594E-001
  1.81986E+001   1.82491E+001   1.82238E+001   8.92669E-003   1.62679E-001
  1.82491E+001   1.82998E+001   1.82745E+001   1.00909E-002   1.84406E-001
  1.82998E+001   1.83507E+001   1.83252E+001   1.10682E-002   2.02827E-001
  1.83507E+001   1.84017E+001   1.83762E+001   1.21945E-002   2.24088E-001
  1.84017E+001   1.84528E+001   1.84272E+001   1.35512E-002   2.49710E-001
  1.84528E+001   1.85041E+001   1.84784E+001   1.45220E-002   2.68344E-001
  1.85041E+001   1.85555E+001   1.85297E+001   1.64188E-002   3.04237E-001
  1.85555E+001   1.86070E+001   1.85812E+001   1.72964E-002   3.21388E-001
  1.86070E+001   1.86587E+001   1.86329E+001   1.94830E-002   3.63023E-001
  1.86587E+001   1.87106E+001   1.86846E+001   2.08197E-002   3.89008E-001
  1.87106E+001   1.87625E+001   1.87365E+001   2.32864E-002   4.36307E-001
  1.87625E+001   1.88147E+001   1.87886E+001   2.49361E-002   4.68514E-001
  1.88147E+001   1.88670E+001   1.88408E+001   2.75159E-002   5.18422E-001
  1.88670E+001   1.89194E+001   1.88931E+001   2.90232E-002   5.48339E-001
  1.89194E+001   1.89719E+001   1.89456E+001   3.26335E-002   6.18262E-001
  1.89719E+001   1.90246E+001   1.89983E+001   3.44979E-002   6.55402E-001
  1.90246E+001   1.90775E+001   1.90511E+001   3.80425E-002   7.24751E-001
  1.90775E+001   1.91305E+001   1.91040E+001   4.02230E-002   7.68420E-001
  1.91305E+001   1.91837E+001   1.91571E+001   4.45863E-002   8.54143E-001
  1.91837E+001   1.92370E+001   1.92103E+001   4.71382E-002   9.05539E-001
  1.92370E+001   1.92904E+001   1.92637E+001   5.11983E-002   9.86268E-001
  1.92904E+001   1.93440E+001   1.93172E+001   5.48718E-002   1.05997E+000
  1.93440E+001   1.93978E+001   1.93709E+001   5.94461E-002   1.15152E+000
  1.93978E+001   1.94516E+001   1.94247E+001   6.25587E-002   1.21518E+000
  1.94516E+001   1.95057E+001   1.94787E+001   6.74980E-002   1.31477E+000
  1.95057E+001   1.95599E+001   1.95328E+001   7.16113E-002   1.39877E+000
  1.95599E+001   1.96142E+001   1.95870E+001   7.64778E-002   1.49797E+000
  1.96142E+001   1.96687E+001   1.96415E+001   8.16882E-002   1.60448E+000
