# columns: T_lo[K]  T_hi[K]  T_mid[K]  dP/dT[1/K]  dP/dlnT
  4.27122E+000   4.30353E+000   4.28735E+000   0.00000E+000   0.00000E+000
  4.30353E+000   4.33609E+000   4.31978E+000   0.00000E+000   0.00000E+000
  4.33609E+000   4.36890E+000   4.35246E+000   0.00000E+000   0.00000E+000
  4.36890E+000   4.40195E+000   4.38539E+000   0.00000E+000   0.00000E+000
  4.40195E+000   4.43525E+000   4.41857E+000   0.00000E+000   0.00000E+000
  4.43525E+000   4.46881E+000   4.45200E+000   0.00000E+000   0.00000E+000
  4.46881E+000   4.50261E+000   4.48568E+000   4.12930E-006   1.85228E-005
  4.50261E+000   4.53668E+000   4.51961E+000   2.04915E-005   9.26138E-005
  4.53668E+000   4.57100E+000   4.55381E+000   2.14040E-005   9.74699E-005
  4.57100E+000   4.60558E+000   4.58826E+000   1.31693E-005   6.04244E-005
  4.60558E+000   4.64043E+000   4.62297E+000   4.22625E-005   1.95379E-004
  4.64043E+000   4.67553E+000   4.65795E+000   2.89728E-005   1.34954E-004
  4.67553E+000   4.71091E+000   4.69319E+000   3.64694E-005   1.71158E-004
  4.71091E+000   4.74655E+000   4.72869E+000   4.38518E-005   2.07362E-004
  4.74655E+000   4.78246E+000   4.76447E+000   6.13254E-005   2.92184E-004
  4.78246E+000   4.81864E+000   4.80051E+000   5.21339E-005   2.50270E-004
  4.81864E+000   4.85509E+000   4.83683E+000   4.19743E-005   2.03023E-004
  4.85509E+000   4.89182E+000   4.87342E+000   1.05098E-004   5.12188E-004
  4.89182E+000   4.92883E+000   4.91029E+000   6.86506E-005   3.37095E-004
  4.92883E+000   4.96612E+000   4.94744E+000   7.95834E-005   3.93735E-004
  4.96612E+000   5.00369E+000   4.98487E+000   1.36242E-004   6.79149E-004
  5.00369E+000   5.04155E+000   5.02258E+000   1.62448E-004   8.15909E-004
  5.04155E+000   5.07969E+000   5.06058E+000   1.41076E-004   7.13930E-004
  5.07969E+000   5.11812E+000   5.09887E+000   1.97717E-004   1.00813E-003
  5.11812E+000   5.15684E+000   5.13744E+000   1.85729E-004   9.54177E-004
  5.15684E+000   5.19585E+000   5.17631E+000   2.16457E-004   1.12045E-003
