# columns: T_lo[K]  T_hi[K]  T_mid[K]  dP/dT[1/K]  dP/dlnT
  2.26979E+000   2.29449E+000   2.28211E+000   0.00000E+000   0.00000E+000
  2.29449E+000   2.31945E+000   2.30694E+000   0.00000E+000   0.00000E+000
  2.31945E+000   2.34469E+000   2.33203E+000   0.00000E+000   0.00000E+000
  2.34469E+000   2.37020E+000   2.35741E+000   0.00000E+000   0.00000E+000
  2.37020E+000   2.39598E+000   2.38305E+000   1.47296E-004   3.51017E-004
  2.39598E+000   2.42205E+000   2.40898E+000   1.59815E-003   3.84993E-003
  2.42205E+000   2.44840E+000   2.43519E+000   4.95879E-003   1.20757E-002
  2.44840E+000   2.47504E+000   2.46168E+000   9.30317E-003   2.29016E-002
  2.47504E+000   2.50197E+000   2.48847E+000   1.53161E-002   3.81139E-002
  2.50197E+000   2.52919E+000   2.51554E+000   2.11080E-002   5.30983E-002
  2.52919E+000   2.55670E+000   2.54291E+000   2.84456E-002   7.23350E-002
  2.55670E+000   2.58452E+000   2.57057E+000   3.63699E-002   9.34919E-002
  2.58452E+000   2.61264E+000   2.59854E+000   4.48316E-002   1.16497E-001
  2.61264E+000   2.64106E+000   2.62681E+000   5.45562E-002   1.43310E-001
  2.64106E+000   2.66980E+000   2.65539E+000   6.38478E-002   1.69542E-001
  2.66980E+000   2.69884E+000   2.68428E+000   7.43642E-002   1.99615E-001
  2.69884E+000   2.72820E+000   2.71348E+000   8.32153E-002   2.25804E-001
  2.72820E+000   2.75789E+000   2.74301E+000   9.36700E-002   2.56939E-001
  2.75789E+000   2.78789E+000   2.77285E+000   1.04601E-001   2.90044E-001
  2.78789E+000   2.81822E+000   2.80302E+000   1.14917E-001   3.22117E-001
  2.81822E+000   2.84888E+000   2.83351E+000   1.25361E-001   3.55215E-001
  2.84888E+000   2.87988E+000   2.86434E+000   1.35746E-001   3.88824E-001
  2.87988E+000   2.91121E+000   2.89550E+000   1.45650E-001   4.21731E-001
  2.91121E+000   2.94288E+000   2.92700E+000   1.55101E-001   4.53982E-001
  2.94288E+000   2.97490E+000   2.95885E+000   1.64931E-001   4.88007E-001
  2.97490E+000   3.00727E+000   2.99104E+000   1.74146E-001   5.20880E-001
  3.00727E+000   3.03998E+000   3.02358E+000   1.83629E-001   5.55219E-001
  3.03998E+000   3.07306E+000   3.05648E+000   1.91817E-001   5.86287E-001
  3.07306E+000   3.10649E+000   3.08973E+000   1.99928E-001   6.17727E-001
  3.10649E+000   3.14029E+000   3.12334E+000   2.07939E-001   6.49467E-001
  3.14029E+000   3.17445E+000   3.15733E+000   2.15471E-001   6.80315E-001
  3.17445E+000   3.20899E+000   3.19168E+000   2.22629E-001   7.10562E-001
  3.20899E+000   3.24390E+000   3.22640E+000   2.29694E-001   7.41090E-001
  3.24390E+000   3.27920E+000   3.26150E+000   2.35676E-001   7.68661E-001
  3.27920E+000   3.31487E+000   3.29699E+000   2.42508E-001   7.99548E-001
  3.31487E+000   3.35094E+000   3.33286E+000   2.48219E-001   8.27282E-001
  3.35094E+000   3.38739E+000   3.36912E+000   2.53447E-001   8.53897E-001
  3.38739E+000   3.42425E+000   3.40577E+000   2.57914E-001   8.78401E-001
  3.42425E+000   3.46150E+000   3.44282E+000   2.62123E-001   9.02449E-001
  3.46150E+000   3.49916E+000   3.48028E+000   2.65436E-001   9.23798E-001
  3.49916E+000   3.53723E+000   3.51814E+000   2.68200E-001   9.43570E-001
  3.53723E+000   3.57571E+000   3.55642E+000   2.70907E-001   9.63465E-001
  3.57571E+000   3.61462E+000   3.59511E+000   2.73036E-001   9.81599E-001
  3.61462E+000   3.65394E+000   3.63423E+000   2.75162E-001   1.00001E+000
  3.65394E+000   3.69370E+000   3.67377E+000   2.76364E-001   1.01530E+000
  3.69370E+000   3.73388E+000   3.71373E+000   2.76870E-001   1.02822E+000
  3.73388E+000   3.77451E+000   3.75414E+000   2.77139E-001   1.04042E+000
  3.77451E+000   3.81557E+000   3.79498E+000   2.77424E-001   1.05282E+000
  3.81557E+000   3.85708E+000   3.83627E+000   2.77352E-001   1.06400E+000
  3.85708E+000   3.89905E+000   3.87801E+000   2.76713E-001   1.07310E+000
