# SEDust -- size-integrated scattering matrix,
# randomly oriented DH21 astrodust spheroids.
#   P = 0.20, f_Fe = 0.00, axis ratio b/a = 1.4 (oblate)
#   size distribution: data/release/size_distribution.dat,
#     astrodust column, C_sca-weighted average over sizes.
#
# Randomly oriented particles with a plane of symmetry have
# six independent scattering-matrix elements:
#     [ F11  F12   0    0  ]
#     [ F12  F22   0    0  ]
#     [  0    0   F33  F34 ]
#     [  0    0  -F34  F44 ]
# Theta is the scattering angle in degrees, 0 = forward.
#
# Normalization (Mishchenko/Hovenier, as produced by MATR):
#   (1/2) * integral_{-1}^{+1} F11 d(cos Theta) = 1,
#   so F11 = 1 everywhere for isotropic scattering.
#   F22, F33, F44, F12, F34 are NOT divided by F11.
#   Degree of linear polarization for unpolarized incident
#   light is -F12/F11.  Multiply F_ij by C_sca (given per
#   block, in um^2 per H) to recover absolute units.
#
# Blocks are separated by a "# lambda =" line; each block
# has 181 rows at Theta = 0, 1, ..., 180 degrees.
#
#
# lambda [um]   =   3.6000000E-01
# m =   1.5779682E+00  + i   5.7513181E-02
# Cext/H [um^2] =   3.8237541E-14
# Csca/H [um^2] =   2.8539133E-14
# albedo        =   7.4636422E-01
# g = a1(2)/3   =   7.1120467E-01
# g (Csca-wtd single-size, cross-check) =   7.1120467E-01
# Lmax          = 122
# alpha_1(0) (exactly 1 by construction) =   1.00000000165071E+00
# (1/2)int F11 dcos on this 1-deg grid   =   1.0003496E+00
#   (differs from 1 only by trapezoid error on the
#    forward peak; alpha_1(0) is the exact statement)
# van der Mee & Hovenier test: SATISFIED
# size bins: small-x limit 44, large-x limit 10, T-matrix failures redirected 0
#   Theta[deg]          F11            F22            F33            F44            F12            F34
     43.00   1.770155E+00   1.761806E+00   1.676176E+00   1.674724E+00  -1.130666E-02   2.723580E-01
     44.00   1.672116E+00   1.663864E+00   1.577809E+00   1.576505E+00  -1.176328E-02   2.599836E-01
     45.00   1.580395E+00   1.572235E+00   1.485846E+00   1.484683E+00  -1.219941E-02   2.479860E-01
     46.00   1.494554E+00   1.486484E+00   1.399841E+00   1.398816E+00  -1.261453E-02   2.363755E-01
     47.00   1.414187E+00   1.406203E+00   1.319382E+00   1.318490E+00  -1.300826E-02   2.251583E-01
     48.00   1.338917E+00   1.331015E+00   1.244083E+00   1.243320E+00  -1.338033E-02   2.143373E-01
     49.00   1.268394E+00   1.260570E+00   1.173588E+00   1.172949E+00  -1.373053E-02   2.039122E-01
     50.00   1.202291E+00   1.194541E+00   1.107564E+00   1.107045E+00  -1.405872E-02   1.938805E-01
     51.00   1.140305E+00   1.132626E+00   1.045702E+00   1.045300E+00  -1.436479E-02   1.842374E-01
     52.00   1.082156E+00   1.074545E+00   9.877163E-01   9.874278E-01  -1.464864E-02   1.749765E-01
     53.00   1.027583E+00   1.020036E+00   9.333405E-01   9.331622E-01  -1.491020E-02   1.660897E-01
     54.00   9.763439E-01   9.688579E-01   8.823279E-01   8.822570E-01  -1.514939E-02   1.575679E-01
     55.00   9.282146E-01   9.207862E-01   8.344496E-01   8.344834E-01  -1.536621E-02   1.494011E-01
     56.00   8.829867E-01   8.756124E-01   7.894931E-01   7.896291E-01  -1.556066E-02   1.415786E-01
     57.00   8.404666E-01   8.331432E-01   7.472612E-01   7.474972E-01  -1.573285E-02   1.340893E-01
     58.00   8.004750E-01   7.931993E-01   7.075711E-01   7.079049E-01  -1.588295E-02   1.269214E-01
     59.00   7.628453E-01   7.556141E-01   6.702530E-01   6.706828E-01  -1.601123E-02   1.200634E-01
     60.00   7.274229E-01   7.202330E-01   6.351494E-01   6.356735E-01  -1.611809E-02   1.135035E-01
     61.00   6.940643E-01   6.869124E-01   6.021141E-01   6.027309E-01  -1.620400E-02   1.072299E-01
     62.00   6.626361E-01   6.555193E-01   5.710114E-01   5.717196E-01  -1.626957E-02   1.012310E-01
     63.00   6.330147E-01   6.259296E-01   5.417152E-01   5.425135E-01  -1.631546E-02   9.549541E-02
     64.00   6.050849E-01   5.980286E-01   5.141085E-01   5.149958E-01  -1.634241E-02   9.001190E-02
     65.00   5.787401E-01   5.717094E-01   4.880824E-01   4.890577E-01  -1.635117E-02   8.476956E-02
     66.00   5.538809E-01   5.468726E-01   4.635359E-01   4.645983E-01  -1.634253E-02   7.975774E-02
     67.00   5.304149E-01   5.234259E-01   4.403747E-01   4.415235E-01  -1.631723E-02   7.496613E-02
     68.00   5.082560E-01   5.012833E-01   4.185115E-01   4.197460E-01  -1.627598E-02   7.038474E-02
     69.00   4.873243E-01   4.803647E-01   3.978648E-01   3.991843E-01  -1.621942E-02   6.600390E-02
     70.00   4.675452E-01   4.605955E-01   3.783587E-01   3.797629E-01  -1.614809E-02   6.181428E-02
     71.00   4.488490E-01   4.419063E-01   3.599225E-01   3.614109E-01  -1.606248E-02   5.780688E-02
     72.00   4.311710E-01   4.242319E-01   3.424904E-01   3.440627E-01  -1.596295E-02   5.397301E-02
     73.00   4.144505E-01   4.075120E-01   3.260009E-01   3.276569E-01  -1.584983E-02   5.030433E-02
     74.00   3.986311E-01   3.916899E-01   3.103968E-01   3.121363E-01  -1.572337E-02   4.679278E-02
     75.00   3.836597E-01   3.767127E-01   2.956244E-01   2.974475E-01  -1.558378E-02   4.343063E-02
     76.00   3.694871E-01   3.625310E-01   2.816339E-01   2.835405E-01  -1.543124E-02   4.021043E-02
     77.00   3.560671E-01   3.490986E-01   2.683786E-01   2.703688E-01  -1.526597E-02   3.712502E-02
     78.00   3.433565E-01   3.363723E-01   2.558147E-01   2.578887E-01  -1.508817E-02   3.416754E-02
     79.00   3.313148E-01   3.243115E-01   2.439015E-01   2.460596E-01  -1.489809E-02   3.133139E-02
     80.00   3.199044E-01   3.128786E-01   2.326008E-01   2.348434E-01  -1.469602E-02   2.861026E-02
     81.00   3.090899E-01   3.020382E-01   2.218769E-01   2.242045E-01  -1.448231E-02   2.599812E-02
     82.00   2.988382E-01   2.917570E-01   2.116962E-01   2.141094E-01  -1.425731E-02   2.348919E-02
     83.00   2.891184E-01   2.820043E-01   2.020276E-01   2.045269E-01  -1.402144E-02   2.107796E-02
     84.00   2.799016E-01   2.727509E-01   1.928415E-01   1.954279E-01  -1.377511E-02   1.875920E-02
     85.00   2.711607E-01   2.639698E-01   1.841107E-01   1.867850E-01  -1.351873E-02   1.652791E-02
     86.00   2.628704E-01   2.556355E-01   1.758093E-01   1.785723E-01  -1.325271E-02   1.437936E-02
     87.00   2.550068E-01   2.477242E-01   1.679131E-01   1.707660E-01  -1.297742E-02   1.230905E-02
     88.00   2.475478E-01   2.402137E-01   1.603994E-01   1.633433E-01  -1.269319E-02   1.031271E-02
     89.00   2.404723E-01   2.330830E-01   1.532471E-01   1.562832E-01  -1.240027E-02   8.386287E-03
     90.00   2.337609E-01   2.263125E-01   1.464360E-01   1.495656E-01  -1.209888E-02   6.525921E-03
     91.00   2.273950E-01   2.198836E-01   1.399475E-01   1.431719E-01  -1.178917E-02   4.727951E-03
     92.00   2.213573E-01   2.137790E-01   1.337638E-01   1.370844E-01  -1.147123E-02   2.988890E-03
     93.00   2.156315E-01   2.079823E-01   1.278682E-01   1.312867E-01  -1.114510E-02   1.305413E-03
     94.00   2.102023E-01   2.024781E-01   1.222451E-01   1.257630E-01  -1.081079E-02  -3.256520E-04
     95.00   2.050552E-01   1.972520E-01   1.168797E-01   1.204986E-01  -1.046825E-02  -1.907331E-03
     96.00   2.001766E-01   1.922903E-01   1.117581E-01   1.154798E-01  -1.011746E-02  -3.442511E-03
     97.00   1.955536E-01   1.875799E-01   1.068670E-01   1.106933E-01  -9.758340E-03  -4.933942E-03
     98.00   1.911740E-01   1.831089E-01   1.021941E-01   1.061269E-01  -9.390847E-03  -6.384239E-03
     99.00   1.870266E-01   1.788656E-01   9.772757E-02   1.017689E-01  -9.014921E-03  -7.795883E-03
    100.00   1.831004E-01   1.748393E-01   9.345633E-02   9.760814E-02  -8.630513E-03  -9.171215E-03
    101.00   1.793854E-01   1.710198E-01   8.936987E-02   9.363425E-02  -8.237574E-03  -1.051244E-02
    102.00   1.758719E-01   1.673975E-01   8.545823E-02   8.983731E-02  -7.836052E-03  -1.182162E-02
    103.00   1.725509E-01   1.639633E-01   8.171199E-02   8.620793E-02  -7.425885E-03  -1.310068E-02
    104.00   1.694139E-01   1.607088E-01   7.812222E-02   8.273718E-02  -7.006997E-03  -1.435141E-02
    105.00   1.664529E-01   1.576258E-01   7.468045E-02   7.941657E-02  -6.579280E-03  -1.557543E-02
    106.00   1.636603E-01   1.547070E-01   7.137860E-02   7.623801E-02  -6.142596E-03  -1.677426E-02
    107.00   1.610288E-01   1.519451E-01   6.820904E-02   7.319379E-02  -5.696764E-03  -1.794926E-02
    108.00   1.585517E-01   1.493335E-01   6.516446E-02   7.027650E-02  -5.241558E-03  -1.910164E-02
    109.00   1.562225E-01   1.468658E-01   6.223790E-02   6.747907E-02  -4.776704E-03  -2.023251E-02
    110.00   1.540351E-01   1.445362E-01   5.942272E-02   6.479468E-02  -4.301878E-03  -2.134281E-02
    111.00   1.519836E-01   1.423389E-01   5.671256E-02   6.221677E-02  -3.816708E-03  -2.243337E-02
    112.00   1.500623E-01   1.402685E-01   5.410131E-02   5.973900E-02  -3.320775E-03  -2.350486E-02
    113.00   1.482659E-01   1.383200E-01   5.158312E-02   5.735523E-02  -2.813619E-03  -2.455783E-02
    114.00   1.465890E-01   1.364884E-01   4.915237E-02   5.505950E-02  -2.294738E-03  -2.559268E-02
    115.00   1.450266E-01   1.347690E-01   4.680362E-02   5.284599E-02  -1.763596E-03  -2.660964E-02
    116.00   1.435737E-01   1.331574E-01   4.453165E-02   5.070906E-02  -1.219623E-03  -2.760880E-02
    117.00   1.422256E-01   1.316492E-01   4.233139E-02   4.864312E-02  -6.622148E-04  -2.859007E-02
    118.00   1.409773E-01   1.302402E-01   4.019795E-02   4.664272E-02  -9.074129E-05  -2.955319E-02
    119.00   1.398243E-01   1.289264E-01   3.812657E-02   4.470244E-02   4.954567E-04  -3.049771E-02
    120.00   1.387618E-01   1.277038E-01   3.611261E-02   4.281693E-02   1.097063E-03  -3.142295E-02
    121.00   1.377852E-01   1.265688E-01   3.415151E-02   4.098081E-02   1.714780E-03  -3.232801E-02
    122.00   1.368899E-01   1.255174E-01   3.223881E-02   3.918871E-02   2.349329E-03  -3.321178E-02
    123.00   1.360710E-01   1.245461E-01   3.037009E-02   3.743520E-02   3.001434E-03  -3.407285E-02
    124.00   1.353237E-01   1.236511E-01   2.854094E-02   3.571474E-02   3.671818E-03  -3.490956E-02
    125.00   1.346433E-01   1.228289E-01   2.674694E-02   3.402171E-02   4.361182E-03  -3.571992E-02
    126.00   1.340245E-01   1.220757E-01   2.498365E-02   3.235032E-02   5.070193E-03  -3.650164E-02
    127.00   1.334622E-01   1.213878E-01   2.324654E-02   3.069461E-02   5.799459E-03  -3.725208E-02
    128.00   1.329509E-01   1.207614E-01   2.153100E-02   2.904845E-02   6.549501E-03  -3.796823E-02
    129.00   1.324849E-01   1.201925E-01   1.983230E-02   2.740548E-02   7.320726E-03  -3.864666E-02
    130.00   1.320583E-01   1.196768E-01   1.814557E-02   2.575912E-02   8.113389E-03  -3.928353E-02
    131.00   1.316647E-01   1.192101E-01   1.646575E-02   2.410255E-02   8.927553E-03  -3.987455E-02
    132.00   1.312975E-01   1.187875E-01   1.478763E-02   2.242874E-02   9.763042E-03  -4.041492E-02
    133.00   1.309497E-01   1.184041E-01   1.310578E-02   2.073043E-02   1.061939E-02  -4.089936E-02
    134.00   1.306139E-01   1.180544E-01   1.141455E-02   1.900017E-02   1.149580E-02  -4.132200E-02
