# HD23 astrodust PAH, neutral: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 169
# lambda stride: every 1 of 1762
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  1.000000E-004  3.548000E-001  1.398617E-004
  1.000000E-004  3.758000E-001  1.481392E-004
  1.000000E-004  3.981000E-001  1.569290E-004
  1.000000E-004  4.217000E-001  1.662311E-004
  1.000000E-004  4.467000E-001  1.760849E-004
  1.000000E-004  4.732000E-001  1.865299E-004
  1.000000E-004  5.012000E-001  1.975659E-004
  1.000000E-004  5.309000E-001  2.092719E-004
  1.000000E-004  5.623000E-001  2.216477E-004
  1.000000E-004  5.957000E-001  2.348116E-004
  1.000000E-004  6.310000E-001  2.487241E-004
  1.000000E-004  6.683000E-001  2.634246E-004
  1.000000E-004  7.079000E-001  2.790314E-004
  1.000000E-004  7.499000E-001  2.955837E-004
  1.000000E-004  7.943000E-001  3.130815E-004
  1.000000E-004  8.414000E-001  3.316430E-004
  1.000000E-004  8.913000E-001  3.513075E-004
  1.000000E-004  9.441000E-001  3.721143E-004
  1.000000E-004  1.000000E+000  3.941423E-004
  1.000000E-004  1.059000E+000  4.173912E-004
  1.000000E-004  1.122000E+000  4.422156E-004
  1.000000E-004  1.189000E+000  4.686155E-004
  1.000000E-004  1.259000E+000  4.961966E-004
  1.000000E-004  1.334000E+000  5.257468E-004
  1.000000E-004  1.413000E+000  5.568720E-004
  1.000000E-004  1.496000E+000  5.895720E-004
  1.000000E-004  1.585000E+000  6.246344E-004
  1.000000E-004  1.679000E+000  6.616652E-004
  1.000000E-004  1.778000E+000  7.006640E-004
  1.000000E-004  1.884000E+000  7.424185E-004
  1.000000E-004  1.995000E+000  7.861403E-004
  1.000000E-004  2.114000E+000  8.330109E-004
  1.000000E-004  2.239000E+000  8.822421E-004
  1.000000E-004  2.371000E+000  9.342273E-004
  1.000000E-004  2.512000E+000  9.897535E-004
  1.000000E-004  2.661000E+000  1.048426E-003
  1.000000E-004  2.818000E+000  1.110245E-003
  1.000000E-004  2.985000E+000  1.175997E-003
  1.000000E-004  3.162000E+000  1.245681E-003
  1.000000E-004  3.350000E+000  1.319689E-003
  1.000000E-004  3.548000E+000  1.397627E-003
  1.000000E-004  3.758000E+000  1.480281E-003
  1.000000E-004  3.981000E+000  1.568044E-003
  1.000000E-004  4.217000E+000  1.660913E-003
  1.000000E-004  4.467000E+000  1.759281E-003
  1.000000E-004  4.732000E+000  1.863539E-003
  1.000000E-004  5.012000E+000  1.973685E-003
  1.007967E-004  3.162000E-004  1.275066E-007
  1.007967E-004  3.350000E-004  1.350876E-007
  1.007967E-004  3.548000E-004  1.430718E-007
  1.007967E-004  3.758000E-004  1.515399E-007
  1.007967E-004  3.981000E-004  1.605323E-007
  1.007967E-004  4.217000E-004  1.700488E-007
  1.007967E-004  4.467000E-004  1.801299E-007
  1.007967E-004  4.731000E-004  1.907756E-007
  1.007967E-004  5.012000E-004  2.021068E-007
  1.007967E-004  5.309000E-004  2.140831E-007
  1.007967E-004  5.623000E-004  2.267450E-007
  1.007967E-004  5.957000E-004  2.402133E-007
  1.007967E-004  6.310000E-004  2.544479E-007
  1.007967E-004  6.683000E-004  2.694889E-007
  1.007967E-004  7.079000E-004  2.854573E-007
  1.007967E-004  7.499000E-004  3.023936E-007
  1.007967E-004  7.943000E-004  3.202976E-007
  1.007967E-004  8.414000E-004  3.392904E-007
  1.007967E-004  8.912000E-004  3.593720E-007
  1.007967E-004  9.441000E-004  3.807036E-007
  1.007967E-004  1.000000E-003  4.032450E-007
  1.007967E-004  1.059000E-003  4.270364E-007
  1.007967E-004  1.122000E-003  4.524408E-007
  1.007967E-004  1.188000E-003  4.790549E-007
  1.007967E-004  1.259000E-003  5.076852E-007
  1.007967E-004  1.334000E-003  5.379285E-007
  1.007967E-004  1.413000E-003  5.697848E-007
  1.007967E-004  1.496000E-003  6.032540E-007
  1.007967E-004  1.585000E-003  6.391428E-007
  1.007967E-004  1.679000E-003  6.770477E-007
  1.007967E-004  1.778000E-003  7.169689E-007
  1.007967E-004  1.884000E-003  7.597127E-007
  1.007967E-004  1.995000E-003  8.044728E-007
  1.007967E-004  2.113000E-003  8.520556E-007
  1.007967E-004  2.239000E-003  9.028643E-007
  1.007967E-004  2.371000E-003  9.560925E-007
  1.007967E-004  2.512000E-003  1.012950E-006
  1.007967E-004  2.661000E-003  1.073033E-006
  1.007967E-004  2.818000E-003  1.136343E-006
  1.007967E-004  2.985000E-003  1.203684E-006
  1.007967E-004  3.162000E-003  1.275058E-006
  1.007967E-004  3.350000E-003  1.350868E-006
  1.007967E-004  3.548000E-003  1.430710E-006
  1.007967E-004  3.758000E-003  1.515392E-006
  1.007967E-004  3.981000E-003  1.605315E-006
  1.007967E-004  4.217000E-003  1.700480E-006
  1.007967E-004  4.467000E-003  1.801291E-006
  1.007967E-004  4.732000E-003  1.908151E-006
  1.007967E-004  5.012000E-003  2.021059E-006
  1.007967E-004  5.309000E-003  2.140822E-006
  1.007967E-004  5.623000E-003  2.267441E-006
  1.007967E-004  5.957000E-003  2.402124E-006
  1.007967E-004  6.310000E-003  2.544469E-006
  1.007967E-004  6.683000E-003  2.694879E-006
  1.007967E-004  7.079000E-003  2.854563E-006
  1.007967E-004  7.499000E-003  3.023925E-006
  1.007967E-004  7.943000E-003  3.202965E-006
  1.007967E-004  8.414000E-003  3.392892E-006
  1.007967E-004  8.912000E-003  3.593707E-006
  1.007967E-004  9.441000E-003  3.807022E-006
  1.007967E-004  1.000000E-002  4.032435E-006
  1.007967E-004  1.059000E-002  4.270348E-006
  1.007967E-004  1.122000E-002  4.524391E-006
  1.007967E-004  1.189000E-002  4.794563E-006
  1.007967E-004  1.259000E-002  5.076832E-006
  1.007967E-004  1.333000E-002  5.375232E-006
  1.007967E-004  1.412000E-002  5.693793E-006
  1.007967E-004  1.496000E-002  6.032516E-006
  1.007967E-004  1.585000E-002  6.391401E-006
  1.007967E-004  1.679000E-002  6.770447E-006
  1.007967E-004  1.778000E-002  7.169656E-006
  1.007967E-004  1.884000E-002  7.597092E-006
  1.007967E-004  1.995000E-002  8.044689E-006
  1.007967E-004  2.114000E-002  8.524545E-006
  1.007967E-004  2.239000E-002  9.028596E-006
  1.007967E-004  2.371000E-002  9.560873E-006
  1.007967E-004  2.512000E-002  1.012944E-005
  1.007967E-004  2.661000E-002  1.073027E-005
  1.007967E-004  2.818000E-002  1.136335E-005
  1.007967E-004  2.985000E-002  1.203676E-005
  1.007967E-004  3.162000E-002  1.275050E-005
  1.007967E-004  3.350000E-002  1.350858E-005
  1.007967E-004  3.548000E-002  1.430699E-005
  1.007967E-004  3.758000E-002  1.515379E-005
  1.007967E-004  3.981000E-002  1.605301E-005
  1.007967E-004  4.217000E-002  1.700465E-005
  1.007967E-004  4.467000E-002  1.801274E-005
  1.007967E-004  4.732000E-002  1.908132E-005
  1.007967E-004  5.012000E-002  2.021038E-005
  1.007967E-004  5.309000E-002  2.140799E-005
  1.007967E-004  5.623000E-002  2.267414E-005
  1.007967E-004  5.957000E-002  2.402094E-005
  1.007967E-004  6.310000E-002  2.544435E-005
  1.007967E-004  6.683000E-002  2.694841E-005
  1.007967E-004  7.079000E-002  2.854521E-005
  1.007967E-004  7.499000E-002  3.023878E-005
  1.007967E-004  7.943000E-002  3.202912E-005
  1.007967E-004  8.414000E-002  3.392833E-005
  1.007967E-004  8.912000E-002  3.593641E-005
  1.007967E-004  9.441000E-002  3.806948E-005
  1.007967E-004  1.000000E-001  4.032352E-005
  1.007967E-004  1.059000E-001  4.270255E-005
  1.007967E-004  1.122000E-001  4.524286E-005
  1.007967E-004  1.189000E-001  4.794446E-005
  1.007967E-004  1.259000E-001  5.076701E-005
  1.007967E-004  1.333000E-001  5.375085E-005
  1.007967E-004  1.412000E-001  5.693628E-005
  1.007967E-004  1.496000E-001  6.032331E-005
  1.007967E-004  1.585000E-001  6.391193E-005
  1.007967E-004  1.679000E-001  6.770215E-005
  1.007967E-004  1.778000E-001  7.169395E-005
  1.007967E-004  1.884000E-001  7.596799E-005
  1.007967E-004  1.995000E-001  8.044361E-005
  1.007967E-004  2.113000E-001  8.520145E-005
  1.007967E-004  2.239000E-001  9.028182E-005
  1.007967E-004  2.371000E-001  9.560409E-005
  1.007967E-004  2.512000E-001  1.012892E-004
  1.007967E-004  2.661000E-001  1.072968E-004
  1.007967E-004  2.818000E-001  1.136270E-004
  1.007967E-004  2.985000E-001  1.203603E-004
  1.007967E-004  3.162000E-001  1.274967E-004
  1.007967E-004  3.350000E-001  1.350766E-004
  1.007967E-004  3.548000E-001  1.430596E-004
  1.007967E-004  3.758000E-001  1.515263E-004
  1.007967E-004  3.981000E-001  1.605171E-004
  1.007967E-004  4.217000E-001  1.700319E-004
  1.007967E-004  4.467000E-001  1.801110E-004
  1.007967E-004  4.732000E-001  1.907947E-004
  1.007967E-004  5.012000E-001  2.020831E-004
  1.007967E-004  5.309000E-001  2.140566E-004
  1.007967E-004  5.623000E-001  2.267154E-004
  1.007967E-004  5.957000E-001  2.401802E-004
