# Extinction, albedo, and scattering asymmetry for the
# Hensley & Draine (2023) astrodust+PAH Milky-Way model.
#
# Astrodust grains: random-orientation T-matrix optics
#   (Draine & Hensley 2021 dielectric, P=0.20, fFe=0, b/a=1.4);
#   Cabs, Csca and <cos> from the T-matrix Q table.
# PAH: charge-resolved DL07 absorption (neutral+cation by f_ion,
#   100 A -> 100% ionized); PAH scattering is negligible and not
#   modelled, so PAH adds to extinction via absorption only.
# Size integral over the HD23 release size distribution (per H).
# Computed from the SED pipeline optics (sed_init), all components.
# Dust mass per H, M_dust/N_H =  1.184949E-26 g/H  (rho_Ad=2.74, rho_PAH=2.0 g/cm^3; K_abs = C_abs/H / this).
#
#        lambda     albedo      <cos>         C_ext/H         C_abs/H         C_sca/H           K_abs
#      (micron)                              (cm^2/H)        (cm^2/H)        (cm^2/H)        (cm^2/g)
 1.7403630E-004   0.999399   0.000009  1.2873081E-021  7.7354650E-025  1.2865345E-021  6.5280984E+001
 1.7404370E-004   0.999399   0.000009  1.2873081E-021  7.7351550E-025  1.2865346E-021  6.5278367E+001
 1.7405590E-004   0.999399   0.000009  1.2873081E-021  7.7388613E-025  1.2865342E-021  6.5309645E+001
 1.7412920E-004   0.999398   0.000009  1.2873081E-021  7.7484221E-025  1.2865333E-021  6.5390331E+001
 1.7437410E-004   0.999396   0.000009  1.2873082E-021  7.7802142E-025  1.2865302E-021  6.5658630E+001
 1.7461970E-004   0.999393   0.000009  1.2873082E-021  7.8118876E-025  1.2865270E-021  6.5925927E+001
 1.7711430E-004   0.999368   0.000009  1.2873087E-021  8.1303613E-025  1.2864956E-021  6.8613585E+001
 1.8367410E-004   0.999298   0.000000  1.2853287E-021  9.0171986E-025  1.2844270E-021  7.6097764E+001
 1.9073850E-004   0.999218   0.000004  1.2835733E-021  1.0032861E-024  1.2825700E-021  8.4669124E+001
 1.9836800E-004   0.999127   0.000004  1.2835744E-021  1.1207854E-024  1.2824536E-021  9.4585098E+001
 2.0663330E-004   0.999019   0.000002  1.2820131E-021  1.2570311E-024  1.2807561E-021  1.0608312E+002
 2.1375860E-004   0.998920   0.000000  1.2806339E-021  1.3831406E-024  1.2792507E-021  1.1672573E+002
 2.2139290E-004   0.998808   0.000000  1.2806361E-021  1.5268412E-024  1.2791092E-021  1.2885288E+002
 2.2959260E-004   0.998679   0.000006  1.2794013E-021  1.6903433E-024  1.2777109E-021  1.4265112E+002
 2.3842310E-004   0.998531   0.000000  1.2782925E-021  1.8772383E-024  1.2764152E-021  1.5842352E+002
 2.4796000E-004   0.998362   0.000000  1.2782948E-021  2.0934929E-024  1.2762013E-021  1.7667364E+002
 2.5829170E-004   0.998163   0.000002  1.2772935E-021  2.3468764E-024  1.2749466E-021  1.9805713E+002
 2.6952170E-004   0.997932   0.000005  1.2763679E-021  2.6396748E-024  1.2737282E-021  2.2276692E+002
 2.8177270E-004   0.997660   0.000000  1.2754932E-021  2.9847464E-024  1.2725085E-021  2.5188813E+002
 2.9519050E-004   0.997343   0.000000  1.2754984E-021  3.3884146E-024  1.2721100E-021  2.8595441E+002
 3.0239020E-004   0.997162   0.000003  1.2746408E-021  3.6173935E-024  1.2710234E-021  3.0527836E+002
 3.0612350E-004   0.997066   0.000003  1.2746421E-021  3.7403212E-024  1.2709018E-021  3.1565245E+002
 3.0657760E-004   0.997055   0.000003  1.2746423E-021  3.7538522E-024  1.2708884E-021  3.1679435E+002
 3.0661560E-004   0.997053   0.000003  1.2746423E-021  3.7557608E-024  1.2708866E-021  3.1695542E+002
 3.0663830E-004   0.997052   0.000003  1.2746423E-021  3.7578457E-024  1.2708845E-021  3.1713137E+002
 3.0664590E-004   0.997052   0.000003  1.2746423E-021  3.7577571E-024  1.2708846E-021  3.1712389E+002
 3.0664970E-004   0.997052   0.000003  1.2746423E-021  3.7577129E-024  1.2708846E-021  3.1712016E+002
 3.0665200E-004   0.997052   0.000003  1.2746423E-021  3.7576863E-024  1.2708846E-021  3.1711792E+002
 3.0665270E-004   0.997052   0.000003  1.2746423E-021  3.7576773E-024  1.2708846E-021  3.1711716E+002
 3.0665420E-004   0.997211   0.000003  1.2746419E-021  3.5553965E-024  1.2710865E-021  3.0004632E+002
 3.0665500E-004   0.997211   0.000003  1.2746419E-021  3.5553880E-024  1.2710865E-021  3.0004560E+002
 3.0665730E-004   0.997211   0.000003  1.2746419E-021  3.5553631E-024  1.2710866E-021  3.0004350E+002
 3.0666110E-004   0.997211   0.000003  1.2746419E-021  3.5553213E-024  1.2710866E-021  3.0003997E+002
 3.0666860E-004   0.997211   0.000003  1.2746419E-021  3.5552375E-024  1.2710867E-021  3.0003290E+002
 3.0669140E-004   0.997211   0.000003  1.2746419E-021  3.5549866E-024  1.2710869E-021  3.0001173E+002
 3.0672930E-004   0.997209   0.000003  1.2746420E-021  3.5569211E-024  1.2710850E-021  3.0017498E+002
 3.0995000E-004   0.997129   0.000003  1.2746431E-021  3.6591064E-024  1.2709840E-021  3.0879858E+002
 3.1789740E-004   0.996918   0.000002  1.2737500E-021  3.9251447E-024  1.2698248E-021  3.3125004E+002
 3.2626320E-004   0.996691   0.000002  1.2737568E-021  4.2147837E-024  1.2695420E-021  3.5569320E+002
 3.3508110E-004   0.996440   0.000000  1.2727641E-021  4.5308915E-024  1.2682332E-021  3.8237010E+002
 3.4438890E-004   0.996164   0.000000  1.2727711E-021  4.8820901E-024  1.2678890E-021  4.1200838E+002
 3.5422860E-004   0.995858   0.000002  1.2715709E-021  5.2671636E-024  1.2663037E-021  4.4450543E+002
 3.6464710E-004   0.995523   0.000002  1.2715779E-021  5.6925904E-024  1.2658853E-021  4.8040796E+002
 3.7569700E-004   0.995147   0.000003  1.2700186E-021  6.1629187E-024  1.2638556E-021  5.2009981E+002
 3.8743750E-004   0.994735   0.000003  1.2700258E-021  6.6872744E-024  1.2633386E-021  5.6435114E+002
 3.9993550E-004   0.994266   0.000007  1.2678972E-021  7.2700513E-024  1.2606271E-021  6.1353273E+002
 4.1326670E-004   0.993751   0.000007  1.2679048E-021  7.9231378E-024  1.2599817E-021  6.6864787E+002
 4.2751720E-004   0.993154   0.000000  1.2649458E-021  8.6599775E-024  1.2562858E-021  7.3083111E+002
 4.4278570E-004   0.992498   0.000000  1.2649633E-021  9.4900482E-024  1.2554732E-021  8.0088227E+002
 4.5083640E-004   0.992114   0.000002  1.2607818E-021  9.9423017E-024  1.2508395E-021  8.3904876E+002
 4.5918520E-004   0.991731   0.000002  1.2607908E-021  1.0426110E-023  1.2503647E-021  8.7987817E+002
 4.6784910E-004   0.991327   0.000002  1.2608000E-021  1.0934424E-023  1.2498656E-021  9.2277571E+002
 4.7684620E-004   0.990853   0.000009  1.2549419E-021  1.1478492E-023  1.2434634E-021  9.6869060E+002
 4.8619610E-004   0.990392   0.000009  1.2549513E-021  1.2057043E-023  1.2428942E-021  1.0175156E+003
 4.9592000E-004   0.989897   0.000009  1.2549608E-021  1.2678274E-023  1.2422825E-021  1.0699424E+003
 4.9991940E-004   0.989693   0.000009  1.2549685E-021  1.2935468E-023  1.2420331E-021  1.0916474E+003
 5.0032280E-004   0.989602   0.000003  1.2468355E-021  1.2964504E-023  1.2338710E-021  1.0940978E+003
 5.0042380E-004   0.989598   0.000003  1.2468357E-021  1.2968979E-023  1.2338667E-021  1.0944755E+003
 5.0048440E-004   0.989594   0.000003  1.2468358E-021  1.2974368E-023  1.2338614E-021  1.0949303E+003
 5.0050460E-004   0.989595   0.000003  1.2468358E-021  1.2973909E-023  1.2338619E-021  1.0948916E+003
 5.0051470E-004   0.989595   0.000003  1.2468358E-021  1.2973679E-023  1.2338622E-021  1.0948722E+003
 5.0052080E-004   0.989595   0.000003  1.2468359E-021  1.2973541E-023  1.2338623E-021  1.0948605E+003
 5.0052280E-004   0.989595   0.000003  1.2468359E-021  1.2973496E-023  1.2338624E-021  1.0948567E+003
 5.0052680E-004   0.990193   0.000003  1.2468334E-021  1.2227147E-023  1.2346063E-021  1.0318710E+003
 5.0052890E-004   0.990193   0.000003  1.2468334E-021  1.2227105E-023  1.2346063E-021  1.0318674E+003
 5.0053490E-004   0.990188   0.000003  1.2468334E-021  1.2233776E-023  1.2345997E-021  1.0324304E+003
 5.0054500E-004   0.990188   0.000003  1.2468335E-021  1.2233560E-023  1.2345999E-021  1.0324122E+003
 5.0056520E-004   0.990189   0.000003  1.2468335E-021  1.2233128E-023  1.2346004E-021  1.0323758E+003
 5.0062590E-004   0.990184   0.000003  1.2468337E-021  1.2238632E-023  1.2345950E-021  1.0328402E+003
 5.0072700E-004   0.990181   0.000003  1.2468339E-021  1.2243269E-023  1.2345906E-021  1.0332316E+003
 5.0194330E-004   0.990120   0.000003  1.2468361E-021  1.2319027E-023  1.2345171E-021  1.0396249E+003
 5.0604080E-004   0.989910   0.000003  1.2468440E-021  1.2581147E-023  1.2342628E-021  1.0617457E+003
 5.1658330E-004   0.989364   0.000003  1.2468636E-021  1.3262038E-023  1.2336016E-021  1.1192073E+003
 5.2757450E-004   0.988775   0.000003  1.2468834E-021  1.3996847E-023  1.2328866E-021  1.1812191E+003
 5.3904350E-004   0.988043   0.000010  1.2358554E-021  1.4777211E-023  1.2210782E-021  1.2470755E+003
 5.5102220E-004   0.987370   0.000010  1.2358761E-021  1.5608851E-023  1.2202672E-021  1.3172591E+003
 5.6354550E-004   0.986491   0.000030  1.2212153E-021  1.6497819E-023  1.2047175E-021  1.3922807E+003
 6.0478050E-004   0.983687   0.000009  1.2022881E-021  1.9613315E-023  1.1826748E-021  1.6552030E+003
 6.1990000E-004   0.982690   0.000009  1.2023128E-021  2.0812574E-023  1.1815002E-021  1.7564107E+003
 6.5252630E-004   0.980047   0.000020  1.1782963E-021  2.3510417E-023  1.1547859E-021  1.9840864E+003
 6.5946810E-004   0.979539   0.000020  1.1783152E-021  2.4109225E-023  1.1542060E-021  2.0346210E+003
 6.6655910E-004   0.979016   0.000020  1.1783344E-021  2.4725900E-023  1.1536085E-021  2.0866633E+003
 6.7016220E-004   0.978221   0.000005  1.1486387E-021  2.5016524E-023  1.1236221E-021  2.1111896E+003
 6.7088740E-004   0.978168   0.000005  1.1486406E-021  2.5076891E-023  1.1235637E-021  2.1162840E+003
 6.7125070E-004   0.978138   0.000005  1.1486415E-021  2.5111621E-023  1.1235299E-021  2.1192149E+003
 6.7143240E-004   0.978127   0.000005  1.1486420E-021  2.5124342E-023  1.1235176E-021  2.1202885E+003
 6.7154150E-004   0.978114   0.000005  1.1486424E-021  2.5139361E-023  1.1235030E-021  2.1215560E+003
 6.7157790E-004   0.978115   0.000005  1.1486425E-021  2.5138207E-023  1.1235043E-021  2.1214586E+003
 6.7159610E-004   0.978107   0.000005  1.1486426E-021  2.5146869E-023  1.1234957E-021  2.1221896E+003
 6.7160700E-004   0.978108   0.000005  1.1486426E-021  2.5146524E-023  1.1234961E-021  2.1221605E+003
 6.7161070E-004   0.978108   0.000005  1.1486426E-021  2.5146407E-023  1.1234962E-021  2.1221506E+003
 6.7161790E-004   0.982398   0.000005  1.1485941E-021  2.0217996E-023  1.1283761E-021  1.7062331E+003
 6.7162160E-004   0.982389   0.000005  1.1485942E-021  2.0227477E-023  1.1283668E-021  1.7070333E+003
 6.7163250E-004   0.982390   0.000005  1.1485943E-021  2.0227199E-023  1.1283671E-021  1.7070097E+003
 6.7165070E-004   0.982390   0.000005  1.1485943E-021  2.0226734E-023  1.1283675E-021  1.7069705E+003
 6.7168710E-004   0.982391   0.000005  1.1485943E-021  2.0225805E-023  1.1283685E-021  1.7068921E+003
 6.7179630E-004   0.982385   0.000005  1.1485946E-021  2.0232588E-023  1.1283620E-021  1.7074646E+003
 6.7197830E-004   0.982372   0.000005  1.1485951E-021  2.0247075E-023  1.1283480E-021  1.7086871E+003
 6.7234270E-004   0.982347   0.000005  1.1485962E-021  2.0276011E-023  1.1283202E-021  1.7111291E+003
 6.7380430E-004   0.982255   0.000005  1.1486003E-021  2.0381757E-023  1.1282185E-021  1.7200532E+003
 6.8877780E-004   0.981264   0.000006  1.1486404E-021  2.1521459E-023  1.1271189E-021  1.8162347E+003
 7.0845710E-004   0.979308   0.000094  1.1129280E-021  2.3028356E-023  1.0898996E-021  1.9434045E+003
 7.2929410E-004   0.977804   0.000095  1.1129939E-021  2.4704492E-023  1.0882894E-021  2.0848566E+003
 7.5139390E-004   0.975253   0.000065  1.0711115E-021  2.6506765E-023  1.0446047E-021  2.2369537E+003
 7.7487500E-004   0.973381   0.000066  1.0712004E-021  2.8514569E-023  1.0426859E-021  2.4063958E+003
 7.8968150E-004   0.972168   0.000066  1.0712646E-021  2.9815517E-023  1.0414491E-021  2.5161852E+003
 7.9068880E-004   0.972084   0.000066  1.0712689E-021  2.9906055E-023  1.0413629E-021  2.5238259E+003
 7.9094100E-004   0.972062   0.000066  1.0712700E-021  2.9928633E-023  1.0413414E-021  2.5257312E+003
 7.9104190E-004   0.972051   0.000066  1.0712705E-021  2.9940681E-023  1.0413298E-021  2.5267480E+003
 7.9109240E-004   0.972053   0.000066  1.0712706E-021  2.9939144E-023  1.0413314E-021  2.5266183E+003
 7.9111760E-004   0.972046   0.000066  1.0712708E-021  2.9945936E-023  1.0413249E-021  2.5271915E+003
 7.9113280E-004   0.972047   0.000066  1.0712708E-021  2.9945473E-023  1.0413253E-021  2.5271524E+003
 7.9113780E-004   0.972047   0.000066  1.0712708E-021  2.9945320E-023  1.0413255E-021  2.5271395E+003
 7.9119840E-004   0.972515   0.000066  1.0712626E-021  2.9443540E-023  1.0418191E-021  2.4847934E+003
 7.9120350E-004   0.972515   0.000066  1.0712626E-021  2.9443390E-023  1.0418192E-021  2.4847807E+003
 7.9121860E-004   0.972516   0.000066  1.0712627E-021  2.9442936E-023  1.0418197E-021  2.4847424E+003
 7.9124390E-004   0.972516   0.000066  1.0712627E-021  2.9442180E-023  1.0418206E-021  2.4846786E+003
 7.9129440E-004   0.972511   0.000066  1.0712630E-021  2.9448253E-023  1.0418147E-021  2.4851912E+003
 7.9144590E-004   0.972494   0.000066  1.0712637E-021  2.9466470E-023  1.0417972E-021  2.4867285E+003
 7.9169860E-004   0.972480   0.000066  1.0712647E-021  2.9481640E-023  1.0417831E-021  2.4880088E+003
 7.9220450E-004   0.972437   0.000066  1.0712669E-021  2.9527085E-023  1.0417398E-021  2.4918439E+003
 7.9987100E-004   0.970543   0.000023  1.0235113E-021  3.0149206E-023  9.9336211E-022  2.5443458E+003
 8.2653330E-004   0.968219   0.000025  1.0236330E-021  3.2532520E-023  9.9110046E-022  2.7454780E+003
 8.5503450E-004   0.963841   0.000096  9.7066352E-022  3.5097932E-023  9.3556559E-022  2.9619777E+003
 8.8557140E-004   0.960866   0.000098  9.7083394E-022  3.7992811E-023  9.3284113E-022  3.2062818E+003
 9.1837040E-004   0.955015   0.000154  9.1349466E-022  4.1093597E-023  8.7240106E-022  3.4679627E+003
 9.3218050E-004   0.953547   0.000155  9.1358841E-022  4.2438783E-023  8.7114962E-022  3.5814853E+003
 9.3569810E-004   0.953144   0.000155  9.1361286E-022  4.2807793E-023  8.7080507E-022  3.6126268E+003
 9.3853140E-004   0.952845   0.000155  9.1363166E-022  4.3082439E-023  8.7054922E-022  3.6358047E+003
 9.4281370E-004   0.949146   0.000078  8.5292883E-022  4.3374963E-023  8.0955386E-022  3.6604913E+003
 9.4496950E-004   0.948903   0.000074  8.5294123E-022  4.3582315E-023  8.0935891E-022  3.6779901E+003
 9.4532980E-004   0.948852   0.000074  8.5294424E-022  4.3626110E-023  8.0931813E-022  3.6816860E+003
 9.4554610E-004   0.948828   0.000074  8.5294586E-022  4.3646721E-023  8.0929914E-022  3.6834254E+003
 9.4561820E-004   0.948798   0.000074  8.5294715E-022  4.3672373E-023  8.0927478E-022  3.6855903E+003
 9.4565420E-004   0.948800   0.000074  8.5294727E-022  4.3671111E-023  8.0927616E-022  3.6854838E+003
 9.4567590E-004   0.948801   0.000074  8.5294726E-022  4.3670352E-023  8.0927691E-022  3.6854197E+003
 9.4568310E-004   0.948801   0.000074  8.5294730E-022  4.3670100E-023  8.0927720E-022  3.6853984E+003
 9.4569750E-004   0.957885   0.000072  8.5262675E-022  3.5908521E-023  8.1671823E-022  3.0303848E+003
 9.4570470E-004   0.957885   0.000072  8.5262678E-022  3.5908314E-023  8.1671847E-022  3.0303673E+003
 9.4572640E-004   0.957886   0.000072  8.5262679E-022  3.5907685E-023  8.1671911E-022  3.0303143E+003
 9.4576250E-004   0.957887   0.000072  8.5262683E-022  3.5906640E-023  8.1672019E-022  3.0302261E+003
 9.4583460E-004   0.957854   0.000072  8.5262828E-022  3.5934488E-023  8.1669379E-022  3.0325762E+003
 9.4605110E-004   0.957827   0.000072  8.5262992E-022  3.5958135E-023  8.1667179E-022  3.0345718E+003
 9.4641220E-004   0.957804   0.000072  8.5263190E-022  3.5977572E-023  8.1665432E-022  3.0362121E+003
 9.5003830E-004   0.957433   0.000078  8.5266093E-022  3.6295404E-023  8.1636553E-022  3.0630345E+003
 9.5369230E-004   0.957073   0.000080  8.5268642E-022  3.6603403E-023  8.1608301E-022  3.0890271E+003
 9.9184000E-004   0.953120   0.000090  8.5298749E-022  3.9988179E-023  8.1299931E-022  3.3746745E+003
 1.0331670E-003   0.944854   0.000188  7.9103760E-022  4.3622748E-023  7.4741485E-022  3.6814023E+003
 1.0780870E-003   0.934628   0.000196  7.2914976E-022  4.7666211E-023  6.8148355E-022  4.0226375E+003
 1.1270910E-003   0.922084   0.000445  6.6906318E-022  5.2130867E-023  6.1693232E-022  4.3994178E+003
 1.1479630E-003   0.919130   0.000456  6.6932978E-022  5.4128756E-023  6.1520103E-022  4.5680233E+003
 1.1696230E-003   0.915976   0.000468  6.6960902E-022  5.6263225E-023  6.1334579E-022  4.7481550E+003
 1.1921150E-003   0.904909   0.000409  6.1245868E-022  5.8239571E-023  5.5421911E-022  4.9149424E+003
 1.2036890E-003   0.903083   0.000417  6.1261702E-022  5.9372943E-023  5.5324407E-022  5.0105897E+003
 1.2095610E-003   0.902164   0.000420  6.1269673E-022  5.9944021E-023  5.5275271E-022  5.0587839E+003
 1.2101510E-003   0.902073   0.000421  6.1270465E-022  6.0000576E-023  5.5270407E-022  5.0635568E+003
 1.2105060E-003   0.902030   0.000421  6.1270878E-022  6.0026892E-023  5.5268189E-022  5.0657776E+003
