# model = dl07_MW_euv
# Size-integrated extinction, albedo and scattering asymmetry per H
# for the Draine & Li (2007) / Weingartner & Draine (2001) Milky-Way
# dust model.
#
# Model definition: WD01 R_V = 3.1, b_C = 6e-5 size distribution
#   (Draine's "MW 3.1_60"), with the Draine (2003a) x0.93 abundance
#   reduction applied, heated by the MMP83 field at U = 1 for the
#   PAH ionization fraction (WD01b charging).
# Size grid: Draine's 84-point log grid, 3.548 A - 5.012 um.
# Optics:
#   silicate     : Mie on the D03 astrosilicate dielectric function
#     ../data/dielectric/index_silD03
#   carbonaceous : absorption from the DL07 PAH <-> graphite xi-blend
#     (neutral and cation mixed by the ionization fraction, a > 100 A
#     fully ionized); scattering and <cos> from random-orientation D03
#     graphite (1/3 parallel + 2/3 perpendicular), which is the
#     standard DL07 treatment -- PAH scattering is Rayleigh-negligible.
#     ../data/dielectric/index_CpaD03, index_CpeD03
#
# Wavelength range:  6.205399E-05 -  3.981000E+04 um, 1823 points.
#   The floor is set by the D03 dielectric functions: the shorter-reaching
#   of silicate and graphite stops at  6.199200E-05 um, and a shorter floor is
#   refused because (n, k) would freeze at the boundary value there.
#
# How far to trust the EUV band of THIS model:
#   the optics are Mie on the D03 dielectric functions at EVERY
#   wavelength, so nothing changes character across the band, and the
#   result can be checked directly against Draine's own published
#   table kext_albedo_WD_MW_3.1_60_D03.all (2003 vintage), which
#   spans 1e-4 - 1e4 um.  Running this program prints that comparison
#   decade by decade.
#
# Column order follows Draine's kext_albedo tables and MoCHII's
#   par%ion_dust_kext reader: the first four columns are
#   lambda, albedo, <cos>, C_ext/H, and a reader may stop there.
#   Draine's 5th column is K_abs [cm^2/g]; ours is C_abs/H [cm^2/H],
#   so no dust-mass normalization is folded into the first six
#   columns; K_abs is a separate trailing column instead.
#   A host running the Zubko model through an ionizing band needs
#   exactly such a file: that model has no EUV extension of its own
#   (its optics table IS the model definition), so the host reads the
#   ionizing-band optics from a curve file instead.
#
# SCOPE: these are size-integrated TRANSPORT optics, not a dust model.
#   There is no size-resolved Cabs(lambda, a), no grain enthalpy and no
#   Planck integral here, so stochastic heating and thermal emission
#   cannot be computed from this file.  A host that needs emission must
#   build the model (build_astrodust / build_dl07 / build_zubko /
#   build_from_files).  The builder reads this very curve back in, and
#   dust_extinction serves it on the model wavelength grid while
#   dust_emission supplies the re-emitted spectrum, so the absorbed
#   power and the emission refer to one and the same grain.
#
# Units: lambda micron; cross sections cm^2 per H nucleon;
#   albedo and <cos> dimensionless.
#
# K_abs [cm^2/g] = C_abs/H / (M_dust/N_H), M_dust/N_H =  1.750186E-26 g/H.
#   The dust mass per H is this model's own size distribution
#   weighted by the solid density of each grain material:
#   M_dust/N_H = sum_pop rho * sum_a (4/3) pi a^3 dn(a).
#   Densities: 3.5 g/cm^3 astrosilicate, 2.2 g/cm^3 graphite (Draine & Li 2007 sec. 2).
#
#             lambda               albedo                <cos>              C_ext/H              C_abs/H              C_sca/H                K_abs
#           (micron)                                                       (cm^2/H)             (cm^2/H)             (cm^2/H)             (cm^2/g)
 7.428578731250E-005  6.754900520817E-001  9.999995299607E-001  6.944618157575E-025  2.253597676627E-025  4.691020480948E-025  1.287633216030E+001
 7.486915786492E-005  6.739609316631E-001  9.999995235273E-001  7.070762778501E-025  2.305344908733E-025  4.765417869768E-025  1.317199919790E+001
 7.545710965977E-005  6.725230990531E-001  9.999995168340E-001  7.196500298332E-025  2.356687615361E-025  4.839812682970E-025  1.346535490704E+001
 7.604967867382E-005  6.711709193904E-001  9.999995099884E-001  7.321824955858E-025  2.407628968619E-025  4.914195987239E-025  1.375641741214E+001
 7.664690116636E-005  6.698991666533E-001  9.999995030863E-001  7.446731021439E-025  2.458172115886E-025  4.988558905553E-025  1.404520469630E+001
 7.724881368142E-005  6.687029997904E-001  9.999994961570E-001  7.571213074309E-025  2.508320179467E-025  5.062892894843E-025  1.433173459938E+001
 7.785545305002E-005  6.671808089720E-001  9.999994889516E-001  7.710714120741E-025  2.566273635913E-025  5.144440484828E-025  1.466286200636E+001
 7.846685639240E-005  6.654984482382E-001  9.999994813807E-001  7.860004522433E-025  2.629183709608E-025  5.230820812824E-025  1.502230992980E+001
 7.908306112033E-005  6.639211078820E-001  9.999994737568E-001  8.008838820167E-025  2.691601677834E-025  5.317237142333E-025  1.537894612089E+001
 7.970410493936E-005  6.624419916221E-001  9.999994660279E-001  8.157209534504E-025  2.753531404388E-025  5.403678130115E-025  1.573279265614E+001
 8.033002585116E-005  6.610548285163E-001  9.999994582270E-001  8.305109379242E-025  2.814976722738E-025  5.490132656504E-025  1.608387143873E+001
 8.096086215581E-005  6.597538286965E-001  9.999994503689E-001  8.452531367779E-025  2.875941435710E-025  5.576589932069E-025  1.643220419680E+001
 8.159665245418E-005  6.585336326879E-001  9.999994424203E-001  8.599468637236E-025  2.936429316372E-025  5.663039320865E-025  1.677781248845E+001
 8.223743565026E-005  6.573892795100E-001  9.999994340737E-001  8.745914615490E-025  2.996444107757E-025  5.749470507733E-025  1.712071770016E+001
 8.288325095357E-005  6.560270902170E-001  9.999994257463E-001  8.901183342473E-025  3.061765934822E-025  5.839417407651E-025  1.749394560651E+001
 8.353413788153E-005  6.542307240756E-001  9.999994179461E-001  9.073147550754E-025  3.137215658980E-025  5.935931891774E-025  1.792504105879E+001
 8.419013626190E-005  6.525439068247E-001  9.999994100171E-001  9.244548517836E-025  3.212074711177E-025  6.032473806659E-025  1.835276160150E+001
 8.485128623521E-005  6.509595704759E-001  9.999994017847E-001  9.415378445383E-025  3.286347736709E-025  6.129030708674E-025  1.877713377636E+001
 8.551762825721E-005  6.494711986371E-001  9.999993933323E-001  9.585629856077E-025  3.360039343759E-025  6.225590512318E-025  1.919818391306E+001
 8.618920310137E-005  6.480727702853E-001  9.999993847985E-001  9.755295454082E-025  3.433154104204E-025  6.322141349879E-025  1.961593813382E+001
 8.686605186134E-005  6.467587169049E-001  9.999993762531E-001  9.924368190485E-025  3.505696553515E-025  6.418671636970E-025  2.003042235287E+001
 8.754821595347E-005  6.455238853258E-001  9.999993675397E-001  1.009284135923E-024  3.577671191042E-025  6.515170168185E-025  2.044166227805E+001
 8.823573711939E-005  6.443634920129E-001  9.999993586829E-001  1.026070833219E-024  3.649082480734E-025  6.611625851456E-025  2.084968341492E+001
 8.892865742848E-005  6.428696786556E-001  9.999993495143E-001  1.044923954582E-024  3.731740276802E-025  6.717499269015E-025  2.132196347132E+001
 8.962701928055E-005  6.411255869276E-001  9.999993399923E-001  1.065591160121E-024  3.824134021634E-025  6.831777579572E-025  2.184987160697E+001
 9.033086540833E-005  6.394924458418E-001  9.999993303523E-001  1.086191862824E-024  3.915803718130E-025  6.946114910106E-025  2.237364276336E+001
 9.104023888016E-005  6.379629306521E-001  9.999993206004E-001  1.106725087338E-024  4.006755071938E-025  7.060495801446E-025  2.289330954071E+001
 9.175518310259E-005  6.365303058231E-001  9.999993105997E-001  1.127189916562E-024  4.096993742521E-025  7.174905423101E-025  2.340890427538E+001
 9.247574182304E-005  6.351883512224E-001  9.999993001555E-001  1.147585434575E-024  4.186525345003E-025  7.289329000743E-025  2.392045905038E+001
 9.320195913249E-005  6.339313303752E-001  9.999992898236E-001  1.167910778474E-024  4.275355449165E-025  7.403752335578E-025  2.442800568964E+001
 9.393387946816E-005  6.327539343888E-001  9.999992797627E-001  1.188165099507E-024  4.363489580904E-025  7.518161414163E-025  2.493157576637E+001
 9.467154761625E-005  6.316512509997E-001  9.999992694708E-001  1.208347587400E-024  4.450933221763E-025  7.632542652237E-025  2.543120060033E+001
 9.541500871465E-005  6.305594821435E-001  9.999992588147E-001  1.228694647674E-024  4.539295869244E-025  7.747650607500E-025  2.593607634250E+001
 9.616430825573E-005  6.285895970557E-001  9.999992483446E-001  1.252869826518E-024  4.653288871039E-025  7.875409394145E-025  2.658739568414E+001
 9.691949208914E-005  6.267391419020E-001  9.999992377314E-001  1.276958785728E-024  4.766387321167E-025  8.003200536117E-025  2.723360384533E+001
 9.768060642453E-005  6.250003009055E-001  9.999992271222E-001  1.300960587330E-024  4.878598287825E-025  8.131007585476E-025  2.787474121146E+001
 9.844769783450E-005  6.233658814525E-001  9.999992162814E-001  1.324874337329E-024  4.989928782260E-025  8.258814591026E-025  2.851084784255E+001
 9.922081325735E-005  6.218292508283E-001  9.999992053690E-001  1.348699171152E-024  5.100385759617E-025  8.386605951900E-025  2.914196347806E+001
 1.000000000000E-004  6.203842816200E-001  9.999991943980E-001  1.372434245349E-024  5.209976119774E-025  8.514366333715E-025  2.976812754168E+001
 1.007967000000E-004  6.190062749693E-001  9.999991831364E-001  1.396419797276E-024  5.320271802709E-025  8.643926170055E-025  3.039832159274E+001
 1.016230000000E-004  6.176751364053E-001  9.999991713497E-001  1.420998919509E-024  5.432832180695E-025  8.777157014395E-025  3.104145538280E+001
 1.033167000000E-004  6.152270381921E-001  9.999991464231E-001  1.470452962538E-024  5.657905415951E-025  9.046624209433E-025  3.232745144484E+001
 1.078087000000E-004  6.067239119434E-001  9.999990758480E-001  1.632460798137E-024  6.420077965969E-025  9.904530015397E-025  3.668226021097E+001
 1.127091000000E-004  6.006238708409E-001  9.999989959823E-001  1.798335035024E-024  7.182120852193E-025  1.080122949805E-024  4.103632811988E+001
 1.180762000000E-004  5.901463537263E-001  9.999989100086E-001  2.011305399275E-024  8.243408516627E-025  1.186964547612E-024  4.710018442690E+001
 1.239800000000E-004  5.826241853124E-001  9.999988120715E-001  2.229248535946E-024  9.304344238315E-025  1.298814112114E-024  5.316202984628E+001
 1.271590000000E-004  5.776804539984E-001  9.999987525083E-001  2.368730449072E-024  1.000361167852E-024  1.368369281220E-024  5.715741905101E+001
 1.305053000000E-004  5.735977600943E-001  9.999986874526E-001  2.510037224730E-024  1.070285494872E-024  1.439751729858E-024  6.115267015605E+001
 1.340324000000E-004  5.682297319250E-001  9.999986214972E-001  2.673614589746E-024  1.154387288144E-024  1.519227301602E-024  6.595797607503E+001
 1.377556000000E-004  5.638104953420E-001  9.999985487903E-001  2.839304823923E-024  1.238474964720E-024  1.600829859203E-024  7.076247541141E+001
 1.416914000000E-004  5.584351304118E-001  9.999984730520E-001  3.026843230029E-024  1.336547636132E-024  1.690295593898E-024  7.636603236412E+001
 1.458588000000E-004  5.528746095613E-001  9.999983924640E-001  3.230281118322E-024  1.444340706257E-024  1.785940412065E-024  8.252498162956E+001
 1.475952000000E-004  5.504458892703E-001  9.999983575137E-001  3.313544756861E-024  1.489617666534E-024  1.823927090327E-024  8.511196148752E+001
 1.484790000000E-004  5.490971267830E-001  9.999983405206E-001  3.358505661714E-024  1.514359852582E-024  1.844145809131E-024  8.652565040474E+001
 1.484968000000E-004  5.490706297823E-001  9.999983401810E-001  3.359407133242E-024  1.514855342898E-024  1.844551790344E-024  8.655396112741E+001
 1.485057000000E-004  5.490573912050E-001  9.999983400113E-001  3.359857803443E-024  1.515103043065E-024  1.844754760378E-024  8.656811391814E+001
 1.485111000000E-004  5.490493622247E-001  9.999983399081E-001  3.360131223893E-024  1.515253318423E-024  1.844877905469E-024  8.657670016868E+001
 1.485128000000E-004  5.490468351833E-001  9.999983398756E-001  3.360217298083E-024  1.515300625042E-024  1.844916673041E-024  8.657940311672E+001
 1.485137000000E-004  5.490454973569E-001  9.999983398584E-001  3.360262865542E-024  1.515325669280E-024  1.844937196261E-024  8.658083406391E+001
 1.485143000000E-004  5.490446055934E-001  9.999983398469E-001  3.360293244217E-024  1.515342365268E-024  1.844950878949E-024  8.658178801893E+001
 1.485144000000E-004  5.490444569695E-001  9.999983398450E-001  3.360298307314E-024  1.515345147919E-024  1.844953159395E-024  8.658194701068E+001
 1.485148000000E-004  5.490438624792E-001  9.999983398373E-001  3.360318559623E-024  1.515356278487E-024  1.844962281136E-024  8.658258297550E+001
 1.485150000000E-004  5.490435651576E-001  9.999983398335E-001  3.360328685139E-024  1.515361843749E-024  1.844966841390E-024  8.658290095669E+001
 1.485155000000E-004  5.490428220721E-001  9.999983398240E-001  3.360354000348E-024  1.515375756836E-024  1.844978243512E-024  8.658369590569E+001
 1.485164000000E-004  5.490414843954E-001  9.999983398067E-001  3.360399566086E-024  1.515400800160E-024  1.844998765925E-024  8.658512680070E+001
 1.485182000000E-004  5.490388094289E-001  9.999983397723E-001  3.360490697580E-024  1.515450885884E-024  1.845039811696E-024  8.658798853784E+001
 1.485235000000E-004  5.490309339843E-001  9.999983396710E-001  3.360759013505E-024  1.515598353424E-024  1.845160660081E-024  8.659641435870E+001
 1.485680000000E-004  5.489649082323E-001  9.999983388226E-001  3.363011287552E-024  1.516836104697E-024  1.846175182855E-024  8.666713548467E+001
 1.486571000000E-004  5.488332059467E-001  9.999983371227E-001  3.367517642428E-024  1.519312138652E-024  1.848205503776E-024  8.680860809967E+001
 1.493735000000E-004  5.477979638251E-001  9.999983233818E-001  3.403593698885E-024  1.539112000948E-024  1.864481697937E-024  8.793990853672E+001
 1.549750000000E-004  5.400127422220E-001  9.999982105758E-001  3.684816656528E-024  1.694968709251E-024  1.989847947277E-024  9.684505947086E+001
 1.599742000000E-004  5.334669902671E-001  9.999980900855E-001  3.958281743851E-024  1.846669095330E-024  2.111612648522E-024  1.055127315237E+002
 1.653067000000E-004  5.263825806197E-001  9.999979576272E-001  4.251525788427E-024  2.013596672343E-024  2.237929116083E-024  1.150504362819E+002
 1.710069000000E-004  5.005856372808E-001  9.999978049078E-001  4.687192910633E-024  2.340851460406E-024  2.346341450228E-024  1.337487221198E+002
 1.733986000000E-004  5.095463545716E-001  9.999977149005E-001  4.567478464833E-024  2.240136463493E-024  2.327342001340E-024  1.279941911882E+002
 1.738850000000E-004  4.788976036710E-001  9.999976991522E-001  4.871936005532E-024  2.538777527244E-024  2.333158478287E-024  1.450575808670E+002
 1.740070000000E-004  4.234507218273E-001  9.999976676847E-001  5.364952567992E-024  3.093159530506E-024  2.271793037486E-024  1.767331851319E+002
 1.740192000000E-004  4.172990798620E-001  9.999976643531E-001  5.429055807634E-024  3.163515814589E-024  2.265539993045E-024  1.807531168739E+002
 1.740266000000E-004  4.140005518157E-001  9.999976623444E-001  5.463169398084E-024  3.201414252615E-024  2.261755145469E-024  1.829185117066E+002
 1.740290000000E-004  4.129399732708E-001  9.999976616925E-001  5.474233026680E-024  3.213703386965E-024  2.260529639715E-024  1.836206733102E+002
 1.740302000000E-004  4.124113606452E-001  9.999976613665E-001  5.479764796535E-024  3.219847540780E-024  2.259917255755E-024  1.839717304939E+002
 1.740310000000E-004  4.120595709639E-001  9.999976611491E-001  5.483452627211E-024  3.223943490242E-024  2.259509136969E-024  1.842057598698E+002
 1.740312000000E-004  4.119717007326E-001  9.999976610948E-001  5.484374582806E-024  3.224967458473E-024  2.259407124334E-024  1.842642661205E+002
 1.740317000000E-004  4.117521600811E-001  9.999976609589E-001  5.486679468319E-024  3.227527345566E-024  2.259152122753E-024  1.844105298341E+002
 1.740319000000E-004  4.116643977440E-001  9.999976609045E-001  5.487601421076E-024  3.228551287010E-024  2.259050134066E-024  1.844690345543E+002
 1.740327000000E-004  4.113136561534E-001  9.999976606871E-001  5.491289223952E-024  3.232646976253E-024  2.258642247700E-024  1.847030490621E+002
 1.740339000000E-004  4.107884650048E-001  9.999976603609E-001  5.496820900824E-024  3.238790280568E-024  2.258030620256E-024  1.850540577082E+002
 1.740363000000E-004  4.097413886492E-001  9.999976597084E-001  5.507884171736E-024  3.251076062690E-024  2.256808109046E-024  1.857560277762E+002
 1.740437000000E-004  4.079308722761E-001  9.999976574661E-001  5.521395379241E-024  3.269047746006E-024  2.252347633235E-024  1.867828719475E+002
 1.740559000000E-004  4.052270868725E-001  9.999976537154E-001  5.539806324695E-024  3.294926745901E-024  2.244879578794E-024  1.882615147509E+002
 1.741292000000E-004  4.380839063294E-001  9.999976343647E-001  5.029429550779E-024  2.826117406565E-024  2.203312144213E-024  1.614752572225E+002
 1.743741000000E-004  7.434686708257E-001  9.999976376121E-001  2.978320178894E-024  7.640324341985E-025  2.214287744696E-024  4.365435546024E+001
 1.746197000000E-004  7.730213321181E-001  9.999976688862E-001  2.983386704883E-024  6.771651400508E-025  2.306221564832E-024  3.869103771762E+001
