# ZDA BARE-GR-S PAH, neutral: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 28
# lambda stride: every 1 of 1201
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
# density [g/cm^3]:  2.240000E+00
#   lambda[um]     a_eff[um]      Q_abs
  1.055200E-003  9.098320E-004  3.729282E-004
  1.055200E-003  1.010130E-003  4.140218E-004
  1.055200E-003  1.121480E-003  4.596431E-004
  1.055200E-003  1.245100E-003  5.102882E-004
  1.055200E-003  1.382360E-003  5.665179E-004
  1.055200E-003  1.534740E-003  6.289373E-004
  1.055200E-003  1.703920E-003  6.982341E-004
  1.055200E-003  1.891750E-003  7.751624E-004
  1.055200E-003  2.100290E-003  8.605654E-004
  1.055200E-003  2.331820E-003  9.553742E-004
  1.055200E-003  2.588860E-003  1.060617E-003
  1.055200E-003  2.874240E-003  1.177448E-003
  1.055200E-003  3.191090E-003  1.307145E-003
  1.055200E-003  3.542850E-003  1.451110E-003
  1.055200E-003  3.933400E-003  1.610923E-003
  1.055200E-003  4.367000E-003  1.788318E-003
  1.055200E-003  4.848390E-003  1.985223E-003
  1.055200E-003  5.382850E-003  2.203785E-003
  1.055200E-003  5.976230E-003  2.446378E-003
  1.069470E-003  3.500000E-004  1.493999E-004
  1.069470E-003  3.941330E-004  1.682300E-004
  1.069470E-003  4.375800E-004  1.867651E-004
  1.069470E-003  4.858170E-004  2.073430E-004
  1.069470E-003  5.393710E-004  2.301902E-004
  1.069470E-003  5.988280E-004  2.555568E-004
  1.069470E-003  6.648400E-004  2.837180E-004
  1.069470E-003  7.381280E-004  3.149795E-004
  1.069470E-003  8.194950E-004  3.496870E-004
  1.069470E-003  9.098320E-004  3.882212E-004
  1.069470E-003  1.010130E-003  4.309995E-004
  1.069470E-003  1.121480E-003  4.784903E-004
  1.069470E-003  1.245100E-003  5.312117E-004
  1.069470E-003  1.382360E-003  5.897454E-004
  1.069470E-003  1.534740E-003  6.547233E-004
  1.069470E-003  1.703920E-003  7.268595E-004
  1.069470E-003  1.891750E-003  8.069398E-004
  1.069470E-003  2.100290E-003  8.958421E-004
  1.069470E-003  2.331820E-003  9.945349E-004
  1.069470E-003  2.588860E-003  1.104088E-003
  1.069470E-003  2.874240E-003  1.225705E-003
  1.069470E-003  3.191090E-003  1.360713E-003
  1.069470E-003  3.542850E-003  1.510572E-003
  1.069470E-003  3.933400E-003  1.676927E-003
  1.069470E-003  4.367000E-003  1.861582E-003
  1.069470E-003  4.848390E-003  2.066544E-003
  1.069470E-003  5.382850E-003  2.294047E-003
  1.069470E-003  5.976230E-003  2.546562E-003
  1.083930E-003  3.500000E-004  1.552074E-004
  1.083930E-003  3.941330E-004  1.747693E-004
  1.083930E-003  4.375800E-004  1.940247E-004
  1.083930E-003  4.858170E-004  2.154020E-004
  1.083930E-003  5.393710E-004  2.391365E-004
  1.083930E-003  5.988280E-004  2.654884E-004
  1.083930E-003  6.648400E-004  2.947440E-004
  1.083930E-003  7.381280E-004  3.272201E-004
  1.083930E-003  8.194950E-004  3.632753E-004
  1.083930E-003  9.098320E-004  4.033063E-004
  1.083930E-003  1.010130E-003  4.477465E-004
  1.083930E-003  1.121480E-003  4.970813E-004
  1.083930E-003  1.245100E-003  5.518506E-004
  1.083930E-003  1.382360E-003  6.126570E-004
  1.083930E-003  1.534740E-003  6.801585E-004
  1.083930E-003  1.703920E-003  7.550950E-004
  1.083930E-003  1.891750E-003  8.382844E-004
  1.083930E-003  2.100290E-003  9.306382E-004
  1.083930E-003  2.331820E-003  1.033162E-003
  1.083930E-003  2.588860E-003  1.146967E-003
  1.083930E-003  2.874240E-003  1.273303E-003
  1.083930E-003  3.191090E-003  1.413549E-003
  1.083930E-003  3.542850E-003  1.569221E-003
  1.083930E-003  3.933400E-003  1.742029E-003
  1.083930E-003  4.367000E-003  1.933845E-003
  1.083930E-003  4.848390E-003  2.146753E-003
  1.083930E-003  5.382850E-003  2.383074E-003
  1.083930E-003  5.976230E-003  2.645373E-003
  1.098580E-003  3.500000E-004  1.609351E-004
  1.098580E-003  3.941330E-004  1.812189E-004
  1.098580E-003  4.375800E-004  2.011847E-004
  1.098580E-003  4.858170E-004  2.233503E-004
  1.098580E-003  5.393710E-004  2.479599E-004
  1.098580E-003  5.988280E-004  2.752836E-004
  1.098580E-003  6.648400E-004  3.056184E-004
  1.098580E-003  7.381280E-004  3.392924E-004
  1.098580E-003  8.194950E-004  3.766768E-004
  1.098580E-003  9.098320E-004  4.181839E-004
  1.098580E-003  1.010130E-003  4.642632E-004
  1.098580E-003  1.121480E-003  5.154164E-004
  1.098580E-003  1.245100E-003  5.722054E-004
  1.098580E-003  1.382360E-003  6.352531E-004
  1.098580E-003  1.534740E-003  7.052433E-004
  1.098580E-003  1.703920E-003  7.829414E-004
  1.098580E-003  1.891750E-003  8.691973E-004
  1.098580E-003  2.100290E-003  9.649547E-004
  1.098580E-003  2.331820E-003  1.071256E-003
  1.098580E-003  2.588860E-003  1.189254E-003
  1.098580E-003  2.874240E-003  1.320244E-003
  1.098580E-003  3.191090E-003  1.465656E-003
  1.098580E-003  3.542850E-003  1.627061E-003
  1.098580E-003  3.933400E-003  1.806231E-003
  1.098580E-003  4.367000E-003  2.005107E-003
  1.098580E-003  4.848390E-003  2.225852E-003
  1.098580E-003  5.382850E-003  2.470867E-003
  1.098580E-003  5.976230E-003  2.742814E-003
  1.113440E-003  3.500000E-004  1.665909E-004
  1.113440E-003  3.941330E-004  1.875875E-004
  1.113440E-003  4.375800E-004  2.082548E-004
  1.113440E-003  4.858170E-004  2.311989E-004
  1.113440E-003  5.393710E-004  2.566724E-004
  1.113440E-003  5.988280E-004  2.849555E-004
  1.113440E-003  6.648400E-004  3.163559E-004
  1.113440E-003  7.381280E-004  3.512128E-004
  1.113440E-003  8.194950E-004  3.899096E-004
  1.113440E-003  9.098320E-004  4.328740E-004
  1.113440E-003  1.010130E-003  4.805718E-004
  1.113440E-003  1.121480E-003  5.335205E-004
  1.113440E-003  1.245100E-003  5.923035E-004
  1.113440E-003  1.382360E-003  6.575643E-004
  1.113440E-003  1.534740E-003  7.300116E-004
  1.113440E-003  1.703920E-003  8.104364E-004
  1.113440E-003  1.891750E-003  8.997200E-004
  1.113440E-003  2.100290E-003  9.988378E-004
  1.113440E-003  2.331820E-003  1.108869E-003
  1.113440E-003  2.588860E-003  1.231007E-003
  1.113440E-003  2.874240E-003  1.366591E-003
  1.113440E-003  3.191090E-003  1.517103E-003
  1.113440E-003  3.542850E-003  1.684168E-003
  1.113440E-003  3.933400E-003  1.869619E-003
  1.113440E-003  4.367000E-003  2.075467E-003
  1.113440E-003  4.848390E-003  2.303947E-003
  1.113440E-003  5.382850E-003  2.557546E-003
  1.113440E-003  5.976230E-003  2.839017E-003
  1.128500E-003  3.500000E-004  1.723748E-004
  1.128500E-003  3.941330E-004  1.941004E-004
  1.128500E-003  4.375800E-004  2.154850E-004
  1.128500E-003  4.858170E-004  2.392251E-004
  1.128500E-003  5.393710E-004  2.655822E-004
  1.128500E-003  5.988280E-004  2.948463E-004
  1.128500E-003  6.648400E-004  3.273364E-004
  1.128500E-003  7.381280E-004  3.634031E-004
  1.128500E-003  8.194950E-004  4.034420E-004
  1.128500E-003  9.098320E-004  4.478964E-004
  1.128500E-003  1.010130E-003  4.972493E-004
  1.128500E-003  1.121480E-003  5.520342E-004
  1.128500E-003  1.245100E-003  6.128560E-004
  1.128500E-003  1.382360E-003  6.803802E-004
  1.128500E-003  1.534740E-003  7.553396E-004
  1.128500E-003  1.703920E-003  8.385529E-004
  1.128500E-003  1.891750E-003  9.309325E-004
  1.128500E-003  2.100290E-003  1.033486E-003
  1.128500E-003  2.331820E-003  1.147330E-003
  1.128500E-003  2.588860E-003  1.273701E-003
  1.128500E-003  2.874240E-003  1.413985E-003
  1.128500E-003  3.191090E-003  1.569712E-003
  1.128500E-003  3.542850E-003  1.742564E-003
  1.128500E-003  3.933400E-003  1.934437E-003
  1.128500E-003  4.367000E-003  2.147413E-003
  1.128500E-003  4.848390E-003  2.383802E-003
  1.128500E-003  5.382850E-003  2.646177E-003
  1.128500E-003  5.976230E-003  2.937385E-003
  1.143760E-003  3.500000E-004  1.801139E-004
  1.143760E-003  3.941330E-004  2.028148E-004
  1.143760E-003  4.375800E-004  2.251593E-004
  1.143760E-003  4.858170E-004  2.499647E-004
  1.143760E-003  5.393710E-004  2.775041E-004
  1.143760E-003  5.988280E-004  3.080809E-004
  1.143760E-003  6.648400E-004  3.420289E-004
  1.143760E-003  7.381280E-004  3.797142E-004
  1.143760E-003  8.194950E-004  4.215492E-004
  1.143760E-003  9.098320E-004  4.679973E-004
  1.143760E-003  1.010130E-003  5.195647E-004
  1.143760E-003  1.121480E-003  5.768067E-004
  1.143760E-003  1.245100E-003  6.403563E-004
  1.143760E-003  1.382360E-003  7.109092E-004
  1.143760E-003  1.534740E-003  7.892297E-004
  1.143760E-003  1.703920E-003  8.761744E-004
  1.143760E-003  1.891750E-003  9.726963E-004
  1.143760E-003  2.100290E-003  1.079847E-003
  1.143760E-003  2.331820E-003  1.198794E-003
  1.143760E-003  2.588860E-003  1.330829E-003
  1.143760E-003  2.874240E-003  1.477398E-003
  1.143760E-003  3.191090E-003  1.640102E-003
  1.143760E-003  3.542850E-003  1.820698E-003
  1.143760E-003  3.933400E-003  2.021164E-003
  1.143760E-003  4.367000E-003  2.243675E-003
  1.143760E-003  4.848390E-003  2.490645E-003
  1.143760E-003  5.382850E-003  2.764761E-003
  1.143760E-003  5.976230E-003  3.068997E-003
  1.159220E-003  3.500000E-004  1.877464E-004
  1.159220E-003  3.941330E-004  2.114092E-004
  1.159220E-003  4.375800E-004  2.347005E-004
  1.159220E-003  4.858170E-004  2.605565E-004
  1.159220E-003  5.393710E-004  2.892618E-004
  1.159220E-003  5.988280E-004  3.211331E-004
  1.159220E-003  6.648400E-004  3.565189E-004
  1.159220E-003  7.381280E-004  3.958005E-004
  1.159220E-003  8.194950E-004  4.394067E-004
  1.159220E-003  9.098320E-004  4.878209E-004
  1.159220E-003  1.010130E-003  5.415720E-004
  1.159220E-003  1.121480E-003  6.012374E-004
  1.159220E-003  1.245100E-003  6.674766E-004
  1.159220E-003  1.382360E-003  7.410166E-004
  1.159220E-003  1.534740E-003  8.226513E-004
  1.159220E-003  1.703920E-003  9.132759E-004
  1.159220E-003  1.891750E-003  1.013882E-003
  1.159220E-003  2.100290E-003  1.125566E-003
  1.159220E-003  2.331820E-003  1.249545E-003
  1.159220E-003  2.588860E-003  1.387165E-003
  1.159220E-003  2.874240E-003  1.539933E-003
  1.159220E-003  3.191090E-003  1.709516E-003
  1.159220E-003  3.542850E-003  1.897746E-003
  1.159220E-003  3.933400E-003  2.106687E-003
  1.159220E-003  4.367000E-003  2.338599E-003
  1.159220E-003  4.848390E-003  2.596002E-003
  1.159220E-003  5.382850E-003  2.881695E-003
  1.159220E-003  5.976230E-003  3.198774E-003
  1.174900E-003  3.500000E-004  1.952823E-004
  1.174900E-003  3.941330E-004  2.198948E-004
  1.174900E-003  4.375800E-004  2.441208E-004
  1.174900E-003  4.858170E-004  2.710141E-004
  1.174900E-003  5.393710E-004  3.008705E-004
  1.174900E-003  5.988280E-004  3.340197E-004
  1.174900E-003  6.648400E-004  3.708249E-004
  1.174900E-003  7.381280E-004  4.116825E-004
  1.174900E-003  8.194950E-004  4.570376E-004
  1.174900E-003  9.098320E-004  5.073926E-004
  1.174900E-003  1.010130E-003  5.632996E-004
  1.174900E-003  1.121480E-003  6.253576E-004
  1.174900E-003  1.245100E-003  6.942519E-004
  1.174900E-003  1.382360E-003  7.707409E-004
  1.174900E-003  1.534740E-003  8.556473E-004
  1.174900E-003  1.703920E-003  9.499051E-004
  1.174900E-003  1.891750E-003  1.054543E-003
  1.174900E-003  2.100290E-003  1.170702E-003
  1.174900E-003  2.331820E-003  1.299649E-003
  1.174900E-003  2.588860E-003  1.442782E-003
  1.174900E-003  2.874240E-003  1.601670E-003
  1.174900E-003  3.191090E-003  1.778044E-003
  1.174900E-003  3.542850E-003  1.973810E-003
  1.174900E-003  3.933400E-003  2.191114E-003
  1.174900E-003  4.367000E-003  2.432308E-003
  1.174900E-003  4.848390E-003  2.700009E-003
  1.174900E-003  5.382850E-003  2.997127E-003
  1.174900E-003  5.976230E-003  3.326883E-003
  1.190780E-003  3.500000E-004  2.027119E-004
  1.190780E-003  3.941330E-004  2.282607E-004
  1.190780E-003  4.375800E-004  2.534082E-004
  1.190780E-003  4.858170E-004  2.813242E-004
  1.190780E-003  5.393710E-004  3.123155E-004
  1.190780E-003  5.988280E-004  3.467244E-004
  1.190780E-003  6.648400E-004  3.849287E-004
  1.190780E-003  7.381280E-004  4.273401E-004
  1.190780E-003  8.194950E-004  4.744195E-004
  1.190780E-003  9.098320E-004  5.266876E-004
  1.190780E-003  1.010130E-003  5.847197E-004
  1.190780E-003  1.121480E-003  6.491366E-004
  1.190780E-003  1.245100E-003  7.206481E-004
  1.190780E-003  1.382360E-003  8.000445E-004
  1.190780E-003  1.534740E-003  8.881758E-004
  1.190780E-003  1.703920E-003  9.860154E-004
  1.190780E-003  1.891750E-003  1.094628E-003
  1.190780E-003  2.100290E-003  1.215198E-003
  1.190780E-003  2.331820E-003  1.349042E-003
  1.190780E-003  2.588860E-003  1.497610E-003
  1.190780E-003  2.874240E-003  1.662529E-003
  1.190780E-003  3.191090E-003  1.845598E-003
  1.190780E-003  3.542850E-003  2.048792E-003
  1.190780E-003  3.933400E-003  2.274339E-003
  1.190780E-003  4.367000E-003  2.524681E-003
  1.190780E-003  4.848390E-003  2.802532E-003
  1.190780E-003  5.382850E-003  3.110911E-003
  1.190780E-003  5.976230E-003  3.453161E-003
  1.206890E-003  3.500000E-004  2.100491E-004
  1.206890E-003  3.941330E-004  2.365227E-004
  1.206890E-003  4.375800E-004  2.625803E-004
  1.206890E-003  4.858170E-004  2.915063E-004
  1.206890E-003  5.393710E-004  3.236183E-004
  1.206890E-003  5.988280E-004  3.592711E-004
  1.206890E-003  6.648400E-004  3.988569E-004
  1.206890E-003  7.381280E-004  4.428027E-004
  1.206890E-003  8.194950E-004  4.915849E-004
  1.206890E-003  9.098320E-004  5.457422E-004
  1.206890E-003  1.010130E-003  6.058726E-004
  1.206890E-003  1.121480E-003  6.726193E-004
  1.206890E-003  1.245100E-003  7.467150E-004
  1.206890E-003  1.382360E-003  8.289822E-004
  1.206890E-003  1.534740E-003  9.202981E-004
  1.206890E-003  1.703920E-003  1.021675E-003
  1.206890E-003  1.891750E-003  1.134211E-003
  1.206890E-003  2.100290E-003  1.259137E-003
  1.206890E-003  2.331820E-003  1.397818E-003
  1.206890E-003  2.588860E-003  1.551752E-003
  1.206890E-003  2.874240E-003  1.722626E-003
  1.206890E-003  3.191090E-003  1.912305E-003
  1.206890E-003  3.542850E-003  2.122834E-003
  1.206890E-003  3.933400E-003  2.356520E-003
  1.206890E-003  4.367000E-003  2.615894E-003
  1.206890E-003  4.848390E-003  2.903765E-003
  1.206890E-003  5.382850E-003  3.223264E-003
  1.206890E-003  5.976230E-003  3.577849E-003
  1.223210E-003  3.500000E-004  2.172848E-004
  1.223210E-003  3.941330E-004  2.446703E-004
  1.223210E-003  4.375800E-004  2.716255E-004
  1.223210E-003  4.858170E-004  3.015475E-004
  1.223210E-003  5.393710E-004  3.347646E-004
  1.223210E-003  5.988280E-004  3.716440E-004
  1.223210E-003  6.648400E-004  4.125919E-004
  1.223210E-003  7.381280E-004  4.580508E-004
  1.223210E-003  8.194950E-004  5.085123E-004
  1.223210E-003  9.098320E-004  5.645325E-004
  1.223210E-003  1.010130E-003  6.267318E-004
  1.223210E-003  1.121480E-003  6.957759E-004
  1.223210E-003  1.245100E-003  7.724198E-004
  1.223210E-003  1.382360E-003  8.575177E-004
  1.223210E-003  1.534740E-003  9.519741E-004
  1.223210E-003  1.703920E-003  1.056838E-003
  1.223210E-003  1.891750E-003  1.173243E-003
  1.223210E-003  2.100290E-003  1.302466E-003
  1.223210E-003  2.331820E-003  1.445914E-003
  1.223210E-003  2.588860E-003  1.605139E-003
  1.223210E-003  2.874240E-003  1.781885E-003
  1.223210E-003  3.191090E-003  1.978081E-003
  1.223210E-003  3.542850E-003  2.195842E-003
  1.223210E-003  3.933400E-003  2.437553E-003
  1.223210E-003  4.367000E-003  2.705832E-003
  1.223210E-003  4.848390E-003  3.003583E-003
  1.223210E-003  5.382850E-003  3.334043E-003
  1.223210E-003  5.976230E-003  3.700788E-003
  1.239750E-003  3.500000E-004  2.244236E-004
  1.239750E-003  3.941330E-004  2.527087E-004
  1.239750E-003  4.375800E-004  2.805494E-004
  1.239750E-003  4.858170E-004  3.114541E-004
  1.239750E-003  5.393710E-004  3.457616E-004
  1.239750E-003  5.988280E-004  3.838510E-004
  1.239750E-003  6.648400E-004  4.261426E-004
  1.239750E-003  7.381280E-004  4.730941E-004
  1.239750E-003  8.194950E-004  5.252125E-004
  1.239750E-003  9.098320E-004  5.830705E-004
  1.239750E-003  1.010130E-003  6.473104E-004
  1.239750E-003  1.121480E-003  7.186212E-004
  1.239750E-003  1.245100E-003  7.977789E-004
  1.239750E-003  1.382360E-003  8.856690E-004
  1.239750E-003  1.534740E-003  9.832238E-004
  1.239750E-003  1.703920E-003  1.091527E-003
  1.239750E-003  1.891750E-003  1.211749E-003
  1.239750E-003  2.100290E-003  1.345210E-003
  1.239750E-003  2.331820E-003  1.493361E-003
  1.239750E-003  2.588860E-003  1.657805E-003
  1.239750E-003  2.874240E-003  1.840344E-003
  1.239750E-003  3.191090E-003  2.042968E-003
  1.239750E-003  3.542850E-003  2.267863E-003
  1.239750E-003  3.933400E-003  2.517490E-003
  1.239750E-003  4.367000E-003  2.794551E-003
  1.239750E-003  4.848390E-003  3.102048E-003
  1.239750E-003  5.382850E-003  3.443319E-003
  1.239750E-003  5.976230E-003  3.822058E-003
  1.256510E-003  3.500000E-004  2.336409E-004
  1.256510E-003  3.941330E-004  2.630875E-004
  1.256510E-003  4.375800E-004  2.920715E-004
  1.256510E-003  4.858170E-004  3.242451E-004
  1.256510E-003  5.393710E-004  3.599606E-004
  1.256510E-003  5.988280E-004  3.996125E-004
  1.256510E-003  6.648400E-004  4.436390E-004
  1.256510E-003  7.381280E-004  4.925176E-004
  1.256510E-003  8.194950E-004  5.467752E-004
  1.256510E-003  9.098320E-004  6.070065E-004
  1.256510E-003  1.010130E-003  6.738811E-004
  1.256510E-003  1.121480E-003  7.481182E-004
  1.256510E-003  1.245100E-003  8.305222E-004
  1.256510E-003  1.382360E-003  9.220170E-004
  1.256510E-003  1.534740E-003  1.023573E-003
  1.256510E-003  1.703920E-003  1.136317E-003
  1.256510E-003  1.891750E-003  1.261467E-003
  1.256510E-003  2.100290E-003  1.400400E-003
  1.256510E-003  2.331820E-003  1.554623E-003
  1.256510E-003  2.588860E-003  1.725804E-003
  1.256510E-003  2.874240E-003  1.915821E-003
  1.256510E-003  3.191090E-003  2.126745E-003
  1.256510E-003  3.542850E-003  2.360849E-003
  1.256510E-003  3.933400E-003  2.620696E-003
  1.256510E-003  4.367000E-003  2.909096E-003
  1.256510E-003  4.848390E-003  3.229173E-003
  1.256510E-003  5.382850E-003  3.584399E-003
  1.256510E-003  5.976230E-003  3.978620E-003
  1.273500E-003  3.500000E-004  2.427486E-004
  1.273500E-003  3.941330E-004  2.733429E-004
  1.273500E-003  4.375800E-004  3.034567E-004
  1.273500E-003  4.858170E-004  3.368841E-004
  1.273500E-003  5.393710E-004  3.739907E-004
  1.273500E-003  5.988280E-004  4.151864E-004
  1.273500E-003  6.648400E-004  4.609270E-004
  1.273500E-003  7.381280E-004  5.117094E-004
  1.273500E-003  8.194950E-004  5.680809E-004
  1.273500E-003  9.098320E-004  6.306572E-004
  1.273500E-003  1.010130E-003  7.001346E-004
  1.273500E-003  1.121480E-003  7.772630E-004
  1.273500E-003  1.245100E-003  8.628746E-004
  1.273500E-003  1.382360E-003  9.579302E-004
  1.273500E-003  1.534740E-003  1.063439E-003
  1.273500E-003  1.703920E-003  1.180570E-003
  1.273500E-003  1.891750E-003  1.310590E-003
  1.273500E-003  2.100290E-003  1.454929E-003
  1.273500E-003  2.331820E-003  1.615149E-003
  1.273500E-003  2.588860E-003  1.792987E-003
  1.273500E-003  2.874240E-003  1.990392E-003
  1.273500E-003  3.191090E-003  2.209515E-003
  1.273500E-003  3.542850E-003  2.452717E-003
  1.273500E-003  3.933400E-003  2.722659E-003
  1.273500E-003  4.367000E-003  3.022260E-003
  1.273500E-003  4.848390E-003  3.354763E-003
  1.273500E-003  5.382850E-003  3.723775E-003
  1.273500E-003  5.976230E-003  4.133289E-003
  1.290720E-003  3.500000E-004  2.517348E-004
  1.290720E-003  3.941330E-004  2.834615E-004
  1.290720E-003  4.375800E-004  3.146898E-004
  1.290720E-003  4.858170E-004  3.493543E-004
  1.290720E-003  5.393710E-004  3.878336E-004
  1.290720E-003  5.988280E-004  4.305524E-004
  1.290720E-003  6.648400E-004  4.779838E-004
  1.290720E-003  7.381280E-004  5.306444E-004
  1.290720E-003  8.194950E-004  5.891015E-004
  1.290720E-003  9.098320E-004  6.539915E-004
  1.290720E-003  1.010130E-003  7.260365E-004
  1.290720E-003  1.121480E-003  8.060172E-004
  1.290720E-003  1.245100E-003  8.947935E-004
  1.290720E-003  1.382360E-003  9.933616E-004
