# ZDA BARE-GR-S silicate: Mie on the D03 astrosilicate dielectric function
# a_eff stride: every 1 of 121
# lambda stride: every 1 of 865
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
# density [g/cm^3]:  3.500000E+00
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.495110E-002  1.242600E-002  1.898699E+000  1.521865E+000  3.768332E-001  1.984692E-001  1.220734E-001
  9.495110E-002  1.379570E-002  2.082539E+000  1.589651E+000  4.928883E-001  2.366766E-001  1.563253E-001
  9.495110E-002  1.531650E-002  2.240575E+000  1.626280E+000  6.142956E-001  2.741687E-001  2.010721E-001
  9.495110E-002  1.700490E-002  2.364332E+000  1.636175E+000  7.281565E-001  3.079756E-001  2.583010E-001
  9.495110E-002  1.887950E-002  2.456099E+000  1.631247E+000  8.248516E-001  3.358382E-001  3.285251E-001
  9.495110E-002  2.096060E-002  2.528402E+000  1.625067E+000  9.033348E-001  3.572750E-001  4.091080E-001
  9.495110E-002  2.327120E-002  2.595868E+000  1.624422E+000  9.714457E-001  3.742278E-001  4.923428E-001
  9.495110E-002  2.583650E-002  2.660771E+000  1.622076E+000  1.038695E+000  3.903736E-001  5.653379E-001
  9.495110E-002  2.868460E-002  2.707360E+000  1.602699E+000  1.104661E+000  4.080215E-001  6.176618E-001
  9.495110E-002  3.184660E-002  2.723962E+000  1.565868E+000  1.158094E+000  4.251506E-001  6.525947E-001
  9.495110E-002  3.535720E-002  2.725043E+000  1.530459E+000  1.194584E+000  4.383725E-001  6.830349E-001
  9.495110E-002  3.925480E-002  2.725469E+000  1.501389E+000  1.224080E+000  4.491264E-001  7.136153E-001
  9.495110E-002  4.358200E-002  2.714040E+000  1.463640E+000  1.250400E+000  4.607154E-001  7.373181E-001
  9.495110E-002  4.838630E-002  2.691798E+000  1.423834E+000  1.267964E+000  4.710472E-001  7.549955E-001
  9.495110E-002  5.372010E-002  2.670621E+000  1.388789E+000  1.281832E+000  4.799751E-001  7.719851E-001
  9.495110E-002  5.964200E-002  2.643431E+000  1.350050E+000  1.293381E+000  4.892811E-001  7.852622E-001
  9.495110E-002  6.621660E-002  2.616619E+000  1.314907E+000  1.301712E+000  4.974785E-001  7.967999E-001
  9.495110E-002  7.351590E-002  2.588128E+000  1.279277E+000  1.308851E+000  5.057135E-001  8.064742E-001
  9.495110E-002  8.161990E-002  2.560368E+000  1.246173E+000  1.314195E+000  5.132837E-001  8.147953E-001
  9.495110E-002  9.061730E-002  2.532326E+000  1.214017E+000  1.318310E+000  5.205923E-001  8.217487E-001
  9.495110E-002  1.006060E-001  2.504950E+000  1.183598E+000  1.321353E+000  5.274966E-001  8.277444E-001
  9.495110E-002  1.116970E-001  2.478277E+000  1.154926E+000  1.323351E+000  5.339803E-001  8.328412E-001
  9.495110E-002  1.240100E-001  2.452341E+000  1.127864E+000  1.324477E+000  5.400869E-001  8.371760E-001
  9.495110E-002  1.376800E-001  2.427259E+000  1.102402E+000  1.324857E+000  5.458244E-001  8.408749E-001
  9.495110E-002  1.528570E-001  2.403105E+000  1.078512E+000  1.324593E+000  5.512006E-001  8.440325E-001
  9.495110E-002  1.697070E-001  2.379921E+000  1.056144E+000  1.323777E+000  5.562274E-001  8.467266E-001
  9.495110E-002  1.884140E-001  2.357735E+000  1.035239E+000  1.322497E+000  5.609182E-001  8.490241E-001
  9.495110E-002  2.091840E-001  2.336548E+000  1.015721E+000  1.320827E+000  5.652898E-001  8.509818E-001
