# ZDA BARE-GR-S graphite: Mie on the D03 graphite dielectric functions, 1/3 E||c + 2/3 E-perp-c, free-electron term per radius
# a_eff stride: every 1 of 121
# lambda stride: every 1 of 865
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
# density [g/cm^3]:  2.240000E+00
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.495110E-002  5.372010E-002  2.858868E+000  1.296385E+000  1.562483E+000  5.465390E-001  7.067439E-001
  9.495110E-002  5.964200E-002  2.814661E+000  1.252600E+000  1.562061E+000  5.549731E-001  7.185386E-001
  9.495110E-002  6.621660E-002  2.775510E+000  1.215218E+000  1.560292E+000  5.621640E-001  7.298805E-001
  9.495110E-002  7.351590E-002  2.734134E+000  1.176887E+000  1.557247E+000  5.695577E-001  7.386248E-001
  9.495110E-002  8.161990E-002  2.695546E+000  1.142259E+000  1.553287E+000  5.762422E-001  7.464964E-001
  9.495110E-002  9.061730E-002  2.657240E+000  1.109050E+000  1.548190E+000  5.826307E-001  7.528113E-001
  9.495110E-002  1.006060E-001  2.620297E+000  1.077583E+000  1.542713E+000  5.887553E-001  7.582199E-001
  9.495110E-002  1.116970E-001  2.584908E+000  1.048213E+000  1.536695E+000  5.944875E-001  7.627841E-001
  9.495110E-002  1.240100E-001  2.550893E+000  1.020608E+000  1.530285E+000  5.999018E-001  7.665822E-001
  9.495110E-002  1.376800E-001  2.518297E+000  9.946616E-001  1.523635E+000  6.050261E-001  7.697470E-001
  9.495110E-002  1.528570E-001  2.487157E+000  9.703223E-001  1.516834E+000  6.098668E-001  7.723778E-001
  9.495110E-002  1.697070E-001  2.457479E+000  9.475268E-001  1.509952E+000  6.144314E-001  7.745530E-001
  9.495110E-002  1.884140E-001  2.429255E+000  9.262019E-001  1.503053E+000  6.187301E-001  7.763412E-001
  9.495110E-002  2.091840E-001  2.402444E+000  9.062525E-001  1.496191E+000  6.227789E-001  7.777981E-001
