# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  2.72300E-001   7.07524E-035   6.02502E-037   7.01499E-035
  2.75400E-001   9.47391E-035   7.82932E-037   9.39561E-035
  2.78600E-001   1.27421E-034   1.01935E-036   1.26402E-034
  2.81800E-001   1.70509E-034   1.31896E-036   1.69190E-034
  2.85100E-001   2.29036E-034   1.70906E-036   2.27327E-034
  2.88400E-001   3.06007E-034   2.20083E-036   3.03806E-034
  2.91700E-001   4.06677E-034   2.81720E-036   4.03860E-034
  2.95100E-001   5.42146E-034   3.61048E-036   5.38535E-034
  2.98500E-001   7.18766E-034   4.60065E-036   7.14165E-034
  3.02000E-001   9.55415E-034   5.86772E-036   9.49548E-034
  3.05500E-001   1.21831E-033   7.44016E-036   1.21087E-033
  3.09000E-001   1.58175E-033   9.38026E-036   1.57237E-033
  3.12600E-001   2.05484E-033   1.18354E-035   2.04300E-033
  3.16200E-001   2.65147E-033   1.48493E-035   2.63662E-033
  3.19900E-001   3.42229E-033   1.86472E-035   3.40365E-033
  3.23600E-001   4.38776E-033   2.32848E-035   4.36448E-033
  3.27300E-001   5.58925E-033   2.89159E-035   5.56033E-033
  3.31100E-001   7.11962E-033   3.59348E-035   7.08368E-033
  3.35000E-001   9.06579E-033   4.46686E-035   9.02112E-033
  3.38800E-001   1.13996E-032   5.49320E-035   1.13447E-032
  3.42800E-001   1.44120E-032   6.79390E-035   1.43441E-032
  3.46700E-001   1.79975E-032   8.31580E-035   1.79144E-032
  3.50700E-001   2.24566E-032   1.01813E-034   2.23548E-032
  3.54800E-001   2.79849E-032   1.24652E-034   2.78602E-032
  3.58900E-001   3.46344E-032   1.51860E-034   3.44826E-032
  3.63100E-001   4.27759E-032   1.85008E-034   4.25909E-032
  3.67300E-001   5.24320E-032   2.24265E-034   5.22077E-032
  3.71500E-001   6.37556E-032   2.70650E-034   6.34850E-032
  3.75800E-001   7.71904E-032   3.26531E-034   7.68639E-032
  3.80200E-001   9.28954E-032   3.93903E-034   9.25015E-032
  3.84600E-001   1.10455E-031   4.72909E-034   1.09982E-031
  3.89100E-001   1.29990E-031   5.67593E-034   1.29422E-031
  3.93600E-001   1.50616E-031   6.78283E-034   1.49938E-031
  3.98100E-001   1.71995E-031   8.06921E-034   1.71188E-031
  4.02700E-001   1.94984E-031   9.59640E-034   1.94025E-031
  4.07400E-001   2.20967E-031   1.14058E-033   2.19826E-031
  4.12100E-001   2.51239E-031   1.34984E-033   2.49889E-031
  4.16900E-001   2.88259E-031   1.59671E-033   2.86662E-031
  4.21700E-001   3.32987E-031   1.88106E-033   3.31106E-031
  4.26600E-001   3.88125E-031   2.21464E-033   3.85911E-031
  4.31500E-001   4.54193E-031   2.59712E-033   4.51596E-031
  4.36500E-001   5.33684E-031   3.04282E-033   5.30641E-031
  4.41600E-001   6.27282E-031   3.56312E-033   6.23719E-031
  4.46700E-001   7.32242E-031   4.15609E-033   7.28086E-031
  4.51900E-001   8.47997E-031   4.84333E-033   8.43154E-031
  4.57100E-001   9.67536E-031   5.62383E-033   9.61912E-031
  4.62400E-001   1.08603E-030   6.52357E-033   1.07950E-030
  4.67700E-001   1.19276E-030   7.54133E-033   1.18522E-030
  4.73200E-001   1.28466E-030   8.73200E-033   1.27593E-030
  4.78600E-001   1.35606E-030   1.00484E-032   1.34601E-030
  4.84200E-001   1.41752E-030   1.15834E-032   1.40593E-030
  4.89800E-001   1.47531E-030   1.33051E-032   1.46201E-030
  4.95400E-001   1.53641E-030   1.52312E-032   1.52118E-030
  5.01200E-001   1.60869E-030   1.74595E-032   1.59123E-030
  5.07000E-001   1.69533E-030   1.99499E-032   1.67538E-030
  5.12900E-001   1.80303E-030   2.27697E-032   1.78026E-030
  5.18800E-001   1.93291E-030   2.59020E-032   1.90701E-030
  5.24800E-001   2.08743E-030   2.94328E-032   2.05800E-030
  5.30900E-001   2.26479E-030   3.34116E-032   2.23138E-030
  5.37000E-001   2.45728E-030   3.78075E-032   2.41947E-030
  5.43300E-001   2.66423E-030   4.28233E-032   2.62141E-030
  5.49500E-001   2.86728E-030   4.82626E-032   2.81901E-030
  5.55900E-001   3.06946E-030   5.44336E-032   3.01503E-030
  5.62300E-001   3.26475E-030   6.12157E-032   3.20354E-030
  5.68800E-001   3.46567E-030   6.87667E-032   3.39690E-030
  5.75400E-001   3.68640E-030   7.71615E-032   3.60924E-030
  5.82100E-001   3.94051E-030   8.64803E-032   3.85403E-030
  5.88800E-001   4.23554E-030   9.66507E-032   4.13889E-030
  5.95700E-001   4.59137E-030   1.08067E-031   4.48331E-030
  6.02600E-001   5.00574E-030   1.20487E-031   4.88525E-030
  6.09500E-001   5.47922E-030   1.33982E-031   5.34524E-030
  6.16600E-001   6.02328E-030   1.49031E-031   5.87425E-030
  6.23700E-001   6.61704E-030   1.65302E-031   6.45173E-030
  6.31000E-001   7.26554E-030   1.83438E-031   7.08210E-030
  6.38300E-001   7.93873E-030   2.02986E-031   7.73575E-030
  6.45700E-001   8.63008E-030   2.24349E-031   8.40574E-030
  6.53100E-001   9.31794E-030   2.47340E-031   9.07060E-030
  6.60700E-001   1.00136E-029   2.72769E-031   9.74087E-030
  6.68300E-001   1.07054E-029   3.00095E-031   1.04053E-029
  6.76100E-001   1.14355E-029   3.30149E-031   1.11053E-029
  6.83900E-001   1.22189E-029   3.62365E-031   1.18565E-029
  6.91800E-001   1.30960E-029   3.97226E-031   1.26988E-029
  6.99800E-001   1.40968E-029   4.34958E-031   1.36618E-029
  7.07900E-001   1.52475E-029   4.75672E-031   1.47718E-029
  7.16100E-001   1.65677E-029   5.19578E-031   1.60482E-029
  7.24400E-001   1.80705E-029   5.66999E-031   1.75035E-029
  7.32800E-001   1.97552E-029   6.17857E-031   1.91374E-029
  7.41300E-001   2.16231E-029   6.72472E-031   2.09506E-029
  7.49900E-001   2.36731E-029   7.31043E-031   2.29421E-029
  7.58600E-001   2.59129E-029   7.93827E-031   2.51191E-029
  7.67400E-001   2.83546E-029   8.60916E-031   2.74937E-029
  7.76300E-001   3.10283E-029   9.32643E-031   3.00957E-029
  7.85200E-001   3.39306E-029   1.00837E-030   3.29223E-029
  7.94300E-001   3.71496E-029   1.08984E-030   3.60598E-029
  8.03500E-001   4.06947E-029   1.17662E-030   3.95180E-029
  8.12800E-001   4.45906E-029   1.26871E-030   4.33219E-029
  8.22200E-001   4.88691E-029   1.36633E-030   4.75028E-029
  8.31800E-001   5.36158E-029   1.47089E-030   5.21450E-029
  8.41400E-001   5.87740E-029   1.58053E-030   5.71935E-029
  8.51100E-001   6.44316E-029   1.69630E-030   6.27353E-029
  8.61000E-001   7.07060E-029   1.81992E-030   6.88861E-029
  8.71000E-001   7.76061E-029   1.95017E-030   7.56559E-029
  8.81000E-001   8.51398E-029   2.08648E-030   8.30534E-029
  8.91300E-001   9.36423E-029   2.23241E-030   9.14099E-029
  9.01600E-001   1.03009E-028   2.38469E-030   1.00625E-028
  9.12000E-001   1.13512E-028   2.54498E-030   1.10967E-028
