# aeff[um]=   0.00100  comp=ad_s2  Teq[K]=  18.96159 (calc_Teq output)
# block 1 (GD): N=250   blocks 2-4 (MC fixed/2pass/buffered): N=600
# === GD block: T[K]   P(T_i)   dP/dlnT
  1.00000E+000   2.79713E-001   1.73983E+001
  1.03268E+000   0.00000E+000   0.00000E+000
  1.06642E+000   0.00000E+000   0.00000E+000
  1.10127E+000   0.00000E+000   0.00000E+000
  1.13725E+000   0.00000E+000   0.00000E+000
  1.17442E+000   0.00000E+000   0.00000E+000
  1.21279E+000   0.00000E+000   0.00000E+000
  1.25242E+000   0.00000E+000   0.00000E+000
  1.29335E+000   0.00000E+000   0.00000E+000
  1.33561E+000   0.00000E+000   0.00000E+000
  1.37925E+000   0.00000E+000   0.00000E+000
  1.42432E+000   0.00000E+000   0.00000E+000
  1.47086E+000   0.00000E+000   0.00000E+000
  1.51893E+000   0.00000E+000   0.00000E+000
  1.56856E+000   0.00000E+000   0.00000E+000
  1.61981E+000   0.00000E+000   0.00000E+000
  1.67274E+000   0.00000E+000   0.00000E+000
  1.72740E+000   0.00000E+000   0.00000E+000
  1.78385E+000   0.00000E+000   0.00000E+000
  1.84214E+000   0.00000E+000   0.00000E+000
  1.90233E+000   0.00000E+000   0.00000E+000
  1.96450E+000   0.00000E+000   0.00000E+000
  2.02869E+000   0.00000E+000   0.00000E+000
  2.09498E+000   0.00000E+000   0.00000E+000
  2.16344E+000   0.00000E+000   0.00000E+000
  2.23413E+000   0.00000E+000   0.00000E+000
  2.30713E+000   0.00000E+000   0.00000E+000
  2.38252E+000   0.00000E+000   0.00000E+000
  2.46038E+000   1.97615E-001   6.14587E+000
  2.54077E+000   8.19020E-002   2.54717E+000
  2.62380E+000   5.46636E-002   1.70005E+000
  2.70953E+000   4.18819E-002   1.30254E+000
  2.79807E+000   3.42507E-002   1.06521E+000
  2.88950E+000   2.90750E-002   9.04241E-001
  2.98392E+000   2.52728E-002   7.85990E-001
  3.08143E+000   2.23219E-002   6.94218E-001
  3.18212E+000   1.99388E-002   6.20102E-001
  3.28610E+000   1.79556E-002   5.58423E-001
  3.39348E+000   1.62667E-002   5.05899E-001
  3.50437E+000   1.48024E-002   4.60358E-001
  3.61888E+000   1.35147E-002   4.20312E-001
  3.73713E+000   1.23697E-002   3.84701E-001
  3.85925E+000   1.13425E-002   3.52754E-001
  3.98535E+000   1.04145E-002   3.23895E-001
  4.11558E+000   9.57167E-003   2.97681E-001
  4.25006E+000   8.80280E-003   2.73769E-001
  4.38894E+000   8.09911E-003   2.51884E-001
  4.53236E+000   7.45343E-003   2.31804E-001
  4.68046E+000   6.85985E-003   2.13343E-001
  4.83340E+000   6.31340E-003   1.96348E-001
  4.99134E+000   5.80981E-003   1.80687E-001
  5.15444E+000   5.34542E-003   1.66244E-001
  5.32287E+000   4.91699E-003   1.52920E-001
  5.49680E+000   4.52163E-003   1.40624E-001
  5.67642E+000   4.15678E-003   1.29277E-001
  5.86191E+000   3.82008E-003   1.18805E-001
  6.05345E+000   3.50941E-003   1.09144E-001
  6.25126E+000   3.22282E-003   1.00230E-001
  6.45553E+000   2.95850E-003   9.20101E-002
  6.66647E+000   2.71479E-003   8.44306E-002
  6.88431E+000   2.49014E-003   7.74440E-002
  7.10927E+000   2.28313E-003   7.10058E-002
  7.34157E+000   2.09241E-003   6.50744E-002
  7.58147E+000   1.91675E-003   5.96113E-002
  7.82921E+000   1.75499E-003   5.45807E-002
  8.08504E+000   1.60607E-003   4.99491E-002
  8.34923E+000   1.46899E-003   4.56858E-002
  8.62206E+000   1.34283E-003   4.17622E-002
  8.90380E+000   1.22674E-003   3.81520E-002
  9.19474E+000   1.11997E-003   3.48312E-002
  9.49520E+000   1.02179E-003   3.17779E-002
  9.80547E+000   9.31590E-004   2.89727E-002
  1.01259E+001   8.48791E-004   2.63976E-002
  1.04568E+001   7.72871E-004   2.40365E-002
  1.07984E+001   7.03355E-004   2.18745E-002
  1.11513E+001   6.39809E-004   1.98982E-002
  1.15157E+001   5.81826E-004   1.80949E-002
  1.18920E+001   5.29021E-004   1.64527E-002
  1.22806E+001   4.81015E-004   1.49597E-002
  1.26819E+001   4.37432E-004   1.36043E-002
  1.30963E+001   3.97899E-004   1.23747E-002
  1.35242E+001   3.62044E-004   1.12597E-002
  1.39661E+001   3.29512E-004   1.02479E-002
  1.44225E+001   2.99967E-004   9.32906E-003
  1.48938E+001   2.73104E-004   8.49359E-003
  1.53805E+001   2.48650E-004   7.73306E-003
  1.58830E+001   2.26368E-004   7.04011E-003
  1.64020E+001   2.06055E-004   6.40835E-003
  1.69380E+001   1.87529E-004   5.83221E-003
  1.74915E+001   1.70634E-004   5.30676E-003
  1.80630E+001   1.55227E-004   4.82760E-003
  1.86533E+001   1.41180E-004   4.39072E-003
  1.92628E+001   1.28375E-004   3.99249E-003
  1.98922E+001   1.16705E-004   3.62956E-003
  2.05423E+001   1.06073E-004   3.29890E-003
  2.12135E+001   9.63880E-005   2.99769E-003
  2.19067E+001   8.75681E-005   2.72339E-003
  2.26225E+001   7.95377E-005   2.47364E-003
  2.33618E+001   7.22280E-005   2.24631E-003
  2.41251E+001   6.55758E-005   2.03942E-003
  2.49135E+001   5.95233E-005   1.85119E-003
  2.57276E+001   5.40177E-005   1.67996E-003
  2.65682E+001   4.90107E-005   1.52424E-003
  2.74364E+001   4.44581E-005   1.38266E-003
  2.83329E+001   4.03197E-005   1.25395E-003
  2.92588E+001   3.65585E-005   1.13698E-003
  3.02148E+001   3.31409E-005   1.03069E-003
  3.12022E+001   3.00361E-005   9.34131E-004
  3.22217E+001   2.72161E-005   8.46426E-004
  3.32746E+001   2.46550E-005   7.66777E-004
  3.43619E+001   2.23296E-005   6.94456E-004
  3.54848E+001   2.02184E-005   6.28798E-004
  3.66443E+001   1.83020E-005   5.69195E-004
  3.78417E+001   1.65623E-005   5.15093E-004
  3.90782E+001   1.49833E-005   4.65984E-004
  4.03552E+001   1.35499E-005   4.21404E-004
  4.16739E+001   1.22484E-005   3.80928E-004
  4.30356E+001   1.10665E-005   3.44171E-004
  4.44419E+001   9.99299E-006   3.10784E-004
  4.58941E+001   9.01852E-006   2.80478E-004
  4.73938E+001   8.13571E-006   2.53023E-004
  4.89424E+001   7.33611E-006   2.28155E-004
  5.05417E+001   6.61067E-006   2.05593E-004
  5.21932E+001   5.94987E-006   1.85042E-004
  5.38987E+001   5.34406E-006   1.66202E-004
  5.56599E+001   4.78794E-006   1.48906E-004
  5.74787E+001   4.29178E-006   1.33476E-004
  5.93569E+001   3.84933E-006   1.19715E-004
  6.12965E+001   3.44882E-006   1.07259E-004
  6.32995E+001   3.08582E-006   9.59699E-005
  6.53679E+001   2.75701E-006   8.57438E-005
  6.75039E+001   2.45939E-006   7.64875E-005
  6.97097E+001   2.19026E-006   6.81177E-005
  7.19876E+001   1.94718E-006   6.05578E-005
  7.43399E+001   1.72767E-006   5.37309E-005
  7.67691E+001   1.52932E-006   4.75624E-005
  7.92776E+001   1.34854E-006   4.19399E-005
  8.18681E+001   1.18733E-006   3.69263E-005
  8.45433E+001   1.04325E-006   3.24453E-005
  8.73059E+001   9.14822E-007   2.84512E-005
  9.01588E+001   8.00487E-007   2.48953E-005
  9.31048E+001   6.98912E-007   2.17363E-005
  9.61472E+001   6.08923E-007   1.89377E-005
  9.92890E+001   5.29285E-007   1.64609E-005
  1.02533E+002   4.58814E-007   1.42692E-005
  1.05884E+002   3.96549E-007   1.23328E-005
  1.09344E+002   3.41737E-007   1.06281E-005
  1.12917E+002   2.93764E-007   9.13614E-006
  1.16606E+002   2.52082E-007   7.83981E-006
  1.20417E+002   2.16092E-007   6.72052E-006
  1.24352E+002   1.85110E-007   5.75697E-006
  1.28415E+002   1.58369E-007   4.92532E-006
  1.32611E+002   1.35318E-007   4.20843E-006
  1.36944E+002   1.15548E-007   3.59357E-006
  1.41419E+002   9.86780E-008   3.06891E-006
  1.46040E+002   8.43438E-008   2.62311E-006
  1.50813E+002   7.22042E-008   2.24557E-006
  1.55741E+002   6.19435E-008   1.92646E-006
  1.60830E+002   5.32833E-008   1.65712E-006
  1.66085E+002   4.59737E-008   1.42979E-006
  1.71512E+002   3.97994E-008   1.23777E-006
  1.77117E+002   3.45760E-008   1.07532E-006
  1.82904E+002   3.01484E-008   9.37622E-007
  1.88881E+002   2.63864E-008   8.20624E-007
  1.95053E+002   2.31821E-008   7.20970E-007
  2.01426E+002   2.04455E-008   6.35859E-007
  2.08008E+002   1.81015E-008   5.62961E-007
  2.14805E+002   1.60873E-008   5.00320E-007
  2.21825E+002   1.43504E-008   4.46302E-007
  2.29073E+002   1.28464E-008   3.99526E-007
  2.36558E+002   1.15380E-008   3.58834E-007
  2.44288E+002   1.03727E-008   3.22593E-007
  2.52271E+002   9.33024E-009   2.90173E-007
  2.60514E+002   8.39602E-009   2.61118E-007
  2.69027E+002   7.55964E-009   2.35107E-007
  2.77818E+002   6.79199E-009   2.11232E-007
  2.86896E+002   6.07001E-009   1.88779E-007
  2.96271E+002   5.37482E-009   1.67158E-007
  3.05952E+002   4.67105E-009   1.45271E-007
  3.15949E+002   3.94336E-009   1.22640E-007
  3.26273E+002   3.20160E-009   9.95705E-008
  3.36935E+002   2.49748E-009   7.76722E-008
  3.47945E+002   1.85822E-009   5.77911E-008
  3.59314E+002   1.28614E-009   3.99992E-008
  3.71056E+002   7.95714E-010   2.47469E-008
  3.83180E+002   4.36723E-010   1.35822E-008
  3.95701E+002   1.80012E-010   5.59843E-009
  4.08632E+002   1.72609E-015   5.36818E-014
  4.21984E+002   5.32131E-016   1.65494E-014
  4.35773E+002   2.66867E-016   8.29961E-015
  4.50013E+002   1.50569E-016   4.68274E-015
  4.64718E+002   8.93061E-017   2.77744E-015
  4.79903E+002   5.30345E-017   1.64939E-015
  4.95585E+002   2.99754E-017   9.32241E-016
  5.11779E+002   1.57771E-017   4.90671E-016
  5.28502E+002   7.62593E-018   2.37168E-016
  5.45772E+002   2.94390E-018   9.15559E-017
  5.63606E+002   9.86107E-019   3.06682E-017
  5.82023E+002   2.24835E-019   6.99243E-018
  6.01041E+002   2.19193E-020   6.81695E-019
  6.20681E+002   4.87012E-025   1.51462E-023
  6.40963E+002   1.32500E-025   4.12079E-024
  6.61907E+002   4.59130E-026   1.42791E-024
  6.83536E+002   1.67927E-026   5.22256E-025
  7.05872E+002   3.89517E-027   1.21141E-025
  7.28937E+002   6.43628E-028   2.00170E-026
  7.52757E+002   1.18495E-028   3.68523E-027
  7.77354E+002   2.28161E-030   7.09586E-029
  8.02755E+002   8.77396E-035   2.72872E-033
  8.28987E+002   1.92747E-035   5.99449E-034
  8.56075E+002   2.52650E-036   7.85747E-035
  8.84049E+002   4.17899E-037   1.29968E-035
  9.12937E+002   4.80510E-038   1.49440E-036
  9.42768E+002   1.85478E-040   5.76842E-039
  9.73575E+002   9.46581E-045   2.94389E-043
  1.00539E+003   1.34080E-045   4.16992E-044
  1.03824E+003   4.37685E-047   1.36121E-045
  1.07217E+003   3.35097E-048   1.04216E-046
  1.10720E+003   1.03147E-050   3.20788E-049
  1.14338E+003   5.88843E-055   1.83132E-053
  1.18074E+003   5.14221E-056   1.59924E-054
  1.21933E+003   2.35669E-058   7.32935E-057
  1.25917E+003   5.88821E-061   1.83125E-059
  1.30031E+003   3.24034E-065   1.00775E-063
  1.34280E+003   1.93054E-066   6.00402E-065
  1.38668E+003   7.06226E-069   2.19638E-067
  1.43199E+003   1.40082E-071   4.35658E-070
  1.47879E+003   9.79653E-077   3.04674E-075
  1.52711E+003   3.32258E-079   1.03333E-077
  1.57701E+003   5.71676E-082   1.77793E-080
  1.62854E+003   3.26836E-087   1.01647E-085
  1.68176E+003   8.93285E-090   2.77814E-088
  1.73671E+003   1.23086E-092   3.82801E-091
  1.79346E+003   5.66254E-098   1.76106E-096
  1.85206E+003   3.63931E-103   1.13184E-101
  1.91258E+003   1.62714E-108   5.06045E-107
  1.97508E+003   9.97676E-114   3.10280E-112
  2.03962E+003   4.22448E-119   1.31382E-117
  2.10627E+003   2.43266E-124   7.56565E-123
  2.17509E+003   9.53090E-130   2.96413E-128
  2.24617E+003   4.96993E-135   1.54566E-133
  2.31956E+003   1.58326E-140   4.92398E-139
  2.39536E+003   6.65828E-146   2.07074E-144
  2.47363E+003   1.70044E-151   5.28842E-150
  2.55446E+003   5.71056E-157   1.77600E-155
  2.63793E+003   1.16072E-162   3.60986E-161
  2.72413E+003   3.13291E-174   9.74342E-173
  2.81315E+003   9.18946E-186   2.85795E-184
  2.90507E+003   3.01831E-197   9.38702E-196
  3.00000E+003   2.43966E-208   1.51748E-206
# === MC fixed-grid block: T_mid[K]   dP/dT [1/K]   dP/dlnT
  2.01308E+000   0.00000E+000   0.00000E+000
  2.03951E+000   0.00000E+000   0.00000E+000
  2.06627E+000   0.00000E+000   0.00000E+000
  2.09340E+000   0.00000E+000   0.00000E+000
  2.12087E+000   0.00000E+000   0.00000E+000
  2.14871E+000   0.00000E+000   0.00000E+000
  2.17691E+000   0.00000E+000   0.00000E+000
  2.20549E+000   0.00000E+000   0.00000E+000
  2.23443E+000   0.00000E+000   0.00000E+000
  2.26376E+000   0.00000E+000   0.00000E+000
  2.29347E+000   0.00000E+000   0.00000E+000
  2.32358E+000   0.00000E+000   0.00000E+000
  2.35408E+000   0.00000E+000   0.00000E+000
  2.38497E+000   0.00000E+000   0.00000E+000
  2.41628E+000   0.00000E+000   0.00000E+000
  2.44799E+000   0.00000E+000   0.00000E+000
  2.48012E+000   0.00000E+000   0.00000E+000
  2.51268E+000   0.00000E+000   0.00000E+000
  2.54566E+000   0.00000E+000   0.00000E+000
  2.57907E+000   0.00000E+000   0.00000E+000
  2.61292E+000   1.31316E+001   3.43120E+001
  2.64722E+000   1.91213E+000   5.06187E+000
  2.68196E+000   1.21716E+000   3.26441E+000
  2.71716E+000   9.10683E-001   2.47449E+000
  2.75283E+000   7.31043E-001   2.01245E+000
  2.78896E+000   6.11388E-001   1.70515E+000
  2.82557E+000   5.25869E-001   1.48589E+000
  2.86265E+000   4.61964E-001   1.32245E+000
  2.90023E+000   4.11037E-001   1.19211E+000
  2.93829E+000   3.70356E-001   1.08822E+000
  2.97686E+000   3.36322E-001   1.00119E+000
  3.01593E+000   3.07574E-001   9.27628E-001
  3.05552E+000   2.82654E-001   8.63660E-001
  3.09562E+000   2.61273E-001   8.08810E-001
  3.13626E+000   2.42452E-001   7.60398E-001
  3.17742E+000   2.25579E-001   7.16766E-001
  3.21913E+000   2.10793E-001   6.78575E-001
  3.26138E+000   1.97202E-001   6.43154E-001
  3.30419E+000   1.84946E-001   6.11100E-001
  3.34755E+000   1.73956E-001   5.82330E-001
  3.39149E+000   1.63871E-001   5.55771E-001
  3.43601E+000   1.54430E-001   5.30627E-001
  3.48111E+000   1.45855E-001   5.07739E-001
  3.52680E+000   1.37916E-001   4.86405E-001
  3.57309E+000   1.30442E-001   4.66086E-001
  3.61999E+000   1.23532E-001   4.47188E-001
  3.66750E+000   1.17172E-001   4.29732E-001
  3.71564E+000   1.11164E-001   4.13049E-001
  3.76441E+000   1.05468E-001   3.97029E-001
  3.81382E+000   1.00140E-001   3.81920E-001
  3.86388E+000   9.52426E-002   3.68008E-001
  3.91459E+000   9.05486E-002   3.54463E-001
  3.96597E+000   8.60843E-002   3.41410E-001
  4.01803E+000   8.19095E-002   3.29117E-001
  4.07077E+000   7.79957E-002   3.17505E-001
  4.12420E+000   7.42188E-002   3.06095E-001
  4.17833E+000   7.06669E-002   2.95272E-001
  4.23317E+000   6.72954E-002   2.84875E-001
  4.28873E+000   6.41425E-002   2.75092E-001
  4.34503E+000   6.10885E-002   2.65433E-001
  4.40206E+000   5.82081E-002   2.56237E-001
  4.45984E+000   5.54760E-002   2.47416E-001
  4.51837E+000   5.29130E-002   2.39082E-001
  4.57768E+000   5.04342E-002   2.30873E-001
  4.63776E+000   4.80778E-002   2.22975E-001
  4.69864E+000   4.58484E-002   2.15427E-001
  4.76031E+000   4.37268E-002   2.08154E-001
  4.82279E+000   4.16889E-002   2.01058E-001
  4.88609E+000   3.97438E-002   1.94193E-001
  4.95022E+000   3.79130E-002   1.87679E-001
  5.01520E+000   3.61561E-002   1.81331E-001
  5.08102E+000   3.44883E-002   1.75237E-001
  5.14771E+000   3.28743E-002   1.69229E-001
  5.21528E+000   3.13592E-002   1.63548E-001
  5.28373E+000   2.99030E-002   1.58001E-001
  5.35308E+000   2.85305E-002   1.52727E-001
  5.42335E+000   2.71875E-002   1.47448E-001
  5.49453E+000   2.59337E-002   1.42494E-001
  5.56665E+000   2.47358E-002   1.37697E-001
  5.63971E+000   2.35924E-002   1.33056E-001
  5.71374E+000   2.24875E-002   1.28488E-001
  5.78873E+000   2.14427E-002   1.24127E-001
  5.86471E+000   2.04530E-002   1.19952E-001
  5.94169E+000   1.95048E-002   1.15892E-001
  6.01968E+000   1.85981E-002   1.11955E-001
  6.09869E+000   1.77203E-002   1.08071E-001
  6.17874E+000   1.68990E-002   1.04415E-001
  6.25984E+000   1.61159E-002   1.00884E-001
  6.34200E+000   1.53562E-002   9.73897E-002
  6.42524E+000   1.46391E-002   9.40602E-002
  6.50957E+000   1.39498E-002   9.08081E-002
  6.59502E+000   1.33025E-002   8.77307E-002
  6.68158E+000   1.26762E-002   8.46974E-002
  6.76928E+000   1.20752E-002   8.17413E-002
  6.85813E+000   1.15127E-002   7.89561E-002
  6.94814E+000   1.09717E-002   7.62335E-002
  7.03934E+000   1.04555E-002   7.36001E-002
  7.13174E+000   9.95815E-003   7.10194E-002
  7.22534E+000   9.48986E-003   6.85680E-002
  7.32018E+000   9.04151E-003   6.61860E-002
  7.41626E+000   8.61764E-003   6.39111E-002
  7.51360E+000   8.20382E-003   6.16407E-002
  7.61222E+000   7.81549E-003   5.94937E-002
  7.71214E+000   7.44691E-003   5.74320E-002
  7.81336E+000   7.09642E-003   5.54473E-002
  7.91591E+000   6.75468E-003   5.34699E-002
  8.01981E+000   6.43288E-003   5.15909E-002
  8.12508E+000   6.12748E-003   4.97866E-002
  8.23172E+000   5.83771E-003   4.80548E-002
  8.33977E+000   5.55751E-003   4.63487E-002
  8.44923E+000   5.29043E-003   4.47004E-002
  8.56013E+000   5.03786E-003   4.31251E-002
  8.67249E+000   4.79926E-003   4.16218E-002
  8.78632E+000   4.56644E-003   4.01225E-002
  8.90164E+000   4.34848E-003   3.87089E-002
  9.01848E+000   4.13949E-003   3.73322E-002
  9.13685E+000   3.94144E-003   3.60126E-002
  9.25678E+000   3.75081E-003   3.47207E-002
  9.37828E+000   3.57102E-003   3.34902E-002
  9.50137E+000   3.39813E-003   3.22871E-002
  9.62608E+000   3.23572E-003   3.11475E-002
  9.75243E+000   3.07812E-003   3.00194E-002
  9.88044E+000   2.92961E-003   2.89461E-002
  1.00101E+001   2.78786E-003   2.79070E-002
  1.01415E+001   2.65360E-003   2.69117E-002
  1.02746E+001   2.52435E-003   2.59369E-002
  1.04095E+001   2.40164E-003   2.50000E-002
  1.05461E+001   2.28497E-003   2.40977E-002
  1.06845E+001   2.17447E-003   2.32334E-002
  1.08248E+001   2.06889E-003   2.23954E-002
  1.09669E+001   1.96744E-003   2.15768E-002
  1.11108E+001   1.87147E-003   2.07937E-002
  1.12566E+001   1.78111E-003   2.00494E-002
  1.14044E+001   1.69443E-003   1.93240E-002
  1.15541E+001   1.61120E-003   1.86160E-002
  1.17057E+001   1.53211E-003   1.79345E-002
  1.18594E+001   1.45776E-003   1.72883E-002
  1.20150E+001   1.38646E-003   1.66584E-002
  1.21727E+001   1.31821E-003   1.60463E-002
  1.23325E+001   1.25315E-003   1.54546E-002
  1.24944E+001   1.19210E-003   1.48946E-002
  1.26584E+001   1.13397E-003   1.43543E-002
  1.28245E+001   1.07725E-003   1.38153E-002
  1.29928E+001   1.02344E-003   1.32975E-002
  1.31634E+001   9.72259E-004   1.27983E-002
  1.33361E+001   9.24255E-004   1.23261E-002
  1.35112E+001   8.77617E-004   1.18577E-002
  1.36885E+001   8.34036E-004   1.14168E-002
  1.38682E+001   7.92194E-004   1.09864E-002
  1.40502E+001   7.53294E-004   1.05840E-002
  1.42346E+001   7.15357E-004   1.01829E-002
  1.44215E+001   6.79947E-004   9.80591E-003
  1.46108E+001   6.46041E-004   9.43923E-003
  1.48025E+001   6.14354E-004   9.09406E-003
  1.49968E+001   5.83322E-004   8.74805E-003
  1.51937E+001   5.54238E-004   8.42096E-003
  1.53931E+001   5.26810E-004   8.10929E-003
  1.55951E+001   5.00730E-004   7.80901E-003
  1.57998E+001   4.75577E-004   7.51409E-003
  1.60072E+001   4.51810E-004   7.23226E-003
  1.62173E+001   4.29398E-004   6.96374E-003
  1.64302E+001   4.08042E-004   6.70425E-003
  1.66458E+001   3.87614E-004   6.45221E-003
  1.68643E+001   3.68100E-004   6.20780E-003
  1.70857E+001   3.49804E-004   5.97668E-003
  1.73099E+001   3.32411E-004   5.75405E-003
  1.75371E+001   3.15669E-004   5.53597E-003
  1.77673E+001   2.99709E-004   5.32506E-003
  1.80005E+001   2.84798E-004   5.12655E-003
  1.82368E+001   2.70580E-004   4.93455E-003
  1.84761E+001   2.56936E-004   4.74722E-003
  1.87186E+001   2.43959E-004   4.56661E-003
  1.89643E+001   2.31690E-004   4.39389E-003
  1.92133E+001   2.20224E-004   4.23124E-003
  1.94654E+001   2.08948E-004   4.06730E-003
