# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  2.72300E-001   7.06072E-035   6.02502E-037   7.00047E-035
  2.75400E-001   9.45412E-035   7.82932E-037   9.37583E-035
  2.78600E-001   1.27151E-034   1.01935E-036   1.26132E-034
  2.81800E-001   1.70143E-034   1.31896E-036   1.68824E-034
  2.85100E-001   2.28540E-034   1.70906E-036   2.26831E-034
  2.88400E-001   3.05339E-034   2.20083E-036   3.03138E-034
  2.91700E-001   4.05784E-034   2.81720E-036   4.02967E-034
  2.95100E-001   5.40951E-034   3.61048E-036   5.37341E-034
  2.98500E-001   7.17179E-034   4.60065E-036   7.12578E-034
  3.02000E-001   9.53306E-034   5.86772E-036   9.47438E-034
  3.05500E-001   1.21552E-033   7.44016E-036   1.20808E-033
  3.09000E-001   1.57810E-033   9.38026E-036   1.56872E-033
  3.12600E-001   2.05004E-033   1.18354E-035   2.03820E-033
  3.16200E-001   2.64521E-033   1.48493E-035   2.63036E-033
  3.19900E-001   3.41414E-033   1.86472E-035   3.39549E-033
  3.23600E-001   4.37720E-033   2.32848E-035   4.35391E-033
  3.27300E-001   5.57565E-033   2.89159E-035   5.54673E-033
  3.31100E-001   7.10210E-033   3.59348E-035   7.06617E-033
  3.35000E-001   9.04324E-033   4.46686E-035   8.99857E-033
  3.38800E-001   1.13710E-032   5.49320E-035   1.13160E-032
  3.42800E-001   1.43753E-032   6.79390E-035   1.43074E-032
  3.46700E-001   1.79512E-032   8.31580E-035   1.78680E-032
  3.50700E-001   2.23980E-032   1.01813E-034   2.22962E-032
  3.54800E-001   2.79109E-032   1.24652E-034   2.77862E-032
  3.58900E-001   3.45415E-032   1.51860E-034   3.43896E-032
  3.63100E-001   4.26592E-032   1.85008E-034   4.24742E-032
  3.67300E-001   5.22863E-032   2.24265E-034   5.20621E-032
  3.71500E-001   6.35749E-032   2.70650E-034   6.33042E-032
  3.75800E-001   7.69662E-032   3.26531E-034   7.66396E-032
  3.80200E-001   9.26174E-032   3.93903E-034   9.22235E-032
  3.84600E-001   1.10112E-031   4.72909E-034   1.09640E-031
  3.89100E-001   1.29568E-031   5.67593E-034   1.29000E-031
  3.93600E-001   1.50099E-031   6.78283E-034   1.49421E-031
  3.98100E-001   1.71365E-031   8.06921E-034   1.70558E-031
  4.02700E-001   1.94217E-031   9.59640E-034   1.93257E-031
  4.07400E-001   2.20033E-031   1.14058E-033   2.18892E-031
  4.12100E-001   2.50108E-031   1.34984E-033   2.48759E-031
  4.16900E-001   2.86892E-031   1.59671E-033   2.85296E-031
  4.21700E-001   3.31343E-031   1.88106E-033   3.29461E-031
  4.26600E-001   3.86149E-031   2.21464E-033   3.83934E-031
  4.31500E-001   4.51829E-031   2.59712E-033   4.49232E-031
  4.36500E-001   5.30859E-031   3.04282E-033   5.27816E-031
  4.41600E-001   6.23912E-031   3.56312E-033   6.20349E-031
  4.46700E-001   7.28239E-031   4.15609E-033   7.24083E-031
  4.51900E-001   8.43250E-031   4.84333E-033   8.38406E-031
  4.57100E-001   9.61931E-031   5.62383E-033   9.56307E-031
  4.62400E-001   1.07942E-030   6.52357E-033   1.07290E-030
  4.67700E-001   1.18500E-030   7.54133E-033   1.17746E-030
  4.73200E-001   1.27554E-030   8.73200E-033   1.26681E-030
  4.78600E-001   1.34541E-030   1.00484E-032   1.33536E-030
  4.84200E-001   1.40507E-030   1.15834E-032   1.39349E-030
  4.89800E-001   1.46083E-030   1.33051E-032   1.44752E-030
  4.95400E-001   1.51963E-030   1.52312E-032   1.50440E-030
  5.01200E-001   1.58922E-030   1.74595E-032   1.57176E-030
  5.07000E-001   1.67284E-030   1.99499E-032   1.65289E-030
  5.12900E-001   1.77709E-030   2.27697E-032   1.75432E-030
  5.18800E-001   1.90312E-030   2.59020E-032   1.87722E-030
  5.24800E-001   2.05328E-030   2.94328E-032   2.02385E-030
  5.30900E-001   2.22572E-030   3.34116E-032   2.19231E-030
  5.37000E-001   2.41277E-030   3.78075E-032   2.37496E-030
  5.43300E-001   2.61354E-030   4.28233E-032   2.57071E-030
  5.49500E-001   2.80991E-030   4.82626E-032   2.76164E-030
  5.55900E-001   3.00457E-030   5.44336E-032   2.95014E-030
  5.62300E-001   3.19167E-030   6.12157E-032   3.13045E-030
  5.68800E-001   3.38352E-030   6.87667E-032   3.31475E-030
  5.75400E-001   3.59419E-030   7.71615E-032   3.51703E-030
  5.82100E-001   3.83714E-030   8.64803E-032   3.75066E-030
  5.88800E-001   4.11998E-030   9.66507E-032   4.02333E-030
  5.95700E-001   4.46210E-030   1.08067E-031   4.35403E-030
  6.02600E-001   4.86150E-030   1.20487E-031   4.74101E-030
  6.09500E-001   5.31871E-030   1.33982E-031   5.18473E-030
  6.16600E-001   5.84464E-030   1.49031E-031   5.69561E-030
  6.23700E-001   6.41886E-030   1.65302E-031   6.25356E-030
  6.31000E-001   7.04583E-030   1.83438E-031   6.86240E-030
  6.38300E-001   7.69607E-030   2.02986E-031   7.49309E-030
  6.45700E-001   8.36274E-030   2.24349E-031   8.13839E-030
  6.53100E-001   9.02454E-030   2.47340E-031   8.77720E-030
  6.60700E-001   9.69208E-030   2.72769E-031   9.41932E-030
  6.68300E-001   1.03543E-029   3.00095E-031   1.00542E-029
  6.76100E-001   1.10524E-029   3.30149E-031   1.07222E-029
  6.83900E-001   1.18020E-029   3.62365E-031   1.14397E-029
  6.91800E-001   1.26431E-029   3.97226E-031   1.22458E-029
  6.99800E-001   1.36051E-029   4.34958E-031   1.31701E-029
  7.07900E-001   1.47144E-029   4.75672E-031   1.42387E-029
  7.16100E-001   1.59902E-029   5.19578E-031   1.54706E-029
  7.24400E-001   1.74456E-029   5.66999E-031   1.68786E-029
  7.32800E-001   1.90798E-029   6.17857E-031   1.84619E-029
  7.41300E-001   2.08941E-029   6.72472E-031   2.02216E-029
  7.49900E-001   2.28876E-029   7.31043E-031   2.21566E-029
  7.58600E-001   2.50678E-029   7.93827E-031   2.42740E-029
  7.67400E-001   2.74469E-029   8.60916E-031   2.65860E-029
  7.76300E-001   3.00547E-029   9.32643E-031   2.91221E-029
  7.85200E-001   3.28887E-029   1.00837E-030   3.18803E-029
  7.94300E-001   3.60352E-029   1.08984E-030   3.49453E-029
  8.03500E-001   3.95042E-029   1.17662E-030   3.83275E-029
  8.12800E-001   4.33204E-029   1.26871E-030   4.20517E-029
  8.22200E-001   4.75156E-029   1.36633E-030   4.61493E-029
  8.31800E-001   5.21742E-029   1.47089E-030   5.07033E-029
  8.41400E-001   5.72412E-029   1.58053E-030   5.56607E-029
  8.51100E-001   6.28037E-029   1.69630E-030   6.11074E-029
  8.61000E-001   6.89775E-029   1.81992E-030   6.71576E-029
  8.71000E-001   7.57725E-029   1.95017E-030   7.38223E-029
  8.81000E-001   8.31972E-029   2.08648E-030   8.11107E-029
  8.91300E-001   9.15826E-029   2.23241E-030   8.93502E-029
  9.01600E-001   1.00827E-028   2.38469E-030   9.84425E-029
  9.12000E-001   1.11200E-028   2.54498E-030   1.08655E-028
  9.22600E-001   1.23090E-028   2.71426E-030   1.20376E-028
  9.33300E-001   1.36790E-028   2.89231E-030   1.33898E-028
  9.44100E-001   1.52893E-028   3.07791E-030   1.49815E-028
  9.55000E-001   1.72330E-028   3.27266E-030   1.69057E-028
  9.66100E-001   1.96876E-028   3.47731E-030   1.93398E-028
  9.77200E-001   2.28712E-028   3.68755E-030   2.25025E-028
  9.88600E-001   2.73628E-028   3.90453E-030   2.69723E-028
  1.00000E+000   3.39560E-028   4.13325E-030   3.35427E-028
  1.01200E+000   4.49296E-028   4.40522E-030   4.44891E-028
  1.02300E+000   6.11618E-028   4.66436E-030   6.06954E-028
  1.03500E+000   8.75698E-028   4.95717E-030   8.70741E-028
  1.04700E+000   1.13509E-027   5.26206E-030   1.12983E-027
  1.05900E+000   1.16142E-027   5.57799E-030   1.15585E-027
  1.07100E+000   9.95750E-028   5.90466E-030   9.89845E-028
  1.08400E+000   8.20942E-028   6.27304E-030   8.14669E-028
  1.09700E+000   7.14231E-028   6.65404E-030   7.07577E-028
  1.10900E+000   6.63128E-028   7.01778E-030   6.56110E-028
  1.12200E+000   6.41408E-028   7.42544E-030   6.33983E-028
  1.13500E+000   6.43661E-028   7.84763E-030   6.35814E-028
  1.14800E+000   6.64156E-028   8.28252E-030   6.55873E-028
  1.16100E+000   7.00788E-028   8.73203E-030   6.92056E-028
  1.17500E+000   7.58638E-028   9.23075E-030   7.49407E-028
  1.18900E+000   8.37774E-028   9.74568E-030   8.28029E-028
  1.20200E+000   9.33050E-028   1.02351E-029   9.22815E-028
  1.21600E+000   1.05990E-027   1.07773E-029   1.04912E-027
  1.23000E+000   1.20602E-027   1.13319E-029   1.19469E-027
  1.24500E+000   1.36244E-027   1.19403E-029   1.35050E-027
  1.25900E+000   1.47625E-027   1.25191E-029   1.46373E-027
  1.27300E+000   1.53496E-027   1.31071E-029   1.52185E-027
  1.28800E+000   1.53758E-027   1.37504E-029   1.52383E-027
  1.30300E+000   1.50283E-027   1.44026E-029   1.48843E-027
  1.31800E+000   1.45717E-027   1.50667E-029   1.44210E-027
  1.33400E+000   1.41443E-027   1.57885E-029   1.39864E-027
  1.34900E+000   1.38633E-027   1.64714E-029   1.36986E-027
  1.36500E+000   1.36939E-027   1.72126E-029   1.35218E-027
  1.38000E+000   1.36483E-027   1.79150E-029   1.34692E-027
  1.39600E+000   1.36961E-027   1.86750E-029   1.35093E-027
  1.41300E+000   1.38363E-027   1.94937E-029   1.36414E-027
  1.42900E+000   1.40355E-027   2.02726E-029   1.38328E-027
  1.44500E+000   1.42869E-027   2.10576E-029   1.40764E-027
  1.46200E+000   1.45980E-027   2.19007E-029   1.43790E-027
  1.47900E+000   1.49486E-027   2.27524E-029   1.47211E-027
  1.49600E+000   1.53279E-027   2.36139E-029   1.50918E-027
  1.51400E+000   1.57587E-027   2.45342E-029   1.55133E-027
  1.53100E+000   1.61861E-027   2.54156E-029   1.59320E-027
  1.54900E+000   1.66546E-027   2.63540E-029   1.63911E-027
  1.56700E+000   1.71439E-027   2.72974E-029   1.68709E-027
  1.58500E+000   1.76430E-027   2.82518E-029   1.73605E-027
  1.60300E+000   1.81548E-027   2.92192E-029   1.78626E-027
  1.62200E+000   1.87063E-027   3.02459E-029   1.84038E-027
  1.64100E+000   1.92612E-027   3.12821E-029   1.89484E-027
  1.66000E+000   1.98230E-027   3.23309E-029   1.94997E-027
  1.67900E+000   2.03848E-027   3.33897E-029   2.00509E-027
  1.69800E+000   2.09398E-027   3.44588E-029   2.05952E-027
  1.71800E+000   2.15267E-027   3.55966E-029   2.11707E-027
  1.73800E+000   2.20941E-027   3.67492E-029   2.17267E-027
  1.75800E+000   2.26457E-027   3.79118E-029   2.22666E-027
  1.77800E+000   2.31694E-027   3.90934E-029   2.27785E-027
  1.79900E+000   2.36586E-027   4.03466E-029   2.32552E-027
  1.82000E+000   2.40927E-027   4.16171E-029   2.36765E-027
  1.84100E+000   2.44291E-027   4.29050E-029   2.40000E-027
  1.86200E+000   2.46961E-027   4.42095E-029   2.42540E-027
  1.88400E+000   2.49883E-027   4.55971E-029   2.45324E-027
  1.90600E+000   2.54535E-027   4.70001E-029   2.49835E-027
  1.92800E+000   2.62160E-027   4.84288E-029   2.57317E-027
  1.95000E+000   2.72053E-027   4.98767E-029   2.67065E-027
  1.97200E+000   2.82504E-027   5.13417E-029   2.77370E-027
  1.99500E+000   2.93157E-027   5.28943E-029   2.87867E-027
  2.01800E+000   3.03166E-027   5.44665E-029   2.97720E-027
  2.04200E+000   3.13002E-027   5.61312E-029   3.07389E-027
  2.06500E+000   3.21710E-027   5.77432E-029   3.15935E-027
  2.08900E+000   3.30457E-027   5.94399E-029   3.24513E-027
  2.11400E+000   3.39270E-027   6.12229E-029   3.33148E-027
  2.13800E+000   3.47359E-027   6.29406E-029   3.41065E-027
  2.16300E+000   3.55621E-027   6.47456E-029   3.49146E-027
  2.18800E+000   3.63824E-027   6.65408E-029   3.57170E-027
  2.21300E+000   3.71598E-027   6.83545E-029   3.64762E-027
  2.23900E+000   3.79630E-027   7.02277E-029   3.72607E-027
  2.26500E+000   3.87521E-027   7.21076E-029   3.80311E-027
  2.29100E+000   3.95387E-027   7.39906E-029   3.87988E-027
  2.31700E+000   4.02972E-027   7.58712E-029   3.95385E-027
  2.34400E+000   4.10573E-027   7.78110E-029   4.02792E-027
  2.37100E+000   4.18481E-027   7.98180E-029   4.10499E-027
  2.39900E+000   4.26092E-027   8.18828E-029   4.17904E-027
  2.42700E+000   4.33888E-027   8.39373E-029   4.25494E-027
  2.45500E+000   4.41390E-027   8.59727E-029   4.32793E-027
  2.48300E+000   4.48952E-027   8.79945E-029   4.40153E-027
  2.51200E+000   4.56498E-027   9.01552E-029   4.47483E-027
  2.54100E+000   4.64107E-027   9.22907E-029   4.54878E-027
  2.57000E+000   4.71454E-027   9.44060E-029   4.62014E-027
  2.60000E+000   4.78984E-027   9.66659E-029   4.69317E-027
  2.63000E+000   4.86226E-027   9.88975E-029   4.76336E-027
  2.66100E+000   4.94076E-027   1.01273E-028   4.83949E-027
  2.69100E+000   5.01421E-027   1.03460E-028   4.91075E-027
  2.72300E+000   5.09208E-027   1.05948E-028   4.98614E-027
  2.75400E+000   5.16780E-027   1.08245E-028   5.05956E-027
  2.78600E+000   5.24718E-027   1.10676E-028   5.13651E-027
  2.81800E+000   5.32766E-027   1.13171E-028   5.21449E-027
  2.85100E+000   5.41383E-027   1.15701E-028   5.29813E-027
  2.88400E+000   5.50353E-027   1.18302E-028   5.38523E-027
  2.91700E+000   5.59998E-027   1.20862E-028   5.47912E-027
  2.95100E+000   5.70964E-027   1.23550E-028   5.58609E-027
  2.98500E+000   5.83577E-027   1.26204E-028   5.70957E-027
  3.02000E+000   5.99304E-027   1.28973E-028   5.86407E-027
  3.05500E+000   6.19569E-027   1.31611E-028   6.06408E-027
  3.09000E+000   6.47928E-027   1.34106E-028   6.34517E-027
  3.12600E+000   6.93254E-027   1.36631E-028   6.79591E-027
  3.16200E+000   7.74226E-027   1.38926E-028   7.60334E-027
  3.19900E+000   9.55595E-027   1.41250E-028   9.41470E-027
  3.23600E+000   1.49900E-026   1.43457E-028   1.48465E-026
  3.27300E+000   4.37910E-026   1.45568E-028   4.36454E-026
  3.31100E+000   9.15422E-026   1.48015E-028   9.13942E-026
  3.35000E+000   2.18682E-026   1.53821E-028   2.17144E-026
  3.38800E+000   1.19640E-026   1.63726E-028   1.18003E-026
  3.42800E+000   9.12059E-027   1.65494E-028   8.95509E-027
  3.46700E+000   8.03412E-027   1.66861E-028   7.86726E-027
  3.50700E+000   7.49392E-027   1.64616E-028   7.32931E-027
  3.54800E+000   7.19862E-027   1.63524E-028   7.03510E-027
  3.58900E+000   7.02919E-027   1.60857E-028   6.86833E-027
  3.63100E+000   6.92969E-027   1.60593E-028   6.76909E-027
  3.67300E+000   6.87391E-027   1.61887E-028   6.71202E-027
  3.71500E+000   6.84504E-027   1.63273E-028   6.68177E-027
  3.75800E+000   6.83284E-027   1.64612E-028   6.66823E-027
  3.80200E+000   6.83399E-027   1.66039E-028   6.66795E-027
  3.84600E+000   6.84364E-027   1.67505E-028   6.67614E-027
  3.89100E+000   6.85978E-027   1.68880E-028   6.69090E-027
  3.93500E+000   6.88227E-027   1.70269E-028   6.71200E-027
  3.98100E+000   6.90888E-027   1.71777E-028   6.73710E-027
  4.02700E+000   6.93979E-027   1.73243E-028   6.76654E-027
  4.07400E+000   6.97435E-027   1.74709E-028   6.79964E-027
  4.12100E+000   7.01316E-027   1.76227E-028   6.83693E-027
  4.16900E+000   7.05432E-027   1.77731E-028   6.87659E-027
  4.21700E+000   7.10055E-027   1.79289E-028   6.92126E-027
  4.26600E+000   7.14972E-027   1.80931E-028   6.96879E-027
  4.31500E+000   7.20389E-027   1.82526E-028   7.02137E-027
  4.36500E+000   7.26365E-027   1.84220E-028   7.07943E-027
  4.41600E+000   7.32793E-027   1.85886E-028   7.14204E-027
  4.46700E+000   7.39963E-027   1.87613E-028   7.21202E-027
  4.51900E+000   7.47930E-027   1.89410E-028   7.28989E-027
  4.57100E+000   7.56714E-027   1.91170E-028   7.37597E-027
  4.62400E+000   7.66636E-027   1.93011E-028   7.47334E-027
  4.67700E+000   7.77805E-027   1.94787E-028   7.58326E-027
  4.73200E+000   7.91108E-027   1.96677E-028   7.71441E-027
  4.78600E+000   8.06153E-027   1.98481E-028   7.86305E-027
