# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  2.72300E-001   7.04054E-035   6.05885E-037   6.97995E-035
  2.75400E-001   9.42929E-035   7.87404E-037   9.35055E-035
  2.78600E-001   1.26846E-034   1.02527E-036   1.25821E-034
  2.81800E-001   1.69773E-034   1.32675E-036   1.68447E-034
  2.85100E-001   2.28093E-034   1.71930E-036   2.26374E-034
  2.88400E-001   3.04807E-034   2.21422E-036   3.02593E-034
  2.91700E-001   4.05160E-034   2.83458E-036   4.02326E-034
  2.95100E-001   5.40230E-034   3.63308E-036   5.36597E-034
  2.98500E-001   7.16364E-034   4.62983E-036   7.11734E-034
  3.02000E-001   9.52409E-034   5.90543E-036   9.46503E-034
  3.05500E-001   1.21471E-033   7.48858E-036   1.20722E-033
  3.09000E-001   1.57737E-033   9.44203E-036   1.56793E-033
  3.12600E-001   2.04953E-033   1.19142E-035   2.03762E-033
  3.16200E-001   2.64512E-033   1.49494E-035   2.63017E-033
  3.19900E-001   3.41473E-033   1.87742E-035   3.39596E-033
  3.23600E-001   4.37887E-033   2.34451E-035   4.35542E-033
  3.27300E-001   5.57891E-033   2.91168E-035   5.54979E-033
  3.31100E-001   7.10772E-033   3.61869E-035   7.07153E-033
  3.35000E-001   9.05226E-033   4.49849E-035   9.00728E-033
  3.38800E-001   1.13846E-032   5.53243E-035   1.13292E-032
  3.42800E-001   1.43955E-032   6.84285E-035   1.43270E-032
  3.46700E-001   1.79798E-032   8.37619E-035   1.78961E-032
  3.50700E-001   2.24382E-032   1.02558E-034   2.23357E-032
  3.54800E-001   2.79667E-032   1.25571E-034   2.78411E-032
  3.58900E-001   3.46174E-032   1.52988E-034   3.44644E-032
  3.63100E-001   4.27616E-032   1.86391E-034   4.25752E-032
  3.67300E-001   5.24226E-032   2.25953E-034   5.21966E-032
  3.71500E-001   6.37537E-032   2.72700E-034   6.34810E-032
  3.75800E-001   7.71996E-032   3.29018E-034   7.68706E-032
  3.80200E-001   9.29201E-032   3.96921E-034   9.25232E-032
  3.84600E-001   1.10500E-031   4.76551E-034   1.10024E-031
  3.89100E-001   1.30061E-031   5.71987E-034   1.29489E-031
  3.93600E-001   1.50719E-031   6.83559E-034   1.50035E-031
  3.98100E-001   1.72134E-031   8.13227E-034   1.71320E-031
  4.02700E-001   1.95163E-031   9.67171E-034   1.94196E-031
  4.07400E-001   2.21189E-031   1.14957E-033   2.20039E-031
  4.12100E-001   2.51506E-031   1.36051E-033   2.50145E-031
  4.16900E-001   2.88575E-031   1.60939E-033   2.86966E-031
  4.21700E-001   3.33358E-031   1.89604E-033   3.31462E-031
  4.26600E-001   3.88566E-031   2.23234E-033   3.86334E-031
  4.31500E-001   4.54725E-031   2.61793E-033   4.52107E-031
  4.36500E-001   5.34339E-031   3.06727E-033   5.31272E-031
  4.41600E-001   6.28099E-031   3.59182E-033   6.24507E-031
  4.46700E-001   7.33259E-031   4.18964E-033   7.29070E-031
  4.51900E-001   8.49259E-031   4.88252E-033   8.44376E-031
  4.57100E-001   9.69074E-031   5.66941E-033   9.63405E-031
  4.62400E-001   1.08787E-030   6.57653E-033   1.08129E-030
  4.67700E-001   1.19490E-030   7.60265E-033   1.18729E-030
  4.73200E-001   1.28708E-030   8.80310E-033   1.27827E-030
  4.78600E-001   1.35868E-030   1.01303E-032   1.34855E-030
  4.84200E-001   1.42027E-030   1.16779E-032   1.40859E-030
