  3.162300E-02   1.885107E+01   1.885133E+01   1.000014E+00   9.999979E-01
  3.981100E-02   1.856221E+01   1.856263E+01   1.000023E+00   9.999969E-01
  3.349700E-02   1.878444E+01   1.878431E+01   9.999931E-01   9.999977E-01
  3.758400E-02   1.863888E+01   1.863885E+01   9.999982E-01   9.999970E-01
  3.548100E-02   1.871341E+01   1.871340E+01   9.999993E-01   9.999973E-01
  4.217000E-02   1.848476E+01   1.848489E+01   1.000007E+00   9.999962E-01
  4.466800E-02   1.840770E+01   1.840802E+01   1.000018E+00   9.999957E-01
  1.059300E-01   1.751989E+01   1.751796E+01   9.998899E-01   9.999769E-01
  7.943300E-02   1.774170E+01   1.774118E+01   9.999709E-01   9.999868E-01
  8.912500E-02   1.764344E+01   1.764291E+01   9.999698E-01   9.999832E-01
  8.413900E-02   1.769104E+01   1.769046E+01   9.999674E-01   9.999854E-01
  9.440600E-02   1.759901E+01   1.759835E+01   9.999626E-01   9.999813E-01
  1.000000E-01   1.755783E+01   1.755722E+01   9.999652E-01   9.999793E-01
  7.498900E-02   1.779539E+01   1.779519E+01   9.999887E-01   9.999881E-01
  6.309600E-02   1.797676E+01   1.797671E+01   9.999972E-01   9.999915E-01
  7.079500E-02   1.785223E+01   1.785212E+01   9.999940E-01   9.999896E-01
  6.683400E-02   1.791268E+01   1.791267E+01   9.999992E-01   9.999905E-01
  1.122000E-01   1.748470E+01   1.748272E+01   9.998870E-01   9.999743E-01
  5.956600E-02   1.804396E+01   1.804387E+01   9.999952E-01   9.999924E-01
  5.308800E-02   1.818456E+01   1.818452E+01   9.999974E-01   9.999939E-01
  5.623400E-02   1.811339E+01   1.811343E+01   1.000002E+00   9.999932E-01
  5.011900E-02   1.825734E+01   1.825771E+01   1.000021E+00   9.999946E-01
  4.731500E-02   1.833175E+01   1.833170E+01   9.999970E-01   9.999954E-01
  1.188500E-01   1.745158E+01   1.744954E+01   9.998830E-01   9.999716E-01
  1.258900E-01   1.742080E+01   1.741876E+01   9.998831E-01   9.999679E-01
  1.333500E-01   1.739222E+01   1.739019E+01   9.998837E-01   9.999639E-01
  1.412500E-01   1.736522E+01   1.736317E+01   9.998815E-01   9.999597E-01
  1.496200E-01   1.733938E+01   1.733735E+01   9.998827E-01   9.999560E-01
  1.584900E-01   1.731445E+01   1.731248E+01   9.998858E-01   9.999498E-01
  1.678800E-01   1.729012E+01   1.728806E+01   9.998808E-01   9.999454E-01
  1.778300E-01   1.726588E+01   1.726388E+01   9.998843E-01   9.999383E-01
  1.883600E-01   1.724142E+01   1.723952E+01   9.998899E-01   9.999311E-01
