# aeff[um]=   0.00200  comp=ad_s2  Teq[K]=  18.97544 (calc_Teq output)
# block 1 (GD): N=250   blocks 2-4 (MC fixed/2pass/buffered): N=600
# === GD block: T[K]   P(T_i)   dP/dlnT
  1.00000E+000   1.02137E-003   6.35296E-002
  1.03268E+000   0.00000E+000   0.00000E+000
  1.06642E+000   0.00000E+000   0.00000E+000
  1.10127E+000   0.00000E+000   0.00000E+000
  1.13725E+000   0.00000E+000   0.00000E+000
  1.17442E+000   0.00000E+000   0.00000E+000
  1.21279E+000   0.00000E+000   0.00000E+000
  1.25242E+000   0.00000E+000   0.00000E+000
  1.29335E+000   0.00000E+000   0.00000E+000
  1.33561E+000   0.00000E+000   0.00000E+000
  1.37925E+000   0.00000E+000   0.00000E+000
  1.42432E+000   0.00000E+000   0.00000E+000
  1.47086E+000   0.00000E+000   0.00000E+000
  1.51893E+000   0.00000E+000   0.00000E+000
  1.56856E+000   0.00000E+000   0.00000E+000
  1.61981E+000   0.00000E+000   0.00000E+000
  1.67274E+000   0.00000E+000   0.00000E+000
  1.72740E+000   0.00000E+000   0.00000E+000
  1.78385E+000   0.00000E+000   0.00000E+000
  1.84214E+000   0.00000E+000   0.00000E+000
  1.90233E+000   0.00000E+000   0.00000E+000
  1.96450E+000   0.00000E+000   0.00000E+000
  2.02869E+000   0.00000E+000   0.00000E+000
  2.09498E+000   0.00000E+000   0.00000E+000
  2.16344E+000   0.00000E+000   0.00000E+000
  2.23413E+000   0.00000E+000   0.00000E+000
  2.30713E+000   0.00000E+000   0.00000E+000
  2.38252E+000   0.00000E+000   0.00000E+000
  2.46038E+000   5.75758E-003   1.79062E-001
  2.54077E+000   9.27977E-003   2.88603E-001
  2.62380E+000   1.25242E-002   3.89507E-001
  2.70953E+000   1.55591E-002   4.83892E-001
  2.79807E+000   1.83957E-002   5.72111E-001
  2.88950E+000   2.10256E-002   6.53901E-001
  2.98392E+000   2.34332E-002   7.28777E-001
  3.08143E+000   2.56013E-002   7.96206E-001
  3.18212E+000   2.75145E-002   8.55708E-001
  3.28610E+000   2.91606E-002   9.06903E-001
  3.39348E+000   3.05318E-002   9.49547E-001
  3.50437E+000   3.16250E-002   9.83546E-001
  3.61888E+000   3.24420E-002   1.00895E+000
  3.73713E+000   3.29892E-002   1.02597E+000
  3.85925E+000   3.32773E-002   1.03493E+000
  3.98535E+000   3.33206E-002   1.03628E+000
  4.11558E+000   3.31364E-002   1.03055E+000
  4.25006E+000   3.27439E-002   1.01834E+000
  4.38894E+000   3.21642E-002   1.00032E+000
  4.53236E+000   3.14190E-002   9.77139E-001
  4.68046E+000   3.05303E-002   9.49498E-001
  4.83340E+000   2.95197E-002   9.18069E-001
  4.99134E+000   2.84085E-002   8.83512E-001
  5.15444E+000   2.72174E-002   8.46467E-001
  5.32287E+000   2.59659E-002   8.07547E-001
  5.49680E+000   2.46731E-002   7.67338E-001
  5.67642E+000   2.33566E-002   7.26397E-001
  5.86191E+000   2.20334E-002   6.85244E-001
  6.05345E+000   2.07189E-002   6.44364E-001
