# DL07 PAH, neutral: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1823
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  6.254131E-005  2.818383E-002  1.941661E-006
  6.254131E-005  3.162278E-002  2.178579E-006
  6.254131E-005  3.548134E-002  2.444405E-006
  6.254131E-005  3.981072E-002  2.742667E-006
  6.254131E-005  4.466836E-002  3.077323E-006
  6.254131E-005  5.011872E-002  3.452812E-006
  6.254131E-005  5.623413E-002  3.874118E-006
  6.254131E-005  6.309573E-002  4.346830E-006
  6.254131E-005  7.079458E-002  4.877223E-006
  6.254131E-005  7.943282E-002  5.472332E-006
  6.254131E-005  8.912509E-002  6.140055E-006
  6.254131E-005  1.000000E-001  6.889252E-006
  6.254131E-005  1.122018E-001  7.729864E-006
  6.254131E-005  1.258925E-001  8.673046E-006
  6.254131E-005  1.412538E-001  9.731312E-006
  6.254131E-005  1.584893E-001  1.091870E-005
  6.254131E-005  1.778279E-001  1.225098E-005
  6.254131E-005  1.995262E-001  1.374581E-005
  6.254131E-005  2.238721E-001  1.542304E-005
  6.254131E-005  2.511886E-001  1.730492E-005
  6.254131E-005  2.818383E-001  1.941641E-005
  6.254131E-005  3.162278E-001  2.178554E-005
  6.254131E-005  3.548134E-001  2.444375E-005
  6.254131E-005  3.981072E-001  2.742629E-005
  6.254131E-005  4.466836E-001  3.077274E-005
  6.254131E-005  5.011872E-001  3.452751E-005
  6.254131E-005  5.623413E-001  3.874042E-005
  6.254131E-005  6.309573E-001  4.346735E-005
  6.254131E-005  7.079458E-001  4.877102E-005
  6.254131E-005  7.943282E-001  5.472180E-005
  6.254131E-005  8.912509E-001  6.139864E-005
  6.254131E-005  1.000000E+000  6.889012E-005
  6.254131E-005  1.122018E+000  7.729562E-005
  6.254131E-005  1.258925E+000  8.672665E-005
  6.254131E-005  1.412538E+000  9.730832E-005
  6.254131E-005  1.584893E+000  1.091810E-004
  6.254131E-005  1.778279E+000  1.225022E-004
  6.254131E-005  1.995262E+000  1.374486E-004
  6.254131E-005  2.238721E+000  1.542184E-004
  6.254131E-005  2.511886E+000  1.730340E-004
  6.254131E-005  2.818383E+000  1.941451E-004
  6.254131E-005  3.162278E+000  2.178315E-004
  6.254131E-005  3.548134E+000  2.444075E-004
  6.254131E-005  3.981072E+000  2.742253E-004
  6.254131E-005  4.466836E+000  3.076798E-004
  6.254131E-005  5.011872E+000  3.452145E-004
  6.303245E-005  3.548134E-004  2.533359E-008
  6.303245E-005  3.981072E-004  2.842472E-008
  6.303245E-005  4.466836E-004  3.189303E-008
  6.303245E-005  5.011872E-004  3.578454E-008
  6.303245E-005  5.623413E-004  4.015088E-008
  6.303245E-005  6.309573E-004  4.505000E-008
  6.303245E-005  7.079458E-004  5.054689E-008
  6.303245E-005  7.943282E-004  5.671452E-008
  6.303245E-005  8.912509E-004  6.363470E-008
  6.303245E-005  1.000000E-003  7.139928E-008
  6.303245E-005  1.122018E-003  8.011127E-008
  6.303245E-005  1.258925E-003  8.988629E-008
  6.303245E-005  1.412538E-003  1.008540E-007
  6.303245E-005  1.584893E-003  1.131601E-007
  6.303245E-005  1.778279E-003  1.269677E-007
  6.303245E-005  1.995262E-003  1.424600E-007
  6.303245E-005  2.238721E-003  1.598427E-007
  6.303245E-005  2.511886E-003  1.793465E-007
  6.303245E-005  2.818383E-003  2.012300E-007
  6.303245E-005  3.162278E-003  2.257837E-007
  6.303245E-005  3.548134E-003  2.533335E-007
  6.303245E-005  3.981072E-003  2.842448E-007
  6.303245E-005  4.466836E-003  3.189279E-007
  6.303245E-005  5.011872E-003  3.578429E-007
  6.303245E-005  5.623413E-003  4.015063E-007
  6.303245E-005  6.309573E-003  4.504975E-007
  6.303245E-005  7.079458E-003  5.054664E-007
  6.303245E-005  7.943282E-003  5.671426E-007
  6.303245E-005  8.912509E-003  6.363444E-007
  6.303245E-005  1.000000E-002  7.139901E-007
  6.303245E-005  1.122018E-002  8.011100E-007
  6.303245E-005  1.258925E-002  8.988602E-007
  6.303245E-005  1.412538E-002  1.008538E-006
  6.303245E-005  1.584893E-002  1.131598E-006
  6.303245E-005  1.778279E-002  1.269673E-006
  6.303245E-005  1.995262E-002  1.424597E-006
  6.303245E-005  2.238721E-002  1.598424E-006
  6.303245E-005  2.511886E-002  1.793461E-006
  6.303245E-005  2.818383E-002  2.012296E-006
  6.303245E-005  3.162278E-002  2.257832E-006
  6.303245E-005  3.548134E-002  2.533329E-006
  6.303245E-005  3.981072E-002  2.842442E-006
  6.303245E-005  4.466836E-002  3.189271E-006
  6.303245E-005  5.011872E-002  3.578421E-006
  6.303245E-005  5.623413E-002  4.015053E-006
  6.303245E-005  6.309573E-002  4.504962E-006
  6.303245E-005  7.079458E-002  5.054649E-006
  6.303245E-005  7.943282E-002  5.671408E-006
  6.303245E-005  8.912509E-002  6.363421E-006
  6.303245E-005  1.000000E-001  7.139873E-006
  6.303245E-005  1.122018E-001  8.011065E-006
  6.303245E-005  1.258925E-001  8.988558E-006
  6.303245E-005  1.412538E-001  1.008532E-005
  6.303245E-005  1.584893E-001  1.131591E-005
  6.303245E-005  1.778279E-001  1.269665E-005
  6.303245E-005  1.995262E-001  1.424586E-005
  6.303245E-005  2.238721E-001  1.598410E-005
  6.303245E-005  2.511886E-001  1.793444E-005
  6.303245E-005  2.818383E-001  2.012275E-005
  6.303245E-005  3.162278E-001  2.257806E-005
  6.303245E-005  3.548134E-001  2.533297E-005
  6.303245E-005  3.981072E-001  2.842401E-005
  6.303245E-005  4.466836E-001  3.189220E-005
  6.303245E-005  5.011872E-001  3.578355E-005
  6.303245E-005  5.623413E-001  4.014971E-005
  6.303245E-005  6.309573E-001  4.504859E-005
  6.303245E-005  7.079458E-001  5.054519E-005
  6.303245E-005  7.943282E-001  5.671244E-005
  6.303245E-005  8.912509E-001  6.363216E-005
  6.303245E-005  1.000000E+000  7.139615E-005
  6.303245E-005  1.122018E+000  8.010740E-005
  6.303245E-005  1.258925E+000  8.988149E-005
  6.303245E-005  1.412538E+000  1.008481E-004
  6.303245E-005  1.584893E+000  1.131526E-004
  6.303245E-005  1.778279E+000  1.269583E-004
  6.303245E-005  1.995262E+000  1.424483E-004
  6.303245E-005  2.238721E+000  1.598281E-004
  6.303245E-005  2.511886E+000  1.793281E-004
  6.303245E-005  2.818383E+000  2.012070E-004
  6.303245E-005  3.162278E+000  2.257549E-004
  6.303245E-005  3.548134E+000  2.532974E-004
  6.303245E-005  3.981072E+000  2.841996E-004
  6.303245E-005  4.466836E+000  3.188708E-004
  6.303245E-005  5.011872E+000  3.577705E-004
  6.352744E-005  3.548134E-004  2.621591E-008
  6.352744E-005  3.981072E-004  2.941470E-008
  6.352744E-005  4.466836E-004  3.300381E-008
  6.352744E-005  5.011872E-004  3.703085E-008
