# DL07 PAH, cation: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  9.226000E-002  2.818383E-002  1.604113E+000
  9.226000E-002  3.162278E-002  1.532795E+000
  9.226000E-002  3.548134E-002  1.485460E+000
  9.226000E-002  3.981072E-002  1.430739E+000
  9.226000E-002  4.466836E-002  1.371281E+000
  9.226000E-002  5.011872E-002  1.324829E+000
  9.226000E-002  5.623413E-002  1.273396E+000
  9.226000E-002  6.309573E-002  1.229557E+000
  9.226000E-002  7.079458E-002  1.185365E+000
  9.226000E-002  7.943282E-002  1.145632E+000
  9.226000E-002  8.912509E-002  1.108059E+000
  9.226000E-002  1.000000E-001  1.072743E+000
  9.226000E-002  1.122018E-001  1.039935E+000
  9.226000E-002  1.258925E-001  1.009439E+000
  9.226000E-002  1.412538E-001  9.810885E-001
  9.226000E-002  1.584893E-001  9.547393E-001
  9.226000E-002  1.778279E-001  9.302856E-001
  9.226000E-002  1.995262E-001  9.076400E-001
  9.226000E-002  2.238721E-001  8.866715E-001
  9.226000E-002  2.511886E-001  8.672836E-001
  9.226000E-002  2.818383E-001  8.493779E-001
  9.226000E-002  3.162278E-001  8.328600E-001
  9.226000E-002  3.548134E-001  8.176411E-001
  9.226000E-002  3.981072E-001  8.036359E-001
  9.226000E-002  4.466836E-001  7.907635E-001
  9.226000E-002  5.011872E-001  7.789470E-001
  9.226000E-002  5.623413E-001  7.681133E-001
  9.226000E-002  6.309573E-001  7.581929E-001
  9.226000E-002  7.079458E-001  7.491201E-001
  9.226000E-002  7.943282E-001  7.408322E-001
  9.226000E-002  8.912509E-001  7.332704E-001
  9.226000E-002  1.000000E+000  7.263787E-001
  9.226000E-002  1.122018E+000  7.201048E-001
  9.226000E-002  1.258925E+000  7.143993E-001
  9.226000E-002  1.412538E+000  7.092158E-001
  9.226000E-002  1.584893E+000  7.045112E-001
  9.226000E-002  1.778279E+000  7.002450E-001
  9.226000E-002  1.995262E+000  6.963797E-001
  9.226000E-002  2.238721E+000  6.928803E-001
  9.226000E-002  2.511886E+000  6.897147E-001
  9.226000E-002  2.818383E+000  6.868529E-001
  9.226000E-002  3.162278E+000  6.842675E-001
  9.226000E-002  3.548134E+000  6.819331E-001
  9.226000E-002  3.981072E+000  6.798266E-001
  9.226000E-002  4.466836E+000  6.779267E-001
  9.226000E-002  5.011872E+000  6.762140E-001
  9.332000E-002  3.548134E-004  7.308964E-002
  9.332000E-002  3.981072E-004  8.293137E-002
  9.332000E-002  4.466836E-004  9.223140E-002
  9.332000E-002  5.011872E-004  1.029205E-001
  9.332000E-002  5.623413E-004  1.163865E-001
  9.332000E-002  6.309573E-004  1.298752E-001
  9.332000E-002  7.079458E-004  1.460010E-001
  9.332000E-002  7.943282E-004  1.638898E-001
  9.332000E-002  8.912509E-004  1.836923E-001
  9.332000E-002  1.000000E-003  2.059448E-001
  9.332000E-002  1.122018E-003  2.311133E-001
  9.332000E-002  1.258925E-003  2.593373E-001
  9.332000E-002  1.412538E-003  2.909946E-001
  9.332000E-002  1.584893E-003  3.264018E-001
  9.332000E-002  1.778279E-003  3.662573E-001
