# DL07 silicate: Mie on the D03 astrosilicate dielectric function
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.332000E-002  5.623413E-003  7.767326E-001  7.538920E-001  2.284062E-002  2.940603E-002  2.295227E-002
  9.332000E-002  6.309573E-003  8.896591E-001  8.537304E-001  3.592867E-002  4.038477E-002  2.898485E-002
  9.332000E-002  7.079458E-003  1.021410E+000  9.652308E-001  5.617932E-002  5.500173E-002  3.668935E-002
  9.332000E-002  7.943282E-003  1.174195E+000  1.087177E+000  8.701739E-002  7.410814E-002  4.660304E-002
  9.332000E-002  8.912509E-003  1.348767E+000  1.215934E+000  1.328332E-001  9.848490E-002  5.948621E-002
  9.332000E-002  1.000000E-002  1.542725E+000  1.344322E+000  1.984034E-001  1.286058E-001  7.643226E-002
  9.332000E-002  1.122018E-002  1.748459E+000  1.461221E+000  2.872384E-001  1.642809E-001  9.901583E-002
  9.332000E-002  1.258925E-002  1.952097E+000  1.553403E+000  3.986938E-001  2.042387E-001  1.294447E-001
  9.332000E-002  1.412538E-002  2.135839E+000  1.610734E+000  5.251054E-001  2.458544E-001  1.705850E-001
  9.332000E-002  1.584893E-002  2.284960E+000  1.632808E+000  6.521513E-001  2.854104E-001  2.255593E-001
  9.332000E-002  1.778279E-002  2.396206E+000  1.631267E+000  7.649390E-001  3.192293E-001  2.964899E-001
  9.332000E-002  1.995262E-002  2.480690E+000  1.623725E+000  8.569652E-001  3.454544E-001  3.821177E-001
  9.332000E-002  2.238721E-002  2.556085E+000  1.621743E+000  9.343424E-001  3.655365E-001  4.745273E-001
  9.332000E-002  2.511886E-002  2.628357E+000  1.619351E+000  1.009006E+000  3.838922E-001  5.577115E-001
  9.332000E-002  2.818383E-002  2.680819E+000  1.598203E+000  1.082616E+000  4.038376E-001  6.169164E-001
  9.332000E-002  3.162278E-002  2.700341E+000  1.557997E+000  1.142344E+000  4.230369E-001  6.555333E-001
  9.332000E-002  3.548134E-002  2.704843E+000  1.521091E+000  1.183752E+000  4.376417E-001  6.895408E-001
  9.332000E-002  3.981072E-002  2.705901E+000  1.487440E+000  1.218461E+000  4.502977E-001  7.219761E-001
  9.332000E-002  4.466836E-002  2.690259E+000  1.443471E+000  1.246789E+000  4.634455E-001  7.451258E-001
  9.332000E-002  5.011872E-002  2.669102E+000  1.403353E+000  1.265749E+000  4.742228E-001  7.643248E-001
  9.332000E-002  5.623413E-002  2.644440E+000  1.362447E+000  1.281994E+000  4.847882E-001  7.810421E-001
  9.332000E-002  6.309573E-002  2.615960E+000  1.322482E+000  1.293478E+000  4.944564E-001  7.940965E-001
  9.332000E-002  7.079458E-002  2.586623E+000  1.283615E+000  1.303008E+000  5.037488E-001  8.054012E-001
  9.332000E-002  7.943282E-002  2.556966E+000  1.246971E+000  1.309995E+000  5.123240E-001  8.147014E-001
  9.332000E-002  8.912509E-002  2.527001E+000  1.211648E+000  1.315354E+000  5.205195E-001  8.224365E-001
  9.332000E-002  1.000000E-001  2.497615E+000  1.178386E+000  1.319229E+000  5.281955E-001  8.289688E-001
  9.332000E-002  1.122018E-001  2.468948E+000  1.147169E+000  1.321778E+000  5.353610E-001  8.344395E-001
  9.332000E-002  1.258925E-001  2.441129E+000  1.117917E+000  1.323213E+000  5.420494E-001  8.390243E-001
  9.332000E-002  1.412538E-001  2.414299E+000  1.090593E+000  1.323706E+000  5.482774E-001  8.428734E-001
  9.332000E-002  1.584893E-001  2.388550E+000  1.065143E+000  1.323407E+000  5.540629E-001  8.461072E-001
  9.332000E-002  1.778279E-001  2.363932E+000  1.041483E+000  1.322449E+000  5.594277E-001  8.488225E-001
