# DL07 silicate: Mie on the D03 astrosilicate dielectric function
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1823
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  6.402633E-005  1.412538E+000  1.694338E-001  7.458221E-003  1.619756E-001  9.559815E-001  1.000000E+000
  6.402633E-005  1.584893E+000  2.111966E-001  8.363969E-003  2.028327E-001  9.603972E-001  1.000000E+000
  6.402633E-005  1.778279E+000  2.630433E-001  9.379128E-003  2.536642E-001  9.643438E-001  1.000000E+000
  6.402633E-005  1.995262E+000  3.272324E-001  1.051676E-002  3.167156E-001  9.678615E-001  1.000000E+000
  6.402633E-005  2.238721E+000  4.064199E-001  1.179146E-002  3.946284E-001  9.709870E-001  1.000000E+000
  6.402633E-005  2.511886E+000  5.036618E-001  1.321949E-002  4.904423E-001  9.737532E-001  1.000000E+000
  6.402633E-005  2.818383E+000  6.223675E-001  1.481901E-002  6.075485E-001  9.761893E-001  1.000000E+000
  6.402633E-005  3.162278E+000  7.661673E-001  1.661022E-002  7.495571E-001  9.783204E-001  1.000000E+000
  6.402633E-005  3.548134E+000  9.386428E-001  1.861563E-002  9.200271E-001  9.801675E-001  1.000000E+000
  6.402633E-005  3.981072E+000  1.142847E+000  2.086025E-002  1.121987E+000  9.817471E-001  1.000000E+000
  6.402633E-005  4.466836E+000  1.380523E+000  2.337188E-002  1.357151E+000  9.830703E-001  1.000000E+000
  6.402633E-005  5.011872E+000  1.650923E+000  2.618134E-002  1.624741E+000  9.841414E-001  1.000000E+000
  6.452913E-005  3.548134E-004  1.932613E-006  1.922031E-006  1.058162E-008  5.475294E-003  9.966331E-001
  6.452913E-005  3.981072E-004  2.169885E-006  2.156554E-006  1.333022E-008  6.143287E-003  9.972543E-001
  6.452913E-005  4.466836E-004  2.436484E-006  2.419693E-006  1.679081E-008  6.891408E-003  9.977588E-001
  6.452913E-005  5.011872E-004  2.736088E-006  2.714940E-006  2.114772E-008  7.729181E-003  9.981688E-001
  6.452913E-005  5.623413E-004  3.072845E-006  3.046212E-006  2.663294E-008  8.667192E-003  9.985093E-001
