# DL07 PAH, neutral: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  9.332000E-002  5.011872E+000  6.764203E-001
  9.441000E-002  3.548134E-004  7.124202E-002
  9.441000E-002  3.981072E-004  8.083518E-002
  9.441000E-002  4.466836E-004  8.989995E-002
  9.441000E-002  5.011872E-004  1.003187E-001
  9.441000E-002  5.623413E-004  1.134445E-001
  9.441000E-002  6.309573E-004  1.265921E-001
  9.441000E-002  7.079458E-004  1.423103E-001
  9.441000E-002  7.943282E-004  1.597470E-001
  9.441000E-002  8.912509E-004  1.790488E-001
  9.441000E-002  1.000000E-003  2.007388E-001
  9.441000E-002  1.122018E-003  2.252712E-001
  9.441000E-002  1.258925E-003  2.527817E-001
  9.441000E-002  1.412538E-003  2.836388E-001
  9.441000E-002  1.584893E-003  3.181511E-001
  9.441000E-002  1.778279E-003  3.569993E-001
  9.441000E-002  1.995262E-003  4.005362E-001
  9.441000E-002  2.238721E-003  4.494257E-001
  9.441000E-002  2.511886E-003  5.043335E-001
  9.441000E-002  2.818383E-003  5.659038E-001
  9.441000E-002  3.162278E-003  6.350094E-001
  9.441000E-002  3.548134E-003  7.125318E-001
  9.441000E-002  3.981072E-003  7.995554E-001
  9.441000E-002  4.466836E-003  8.972195E-001
  9.441000E-002  5.011872E-003  1.005833E+000
  9.441000E-002  5.623413E-003  1.088349E+000
  9.441000E-002  6.309573E-003  1.197326E+000
  9.441000E-002  7.079458E-003  1.330389E+000
  9.441000E-002  7.943282E-003  1.482251E+000
  9.441000E-002  8.912509E-003  1.642370E+000
  9.441000E-002  1.000000E-002  1.792886E+000
  9.441000E-002  1.122018E-002  1.909074E+000
  9.441000E-002  1.258925E-002  1.965877E+000
  9.441000E-002  1.412538E-002  1.951827E+000
  9.441000E-002  1.584893E-002  1.882356E+000
  9.441000E-002  1.778279E-002  1.796867E+000
  9.441000E-002  1.995262E-002  1.735155E+000
  9.441000E-002  2.238721E-002  1.706874E+000
  9.441000E-002  2.511886E-002  1.678454E+000
  9.441000E-002  2.818383E-002  1.614498E+000
  9.441000E-002  3.162278E-002  1.538900E+000
  9.441000E-002  3.548134E-002  1.488942E+000
  9.441000E-002  3.981072E-002  1.439671E+000
  9.441000E-002  4.466836E-002  1.378483E+000
  9.441000E-002  5.011872E-002  1.331794E+000
  9.441000E-002  5.623413E-002  1.281525E+000
  9.441000E-002  6.309573E-002  1.236879E+000
  9.441000E-002  7.079458E-002  1.192984E+000
  9.441000E-002  7.943282E-002  1.153467E+000
  9.441000E-002  8.912509E-002  1.115475E+000
  9.441000E-002  1.000000E-001  1.080113E+000
  9.441000E-002  1.122018E-001  1.047283E+000
  9.441000E-002  1.258925E-001  1.016685E+000
  9.441000E-002  1.412538E-001  9.881970E-001
  9.441000E-002  1.584893E-001  9.617142E-001
  9.441000E-002  1.778279E-001  9.370974E-001
  9.441000E-002  1.995262E-001  9.142544E-001
  9.441000E-002  2.238721E-001  8.930813E-001
  9.441000E-002  2.511886E-001  8.734765E-001
  9.441000E-002  2.818383E-001  8.553419E-001
  9.441000E-002  3.162278E-001  8.385864E-001
  9.441000E-002  3.548134E-001  8.231225E-001
  9.441000E-002  3.981072E-001  8.088679E-001
  9.441000E-002  4.466836E-001  7.957438E-001
  9.441000E-002  5.011872E-001  7.836752E-001
  9.441000E-002  5.623413E-001  7.725910E-001
  9.441000E-002  6.309573E-001  7.624235E-001
  9.441000E-002  7.079458E-001  7.531081E-001
  9.441000E-002  7.943282E-001  7.445838E-001
  9.441000E-002  8.912509E-001  7.367927E-001
  9.441000E-002  1.000000E+000  7.296799E-001
  9.441000E-002  1.122018E+000  7.231936E-001
  9.441000E-002  1.258925E+000  7.172850E-001
  9.441000E-002  1.412538E+000  7.119083E-001
  9.441000E-002  1.584893E+000  7.070204E-001
  9.441000E-002  1.778279E+000  7.025811E-001
  9.441000E-002  1.995262E+000  6.985529E-001
  9.441000E-002  2.238721E+000  6.949006E-001
  9.441000E-002  2.511886E+000  6.915919E-001
  9.441000E-002  2.818383E+000  6.885967E-001
  9.441000E-002  3.162278E+000  6.858871E-001
  9.441000E-002  3.548134E+000  6.834376E-001
  9.441000E-002  3.981072E+000  6.812245E-001
  9.441000E-002  4.466836E+000  6.792261E-001
  9.441000E-002  5.011872E+000  6.774225E-001
  9.550000E-002  3.548134E-004  6.951973E-002
  9.550000E-002  3.981072E-004  7.888124E-002
  9.550000E-002  4.466836E-004  8.772667E-002
  9.550000E-002  5.011872E-004  9.789342E-002
  9.550000E-002  5.623413E-004  1.107021E-001
  9.550000E-002  6.309573E-004  1.235317E-001
  9.550000E-002  7.079458E-004  1.388700E-001
  9.550000E-002  7.943282E-004  1.558851E-001
  9.550000E-002  8.912509E-004  1.747203E-001
  9.550000E-002  1.000000E-003  1.958859E-001
  9.550000E-002  1.122018E-003  2.198252E-001
  9.550000E-002  1.258925E-003  2.466707E-001
  9.550000E-002  1.412538E-003  2.767818E-001
  9.550000E-002  1.584893E-003  3.104598E-001
  9.550000E-002  1.778279E-003  3.483689E-001
  9.550000E-002  1.995262E-003  3.908535E-001
  9.550000E-002  2.238721E-003  4.385614E-001
  9.550000E-002  2.511886E-003  4.921423E-001
  9.550000E-002  2.818383E-003  5.522250E-001
  9.550000E-002  3.162278E-003  6.196615E-001
  9.550000E-002  3.548134E-003  6.953124E-001
  9.550000E-002  3.981072E-003  7.802366E-001
  9.550000E-002  4.466836E-003  8.755469E-001
  9.550000E-002  5.011872E-003  9.813660E-001
  9.550000E-002  5.623413E-003  1.054074E+000
  9.550000E-002  6.309573E-003  1.154600E+000
  9.550000E-002  7.079458E-003  1.281051E+000
  9.550000E-002  7.943282E-003  1.428996E+000
  9.550000E-002  8.912509E-003  1.589055E+000
  9.550000E-002  1.000000E-002  1.744523E+000
  9.550000E-002  1.122018E-002  1.871097E+000
  9.550000E-002  1.258925E-002  1.942254E+000
  9.550000E-002  1.412538E-002  1.942343E+000
  9.550000E-002  1.584893E-002  1.881435E+000
  9.550000E-002  1.778279E-002  1.796549E+000
  9.550000E-002  1.995262E-002  1.730756E+000
  9.550000E-002  2.238721E-002  1.700712E+000
  9.550000E-002  2.511886E-002  1.676967E+000
  9.550000E-002  2.818383E-002  1.618306E+000
  9.550000E-002  3.162278E-002  1.541418E+000
  9.550000E-002  3.548134E-002  1.489404E+000
  9.550000E-002  3.981072E-002  1.442910E+000
  9.550000E-002  4.466836E-002  1.381607E+000
  9.550000E-002  5.011872E-002  1.334257E+000
  9.550000E-002  5.623413E-002  1.285084E+000
  9.550000E-002  6.309573E-002  1.239803E+000
  9.550000E-002  7.079458E-002  1.196401E+000
  9.550000E-002  7.943282E-002  1.156858E+000
  9.550000E-002  8.912509E-002  1.118774E+000
  9.550000E-002  1.000000E-001  1.083525E+000
  9.550000E-002  1.122018E-001  1.050745E+000
  9.550000E-002  1.258925E-001  1.020144E+000
  9.550000E-002  1.412538E-001  9.916314E-001
  9.550000E-002  1.584893E-001  9.651153E-001
  9.550000E-002  1.778279E-001  9.404699E-001
  9.550000E-002  1.995262E-001  9.175708E-001
  9.550000E-002  2.238721E-001  8.963370E-001
  9.550000E-002  2.511886E-001  8.766577E-001
  9.550000E-002  2.818383E-001  8.584390E-001
  9.550000E-002  3.162278E-001  8.415915E-001
  9.550000E-002  3.548134E-001  8.260293E-001
