# DL07 graphite: Mie on the D03 graphite dielectric functions, 1/3 E||c + 2/3 E-perp-c
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.441000E-002  1.584893E-001  2.474823E+000  9.607530E-001  1.514070E+000  6.117892E-001  7.737723E-001
  9.441000E-002  1.778279E-001  2.442883E+000  9.363308E-001  1.506553E+000  6.167108E-001  7.759674E-001
  9.441000E-002  1.995262E-001  2.412668E+000  9.136433E-001  1.499025E+000  6.213142E-001  7.777239E-001
  9.441000E-002  2.238721E-001  2.384154E+000  8.925944E-001  1.491559E+000  6.256137E-001  7.791164E-001
  9.441000E-002  2.511886E-001  2.357292E+000  8.730888E-001  1.484203E+000  6.296221E-001  7.802014E-001
  9.441000E-002  2.818383E-001  2.332031E+000  8.550332E-001  1.476998E+000  6.333526E-001  7.810285E-001
  9.441000E-002  3.162278E-001  2.308316E+000  8.383407E-001  1.469975E+000  6.368171E-001  7.816395E-001
  9.441000E-002  3.548134E-001  2.286085E+000  8.229270E-001  1.463158E+000  6.400279E-001  7.820695E-001
  9.441000E-002  3.981072E-001  2.265278E+000  8.087124E-001  1.456566E+000  6.429964E-001  7.823483E-001
  9.441000E-002  4.466836E-001  2.245830E+000  7.956201E-001  1.450210E+000  6.457345E-001  7.825013E-001
  9.441000E-002  5.011872E-001  2.227676E+000  7.835769E-001  1.444100E+000  6.482537E-001  7.825500E-001
  9.441000E-002  5.623413E-001  2.210752E+000  7.725129E-001  1.438239E+000  6.505656E-001  7.825127E-001
  9.441000E-002  6.309573E-001  2.194992E+000  7.623613E-001  1.432630E+000  6.526815E-001  7.824051E-001
  9.441000E-002  7.079458E-001  2.180332E+000  7.530587E-001  1.427273E+000  6.546128E-001  7.822404E-001
  9.441000E-002  7.943282E-001  2.166709E+000  7.445446E-001  1.422165E+000  6.563708E-001  7.820299E-001
  9.441000E-002  8.912509E-001  2.154063E+000  7.367615E-001  1.417301E+000  6.579665E-001  7.817832E-001
  9.441000E-002  1.000000E+000  2.142332E+000  7.296551E-001  1.412677E+000  6.594109E-001  7.815085E-001
  9.441000E-002  1.122018E+000  2.131460E+000  7.231739E-001  1.408287E+000  6.607144E-001  7.812128E-001
  9.441000E-002  1.258925E+000  2.121392E+000  7.172694E-001  1.404122E+000  6.618874E-001  7.809019E-001
  9.441000E-002  1.412538E+000  2.112073E+000  7.118959E-001  1.400177E+000  6.629397E-001  7.805809E-001
  9.441000E-002  1.584893E+000  2.103453E+000  7.070106E-001  1.396443E+000  6.638810E-001  7.802537E-001
  9.441000E-002  1.778279E+000  2.095485E+000  7.025733E-001  1.392911E+000  6.647204E-001  7.799241E-001
  9.441000E-002  1.995262E+000  2.088121E+000  6.985466E-001  1.389574E+000  6.654664E-001  7.795949E-001
  9.441000E-002  2.238721E+000  2.081319E+000  6.948956E-001  1.386424E+000  6.661274E-001  7.792684E-001
  9.441000E-002  2.511886E+000  2.075039E+000  6.915880E-001  1.383451E+000  6.667109E-001  7.789468E-001
  9.441000E-002  2.818383E+000  2.069242E+000  6.885936E-001  1.380648E+000  6.672242E-001  7.786315E-001
  9.441000E-002  3.162278E+000  2.063892E+000  6.858846E-001  1.378007E+000  6.676741E-001  7.783240E-001
  9.441000E-002  3.548134E+000  2.058956E+000  6.834356E-001  1.375520E+000  6.680668E-001  7.780252E-001
  9.441000E-002  3.981072E+000  2.054402E+000  6.812229E-001  1.373179E+000  6.684081E-001  7.777358E-001
  9.441000E-002  4.466836E+000  2.050201E+000  6.792248E-001  1.370976E+000  6.687033E-001  7.774566E-001
  9.441000E-002  5.011872E+000  2.046327E+000  6.774215E-001  1.368906E+000  6.689574E-001  7.771878E-001
  9.550000E-002  3.548134E-004  5.267524E-002  5.267452E-002  7.158955E-007  1.359074E-005  6.757949E-005
  9.550000E-002  3.981072E-004  5.911367E-002  5.911254E-002  1.134738E-006  1.919586E-005  8.507227E-005
  9.550000E-002  4.466836E-004  6.634230E-002  6.634050E-002  1.798676E-006  2.711205E-005  1.070914E-004
  9.550000E-002  5.011872E-004  7.445942E-002  7.445657E-002  2.851181E-006  3.829173E-005  1.348071E-004
  9.550000E-002  5.623413E-004  8.357615E-002  8.357163E-002  4.519752E-006  5.407945E-005  1.696918E-004
  9.550000E-002  6.309573E-004  9.381824E-002  9.381107E-002  7.165176E-006  7.637296E-005  2.135978E-004
  9.550000E-002  7.079458E-004  1.053284E-001  1.053170E-001  1.135970E-005  1.078504E-004  2.688545E-004
  9.550000E-002  7.943282E-004  1.182689E-001  1.182509E-001  1.801116E-005  1.522900E-004  3.383913E-004
