# Wavelength, tau_Ad/NH, tau_PAH/NH, tau_total/NH
# [Microns] [cm^2/H] [cm^2/H] [cm^2/H]
3.4026e-01 3.9247e-22 1.2861e-22 5.2108e-22
3.4458e-01 3.9023e-22 1.2445e-22 5.1468e-22
3.4896e-01 3.8788e-22 1.2039e-22 5.0827e-22
3.5339e-01 3.8548e-22 1.1641e-22 5.0190e-22
3.5788e-01 3.8306e-22 1.1253e-22 4.9559e-22
3.6243e-01 3.8058e-22 1.0873e-22 4.8931e-22
3.6704e-01 3.7806e-22 1.0501e-22 4.8307e-22
3.7170e-01 3.7545e-22 1.0137e-22 4.7682e-22
3.7642e-01 3.7278e-22 9.7796e-23 4.7057e-22
3.8120e-01 3.7006e-22 9.4295e-23 4.6436e-22
3.8605e-01 3.6731e-22 9.0864e-23 4.5818e-22
3.9095e-01 3.6448e-22 8.7500e-23 4.5198e-22
3.9592e-01 3.6164e-22 8.4204e-23 4.4584e-22
4.0095e-01 3.5873e-22 8.0980e-23 4.3971e-22
4.0604e-01 3.5580e-22 7.7835e-23 4.3363e-22
4.1120e-01 3.5279e-22 7.4775e-23 4.2756e-22
4.1642e-01 3.4974e-22 7.1804e-23 4.2155e-22
4.2171e-01 3.4665e-22 6.8926e-23 4.1558e-22
4.2707e-01 3.4351e-22 6.6144e-23 4.0965e-22
4.3250e-01 3.4033e-22 6.3460e-23 4.0379e-22
4.3799e-01 3.3712e-22 6.0867e-23 3.9799e-22
4.4355e-01 3.3384e-22 5.8352e-23 3.9220e-22
4.4919e-01 3.3054e-22 5.5902e-23 3.8644e-22
4.5490e-01 3.2719e-22 5.3507e-23 3.8070e-22
4.6068e-01 3.2383e-22 5.1159e-23 3.7499e-22
4.6653e-01 3.2042e-22 4.8856e-23 3.6928e-22
4.7245e-01 3.1697e-22 4.6601e-23 3.6357e-22
4.7846e-01 3.1350e-22 4.4403e-23 3.5790e-22
4.8454e-01 3.1003e-22 4.2269e-23 3.5230e-22
4.9069e-01 3.0647e-22 4.0205e-23 3.4667e-22
4.9692e-01 3.0289e-22 3.8218e-23 3.4111e-22
5.0324e-01 2.9933e-22 3.6311e-23 3.3564e-22
5.0963e-01 2.9572e-22 3.4485e-23 3.3020e-22
5.1611e-01 2.9208e-22 3.2741e-23 3.2482e-22
5.2266e-01 2.8847e-22 3.1075e-23 3.1954e-22
5.2930e-01 2.8483e-22 2.9482e-23 3.1431e-22
5.3603e-01 2.8119e-22 2.7957e-23 3.0914e-22
5.4284e-01 2.7750e-22 2.6495e-23 3.0399e-22
5.4973e-01 2.7378e-22 2.5090e-23 2.9887e-22
5.5672e-01 2.7009e-22 2.3740e-23 2.9383e-22
5.6379e-01 2.6634e-22 2.2445e-23 2.8879e-22
5.7095e-01 2.6258e-22 2.1207e-23 2.8379e-22
5.7821e-01 2.5882e-22 2.0026e-23 2.7884e-22
5.8555e-01 2.5504e-22 1.8902e-23 2.7395e-22
5.9299e-01 2.5127e-22 1.7836e-23 2.6910e-22
6.0052e-01 2.4752e-22 1.6826e-23 2.6434e-22
6.0815e-01 2.4375e-22 1.5871e-23 2.5962e-22
6.1588e-01 2.4001e-22 1.4968e-23 2.5498e-22
6.2370e-01 2.3628e-22 1.4114e-23 2.5039e-22
6.3163e-01 2.3250e-22 1.3304e-23 2.4581e-22
6.3965e-01 2.2877e-22 1.2539e-23 2.4131e-22
6.4778e-01 2.2505e-22 1.1816e-23 2.3687e-22
6.5601e-01 2.2134e-22 1.1134e-23 2.3248e-22
6.6434e-01 2.1762e-22 1.0493e-23 2.2811e-22
6.7278e-01 2.1391e-22 9.8901e-24 2.2380e-22
6.8133e-01 2.1021e-22 9.3254e-24 2.1954e-22
6.8998e-01 2.0654e-22 8.7973e-24 2.1534e-22
6.9875e-01 2.0287e-22 8.3046e-24 2.1117e-22
7.0763e-01 1.9924e-22 7.8459e-24 2.0709e-22
7.1662e-01 1.9563e-22 7.4190e-24 2.0305e-22
7.2572e-01 1.9202e-22 7.0221e-24 1.9904e-22
7.3494e-01 1.8845e-22 6.6528e-24 1.9511e-22
7.4428e-01 1.8492e-22 6.3089e-24 1.9123e-22
7.5373e-01 1.8139e-22 5.9886e-24 1.8738e-22
7.6331e-01 1.7789e-22 5.6901e-24 1.8358e-22
7.7300e-01 1.7441e-22 5.4119e-24 1.7982e-22
7.8282e-01 1.7097e-22 5.1530e-24 1.7612e-22
7.9277e-01 1.6755e-22 4.9122e-24 1.7246e-22
8.0284e-01 1.6418e-22 4.6885e-24 1.6887e-22
8.1304e-01 1.6081e-22 4.4809e-24 1.6530e-22
8.2337e-01 1.5752e-22 4.2890e-24 1.6180e-22
8.3383e-01 1.5424e-22 4.1125e-24 1.5835e-22
8.4442e-01 1.5099e-22 3.9514e-24 1.5494e-22
8.5515e-01 1.4778e-22 3.8056e-24 1.5159e-22
8.6601e-01 1.4461e-22 3.6753e-24 1.4828e-22
8.7702e-01 1.4147e-22 3.5600e-24 1.4503e-22
8.8816e-01 1.3836e-22 3.4596e-24 1.4182e-22
8.9944e-01 1.3529e-22 3.3739e-24 1.3867e-22
9.1087e-01 1.3227e-22 3.3036e-24 1.3557e-22
9.2244e-01 1.2928e-22 3.2502e-24 1.3253e-22
9.3416e-01 1.2631e-22 3.2186e-24 1.2953e-22
9.4603e-01 1.2341e-22 3.2138e-24 1.2662e-22
9.5805e-01 1.2052e-22 3.2461e-24 1.2377e-22
9.7022e-01 1.1767e-22 3.3338e-24 1.2101e-22
9.8254e-01 1.1484e-22 3.5097e-24 1.1835e-22
9.9502e-01 1.1199e-22 3.8353e-24 1.1583e-22
1.0077e+00 1.0924e-22 4.4250e-24 1.1366e-22
1.0205e+00 1.0662e-22 5.4694e-24 1.1209e-22
1.0334e+00 1.0408e-22 7.0952e-24 1.1117e-22
1.0466e+00 1.0157e-22 8.5429e-24 1.1012e-22
1.0599e+00 9.9121e-23 7.9513e-24 1.0707e-22
1.0733e+00 9.6745e-23 6.1179e-24 1.0286e-22
1.0870e+00 9.4430e-23 4.6827e-24 9.9113e-23
1.1008e+00 9.2185e-23 3.8098e-24 9.5994e-23
