# Wavelength, p^max/NH
# [Microns] [cm^2/H]
5.6678e+03 9.7102e-29
5.7398e+03 9.5268e-29
5.8128e+03 9.3470e-29
5.8866e+03 9.1694e-29
5.9614e+03 8.9925e-29
6.0371e+03 8.8236e-29
6.1138e+03 8.6576e-29
6.1915e+03 8.4943e-29
6.2702e+03 8.3316e-29
6.3498e+03 8.1713e-29
6.4305e+03 8.0177e-29
6.5122e+03 7.8660e-29
6.5949e+03 7.7179e-29
6.6787e+03 7.5689e-29
6.7635e+03 7.4261e-29
6.8495e+03 7.2860e-29
6.9365e+03 7.1481e-29
7.0246e+03 7.0113e-29
7.1138e+03 6.8763e-29
7.2042e+03 6.7467e-29
7.2957e+03 6.6192e-29
7.3884e+03 6.4947e-29
7.4823e+03 6.3695e-29
7.5774e+03 6.2486e-29
7.6736e+03 6.1305e-29
7.7711e+03 6.0142e-29
7.8698e+03 5.9003e-29
7.9698e+03 5.7885e-29
8.0711e+03 5.6765e-29
8.1736e+03 5.5699e-29
8.2774e+03 5.4651e-29
8.3826e+03 5.3620e-29
8.4891e+03 5.2584e-29
8.5969e+03 5.1581e-29
8.7061e+03 5.0603e-29
8.8168e+03 4.9657e-29
8.9288e+03 4.8713e-29
9.0422e+03 4.7793e-29
9.1571e+03 4.6870e-29
9.2734e+03 4.5977e-29
9.3912e+03 4.5110e-29
9.5105e+03 4.4257e-29
9.6313e+03 4.3430e-29
9.7537e+03 4.2589e-29
9.8776e+03 4.1775e-29
1.0003e+04 4.0993e-29
1.0130e+04 4.0211e-29
1.0259e+04 3.9457e-29
1.0389e+04 3.8708e-29
1.0521e+04 3.7958e-29
1.0655e+04 3.7240e-29
1.0790e+04 3.6541e-29
1.0927e+04 3.5849e-29
1.1066e+04 3.5168e-29
1.1207e+04 3.4491e-29
1.1349e+04 3.3832e-29
1.1493e+04 3.3197e-29
1.1639e+04 3.2563e-29
1.1787e+04 3.1950e-29
1.1937e+04 3.1342e-29
1.2089e+04 3.0739e-29
1.2242e+04 3.0157e-29
1.2398e+04 2.9585e-29
1.2555e+04 2.9031e-29
1.2715e+04 2.8482e-29
1.2876e+04 2.7922e-29
1.3040e+04 2.7399e-29
1.3205e+04 2.6884e-29
1.3373e+04 2.6370e-29
1.3543e+04 2.5874e-29
1.3715e+04 2.5386e-29
1.3889e+04 2.4899e-29
1.4066e+04 2.4420e-29
1.4245e+04 2.3957e-29
1.4425e+04 2.3510e-29
1.4609e+04 2.3063e-29
1.4794e+04 2.2623e-29
1.4982e+04 2.2188e-29
1.5173e+04 2.1770e-29
1.5365e+04 2.1354e-29
1.5561e+04 2.0953e-29
1.5758e+04 2.0558e-29
1.5958e+04 2.0170e-29
1.6161e+04 1.9781e-29
1.6367e+04 1.9403e-29
1.6574e+04 1.9034e-29
1.6785e+04 1.8680e-29
1.6998e+04 1.8323e-29
1.7214e+04 1.7975e-29
1.7433e+04 1.7636e-29
1.7654e+04 1.7296e-29
1.7879e+04 1.6967e-29
1.8106e+04 1.6648e-29
1.8336e+04 1.6335e-29
1.8569e+04 1.6027e-29
1.8805e+04 1.5716e-29
1.9044e+04 1.5417e-29
1.9285e+04 1.5125e-29
1.9530e+04 1.4837e-29
1.9779e+04 1.4556e-29
2.0030e+04 1.4280e-29
2.0284e+04 1.4005e-29
2.0542e+04 1.3740e-29
2.0803e+04 1.3480e-29
2.1067e+04 1.3227e-29
2.1335e+04 1.2979e-29
2.1606e+04 1.2728e-29
2.1880e+04 1.2482e-29
2.2158e+04 1.2247e-29
2.2440e+04 1.2021e-29
2.2725e+04 1.1791e-29
2.3014e+04 1.1562e-29
2.3306e+04 1.1345e-29
2.3602e+04 1.1131e-29
2.3902e+04 1.0918e-29
2.4206e+04 1.0709e-29
2.4513e+04 1.0508e-29
2.4825e+04 1.0307e-29
2.5140e+04 1.0114e-29
2.5459e+04 9.9235e-30
2.5783e+04 9.7328e-30
2.6110e+04 9.5497e-30
2.6442e+04 9.3672e-30
2.6778e+04 9.1875e-30
2.7118e+04 9.0136e-30
2.7463e+04 8.8428e-30
2.7812e+04 8.6748e-30
2.8165e+04 8.5144e-30
2.8523e+04 8.3476e-30
2.8885e+04 8.1928e-30
2.9252e+04 8.0361e-30
2.9624e+04 7.8852e-30
3.0000e+04 7.7094e-30
