# Wavelength, p^max/NH
# [Microns] [cm^2/H]
1.2025e+00 8.5777e-24
1.2177e+00 8.4153e-24
1.2332e+00 8.2565e-24
1.2489e+00 8.1005e-24
1.2647e+00 7.9441e-24
1.2808e+00 7.7811e-24
1.2971e+00 7.6303e-24
1.3136e+00 7.4950e-24
1.3303e+00 7.3548e-24
1.3472e+00 7.2095e-24
1.3643e+00 7.0583e-24
1.3816e+00 6.8927e-24
1.3991e+00 6.7299e-24
1.4169e+00 6.5747e-24
1.4349e+00 6.4249e-24
1.4532e+00 6.2804e-24
1.4716e+00 6.1378e-24
1.4903e+00 5.9992e-24
1.5092e+00 5.8635e-24
1.5284e+00 5.7287e-24
1.5478e+00 5.5974e-24
1.5675e+00 5.4704e-24
1.5874e+00 5.3442e-24
1.6076e+00 5.2205e-24
1.6280e+00 5.0992e-24
1.6487e+00 4.9806e-24
1.6696e+00 4.8638e-24
1.6908e+00 4.7499e-24
1.7123e+00 4.6395e-24
1.7341e+00 4.5308e-24
1.7561e+00 4.4256e-24
1.7784e+00 4.3224e-24
1.8010e+00 4.2220e-24
1.8239e+00 4.1244e-24
1.8471e+00 4.0301e-24
1.8705e+00 3.9382e-24
1.8943e+00 3.8489e-24
1.9184e+00 3.7628e-24
1.9427e+00 3.6798e-24
1.9674e+00 3.6001e-24
1.9924e+00 3.5223e-24
2.0177e+00 3.4482e-24
2.0433e+00 3.3770e-24
2.0693e+00 3.3082e-24
2.0956e+00 3.2414e-24
2.1222e+00 3.1782e-24
2.1492e+00 3.1164e-24
2.1765e+00 3.0571e-24
2.2041e+00 2.9997e-24
2.2321e+00 2.9443e-24
2.2605e+00 2.8911e-24
2.2892e+00 2.8388e-24
2.3183e+00 2.7890e-24
2.3477e+00 2.7407e-24
2.3776e+00 2.6949e-24
2.4078e+00 2.6507e-24
2.4384e+00 2.6075e-24
2.4693e+00 2.5660e-24
2.5007e+00 2.5262e-24
2.5325e+00 2.4883e-24
2.5647e+00 2.4517e-24
2.5972e+00 2.4170e-24
2.6302e+00 2.3839e-24
2.6636e+00 2.3529e-24
2.6975e+00 2.3222e-24
2.7318e+00 2.2941e-24
2.7665e+00 2.2666e-24
2.8016e+00 2.2414e-24
2.8372e+00 2.2180e-24
2.8732e+00 2.1960e-24
2.9097e+00 2.1753e-24
2.9467e+00 2.1566e-24
2.9841e+00 2.1388e-24
3.0221e+00 2.1233e-24
3.0605e+00 2.1069e-24
3.0993e+00 2.0900e-24
3.1387e+00 2.0726e-24
3.1786e+00 2.0537e-24
3.2190e+00 2.0341e-24
3.2599e+00 2.0125e-24
3.3013e+00 1.9895e-24
3.3432e+00 1.9889e-24
3.3857e+00 2.0755e-24
3.4287e+00 2.0794e-24
3.4723e+00 2.0675e-24
3.5164e+00 2.0150e-24
3.5610e+00 1.9608e-24
3.6063e+00 1.8973e-24
3.6521e+00 1.8569e-24
3.6985e+00 1.8304e-24
3.7455e+00 1.8065e-24
3.7931e+00 1.7842e-24
3.8412e+00 1.7637e-24
3.8900e+00 1.7428e-24
3.9395e+00 1.7234e-24
3.9895e+00 1.7053e-24
4.0402e+00 1.6876e-24
4.0915e+00 1.6704e-24
4.1435e+00 1.6542e-24
4.1961e+00 1.6389e-24
4.2495e+00 1.6248e-24
4.3034e+00 1.6114e-24
4.3581e+00 1.5988e-24
4.4135e+00 1.5868e-24
4.4695e+00 1.5757e-24
4.5263e+00 1.5658e-24
4.5838e+00 1.5560e-24
4.6421e+00 1.5471e-24
4.7010e+00 1.5388e-24
4.7608e+00 1.5311e-24
4.8212e+00 1.5234e-24
4.8825e+00 1.5163e-24
4.9445e+00 1.5096e-24
5.0073e+00 1.5030e-24
