# Effective radius, dn_Ad/nH, dn_PAH/nH, f_ion, f_align
# [Microns] [Number/H] [Number/H] [] []
# Note dn_i/nH = (1/nH)*(dn/da)_i*da, i.e., the number of grains
# of composition i per H atom in the size bin centered at the effective radius.
2.8184e-02 2.1944e-14 7.2050e-18 9.6573e-01 1.4690e-01
2.9854e-02 2.0238e-14 3.1851e-18 9.6759e-01 1.6036e-01
3.1623e-02 1.9236e-14 1.3791e-18 9.6935e-01 1.7480e-01
3.3497e-02 1.8618e-14 5.8485e-19 9.7101e-01 1.9025e-01
3.5481e-02 1.8207e-14 2.4305e-19 9.7259e-01 2.0671e-01
3.7584e-02 1.7910e-14 9.8876e-20 9.7408e-01 2.2422e-01
3.9811e-02 1.7675e-14 3.9409e-20 9.7550e-01 2.4275e-01
4.2170e-02 1.7474e-14 1.5385e-20 9.7684e-01 2.6229e-01
4.4668e-02 1.7292e-14 5.8849e-21 9.7810e-01 2.8281e-01
4.7315e-02 1.7117e-14 2.2041e-21 9.7930e-01 3.0429e-01
5.0119e-02 1.6943e-14 8.0853e-22 9.8044e-01 3.2665e-01
5.3088e-02 1.6763e-14 2.9063e-22 9.8151e-01 3.4982e-01
5.6234e-02 1.6570e-14 1.0229e-22 9.8253e-01 3.7373e-01
5.9566e-02 1.6359e-14 3.5269e-23 9.8349e-01 3.9828e-01
6.3096e-02 1.6126e-14 1.1909e-23 9.8440e-01 4.2334e-01
6.6834e-02 1.5865e-14 3.9403e-24 9.8526e-01 4.4880e-01
7.0795e-02 1.5572e-14 1.2764e-24 9.8607e-01 4.7454e-01
7.4989e-02 1.5242e-14 4.0519e-25 9.8684e-01 5.0041e-01
7.9433e-02 1.4871e-14 1.2594e-25 9.8757e-01 5.2629e-01
8.4139e-02 1.4457e-14 3.8355e-26 9.8825e-01 5.5201e-01
8.9125e-02 1.3999e-14 1.1438e-26 9.8890e-01 5.7747e-01
9.4406e-02 1.3493e-14 3.3416e-27 9.8952e-01 6.0252e-01
1.0000e-01 1.2942e-14 9.5619e-28 9.9010e-01 6.2704e-01
1.0593e-01 1.2345e-14 2.6775e-28 9.9065e-01 6.5095e-01
1.1220e-01 1.1707e-14 7.3607e-29 9.9117e-01 6.7407e-01
1.1885e-01 1.1030e-14 1.9787e-29 9.9166e-01 6.9641e-01
1.2589e-01 1.0321e-14 5.2143e-30 9.9212e-01 7.1785e-01
1.3335e-01 9.5844e-15 1.3452e-30 9.9256e-01 7.3835e-01
