# Wavelength, tau^sca_Ad/NH, tau^sca_PAH/NH, tau^sca_total/NH
# [Microns] [cm^2/H] [cm^2/H] [cm^2/H]
3.4026e-01 2.9107e-22 5.7946e-26 2.9113e-22
3.4458e-01 2.8980e-22 5.4369e-26 2.8986e-22
3.4896e-01 2.8845e-22 5.1097e-26 2.8850e-22
3.5339e-01 2.8704e-22 4.8097e-26 2.8709e-22
3.5788e-01 2.8561e-22 4.5341e-26 2.8566e-22
3.6243e-01 2.8410e-22 4.2804e-26 2.8415e-22
3.6704e-01 2.8256e-22 4.0463e-26 2.8260e-22
3.7170e-01 2.8093e-22 3.8298e-26 2.8097e-22
3.7642e-01 2.7924e-22 3.6292e-26 2.7928e-22
3.8120e-01 2.7750e-22 3.4424e-26 2.7754e-22
3.8605e-01 2.7572e-22 3.2681e-26 2.7575e-22
3.9095e-01 2.7386e-22 3.1051e-26 2.7389e-22
3.9592e-01 2.7198e-22 2.9521e-26 2.7201e-22
4.0095e-01 2.7004e-22 2.8082e-26 2.7007e-22
4.0604e-01 2.6806e-22 2.6725e-26 2.6809e-22
4.1120e-01 2.6602e-22 2.5443e-26 2.6604e-22
4.1642e-01 2.6393e-22 2.4229e-26 2.6395e-22
4.2171e-01 2.6179e-22 2.3078e-26 2.6181e-22
4.2707e-01 2.5959e-22 2.1983e-26 2.5961e-22
4.3250e-01 2.5735e-22 2.0943e-26 2.5737e-22
4.3799e-01 2.5508e-22 1.9952e-26 2.5510e-22
4.4355e-01 2.5274e-22 1.9007e-26 2.5276e-22
4.4919e-01 2.5037e-22 1.8107e-26 2.5039e-22
4.5490e-01 2.4795e-22 1.7248e-26 2.4797e-22
4.6068e-01 2.4551e-22 1.6429e-26 2.4553e-22
4.6653e-01 2.4302e-22 1.5647e-26 2.4304e-22
4.7245e-01 2.4050e-22 1.4901e-26 2.4052e-22
4.7846e-01 2.3794e-22 1.4189e-26 2.3795e-22
4.8454e-01 2.3537e-22 1.3510e-26 2.3538e-22
4.9069e-01 2.3272e-22 1.2863e-26 2.3273e-22
4.9692e-01 2.3005e-22 1.2246e-26 2.3006e-22
5.0324e-01 2.2737e-22 1.1657e-26 2.2738e-22
5.0963e-01 2.2465e-22 1.1097e-26 2.2466e-22
5.1611e-01 2.2189e-22 1.0563e-26 2.2190e-22
5.2266e-01 2.1916e-22 1.0055e-26 2.1917e-22
5.2930e-01 2.1639e-22 9.5712e-27 2.1640e-22
5.3603e-01 2.1362e-22 9.1108e-27 2.1362e-22
5.4284e-01 2.1079e-22 8.6728e-27 2.1080e-22
5.4973e-01 2.0793e-22 8.2562e-27 2.0794e-22
5.5672e-01 2.0509e-22 7.8600e-27 2.0510e-22
5.6379e-01 2.0219e-22 7.4834e-27 2.0220e-22
5.7095e-01 1.9927e-22 7.1254e-27 1.9928e-22
5.7821e-01 1.9635e-22 6.7851e-27 1.9635e-22
5.8555e-01 1.9340e-22 6.4616e-27 1.9341e-22
5.9299e-01 1.9045e-22 6.1543e-27 1.9046e-22
6.0052e-01 1.8752e-22 5.8622e-27 1.8753e-22
6.0815e-01 1.8456e-22 5.5846e-27 1.8457e-22
6.1588e-01 1.8163e-22 5.3208e-27 1.8163e-22
6.2370e-01 1.7870e-22 5.0702e-27 1.7871e-22
6.3163e-01 1.7572e-22 4.8321e-27 1.7573e-22
6.3965e-01 1.7279e-22 4.6057e-27 1.7279e-22
6.4778e-01 1.6985e-22 4.3906e-27 1.6986e-22
6.5601e-01 1.6692e-22 4.1861e-27 1.6692e-22
6.6434e-01 1.6397e-22 3.9917e-27 1.6397e-22
6.7278e-01 1.6102e-22 3.8068e-27 1.6102e-22
6.8133e-01 1.5808e-22 3.6310e-27 1.5808e-22
6.8998e-01 1.5515e-22 3.4637e-27 1.5516e-22
6.9875e-01 1.5222e-22 3.3046e-27 1.5222e-22
7.0763e-01 1.4933e-22 3.1533e-27 1.4933e-22
7.1662e-01 1.4645e-22 3.0092e-27 1.4645e-22
7.2572e-01 1.4355e-22 2.8721e-27 1.4355e-22
7.3494e-01 1.4070e-22 2.7416e-27 1.4070e-22
7.4428e-01 1.3787e-22 2.6173e-27 1.3787e-22
7.5373e-01 1.3504e-22 2.4989e-27 1.3505e-22
7.6331e-01 1.3223e-22 2.3861e-27 1.3224e-22
7.7300e-01 1.2944e-22 2.2786e-27 1.2945e-22
7.8282e-01 1.2668e-22 2.1761e-27 1.2668e-22
7.9277e-01 1.2393e-22 2.0784e-27 1.2393e-22
8.0284e-01 1.2122e-22 1.9853e-27 1.2123e-22
8.1304e-01 1.1852e-22 1.8964e-27 1.1852e-22
8.2337e-01 1.1587e-22 1.8117e-27 1.1587e-22
8.3383e-01 1.1324e-22 1.7308e-27 1.1324e-22
8.4442e-01 1.1062e-22 1.6537e-27 1.1063e-22
8.5515e-01 1.0805e-22 1.5800e-27 1.0805e-22
8.6601e-01 1.0550e-22 1.5097e-27 1.0550e-22
8.7702e-01 1.0298e-22 1.4425e-27 1.0298e-22
8.8816e-01 1.0047e-22 1.3784e-27 1.0048e-22
8.9944e-01 9.8004e-23 1.3172e-27 9.8005e-23
9.1087e-01 9.5564e-23 1.2586e-27 9.5566e-23
9.2244e-01 9.3162e-23 1.2027e-27 9.3163e-23
9.3416e-01 9.0762e-23 1.1493e-27 9.0763e-23
9.4603e-01 8.8423e-23 1.0983e-27 8.8424e-23
9.5805e-01 8.6095e-23 1.0495e-27 8.6096e-23
9.7022e-01 8.3809e-23 1.0028e-27 8.3810e-23
9.8254e-01 8.1559e-23 9.5823e-28 8.1560e-23
9.9502e-01 7.9296e-23 9.1560e-28 7.9297e-23
1.0077e+00 7.7006e-23 8.7484e-28 7.7007e-23
1.0205e+00 7.4765e-23 8.3586e-28 7.4766e-23
1.0334e+00 7.2595e-23 7.9860e-28 7.2595e-23
1.0466e+00 7.0450e-23 7.6297e-28 7.0450e-23
1.0599e+00 6.8346e-23 7.2889e-28 6.8346e-23
1.0733e+00 6.6306e-23 6.9630e-28 6.6307e-23
1.0870e+00 6.4312e-23 6.6514e-28 6.4313e-23
1.1008e+00 6.2380e-23 6.3534e-28 6.2380e-23
1.1147e+00 6.0488e-23 6.0684e-28 6.0488e-23
1.1289e+00 5.8637e-23 5.7958e-28 5.8638e-23
1.1433e+00 5.6839e-23 5.5352e-28 5.6840e-23
1.1578e+00 5.5090e-23 5.2859e-28 5.5090e-23
1.1725e+00 5.3381e-23 5.0476e-28 5.3381e-23
1.1874e+00 5.1696e-23 4.8197e-28 5.1697e-23
1.2025e+00 5.0067e-23 4.6018e-28 5.0068e-23
1.2177e+00 4.8462e-23 4.3935e-28 4.8462e-23
1.2332e+00 4.6913e-23 4.1943e-28 4.6913e-23
1.2489e+00 4.5413e-23 4.0038e-28 4.5414e-23
1.2647e+00 4.3946e-23 3.8218e-28 4.3947e-23
1.2808e+00 4.2477e-23 3.6478e-28 4.2478e-23
1.2971e+00 4.1104e-23 3.4814e-28 4.1105e-23
1.3136e+00 3.9843e-23 3.3225e-28 3.9843e-23
1.3303e+00 3.8582e-23 3.1705e-28 3.8583e-23
1.3472e+00 3.7325e-23 3.0253e-28 3.7326e-23
1.3643e+00 3.6065e-23 2.8865e-28 3.6065e-23
1.3816e+00 3.4761e-23 2.7539e-28 3.4761e-23
1.3991e+00 3.3499e-23 2.6273e-28 3.3500e-23
1.4169e+00 3.2299e-23 2.5063e-28 3.2299e-23
1.4349e+00 3.1151e-23 2.3906e-28 3.1151e-23
1.4532e+00 3.0051e-23 2.2802e-28 3.0052e-23
1.4716e+00 2.8985e-23 2.1747e-28 2.8985e-23
1.4903e+00 2.7956e-23 2.0740e-28 2.7956e-23
1.5092e+00 2.6962e-23 1.9778e-28 2.6962e-23
1.5284e+00 2.5990e-23 1.8859e-28 2.5990e-23
1.5478e+00 2.5054e-23 1.7982e-28 2.5054e-23
1.5675e+00 2.4155e-23 1.7145e-28 2.4155e-23
1.5874e+00 2.3276e-23 1.6345e-28 2.3276e-23
1.6076e+00 2.2423e-23 1.5582e-28 2.2423e-23
1.6280e+00 2.1597e-23 1.4854e-28 2.1597e-23
1.6487e+00 2.0797e-23 1.4159e-28 2.0797e-23
1.6696e+00 2.0019e-23 1.3495e-28 2.0019e-23
1.6908e+00 1.9266e-23 1.2862e-28 1.9266e-23
1.7123e+00 1.8541e-23 1.2258e-28 1.8541e-23
1.7341e+00 1.7833e-23 1.1682e-28 1.7833e-23
1.7561e+00 1.7153e-23 1.1132e-28 1.7153e-23
1.7784e+00 1.6491e-23 1.0607e-28 1.6491e-23
1.8010e+00 1.5850e-23 1.0107e-28 1.5850e-23
1.8239e+00 1.5231e-23 9.6295e-29 1.5231e-23
1.8471e+00 1.4633e-23 9.1742e-29 1.4633e-23
1.8705e+00 1.4054e-23 8.7401e-29 1.4054e-23
1.8943e+00 1.3495e-23 8.3262e-29 1.3495e-23
1.9184e+00 1.2955e-23 7.9314e-29 1.2955e-23
1.9427e+00 1.2435e-23 7.5550e-29 1.2435e-23
1.9674e+00 1.1935e-23 7.1961e-29 1.1935e-23
1.9924e+00 1.1450e-23 6.8540e-29 1.1450e-23
2.0177e+00 1.0985e-23 6.5278e-29 1.0986e-23
2.0433e+00 1.0538e-23 6.2170e-29 1.0538e-23
2.0693e+00 1.0107e-23 5.9206e-29 1.0107e-23
2.0956e+00 9.6905e-24 5.6381e-29 9.6906e-24
2.1222e+00 9.2938e-24 5.3690e-29 9.2939e-24
2.1492e+00 8.9098e-24 5.1124e-29 8.9098e-24
2.1765e+00 8.5420e-24 4.8680e-29 8.5420e-24
2.2041e+00 8.1879e-24 4.6350e-29 8.1879e-24
2.2321e+00 7.8481e-24 4.4130e-29 7.8481e-24
2.2605e+00 7.5223e-24 4.2016e-29 7.5223e-24
2.2892e+00 7.2067e-24 4.0001e-29 7.2067e-24
2.3183e+00 6.9054e-24 3.8081e-29 6.9054e-24
2.3477e+00 6.6156e-24 3.6253e-29 6.6156e-24
2.3776e+00 6.3355e-24 3.4511e-29 6.3355e-24
2.4078e+00 6.0676e-24 3.2851e-29 6.0676e-24
2.4384e+00 5.8096e-24 3.1271e-29 5.8097e-24
2.4693e+00 5.5632e-24 2.9766e-29 5.5632e-24
2.5007e+00 5.3254e-24 2.8332e-29 5.3255e-24
2.5325e+00 5.0976e-24 2.6966e-29 5.0977e-24
2.5647e+00 4.8797e-24 2.5666e-29 4.8797e-24
2.5972e+00 4.6691e-24 2.4428e-29 4.6691e-24
2.6302e+00 4.4683e-24 2.3249e-29 4.4683e-24
2.6636e+00 4.2745e-24 2.2126e-29 4.2745e-24
2.6975e+00 4.0896e-24 2.1057e-29 4.0896e-24
2.7318e+00 3.9117e-24 2.0039e-29 3.9118e-24
2.7665e+00 3.7421e-24 1.9069e-29 3.7422e-24
2.8016e+00 3.5796e-24 1.8147e-29 3.5797e-24
2.8372e+00 3.4246e-24 1.7268e-29 3.4246e-24
2.8732e+00 3.2759e-24 1.6432e-29 3.2759e-24
2.9097e+00 3.1338e-24 1.5636e-29 3.1338e-24
2.9467e+00 2.9988e-24 1.4878e-29 2.9988e-24
2.9841e+00 2.8696e-24 1.4156e-29 2.8696e-24
3.0221e+00 2.7477e-24 1.3470e-29 2.7477e-24
3.0605e+00 2.6309e-24 1.2816e-29 2.6309e-24
3.0993e+00 2.5194e-24 1.2194e-29 2.5194e-24
3.1387e+00 2.4123e-24 1.1601e-29 2.4123e-24
3.1786e+00 2.3091e-24 1.1038e-29 2.3092e-24
3.2190e+00 2.2089e-24 1.0501e-29 2.2089e-24
3.2599e+00 2.1102e-24 9.9908e-30 2.1103e-24
3.3013e+00 2.0094e-24 9.5049e-30 2.0094e-24
3.3432e+00 1.9019e-24 9.0425e-30 1.9019e-24
3.3857e+00 1.8518e-24 8.6025e-30 1.8518e-24
3.4287e+00 1.8007e-24 8.1838e-30 1.8007e-24
3.4723e+00 1.7488e-24 7.7853e-30 1.7488e-24
3.5164e+00 1.6877e-24 7.4061e-30 1.6877e-24
3.5610e+00 1.6174e-24 7.0453e-30 1.6174e-24
3.6063e+00 1.5389e-24 6.7019e-30 1.5389e-24
3.6521e+00 1.4608e-24 6.3752e-30 1.4608e-24
3.6985e+00 1.3905e-24 6.0643e-30 1.3905e-24
3.7455e+00 1.3252e-24 5.7686e-30 1.3252e-24
3.7931e+00 1.2634e-24 5.4872e-30 1.2634e-24
3.8412e+00 1.2048e-24 5.2195e-30 1.2048e-24
3.8900e+00 1.1486e-24 4.9648e-30 1.1486e-24
3.9395e+00 1.0949e-24 4.7224e-30 1.0949e-24
3.9895e+00 1.0437e-24 4.4918e-30 1.0437e-24
4.0402e+00 9.9476e-25 4.2724e-30 9.9477e-25
4.0915e+00 9.4787e-25 4.0638e-30 9.4788e-25
4.1435e+00 9.0320e-25 3.8652e-30 9.0320e-25
4.1961e+00 8.6061e-25 3.6763e-30 8.6062e-25
4.2495e+00 8.2008e-25 3.4967e-30 8.2009e-25
4.3034e+00 7.8146e-25 3.3258e-30 7.8146e-25
4.3581e+00 7.4449e-25 3.1631e-30 7.4449e-25
4.4135e+00 7.0940e-25 3.0085e-30 7.0941e-25
4.4695e+00 6.7586e-25 2.8613e-30 6.7586e-25
4.5263e+00 6.4409e-25 2.7214e-30 6.4409e-25
4.5838e+00 6.1365e-25 2.5882e-30 6.1366e-25
4.6421e+00 5.8474e-25 2.4616e-30 5.8475e-25
4.7010e+00 5.5733e-25 2.3411e-30 5.5733e-25
4.7608e+00 5.3123e-25 2.2265e-30 5.3123e-25
4.8212e+00 5.0635e-25 2.1175e-30 5.0635e-25
4.8825e+00 4.8266e-25 2.0139e-30 4.8266e-25
4.9445e+00 4.6020e-25 1.9152e-30 4.6020e-25
5.0073e+00 4.3881e-25 1.8214e-30 4.3881e-25
5.0710e+00 4.1841e-25 1.7322e-30 4.1841e-25
5.1354e+00 3.9886e-25 1.6474e-30 3.9886e-25
5.2006e+00 3.8031e-25 1.5667e-30 3.8032e-25
5.2667e+00 3.6260e-25 1.4899e-30 3.6260e-25
5.3336e+00 3.4568e-25 1.4169e-30 3.4568e-25
5.4014e+00 3.2956e-25 1.3475e-30 3.2956e-25
5.4700e+00 3.1417e-25 1.2815e-30 3.1417e-25
5.5395e+00 2.9944e-25 1.2187e-30 2.9944e-25
5.6098e+00 2.8541e-25 1.1589e-30 2.8541e-25
5.6811e+00 2.7194e-25 1.1021e-30 2.7194e-25
5.7533e+00 2.5915e-25 1.0481e-30 2.5915e-25
5.8264e+00 2.4686e-25 9.9678e-31 2.4686e-25
5.9004e+00 2.3512e-25 9.4794e-31 2.3512e-25
5.9754e+00 2.2393e-25 9.0153e-31 2.2393e-25
6.0513e+00 2.1322e-25 8.5742e-31 2.1322e-25
6.1281e+00 2.0297e-25 8.1558e-31 2.0297e-25
6.2060e+00 1.9316e-25 7.7619e-31 1.9316e-25
6.2848e+00 1.8378e-25 7.3403e-31 1.8378e-25
6.3647e+00 1.7478e-25 6.9865e-31 1.7478e-25
6.4455e+00 1.6615e-25 6.6568e-31 1.6615e-25
6.5274e+00 1.5789e-25 6.3327e-31 1.5789e-25
6.6104e+00 1.4991e-25 6.0228e-31 1.4991e-25
6.6943e+00 1.4214e-25 5.7278e-31 1.4215e-25
6.7794e+00 1.3477e-25 5.4470e-31 1.3477e-25
6.8655e+00 1.2898e-25 5.1799e-31 1.2898e-25
6.9527e+00 1.2256e-25 4.9257e-31 1.2256e-25
7.0411e+00 1.1556e-25 4.6840e-31 1.1556e-25
7.1305e+00 1.0922e-25 4.4542e-31 1.0922e-25
7.2211e+00 1.0316e-25 4.2356e-31 1.0316e-25
7.3128e+00 9.7298e-26 4.0277e-31 9.7298e-26
7.4057e+00 9.1634e-26 3.8300e-31 9.1634e-26
7.4998e+00 8.6134e-26 3.6419e-31 8.6134e-26
7.5951e+00 8.0728e-26 3.4631e-31 8.0728e-26
7.6916e+00 7.5379e-26 3.2931e-31 7.5380e-26
7.7893e+00 6.9883e-26 3.1314e-31 6.9883e-26
7.8883e+00 6.4271e-26 2.9776e-31 6.4271e-26
7.9885e+00 5.9021e-26 2.8314e-31 5.9022e-26
8.0900e+00 5.4337e-26 2.6923e-31 5.4337e-26
8.1927e+00 5.0314e-26 2.5601e-31 5.0314e-26
8.2968e+00 4.7443e-26 2.4344e-31 4.7443e-26
8.4022e+00 4.5851e-26 2.3148e-31 4.5852e-26
8.5090e+00 4.5039e-26 2.2011e-31 4.5039e-26
8.6171e+00 4.3141e-26 2.0930e-31 4.3142e-26
8.7265e+00 4.1083e-26 1.9902e-31 4.1083e-26
8.8374e+00 4.2160e-26 1.8924e-31 4.2160e-26
8.9497e+00 4.4806e-26 1.7995e-31 4.4806e-26
9.0634e+00 4.7967e-26 1.7111e-31 4.7968e-26
9.1785e+00 5.2235e-26 1.6270e-31 5.2235e-26
