# columns: t[s]  T_pre[K]  T_post[K]  dt_event[s]
#   T_pre  : cooling-segment endpoint (just BEFORE the photon jump)
#   T_post : grain T immediately AFTER the photon jump
4.2989738E+001 4.1131301E+001 4.1565391E+001 1.3819963E+000
4.3105537E+001 4.1554189E+001 4.1751675E+001 1.1579935E-001
4.3157436E+001 4.1746580E+001 4.1813435E+001 5.1899235E-002
4.3493469E+001 4.1780327E+001 4.2648870E+001 3.3603285E-001
4.4061183E+001 4.2589328E+001 4.2627778E+001 5.6771381E-001
4.4558276E+001 4.2575711E+001 4.2962471E+001 4.9709264E-001
4.5543861E+001 4.2856833E+001 4.2939709E+001 9.8558576E-001
4.6610626E+001 4.2825599E+001 4.3019222E+001 1.0667648E+000
4.6643090E+001 4.3015714E+001 4.3100243E+001 3.2464223E-002
4.6663790E+001 4.3097992E+001 4.3213475E+001 2.0700022E-002
4.7239418E+001 4.3150515E+001 4.3285669E+001 5.7562793E-001
4.8126507E+001 4.3188249E+001 4.3511128E+001 8.8708912E-001
4.8227964E+001 4.3499763E+001 4.4029404E+001 1.0145653E-001
4.8232265E+001 4.4028904E+001 4.4185574E+001 4.3006643E-003
4.8363539E+001 4.4170133E+001 4.4574765E+001 1.3127410E-001
4.8983134E+001 4.4499983E+001 4.4607360E+001 6.1959518E-001
4.9011540E+001 4.4603914E+001 4.4781596E+001 2.8406226E-002
4.9464256E+001 4.4726107E+001 4.4780822E+001 4.5271552E-001
4.9825481E+001 4.4736532E+001 4.4759599E+001 3.6122540E-001
4.9950555E+001 4.4744271E+001 4.4801493E+001 1.2507416E-001
5.0263665E+001 4.4763038E+001 4.4900003E+001 3.1310978E-001
5.0332593E+001 4.4891469E+001 4.4917655E+001 6.8927505E-002
5.1718436E+001 4.4746858E+001 4.5449395E+001 1.3858439E+000
5.1886669E+001 4.5427758E+001 4.5499677E+001 1.6823299E-001
5.2071175E+001 4.5475865E+001 4.5793398E+001 1.8450560E-001
5.2193031E+001 4.5777344E+001 4.6369052E+001 1.2185556E-001
5.2356264E+001 4.6346686E+001 4.6452740E+001 1.6323338E-001
5.2733853E+001 4.6400762E+001 4.6453670E+001 3.7758933E-001
5.2892883E+001 4.6431754E+001 4.6488409E+001 1.5902943E-001
5.2997365E+001 4.6473973E+001 4.6692039E+001 1.0448195E-001
5.3124642E+001 4.6674212E+001 4.6777780E+001 1.2727702E-001
5.3253057E+001 4.6759689E+001 4.6815079E+001 1.2841535E-001
5.3460785E+001 4.6785752E+001 4.7130475E+001 2.0772781E-001
5.4200278E+001 4.7024121E+001 4.7047295E+001 7.3949297E-001
5.4355694E+001 4.7025003E+001 4.7097252E+001 1.5541625E-001
5.5853255E+001 4.6883139E+001 4.6980239E+001 1.4975610E+000
5.8250837E+001 4.6641575E+001 4.6741247E+001 2.3975817E+000
5.9925834E+001 4.6507587E+001 4.6548512E+001 1.6749968E+000
6.0873102E+001 4.6417620E+001 4.6571458E+001 9.4726839E-001
6.0943832E+001 4.6561629E+001 4.6665626E+001 7.0729659E-002
6.1131274E+001 4.6639425E+001 4.6691538E+001 1.8744282E-001
6.1318382E+001 4.6665338E+001 4.6717578E+001 1.8710713E-001
6.3128616E+001 4.6465615E+001 4.6665456E+001 1.8102350E+000
6.3882355E+001 4.6560384E+001 4.6597586E+001 7.5373814E-001
6.4091169E+001 4.6568535E+001 4.6616918E+001 2.0881439E-001
6.4198185E+001 4.6602003E+001 4.6676082E+001 1.0701572E-001
6.5119092E+001 4.6547717E+001 4.6599304E+001 9.2090758E-001
6.6357716E+001 4.6427802E+001 4.6456854E+001 1.2386238E+000
6.7008951E+001 4.6367298E+001 4.6469790E+001 6.5123530E-001
6.7726787E+001 4.6371020E+001 4.6485114E+001 7.1783588E-001
6.8274818E+001 4.6409569E+001 4.6791491E+001 5.4803103E-001
6.8662704E+001 4.6736864E+001 4.6826617E+001 3.8788559E-001
6.8955584E+001 4.6785254E+001 4.6846651E+001 2.9288017E-001
6.9896136E+001 4.6714050E+001 4.7287699E+001 9.4055156E-001
7.1406650E+001 4.7069002E+001 4.7159950E+001 1.5105144E+000
7.1667804E+001 4.7122230E+001 4.7199792E+001 2.6115380E-001
7.1783450E+001 4.7183032E+001 4.7237290E+001 1.1564643E-001
7.1846219E+001 4.7228169E+001 4.7898547E+001 6.2768267E-002
7.1940302E+001 4.7884267E+001 4.8062357E+001 9.4083094E-002
