# Guillet et al. (2018) Model D model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH0_MC10/NH  lamI_amCBE_0.3333x/NH  lamI_aSil2001BE6pctG_0.4x/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.324000E-01  7.65481991E-031  7.65481991E-031  1.07175432E-173  1.31294338E-252
  2.362200E-01  9.35219475E-031  9.35219475E-031  1.51538052E-171  3.93058495E-249
  2.401000E-01  1.13574927E-030  1.13574927E-030  1.97023010E-169  1.02891437E-245
  2.440400E-01  1.37671485E-030  1.37671485E-030  2.35543010E-167  2.35154433E-242
  2.480500E-01  1.67085723E-030  1.67085723E-030  2.62082083E-165  4.78596239E-239
  2.521200E-01  2.03128656E-030  2.03128656E-030  2.68268023E-163  8.51005290E-236
  2.562700E-01  2.47759691E-030  2.47759691E-030  2.58312306E-161  1.37091873E-232
  2.604700E-01  3.02558692E-030  3.02558692E-030  2.25425044E-159  1.89261994E-229
  2.647500E-01  3.70492943E-030  3.70492943E-030  1.84517312E-157  2.36156709E-226
  2.691000E-01  4.54333809E-030  4.54333809E-030  1.40554099E-155  2.62129187E-223
  2.735200E-01  5.57597187E-030  5.57597187E-030  9.96631516E-154  2.58844696E-220
  2.780200E-01  6.84956035E-030  6.84956035E-030  6.64122832E-152  2.30931573E-217
  2.825800E-01  8.40776407E-030  8.40776407E-030  4.07901239E-150  1.80481947E-214
  2.872200E-01  1.03173107E-029  1.03173107E-029  2.34877967E-148  1.27145904E-211
  2.919400E-01  1.26530673E-029  1.26530673E-029  1.27116588E-146  8.08709241E-209
  2.967400E-01  1.54997724E-029  1.54997724E-029  6.46598257E-145  4.64359125E-206
  3.016100E-01  1.89524711E-029  1.89524711E-029  3.06676645E-143  2.37576967E-203
  3.065700E-01  1.54343608E-029  1.54343608E-029  1.37817831E-141  1.11130862E-200
  3.116000E-01  1.64524992E-029  1.64524992E-029  5.76196206E-140  4.62126602E-198
  3.167200E-01  1.78744068E-029  1.78744068E-029  2.28227022E-138  1.75585186E-195
  3.219200E-01  2.00340231E-029  2.00340231E-029  8.50474633E-137  6.02528799E-193
  3.272100E-01  2.30490020E-029  2.30490020E-029  3.00246266E-135  1.88829377E-190
  3.325800E-01  2.68491776E-029  2.68491776E-029  9.97762262E-134  5.34736514E-188
  3.380500E-01  3.12300913E-029  3.12300913E-029  3.15914296E-132  1.39550816E-185
  3.436000E-01  3.57401725E-029  3.57401725E-029  9.41412140E-131  3.28974745E-183
  3.492400E-01  3.96452255E-029  3.96452255E-029  2.65926343E-129  7.08342164E-181
  3.549800E-01  4.18568505E-029  4.18568505E-029  7.16248198E-128  1.40619326E-178
  3.608100E-01  4.12650767E-029  4.12650767E-029  1.82891821E-126  2.54957444E-176
  3.667400E-01  3.78269835E-029  3.78269835E-029  4.45124960E-125  4.25865633E-174
  3.727600E-01  3.30081168E-029  3.30081168E-029  1.02696164E-123  6.49486065E-172
  3.788800E-01  2.84649364E-029  2.84649364E-029  2.25958273E-122  9.13052533E-170
  3.851100E-01  2.48426427E-029  2.48426427E-029  4.76484789E-121  1.19236167E-167
  3.914300E-01  2.20376112E-029  2.20376112E-029  9.53626039E-120  1.42413086E-165
  3.978600E-01  1.98017662E-029  1.98017662E-029  1.82955002E-118  1.57981104E-163
  4.044000E-01  1.80045504E-029  1.80045504E-029  3.36257914E-117  1.62627503E-161
  4.110400E-01  1.66673131E-029  1.66673131E-029  5.89871483E-116  1.54352468E-159
  4.177900E-01  1.58233853E-029  1.58233853E-029  9.92079418E-115  1.36041838E-157
  4.246600E-01  1.54529493E-029  1.54529493E-029  1.60669993E-113  1.12055659E-155
  4.316300E-01  1.54933593E-029  1.54933593E-029  2.48626996E-112  8.51697681E-154
  4.387200E-01  1.58830598E-029  1.58830598E-029  3.70431599E-111  6.04561967E-152
  4.459300E-01  1.65228891E-029  1.65228891E-029  5.31642394E-110  4.00829634E-150
  4.532500E-01  1.72617864E-029  1.72617864E-029  7.33083494E-109  2.46920826E-148
  4.607000E-01  1.79226989E-029  1.79226989E-029  9.78681087E-108  1.42926810E-146
  4.682600E-01  1.83523467E-029  1.83523467E-029  1.25695490E-106  7.69068085E-145
  4.759600E-01  1.85703350E-029  1.85703350E-029  1.56912683E-105  3.90634130E-143
  4.837700E-01  1.87668718E-029  1.87668718E-029  1.88490770E-104  1.84326956E-141
  4.917200E-01  1.91945141E-029  1.91945141E-029  2.20382689E-103  8.21166347E-140
  4.998000E-01  1.99551135E-029  1.99551135E-029  2.50098645E-102  3.43670226E-138
  5.080100E-01  2.10309632E-029  2.10309632E-029  2.75602679E-101  1.35140942E-136
  5.163500E-01  2.23222547E-029  2.23222547E-029  2.94994416E-100  4.99413454E-135
  5.248300E-01  2.36657901E-029  2.36657901E-029  3.07186069E-099  1.74003048E-133
  5.334500E-01  2.48162558E-029  2.48162558E-029  3.11502387E-098  5.72233120E-132
  5.422200E-01  2.55360405E-029  2.55360405E-029  3.08313072E-097  1.78343020E-130
  5.511200E-01  2.57818604E-029  2.57818604E-029  2.96150789E-096  5.22729231E-129
  5.601800E-01  2.58484050E-029  2.58484050E-029  2.78003465E-095  1.45752247E-127
  5.693800E-01  2.60737561E-029  2.60737561E-029  2.53519148E-094  3.83689008E-126
  5.787300E-01  2.66241910E-029  2.66241910E-029  2.24982342E-093  9.57332595E-125
  5.882400E-01  2.75162869E-029  2.75162869E-029  1.94591902E-092  2.27199370E-123
  5.979000E-01  2.87141153E-029  2.87141153E-029  1.63528536E-091  5.11208466E-122
  6.077200E-01  3.01864194E-029  3.01864194E-029  1.33718478E-090  1.09421404E-120
  6.177000E-01  3.19057420E-029  3.19057420E-029  1.06332222E-089  2.22837606E-119
