# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  2.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.243020E-01  2.39080499E-030  2.37329597E-030  1.45944373E-032  2.91458394E-033
  2.273350E-01  2.91308805E-030  2.89260030E-030  1.69024228E-032  3.58532799E-033
  2.304090E-01  3.49598483E-030  3.47206197E-030  1.95008868E-032  4.42197188E-033
  2.335250E-01  4.15189380E-030  4.12410866E-030  2.23241038E-032  5.46103440E-033
  2.366830E-01  4.89952862E-030  4.86741421E-030  2.53617300E-032  6.75268219E-033
  2.398830E-01  5.76360920E-030  5.72639012E-030  2.88818929E-032  8.33718399E-033
  2.431270E-01  6.77481779E-030  6.73134787E-030  3.31608272E-032  1.03090920E-032
  2.464150E-01  7.96857879E-030  7.91766393E-030  3.82038106E-032  1.27110430E-032
  2.497470E-01  9.38651358E-030  9.32676396E-030  4.41235370E-032  1.56260869E-032
  2.531240E-01  1.10780883E-029  1.10076188E-029  5.14567258E-032  1.90127686E-032
  2.565470E-01  1.31008960E-029  1.30178510E-029  5.99925191E-032  2.30524569E-032
  2.600160E-01  1.55228608E-029  1.54247422E-029  7.02639184E-032  2.78546876E-032
  2.635320E-01  1.84241524E-029  1.83081537E-029  8.24553951E-032  3.35432335E-032
  2.670960E-01  2.18993562E-029  2.17627303E-029  9.63428837E-032  4.02829994E-032
  2.707070E-01  2.60577129E-029  2.58973517E-029  1.12118533E-031  4.82427229E-032
  2.743680E-01  3.10332284E-029  3.08453611E-029  1.30249941E-031  5.76173804E-032
  2.780780E-01  3.69797621E-029  3.67582096E-029  1.52993451E-031  6.85590420E-032
  2.818380E-01  4.40765094E-029  4.38165142E-029  1.78630263E-031  8.13649898E-032
  2.856490E-01  5.25361159E-029  5.22320724E-029  2.07731859E-031  9.63116534E-032
  2.895120E-01  6.26088892E-029  6.22526646E-029  2.42530511E-031  1.13694157E-031
  2.934270E-01  7.45815401E-029  7.41652218E-029  2.82467237E-031  1.33851100E-031
  2.973950E-01  8.87919586E-029  8.83061807E-029  3.28624448E-031  1.57153431E-031
  3.014160E-01  1.05626762E-028  1.05061906E-028  3.80797250E-031  1.84058610E-031
  3.054920E-01  1.20777295E-028  1.20122719E-028  4.39515462E-031  2.15060033E-031
  3.096230E-01  1.41236960E-028  1.40480999E-028  5.05272077E-031  2.50689585E-031
  3.138100E-01  1.64672416E-028  1.63797901E-028  5.83223666E-031  2.91291946E-031
  3.180530E-01  1.91411598E-028  1.90402559E-028  6.71380570E-031  3.37658652E-031
  3.223540E-01  2.21815253E-028  2.20654448E-028  7.70277733E-031  3.90527219E-031
  3.267130E-01  2.56240834E-028  2.54908789E-028  8.81384911E-031  4.50660014E-031
  3.311310E-01  2.95061480E-028  2.93530644E-028  1.01198058E-030  5.18855326E-031
  3.356090E-01  3.38614961E-028  3.36860225E-028  1.15865625E-030  5.96080228E-031
  3.401470E-01  3.87200645E-028  3.85194486E-028  1.32283342E-030  6.83325373E-031
  3.447470E-01  4.41044553E-028  4.38755394E-028  1.50751629E-030  7.81642595E-031
  3.494080E-01  5.00192175E-028  4.97578121E-028  1.72225380E-030  8.91800008E-031
  3.541330E-01  5.64446000E-028  5.61467733E-028  1.96283400E-030  1.01543321E-030
  3.589220E-01  6.33125759E-028  6.29740267E-028  2.23162127E-030  1.15387070E-030
  3.637750E-01  7.04780876E-028  7.00941246E-028  2.53107875E-030  1.30855088E-030
  3.686950E-01  7.76816494E-028  7.72470832E-028  2.86476316E-030  1.48089851E-030
  3.736800E-01  8.44858853E-028  8.39951021E-028  3.23527763E-030  1.67255460E-030
  3.787330E-01  9.02936434E-028  8.97405259E-028  3.64572461E-030  1.88545089E-030
  3.838550E-01  9.45496275E-028  9.39275569E-028  4.09945037E-030  2.12125549E-030
  3.890450E-01  9.73038315E-028  9.66056757E-028  4.59979990E-030  2.38175873E-030
  3.943060E-01  9.96274674E-028  9.88454683E-028  5.15056430E-030  2.66942615E-030
  3.996380E-01  1.03009791E-027  1.02135604E-027  5.75541795E-030  2.98645383E-030
  4.050420E-01  1.08386023E-027  1.07411419E-027  6.41239059E-030  3.33365640E-030
  4.105190E-01  1.15923496E-027  1.14839080E-027  7.12955268E-030  3.71460956E-030
  4.160700E-01  1.25290694E-027  1.24086383E-027  7.91115488E-030  4.13195876E-030
  4.216970E-01  1.35944984E-027  1.34609990E-027  8.76146022E-030  4.58847739E-030
  4.273990E-01  1.47297850E-027  1.45820751E-027  9.68418780E-030  5.08679882E-030
  4.331780E-01  1.58620812E-027  1.56989449E-027  1.06837211E-029  5.62991176E-030
  4.390360E-01  1.68727769E-027  1.66927777E-027  1.17786847E-029  6.22124024E-030
  4.449730E-01  1.75832892E-027  1.73848170E-027  1.29856897E-029  6.86152552E-030
  4.509900E-01  1.77818870E-027  1.75633884E-027  1.42945785E-029  7.55527641E-030
  4.570880E-01  1.73129456E-027  1.70728168E-027  1.57067257E-029  8.30615861E-030
  4.632690E-01  1.62237449E-027  1.59602908E-027  1.72276840E-029  9.11772296E-030
  4.695340E-01  1.48094667E-027  1.45209051E-027  1.88626803E-029  9.99347830E-030
  4.758830E-01  1.34098801E-027  1.30943461E-027  2.06164688E-029  1.09369230E-029
  4.823180E-01  1.21866929E-027  1.18422294E-027  2.24944983E-029  1.19518479E-029
  4.888400E-01  1.11172940E-027  1.07413443E-027  2.45535448E-029  1.30414186E-029
  4.954500E-01  1.01027797E-027  9.69235802E-028  2.68331118E-029  1.42090509E-029
  5.021500E-01  9.07580995E-028  8.62842062E-028  2.92793731E-029  1.54595600E-029
  5.089400E-01  8.06096250E-028  7.57399885E-028  3.18997152E-029  1.67966501E-029
  5.158220E-01  7.13611916E-028  6.60684754E-028  3.47027058E-029  1.82244562E-029
  5.227970E-01  6.35155498E-028  5.77712461E-028  3.76961119E-029  1.97469250E-029
  5.298670E-01  5.70435447E-028  5.08178488E-028  4.08885592E-029  2.13683998E-029
  5.370320E-01  5.16409662E-028  4.49029954E-028  4.42870953E-029  2.30926125E-029
  5.442940E-01  4.70231775E-028  3.97408176E-028  4.78999489E-029  2.49236501E-029
  5.516540E-01  4.30735117E-028  3.52101316E-028  5.17693468E-029  2.68644551E-029
  5.591140E-01  3.97867109E-028  3.12939153E-028  5.60129603E-029  2.89149958E-029
  5.666740E-01  3.71183485E-028  2.79573261E-028  6.05270609E-029  3.10831630E-029
  5.743370E-01  3.49841302E-028  2.51144088E-028  6.53236589E-029  3.33735544E-029
  5.821030E-01  3.32872490E-028  2.26669660E-028  7.04136416E-029  3.57891879E-029
  5.899750E-01  3.19519153E-028  2.05375214E-028  7.58092031E-029  3.83347358E-029
  5.979530E-01  3.09310252E-028  1.86776300E-028  8.15209151E-029  4.10130373E-029
  6.060380E-01  3.01898003E-028  1.70511355E-028  8.75591037E-029  4.38275440E-029
  6.142330E-01  2.96951825E-028  1.56232508E-028  9.39368792E-029  4.67824370E-029
  6.225390E-01  2.94164422E-028  1.43618653E-028  1.00665088E-028  4.98806811E-029
  6.309570E-01  2.93275742E-028  1.32396659E-028  1.07753973E-028  5.31251098E-029
  6.394890E-01  2.94082024E-028  1.22347865E-028  1.15214854E-028  5.65193047E-029
  6.481370E-01  2.96421819E-028  1.13296235E-028  1.23059295E-028  6.00662891E-029
  6.569010E-01  3.00172033E-028  1.05099515E-028  1.31304783E-028  6.37677356E-029
  6.657840E-01  3.05372472E-028  9.76372198E-029  1.40106289E-028  6.76289640E-029
  6.747870E-01  3.11809988E-028  9.08122214E-029  1.49347400E-028  7.16503666E-029
  6.839120E-01  3.19419716E-028  8.45439933E-029  1.59041851E-028  7.58338710E-029
  6.931600E-01  3.28149328E-028  7.87666684E-029  1.69200883E-028  8.01817765E-029
  7.025330E-01  3.37972669E-028  7.34248456E-029  1.79851846E-028  8.46959772E-029
  7.120330E-01  3.48893328E-028  6.84719850E-029  1.91041963E-028  8.93793805E-029
  7.216610E-01  3.60845195E-028  6.38688582E-029  2.02744771E-028  9.42315660E-029
  7.314200E-01  3.73810083E-028  5.95820793E-029  2.14973854E-028  9.92541494E-029
  7.413100E-01  3.87771792E-028  5.55839502E-029  2.27741145E-028  1.04446697E-028
  7.513350E-01  4.02720194E-028  5.18494397E-029  2.41059885E-028  1.09810869E-028
  7.614940E-01  4.18641767E-028  4.83585234E-029  2.54937520E-028  1.15345725E-028
  7.717920E-01  4.35537384E-028  4.50919632E-029  2.69392664E-028  1.21052757E-028
