# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.243020E-01  6.05759480E-031  6.01339632E-031  3.68596524E-033  7.33882307E-034
  2.273350E-01  7.38752222E-031  7.33577533E-031  4.27155282E-033  9.03136487E-034
  2.304090E-01  8.87416348E-031  8.81370455E-031  4.93152935E-033  1.11436389E-033
  2.335250E-01  1.05497298E-030  1.04794663E-030  5.64950166E-033  1.37684479E-033
  2.366830E-01  1.24626908E-030  1.23814267E-030  6.42307280E-033  1.70332855E-033
  2.398830E-01  1.46770985E-030  1.45828530E-030  7.32044149E-033  2.10410353E-033
  2.431270E-01  1.72726171E-030  1.71624639E-030  8.41211800E-033  2.60320287E-033
  2.464150E-01  2.03415269E-030  2.02124096E-030  9.70010688E-033  3.21161531E-033
  2.497470E-01  2.39925766E-030  2.38409328E-030  1.12137840E-032  3.95059685E-033
  2.531240E-01  2.83553996E-030  2.81763939E-030  1.30905830E-032  4.80998860E-033
  2.565470E-01  3.35814469E-030  3.33703042E-030  1.52782217E-032  5.83604752E-033
  2.600160E-01  3.98498761E-030  3.96001666E-030  1.79139501E-032  7.05700031E-033
  2.635320E-01  4.73728522E-030  4.70773357E-030  2.10468342E-032  8.50481625E-033
  2.670960E-01  5.64014838E-030  5.60530438E-030  2.46219371E-032  1.02220654E-032
  2.707070E-01  6.72268981E-030  6.68174659E-030  2.86907210E-032  1.22524950E-032
  2.743680E-01  8.02070362E-030  7.97268111E-030  3.33757324E-032  1.46467779E-032
  2.780780E-01  9.57544640E-030  9.51874207E-030  3.92593883E-032  1.74449424E-032
  2.818380E-01  1.14351723E-029  1.13685418E-029  4.59062643E-032  2.07242887E-032
  2.856490E-01  1.36573111E-029  1.35792856E-029  5.34682452E-032  2.45572550E-032
  2.895120E-01  1.63097113E-029  1.62181631E-029  6.25266826E-032  2.90215330E-032
  2.934270E-01  1.94704347E-029  1.93632818E-029  7.29464318E-032  3.42064625E-032
  2.973950E-01  2.32317997E-029  2.31065727E-029  8.50166969E-032  4.02103171E-032
  3.014160E-01  2.76999302E-029  2.75540801E-029  9.86957331E-032  4.71542684E-032
  3.054920E-01  3.17535854E-029  3.15842827E-029  1.14133068E-031  5.51696731E-032
  3.096230E-01  3.72245201E-029  3.70286508E-029  1.31470485E-031  6.43988001E-032
  3.138100E-01  4.35119974E-029  4.32849926E-029  1.52067740E-031  7.49369905E-032
  3.180530E-01  5.07106083E-029  5.04481828E-029  1.75429753E-031  8.69957037E-032
  3.223540E-01  5.89252092E-029  5.86227151E-029  2.01719794E-031  1.00774318E-031
  3.267130E-01  6.82614991E-029  6.79136695E-029  2.31349078E-031  1.16480440E-031
  3.311310E-01  7.88314190E-029  7.84308235E-029  2.66262441E-031  1.34333062E-031
  3.356090E-01  9.07400570E-029  9.02798532E-029  3.05606585E-031  1.54597237E-031
  3.401470E-01  1.04084975E-028  1.03557630E-028  3.49798835E-031  1.77546744E-031
  3.447470E-01  1.18948195E-028  1.18345038E-028  3.99682831E-031  2.03474466E-031
  3.494080E-01  1.35367810E-028  1.34677355E-028  4.57852489E-031  2.32602330E-031
  3.541330E-01  1.53324139E-028  1.52535492E-028  5.23265612E-031  2.65382166E-031
  3.589220E-01  1.72677149E-028  1.71778330E-028  5.96628786E-031  3.02190269E-031
  3.637750E-01  1.93094070E-028  1.92071947E-028  6.78686319E-031  3.43436046E-031
  3.686950E-01  2.13956298E-028  2.12796277E-028  7.70489709E-031  3.89531101E-031
  3.736800E-01  2.34193054E-028  2.32879258E-028  8.72847246E-031  4.40948567E-031
  3.787330E-01  2.52329145E-028  2.50844181E-028  9.86718743E-031  4.98245410E-031
  3.838550E-01  2.66978534E-028  2.65303473E-028  1.11314507E-030  5.61915878E-031
  3.890450E-01  2.78245013E-028  2.76359337E-028  1.25318355E-030  6.32492905E-031
  3.943060E-01  2.88750422E-028  2.86631690E-028  1.40803428E-030  7.10698188E-031
  3.996380E-01  3.02088520E-028  2.99712445E-028  1.57888430E-030  7.97190410E-031
  4.050420E-01  3.20353823E-028  3.17696168E-028  1.76538694E-030  8.92268489E-031
  4.105190E-01  3.43582909E-028  3.40615959E-028  1.96997197E-030  9.96978229E-031
  4.160700E-01  3.70510266E-028  3.67204089E-028  2.19404674E-030  1.11212967E-030
  4.216970E-01  3.99611151E-028  3.95933521E-028  2.43904975E-030  1.23858045E-030
  4.273990E-01  4.29914094E-028  4.25830643E-028  2.70628946E-030  1.37716144E-030
  4.331780E-01  4.60604976E-028  4.56078871E-028  2.99728886E-030  1.52881617E-030
  4.390360E-01  4.89556936E-028  4.84544706E-028  3.31761046E-030  1.69461934E-030
  4.449730E-01  5.12651580E-028  5.07104310E-028  3.67233724E-030  1.87493246E-030
  4.509900E-01  5.24561190E-028  5.18430998E-028  4.05903828E-030  2.07115425E-030
  4.570880E-01  5.21143798E-028  5.14380783E-028  4.47853963E-030  2.28447521E-030
  4.632690E-01  5.03182215E-028  4.95733263E-028  4.93287577E-030  2.51607612E-030
  4.695340E-01  4.77439192E-028  4.69248022E-028  5.42402608E-030  2.76714383E-030
  4.758830E-01  4.51434078E-028  4.42441331E-028  5.95386648E-030  3.03887985E-030
