# DH21 PAH SED for Mathis ISRF, U = 1.585
# DL07 PAH cross sections, neutral + cation mixed by f_ion(a)
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  6.531000E-01  9.38418274E-030
  6.607000E-01  1.00759558E-029
  6.683000E-01  1.07621653E-029
  6.761000E-01  1.14853549E-029
  6.839000E-01  1.22613261E-029
  6.918000E-01  1.31309362E-029
  6.998000E-01  1.41245443E-029
  7.079000E-01  1.52690486E-029
  7.161000E-01  1.65842271E-029
  7.244000E-01  1.80832320E-029
  7.328000E-01  1.97655538E-029
  7.413000E-01  2.16323099E-029
  7.499000E-01  2.36825564E-029
  7.586000E-01  2.59238985E-029
  7.674000E-01  2.83685832E-029
  7.763000E-01  3.10468657E-029
  7.852000E-01  3.39554268E-029
  7.943000E-01  3.71823926E-029
  8.035000E-01  4.07372404E-029
  8.128000E-01  4.46447420E-029
  8.222000E-01  4.89365285E-029
  8.318000E-01  5.36982370E-029
  8.414000E-01  5.88729053E-029
  8.511000E-01  6.45489120E-029
  8.610000E-01  7.08437268E-029
  8.710000E-01  7.77665326E-029
  8.810000E-01  8.53249829E-029
  8.913000E-01  9.38557112E-029
  9.016000E-01  1.03253276E-028
  9.120000E-01  1.13789900E-028
  9.226000E-01  1.25860541E-028
  9.333000E-01  1.39757916E-028
  9.441000E-01  1.56083599E-028
  9.550000E-01  1.75776826E-028
  9.661000E-01  2.00631902E-028
  9.772000E-01  2.32853463E-028
  9.886000E-01  2.78295450E-028
  1.000000E+00  3.44964178E-028
  1.012000E+00  4.55857006E-028
  1.023000E+00  6.19844993E-028
  1.035000E+00  8.86548246E-028
  1.047000E+00  1.14835608E-027
  1.059000E+00  1.17465145E-027
  1.071000E+00  1.00709396E-027
  1.084000E+00  8.30399822E-028
  1.097000E+00  7.22525202E-028
  1.109000E+00  6.70817622E-028
  1.122000E+00  6.48759394E-028
  1.135000E+00  6.50883605E-028
  1.148000E+00  6.71395583E-028
  1.161000E+00  7.08160060E-028
  1.175000E+00  7.66273070E-028
  1.189000E+00  8.45801031E-028
  1.202000E+00  9.41570157E-028
  1.216000E+00  1.06907511E-027
  1.230000E+00  1.21594095E-027
  1.245000E+00  1.37310941E-027
  1.259000E+00  1.48736118E-027
  1.273000E+00  1.54613711E-027
  1.288000E+00  1.54845045E-027
  1.303000E+00  1.51316791E-027
  1.318000E+00  1.46691869E-027
  1.334000E+00  1.42360078E-027
  1.349000E+00  1.39503770E-027
  1.365000E+00  1.37767718E-027
  1.380000E+00  1.37278664E-027
  1.396000E+00  1.37724837E-027
  1.413000E+00  1.39098720E-027
  1.429000E+00  1.41065952E-027
  1.445000E+00  1.43557424E-027
  1.462000E+00  1.46644703E-027
  1.479000E+00  1.50127929E-027
  1.496000E+00  1.53897484E-027
  1.514000E+00  1.58179897E-027
  1.531000E+00  1.62428929E-027
  1.549000E+00  1.67085531E-027
  1.567000E+00  1.71949696E-027
  1.585000E+00  1.76910037E-027
  1.603000E+00  1.81995216E-027
  1.622000E+00  1.87473433E-027
  1.641000E+00  1.92982486E-027
  1.660000E+00  1.98558086E-027
  1.679000E+00  2.04130243E-027
  1.698000E+00  2.09629802E-027
  1.718000E+00  2.15443421E-027
  1.738000E+00  2.21056465E-027
  1.758000E+00  2.26506055E-027
  1.778000E+00  2.31670927E-027
  1.799000E+00  2.36478271E-027
  1.820000E+00  2.40726365E-027
  1.841000E+00  2.43985057E-027
  1.862000E+00  2.46539938E-027
  1.884000E+00  2.49336696E-027
  1.906000E+00  2.53867240E-027
  1.928000E+00  2.61383477E-027
  1.950000E+00  2.71179961E-027
  1.972000E+00  2.81532772E-027
  1.995000E+00  2.92076668E-027
  2.018000E+00  3.01967957E-027
  2.042000E+00  3.11671413E-027
