# DH21 astrodust SED for Mathis ISRF, U = 1.585
# Enthalpy stage: S1
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  6.607000E-01  5.55388563E-032
  6.683000E-01  6.23252108E-032
  6.761000E-01  6.99422201E-032
  6.839000E-01  7.82706874E-032
  6.918000E-01  8.74632662E-032
  6.998000E-01  9.76067885E-032
  7.079000E-01  1.08766662E-031
  7.161000E-01  1.21032860E-031
  7.244000E-01  1.34526757E-031
  7.328000E-01  1.49278360E-031
  7.413000E-01  1.65415063E-031
  7.499000E-01  1.83039009E-031
  7.586000E-01  2.02272003E-031
  7.674000E-01  2.23197118E-031
  7.763000E-01  2.45963141E-031
  7.852000E-01  2.70415312E-031
  7.943000E-01  2.97179181E-031
  8.035000E-01  3.26174871E-031
  8.128000E-01  3.57474196E-031
  8.222000E-01  3.91214991E-031
  8.318000E-01  4.27956847E-031
  8.414000E-01  4.67112762E-031
  8.511000E-01  5.09134491E-031
  8.610000E-01  5.54717289E-031
  8.710000E-01  6.03523363E-031
  8.810000E-01  6.55363906E-031
  8.913000E-01  7.11752918E-031
  9.016000E-01  7.71477842E-031
  9.120000E-01  8.35268967E-031
  9.226000E-01  9.03680480E-031
  9.333000E-01  9.76655527E-031
  9.441000E-01  1.05390418E-030
  9.550000E-01  1.13607680E-030
  9.661000E-01  1.22371329E-030
  9.772000E-01  1.31512540E-030
  9.886000E-01  1.41126607E-030
  1.000000E+00  1.51358510E-030
  1.012000E+00  1.63499387E-030
  1.023000E+00  1.75212249E-030
  1.035000E+00  1.88614393E-030
  1.047000E+00  2.02738058E-030
  1.059000E+00  2.17555431E-030
  1.071000E+00  2.33065005E-030
  1.084000E+00  2.50755363E-030
  1.097000E+00  2.69286211E-030
  1.109000E+00  2.87182968E-030
  1.122000E+00  3.07464348E-030
  1.135000E+00  3.28703156E-030
  1.148000E+00  3.50836693E-030
  1.161000E+00  3.73957613E-030
  1.175000E+00  3.99902573E-030
  1.189000E+00  4.26990766E-030
  1.202000E+00  4.53036170E-030
  1.216000E+00  4.82187633E-030
  1.230000E+00  5.12349668E-030
  1.245000E+00  5.45817939E-030
  1.259000E+00  5.78023231E-030
  1.273000E+00  6.11117334E-030
  1.288000E+00  6.47703601E-030
  1.303000E+00  6.85231089E-030
  1.318000E+00  7.23851544E-030
  1.334000E+00  7.66267013E-030
  1.349000E+00  8.06867079E-030
  1.365000E+00  8.51377980E-030
  1.380000E+00  8.94005383E-030
  1.396000E+00  9.40578867E-030
  1.413000E+00  9.91255093E-030
  1.429000E+00  1.03996735E-029
  1.445000E+00  1.08956308E-029
  1.462000E+00  1.14333271E-029
  1.479000E+00  1.19818397E-029
  1.496000E+00  1.25416211E-029
  1.514000E+00  1.31453448E-029
  1.531000E+00  1.37283287E-029
  1.549000E+00  1.43548424E-029
  1.567000E+00  1.49906995E-029
  1.585000E+00  1.56390794E-029
  1.603000E+00  1.63011487E-029
  1.622000E+00  1.70099136E-029
  1.641000E+00  1.77310082E-029
  1.660000E+00  1.84661585E-029
  1.679000E+00  1.92138541E-029
  1.698000E+00  1.99741412E-029
  1.718000E+00  2.07888114E-029
  1.738000E+00  2.16194792E-029
  1.758000E+00  2.24631690E-029
  1.778000E+00  2.33253067E-029
  1.799000E+00  2.42455781E-029
  1.820000E+00  2.51839682E-029
  1.841000E+00  2.61405350E-029
  1.862000E+00  2.71147703E-029
  1.884000E+00  2.81563682E-029
  1.906000E+00  2.92156288E-029
  1.928000E+00  3.02989566E-029
  1.950000E+00  3.14024116E-029
  1.972000E+00  3.25246243E-029
  1.995000E+00  3.37195975E-029
  2.018000E+00  3.49356514E-029
  2.042000E+00  3.62291038E-029
  2.065000E+00  3.74879756E-029
  2.089000E+00  3.88199161E-029
  2.114000E+00  4.02270062E-029
  2.138000E+00  4.15906072E-029
  2.163000E+00  4.30304748E-029
  2.188000E+00  4.44728641E-029
  2.213000E+00  4.59363714E-029
  2.239000E+00  4.74586912E-029
  2.265000E+00  4.89944260E-029
  2.291000E+00  5.05410151E-029
  2.317000E+00  5.20943715E-029
  2.344000E+00  5.37071313E-029
  2.371000E+00  5.53749937E-029
  2.399000E+00  5.71021755E-029
  2.427000E+00  5.88311241E-029
  2.455000E+00  6.05552421E-029
  2.483000E+00  6.22779217E-029
  2.512000E+00  6.41178199E-029
  2.541000E+00  6.59483245E-029
  2.570000E+00  6.77725288E-029
  2.600000E+00  6.97195277E-029
  2.630000E+00  7.16546119E-029
  2.661000E+00  7.37133233E-029
  2.691000E+00  7.56318814E-029
  2.723000E+00  7.78010238E-029
  2.754000E+00  7.98276917E-029
  2.786000E+00  8.19716478E-029
  2.818000E+00  8.41711749E-029
  2.851000E+00  8.64163609E-029
  2.884000E+00  8.87227084E-029
  2.917000E+00  9.10066365E-029
  2.951000E+00  9.34067864E-029
  2.985000E+00  9.57890753E-029
  3.020000E+00  9.82785026E-029
  3.055000E+00  1.00675590E-028
  3.090000E+00  1.02970155E-028
  3.126000E+00  1.05305991E-028
  3.162000E+00  1.07469572E-028
  3.199000E+00  1.09670647E-028
  3.236000E+00  1.11786038E-028
  3.273000E+00  1.13829949E-028
  3.311000E+00  1.16151681E-028
  3.350000E+00  1.21134178E-028
  3.388000E+00  1.29366610E-028
  3.428000E+00  1.31214747E-028
  3.467000E+00  1.32732087E-028
  3.507000E+00  1.31376313E-028
  3.548000E+00  1.30932635E-028
  3.589000E+00  1.29209724E-028
  3.631000E+00  1.29411233E-028
  3.673000E+00  1.30861358E-028
  3.715000E+00  1.32383815E-028
  3.758000E+00  1.33875954E-028
  3.802000E+00  1.35447204E-028
  3.846000E+00  1.37048911E-028
  3.891000E+00  1.38583083E-028
  3.935000E+00  1.40117680E-028
  3.981000E+00  1.41767263E-028
  4.027000E+00  1.43379796E-028
  4.074000E+00  1.44999243E-028
  4.121000E+00  1.46660261E-028
  4.169000E+00  1.48316927E-028
  4.217000E+00  1.50016321E-028
  4.266000E+00  1.51793747E-028
  4.315000E+00  1.53530658E-028
  4.365000E+00  1.55356493E-028
  4.416000E+00  1.57166330E-028
  4.467000E+00  1.59026677E-028
  4.519000E+00  1.60953523E-028
  4.571000E+00  1.62847780E-028
  4.624000E+00  1.64818817E-028
  4.677000E+00  1.66732914E-028
  4.732000E+00  1.68758384E-028
  4.786000E+00  1.70702522E-028
  4.842000E+00  1.72673229E-028
  4.898000E+00  1.74675972E-028
  4.955000E+00  1.76656086E-028
  5.012000E+00  1.78589998E-028
  5.070000E+00  1.80508455E-028
  5.129000E+00  1.82423996E-028
  5.188000E+00  1.84281788E-028
  5.248000E+00  1.86121373E-028
  5.309000E+00  1.87957365E-028
  5.370000E+00  1.89731507E-028
  5.432000E+00  1.91502926E-028
  5.495000E+00  1.93339865E-028
  5.559000E+00  1.95087729E-028
  5.623000E+00  1.96774318E-028
  5.688000E+00  1.98470463E-028
  5.754000E+00  2.00133798E-028
  5.821000E+00  2.01707430E-028
  5.888000E+00  2.03335082E-028
  5.957000E+00  2.04964432E-028
  6.026000E+00  2.06566683E-028
  6.095000E+00  2.08044623E-028
  6.166000E+00  2.09636696E-028
  6.237000E+00  2.11105479E-028
