# DL07 model SED (this work), lmc2_10, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.399000E-01  1.27820368E-032  7.89294062E-033  4.88909614E-033
  2.427000E-01  1.50636803E-032  9.16431825E-033  5.89936208E-033
  2.455000E-01  1.77043122E-032  1.06045300E-032  7.09978226E-033
  2.483000E-01  2.07576063E-032  1.22297929E-032  8.52781338E-033
  2.512000E-01  2.43812129E-032  1.40877806E-032  1.02934323E-032
  2.541000E-01  2.85142352E-032  1.61079792E-032  1.24062560E-032
  2.570000E-01  3.32904313E-032  1.83593945E-032  1.49310368E-032
  2.600000E-01  3.89971328E-032  2.09401961E-032  1.80569368E-032
  2.630000E-01  4.55983673E-032  2.37977642E-032  2.18006031E-032
  2.661000E-01  5.35094909E-032  2.70739834E-032  2.64355075E-032
  2.691000E-01  6.23757020E-032  3.05817769E-032  3.17939251E-032
  2.723000E-01  7.33405138E-032  3.47171176E-032  3.86233962E-032
  2.754000E-01  8.56486580E-032  3.91223121E-032  4.65263458E-032
  2.786000E-01  1.00343653E-031  4.41021218E-032  5.62415315E-032
  2.818000E-01  1.17374062E-031  4.95723506E-032  6.78017119E-032
  2.851000E-01  1.37740074E-031  5.57618420E-032  8.19782324E-032
  2.884000E-01  1.61357763E-031  6.25323545E-032  9.88254088E-032
  2.917000E-01  1.88704488E-031  6.99321513E-032  1.18772337E-031
  2.951000E-01  2.21311297E-031  7.82252875E-032  1.43086009E-031
  2.985000E-01  2.59079616E-031  8.72643025E-032  1.71815314E-031
  3.020000E-01  3.04116519E-031  9.73947271E-032  2.06721791E-031
  3.055000E-01  3.44132905E-031  1.08410967E-031  2.35721938E-031
  3.090000E-01  3.97849873E-031  1.20362674E-031  2.77487198E-031
  3.126000E-01  4.60061767E-031  1.33605501E-031  3.26456267E-031
  3.162000E-01  5.29908408E-031  1.47898287E-031  3.82010120E-031
  3.199000E-01  6.10188189E-031  1.63765947E-031  4.46422242E-031
  3.236000E-01  6.99474905E-031  1.80886035E-031  5.18588870E-031
  3.273000E-01  7.97950494E-031  1.99312797E-031  5.98637697E-031
  3.311000E-01  9.08467613E-031  2.19649491E-031  6.88818122E-031
  3.350000E-01  1.03093622E-030  2.42089488E-031  7.88846729E-031
  3.388000E-01  1.15730145E-030  2.65548140E-031  8.91753312E-031
  3.428000E-01  1.29446376E-030  2.92012961E-031  1.00245080E-030
  3.467000E-01  1.42731850E-030  3.19534733E-031  1.10778377E-030
  3.507000E-01  1.55677383E-030  3.49631580E-031  1.20714225E-030
  3.548000E-01  1.67827184E-030  3.82565695E-031  1.29570615E-030
  3.589000E-01  1.79137954E-030  4.17686708E-031  1.37369284E-030
  3.631000E-01  1.91076825E-030  4.56011436E-031  1.45475682E-030
  3.673000E-01  2.04945053E-030  4.96745644E-031  1.55270489E-030
  3.715000E-01  2.21937140E-030  5.39966580E-031  1.67940482E-030
  3.758000E-01  2.43194069E-030  5.86908827E-031  1.84503186E-030
  3.802000E-01  2.69120563E-030  6.37846620E-031  2.05335901E-030
  3.846000E-01  2.98986309E-030  6.91704171E-031  2.29815892E-030
  3.891000E-01  3.32939545E-030  7.49934095E-031  2.57946135E-030
  3.936000E-01  3.69311486E-030  8.11472119E-031  2.88164274E-030
  3.981000E-01  4.06767178E-030  8.76400708E-031  3.19127107E-030
  4.027000E-01  4.44409750E-030  9.46121898E-031  3.49797560E-030
  4.074000E-01  4.79792377E-030  1.02097595E-030  3.77694782E-030
  4.121000E-01  5.08986079E-030  1.09971840E-030  3.99014239E-030
  4.169000E-01  5.29096649E-030  1.18422899E-030  4.10673750E-030
  4.217000E-01  5.37456581E-030  1.27295266E-030  4.10161315E-030
  4.266000E-01  5.35227056E-030  1.36794718E-030  3.98432337E-030
  4.315000E-01  5.27047248E-030  1.46748376E-030  3.80298871E-030
  4.365000E-01  5.18588524E-030  1.57383477E-030  3.61205047E-030
  4.416000E-01  5.13929132E-030  1.68719617E-030  3.45209515E-030
  4.467000E-01  5.14444130E-030  1.80529215E-030  3.33914915E-030
  4.519000E-01  5.19434168E-030  1.93098995E-030  3.26335173E-030
  4.571000E-01  5.27022183E-030  2.06208371E-030  3.20813813E-030
  4.624000E-01  5.35288281E-030  2.20130578E-030  3.15157704E-030
  4.677000E-01  5.42609804E-030  2.34623851E-030  3.07985953E-030
  4.732000E-01  5.49101760E-030  2.50272637E-030  2.98829123E-030
  4.786000E-01  5.55646036E-030  2.66244135E-030  2.89401900E-030
  4.842000E-01  5.64306185E-030  2.83446452E-030  2.80859733E-030
  4.898000E-01  5.75995490E-030  3.01283770E-030  2.74711719E-030
  4.954000E-01  5.90935459E-030  3.19765692E-030  2.71169767E-030
  5.012000E-01  6.09536830E-030  3.39598249E-030  2.69938581E-030
  5.070000E-01  6.30942387E-030  3.60134755E-030  2.70807633E-030
  5.129000E-01  6.55389384E-030  3.81748113E-030  2.73641271E-030
  5.188000E-01  6.82506874E-030  4.04090331E-030  2.78416543E-030
  5.248000E-01  7.12699044E-030  4.27557766E-030  2.85141278E-030
  5.309000E-01  7.45630409E-030  4.52186393E-030  2.93444016E-030
  5.370000E-01  7.80024176E-030  4.77589017E-030  3.02435159E-030
  5.433000E-01  8.16141837E-030  5.04633554E-030  3.11508283E-030
  5.495000E-01  8.51640128E-030  5.32047288E-030  3.19592841E-030
  5.559000E-01  8.88372413E-030  5.61071532E-030  3.27300881E-030
  5.623000E-01  9.25876067E-030  5.90907869E-030  3.34968198E-030
  5.688000E-01  9.65628336E-030  6.22043404E-030  3.43584933E-030
  5.754000E-01  1.00813337E-029  6.54508331E-030  3.53625037E-030
  5.821000E-01  1.05332517E-029  6.88331855E-030  3.64993317E-030
  5.888000E-01  1.10005293E-029  7.23017989E-030  3.77034942E-030
  5.957000E-01  1.14921202E-029  7.59629083E-030  3.89582941E-030
  6.026000E-01  1.19916066E-029  7.97129791E-030  4.02030868E-030
  6.095000E-01  1.25012232E-029  8.35506299E-030  4.14616016E-030
  6.166000E-01  1.30415725E-029  8.75894049E-030  4.28263202E-030
  6.237000E-01  1.36018121E-029  9.17177294E-030  4.43003916E-030
  6.310000E-01  1.41978617E-029  9.60539166E-030  4.59247003E-030
  6.383000E-01  1.48104659E-029  1.00481050E-029  4.76236086E-030
  6.457000E-01  1.54442925E-029  1.05059630E-029  4.93832944E-030
  6.531000E-01  1.60887961E-029  1.09727530E-029  5.11604306E-030
  6.607000E-01  1.67655830E-029  1.14613815E-029  5.30420143E-030
  6.683000E-01  1.74647829E-029  1.19590969E-029  5.50568600E-030
  6.761000E-01  1.82146662E-029  1.24789911E-029  5.73567509E-030
  6.839000E-01  1.90047022E-029  1.30078214E-029  5.99688078E-030
  6.918000E-01  1.98480519E-029  1.35522661E-029  6.29578582E-030
  6.998000E-01  2.07444186E-029  1.41123746E-029  6.63204400E-030
  7.079000E-01  2.16925395E-029  1.46884945E-029  7.00404503E-030
  7.161000E-01  2.26876291E-029  1.52803598E-029  7.40726925E-030
  7.244000E-01  2.37254923E-029  1.58879491E-029  7.83754325E-030
  7.328000E-01  2.48019535E-029  1.65112343E-029  8.29071914E-030
  7.413000E-01  2.59136402E-029  1.71501619E-029  8.76347824E-030
  7.499000E-01  2.70596838E-029  1.78046601E-029  9.25502362E-030
  7.586000E-01  2.82433817E-029  1.84746366E-029  9.76874510E-030
  7.674000E-01  2.94714633E-029  1.91599747E-029  1.03114886E-029
  7.763000E-01  3.07506538E-029  1.98605419E-029  1.08901119E-029
  7.852000E-01  3.20700029E-029  2.05681878E-029  1.15018151E-029
  7.943000E-01  3.34610805E-029  2.12986425E-029  1.21624380E-029
  8.035000E-01  3.49108847E-029  2.20421755E-029  1.28687092E-029
  8.128000E-01  3.64224763E-029  2.27974284E-029  1.36250479E-029
  8.222000E-01  3.80001534E-029  2.35665863E-029  1.44335671E-029
  8.318000E-01  3.96659039E-029  2.43576455E-029  1.53082584E-029
  8.414000E-01  4.13896734E-029  2.51538342E-029  1.62358392E-029
  8.511000E-01  4.31940989E-029  2.59630559E-029  1.72310430E-029
  8.610000E-01  4.51062748E-029  2.67933949E-029  1.83128798E-029
  8.710000E-01  4.71182504E-029  2.76361740E-029  1.94820764E-029
  8.810000E-01  4.92225343E-029  2.84825422E-029  2.07399921E-029
  8.913000E-01  5.15031750E-029  2.93575526E-029  2.21456224E-029
  9.016000E-01  5.39232624E-029  3.02347051E-029  2.36885573E-029
  9.120000E-01  5.65458107E-029  3.11196034E-029  2.54262073E-029
  9.226000E-01  5.94537278E-029  3.20232096E-029  2.74305181E-029
  9.333000E-01  6.27096588E-029  3.29365550E-029  2.97731038E-029
  9.441000E-01  6.64473469E-029  3.38591696E-029  3.25881773E-029
  9.550000E-01  7.08790332E-029  3.47905583E-029  3.60884749E-029
  9.661000E-01  7.64095247E-029  3.57387662E-029  4.06707585E-029
  9.772000E-01  8.35414973E-029  3.66861981E-029  4.68552992E-029
  9.886000E-01  9.35952754E-029  3.76579156E-029  5.59373598E-029
  1.000000E+00  1.08379685E-028  3.86278271E-029  6.97518579E-029
  1.012000E+00  1.33049067E-028  3.96495151E-029  9.33995521E-029
  1.023000E+00  1.69488261E-028  4.05834768E-029  1.28904784E-028
  1.035000E+00  2.28267951E-028  4.15990432E-029  1.86668907E-028
  1.047000E+00  2.84360941E-028  4.26106764E-029  2.41750265E-028
  1.059000E+00  2.86399936E-028  4.36179076E-029  2.42782028E-028
  1.071000E+00  2.45618826E-028  4.46202844E-029  2.00998542E-028
  1.084000E+00  2.03555074E-028  4.57002186E-029  1.57854855E-028
  1.097000E+00  1.77282274E-028  4.67734430E-029  1.30508831E-028
  1.109000E+00  1.63719644E-028  4.77577336E-029  1.15961910E-028
  1.122000E+00  1.56419031E-028  4.88167132E-029  1.07602318E-028
  1.135000E+00  1.54243755E-028  4.98656711E-029  1.04378084E-028
