# DH21 astrodust SED for Mathis ISRF, U = 1.585
# Enthalpy stage: S1
# columns: lambda[um]    lambda*I_lambda / N_H [erg s^-1 cm^-2 sr^-1 H^-1]
  9.120000E-02   2.98703458E-62
  9.226000E-02   8.06070785E-62
  9.332000E-02   2.12473643E-61
  9.441000E-02   5.62496721E-61
  9.550000E-02   1.45566055E-60
  9.661000E-02   3.74507105E-60
  9.772000E-02   9.42662302E-60
  9.886000E-02   2.37974552E-59
  1.000000E-01   5.87695282E-59
  1.012000E-01   1.48750321E-58
  1.023000E-01   3.41486645E-58
  1.035000E-01   8.27940379E-58
  1.047000E-01   1.96443865E-57
  1.059000E-01   4.56491345E-57
  1.072000E-01   1.11227961E-56
  1.084000E-01   2.47988226E-56
  1.097000E-01   5.78518076E-56
  1.109000E-01   1.24074268E-55
  1.122000E-01   2.78053704E-55
  1.135000E-01   6.11363491E-55
  1.148000E-01   1.31988277E-54
  1.161000E-01   2.79377593E-54
  1.175000E-01   6.12967366E-54
  1.189000E-01   1.31746749E-53
  1.202000E-01   2.63453860E-53
  1.216000E-01   5.45465587E-53
  1.230000E-01   1.10904733E-52
  1.244000E-01   2.21719108E-52
  1.259000E-01   4.57484893E-52
  1.274000E-01   9.26127716E-52
  1.288000E-01   1.75923655E-51
  1.303000E-01   3.43923456E-51
  1.318000E-01   6.61790427E-51
  1.333000E-01   1.25196627E-50
  1.349000E-01   2.42464491E-50
  1.365000E-01   4.60913784E-50
  1.380000E-01   8.26767483E-50
  1.396000E-01   1.50595253E-49
  1.412000E-01   2.69604925E-49
  1.429000E-01   4.91256788E-49
  1.445000E-01   8.48784235E-49
  1.462000E-01   1.48884880E-48
  1.479000E-01   2.56433133E-48
  1.496000E-01   4.34831680E-48
  1.514000E-01   7.47457585E-48
  1.531000E-01   1.22572577E-47
  1.549000E-01   2.03180443E-47
  1.567000E-01   3.32985201E-47
  1.585000E-01   5.38431507E-47
  1.603000E-01   8.58800060E-47
  1.622000E-01   1.38638362E-46
  1.641000E-01   2.20552293E-46
  1.660000E-01   3.48754532E-46
  1.679000E-01   5.51930591E-46
  1.698000E-01   8.65517018E-46
  1.718000E-01   1.37730850E-45
  1.738000E-01   2.17466146E-45
  1.758000E-01   3.41250271E-45
  1.778000E-01   5.28138399E-45
  1.799000E-01   8.15305341E-45
  1.820000E-01   1.24590892E-44
  1.841000E-01   1.88695413E-44
  1.862000E-01   2.83488996E-44
  1.884000E-01   4.31237267E-44
  1.905000E-01   6.40026914E-44
  1.928000E-01   1.00748697E-43
  1.950000E-01   1.55170866E-43
  1.972000E-01   2.37937725E-43
  1.995000E-01   3.70436889E-43
  2.018000E-01   5.74361641E-43
  2.042000E-01   9.03703003E-43
  2.065000E-01   1.38956820E-42
  2.089000E-01   2.12101715E-42
  2.113000E-01   3.20343789E-42
  2.138000E-01   4.87452965E-42
  2.163000E-01   7.34619512E-42
  2.188000E-01   1.09689207E-41
  2.213000E-01   1.62319275E-41
  2.239000E-01   2.41794926E-41
  2.265000E-01   3.56937373E-41
  2.291000E-01   5.22449057E-41
  2.317000E-01   7.58403178E-41
  2.344000E-01   1.10696505E-40
  2.371000E-01   1.60180528E-40
  2.399000E-01   2.32765859E-40
  2.427000E-01   3.35232007E-40
  2.455000E-01   4.78827712E-40
  2.483000E-01   6.78322914E-40
  2.512000E-01   9.65365652E-40
  2.541000E-01   1.36244099E-39
  2.570000E-01   1.90724759E-39
  2.600000E-01   2.67897710E-39
  2.630000E-01   3.73223897E-39
  2.661000E-01   5.21462518E-39
  2.691000E-01   7.15116804E-39
  2.723000E-01   9.93680753E-39
  2.754000E-01   1.35608737E-38
  2.786000E-01   1.85496979E-38
  2.818000E-01   2.51881562E-38
  2.851000E-01   3.42624519E-38
  2.884000E-01   4.62644902E-38
  2.917000E-01   6.20297362E-38
  2.951000E-01   8.32901688E-38
  2.985000E-01   1.11075784E-37
  3.020000E-01   1.48300739E-37
  3.055000E-01   1.96635192E-37
  3.090000E-01   2.58967833E-37
  3.126000E-01   3.41390633E-37
  3.162000E-01   4.47061020E-37
  3.199000E-01   5.86046722E-37
  3.236000E-01   7.63150582E-37
  3.273000E-01   9.87343196E-37
  3.311000E-01   1.27848469E-36
  3.350000E-01   1.65602557E-36
  3.388000E-01   2.11790981E-36
  3.428000E-01   2.72706225E-36
  3.467000E-01   3.46844769E-36
  3.507000E-01   4.41287234E-36
  3.548000E-01   5.61457894E-36
  3.589000E-01   7.10180869E-36
  3.631000E-01   8.98311888E-36
  3.673000E-01   1.12960561E-35
  3.715000E-01   1.41295667E-35
  3.758000E-01   1.76685210E-35
  3.802000E-01   2.20906138E-35
  3.846000E-01   2.74644599E-35
  3.891000E-01   3.41338490E-35
  3.936000E-01   4.22042913E-35
  3.981000E-01   5.19075151E-35
  4.027000E-01   6.38172175E-35
  4.074000E-01   7.84066015E-35
  4.121000E-01   9.58447265E-35
  4.169000E-01   1.17094403E-34
  4.217000E-01   1.42365460E-34
  4.266000E-01   1.72964818E-34
  4.315000E-01   2.09159748E-34
  4.365000E-01   2.52667953E-34
  4.416000E-01   3.05027511E-34
  4.467000E-01   3.66536421E-34
  4.519000E-01   4.39992317E-34
  4.571000E-01   5.25896458E-34
  4.624000E-01   6.27861345E-34
  4.677000E-01   7.46527267E-34
  4.732000E-01   8.89395268E-34
  4.786000E-01   1.05184005E-33
  4.842000E-01   1.24657191E-33
  4.898000E-01   1.47109915E-33
  4.954000E-01   1.72914848E-33
  5.012000E-01   2.03579008E-33
  5.070000E-01   2.38767146E-33
  5.129000E-01   2.79672214E-33
  5.188000E-01   3.26303379E-33
  5.248000E-01   3.80227353E-33
  5.309000E-01   4.42542458E-33
  5.370000E-01   5.13132258E-33
  5.433000E-01   5.95685756E-33
  5.495000E-01   6.87416080E-33
  5.559000E-01   7.94022709E-33
  5.623000E-01   9.13997127E-33
  5.688000E-01   1.05074381E-32
  5.754000E-01   1.20634908E-32
  5.821000E-01   1.38311570E-32
  5.888000E-01   1.58046994E-32
  5.957000E-01   1.80706080E-32
  6.026000E-01   2.05914797E-32
  6.095000E-01   2.33907947E-32
  6.166000E-01   2.65812301E-32
  6.237000E-01   3.01065094E-32
  6.310000E-01   3.41188506E-32
  6.383000E-01   3.85373021E-32
  6.457000E-01   4.34673802E-32
  6.531000E-01   4.88824997E-32
  6.607000E-01   5.49924064E-32
  6.683000E-01   6.16901608E-32
  6.761000E-01   6.92050665E-32
  6.839000E-01   7.74190665E-32
  6.918000E-01   8.64822176E-32
  6.998000E-01   9.64796192E-32
  7.079000E-01   1.07475118E-31
  7.161000E-01   1.19556774E-31
  7.244000E-01   1.32843575E-31
  7.328000E-01   1.47364206E-31
  7.413000E-01   1.63243458E-31
  7.499000E-01   1.80581109E-31
  7.586000E-01   1.99496256E-31
  7.674000E-01   2.20069714E-31
  7.763000E-01   2.42447044E-31
  7.852000E-01   2.66475390E-31
  7.943000E-01   2.92768454E-31
  8.035000E-01   3.21246918E-31
  8.128000E-01   3.51980223E-31
  8.222000E-01   3.85102798E-31
  8.318000E-01   4.21162982E-31
  8.414000E-01   4.59583784E-31
  8.511000E-01   5.00807454E-31
  8.610000E-01   5.45515125E-31
  8.710000E-01   5.93374167E-31
  8.810000E-01   6.44199066E-31
  8.913000E-01   6.99472357E-31
  9.016000E-01   7.58004939E-31
  9.120000E-01   8.20511718E-31
  9.226000E-01   8.87533915E-31
  9.333000E-01   9.59015658E-31
  9.441000E-01   1.03467091E-30
  9.550000E-01   1.11513691E-30
  9.661000E-01   1.20094028E-30
  9.772000E-01   1.29042680E-30
  9.886000E-01   1.38452497E-30
  1.000000E+00   1.48466200E-30
  1.012000E+00   1.60348642E-30
  1.023000E+00   1.71810958E-30
  1.035000E+00   1.84925056E-30
  1.047000E+00   1.98743879E-30
  1.059000E+00   2.13240090E-30
  1.071000E+00   2.28412163E-30
  1.084000E+00   2.45716262E-30
  1.097000E+00   2.63841009E-30
  1.109000E+00   2.81344350E-30
  1.122000E+00   3.01178673E-30
  1.135000E+00   3.21948124E-30
  1.148000E+00   3.43591280E-30
  1.161000E+00   3.66198887E-30
  1.175000E+00   3.91566630E-30
  1.189000E+00   4.18051080E-30
  1.202000E+00   4.43514904E-30
  1.216000E+00   4.72014565E-30
  1.230000E+00   5.01501227E-30
  1.245000E+00   5.34219194E-30
  1.259000E+00   5.65701665E-30
  1.273000E+00   5.98052298E-30
  1.288000E+00   6.33816172E-30
  1.303000E+00   6.70499561E-30
  1.318000E+00   7.08251106E-30
  1.334000E+00   7.49712229E-30
  1.349000E+00   7.89398641E-30
  1.365000E+00   8.32908188E-30
  1.380000E+00   8.74576881E-30
  1.396000E+00   9.20103482E-30
  1.413000E+00   9.69641414E-30
  1.429000E+00   1.01726038E-29
  1.445000E+00   1.06574394E-29
  1.462000E+00   1.11830913E-29
  1.479000E+00   1.17193325E-29
  1.496000E+00   1.22666077E-29
  1.514000E+00   1.28568636E-29
  1.531000E+00   1.34268639E-29
  1.549000E+00   1.40394478E-29
  1.567000E+00   1.46611927E-29
  1.585000E+00   1.52952102E-29
  1.603000E+00   1.59426433E-29
  1.622000E+00   1.66357723E-29
  1.641000E+00   1.73409942E-29
  1.660000E+00   1.80599989E-29
  1.679000E+00   1.87913112E-29
  1.698000E+00   1.95349778E-29
  1.718000E+00   2.03318815E-29
  1.738000E+00   2.11444789E-29
  1.758000E+00   2.19698613E-29
  1.778000E+00   2.28133373E-29
  1.799000E+00   2.37137404E-29
  1.820000E+00   2.46319237E-29
  1.841000E+00   2.55679459E-29
  1.862000E+00   2.65213114E-29
  1.884000E+00   2.75406546E-29
  1.906000E+00   2.85773451E-29
  1.928000E+00   2.96376488E-29
  1.950000E+00   3.07177138E-29
  1.972000E+00   3.18162022E-29
  1.995000E+00   3.29859793E-29
  2.018000E+00   3.41764623E-29
  2.042000E+00   3.54427892E-29
  2.065000E+00   3.66753339E-29
  2.089000E+00   3.79794971E-29
  2.114000E+00   3.93573276E-29
  2.138000E+00   4.06926595E-29
  2.163000E+00   4.21027615E-29
  2.188000E+00   4.35154342E-29
  2.213000E+00   4.49488730E-29
  2.239000E+00   4.64400249E-29
  2.265000E+00   4.79444145E-29
  2.291000E+00   4.94595360E-29
  2.317000E+00   5.09813896E-29
  2.344000E+00   5.25615573E-29
  2.371000E+00   5.41957698E-29
  2.399000E+00   5.58882326E-29
  2.427000E+00   5.75825501E-29
  2.455000E+00   5.92722635E-29
  2.483000E+00   6.09606911E-29
  2.512000E+00   6.27640653E-29
  2.541000E+00   6.45583760E-29
  2.570000E+00   6.63466485E-29
  2.600000E+00   6.82553537E-29
  2.630000E+00   7.01525335E-29
  2.661000E+00   7.21709840E-29
  2.691000E+00   7.40522631E-29
  2.723000E+00   7.61792306E-29
  2.754000E+00   7.81667482E-29
  2.786000E+00   8.02693629E-29
  2.818000E+00   8.24265521E-29
  2.851000E+00   8.46287200E-29
  2.884000E+00   8.68909521E-29
  2.917000E+00   8.91313958E-29
  2.951000E+00   9.14859504E-29
  2.985000E+00   9.38231902E-29
  3.020000E+00   9.62656687E-29
  3.055000E+00   9.86178844E-29
  3.090000E+00   1.00869850E-28
  3.126000E+00   1.03162543E-28
  3.162000E+00   1.05286661E-28
  3.199000E+00   1.07447806E-28
  3.236000E+00   1.09525172E-28
  3.273000E+00   1.11532666E-28
  3.311000E+00   1.13812681E-28
  3.350000E+00   1.18700324E-28
  3.388000E+00   1.26773034E-28
  3.428000E+00   1.28590172E-28
  3.467000E+00   1.30083115E-28
  3.507000E+00   1.28760428E-28
  3.548000E+00   1.28331729E-28
  3.589000E+00   1.26649096E-28
  3.631000E+00   1.26852810E-28
  3.673000E+00   1.28280525E-28
  3.715000E+00   1.29779280E-28
  3.758000E+00   1.31248602E-28
  3.802000E+00   1.32795781E-28
  3.846000E+00   1.34372975E-28
  3.891000E+00   1.35884262E-28
  3.935000E+00   1.37395962E-28
  3.981000E+00   1.39020894E-28
  4.027000E+00   1.40609664E-28
  4.074000E+00   1.42205549E-28
