# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  1.00
# solver = draine
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  1.000000E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.013520E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.027230E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.041120E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.055200E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.069470E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.083930E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.098580E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.113440E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.128500E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.143760E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.159220E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.174900E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.190780E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.206890E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.223210E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.239750E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.256510E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.273500E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.290720E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.308180E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.325870E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.343800E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.361970E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.380380E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.399050E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.417970E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.437140E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.456580E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.476270E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.496240E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.516470E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.536970E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.557760E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.578820E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.600170E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.621810E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.643740E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.665970E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.688500E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.711330E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.734470E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.757920E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.781690E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.805790E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.830210E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.854950E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.880040E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.905460E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.931230E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.957340E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  1.983810E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.010640E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.037820E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.065380E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.093310E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.121620E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.150300E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.179380E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.208850E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.238720E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.268990E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.299680E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.330770E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.362290E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.394230E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.426610E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.459420E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.492680E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.526390E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.560550E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.595180E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
  2.630270E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
