# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  1.00
# solver = draine
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.243020E-01  4.84662520E-031  4.81599505E-031  2.47218437E-033  5.90830941E-034
  2.273350E-01  5.93851147E-031  5.90241952E-031  2.87975782E-033  7.29437544E-034
  2.304090E-01  7.16623716E-031  7.12379193E-031  3.34162896E-033  9.02893854E-034
  2.335250E-01  8.55736592E-031  8.50770215E-031  3.84733300E-033  1.11904369E-033
  2.366830E-01  1.01530712E-030  1.00952274E-030  4.39574199E-033  1.38864196E-033
  2.398830E-01  1.20077712E-030  1.19402234E-030  5.03423059E-033  1.72054555E-033
  2.431270E-01  1.41895028E-030  1.41100263E-030  5.81267236E-033  2.13497364E-033
  2.464150E-01  1.67776948E-030  1.66839360E-030  6.73426034E-033  2.64162792E-033
  2.497470E-01  1.98664034E-030  1.97556032E-030  7.82126149E-033  3.25876211E-033
  2.531240E-01  2.35680970E-030  2.34365888E-030  9.17199760E-033  3.97882103E-033
  2.565470E-01  2.80150537E-030  2.78591149E-030  1.07529552E-032  4.84092708E-033
  2.600160E-01  3.33640073E-030  3.31786727E-030  1.26638685E-032  5.86959583E-033
  2.635320E-01  3.98013216E-030  3.95809597E-030  1.49435024E-032  7.09268513E-033
  2.670960E-01  4.75483567E-030  4.72873153E-030  1.75569755E-032  8.54715891E-033
  2.707070E-01  5.68624006E-030  5.65542399E-030  2.05447919E-032  1.02712778E-032
  2.743680E-01  6.80601319E-030  6.76970454E-030  2.39991860E-032  1.23094673E-032
  2.780780E-01  8.15070625E-030  8.10766305E-030  2.83456855E-032  1.46975208E-032
  2.818380E-01  9.76333339E-030  9.71255172E-030  3.32786818E-032  1.75029834E-032
  2.856490E-01  1.16950855E-029  1.16353809E-029  3.89147712E-032  2.07898353E-032
  2.895120E-01  1.40065018E-029  1.39361889E-029  4.56859493E-032  2.46270043E-032
  2.934270E-01  1.67675249E-029  1.66849261E-029  5.35050265E-032  2.90938177E-032
  2.973950E-01  2.00609439E-029  1.99640705E-029  6.25955195E-032  3.42778068E-032
  3.014160E-01  2.39821974E-029  2.38689715E-029  7.29392639E-032  4.02866633E-032
  3.054920E-01  2.75607542E-029  2.74288572E-029  8.46593697E-032  4.72376005E-032
  3.096230E-01  3.23891563E-029  3.22360239E-029  9.78744131E-032  5.52579557E-032
  3.138100E-01  3.79505878E-029  3.77725380E-029  1.13614265E-031  6.44355818E-032
  3.180530E-01  4.43318757E-029  4.41253848E-029  1.31532082E-031  7.49588247E-032
  3.223540E-01  5.16292924E-029  5.13905146E-029  1.51770882E-031  8.70069291E-032
  3.267130E-01  5.99402856E-029  5.96648563E-029  1.74661970E-031  1.00767318E-031
  3.311310E-01  6.93680892E-029  6.90499484E-029  2.01702340E-031  1.16438444E-031
  3.356090E-01  8.00106549E-029  7.96441134E-029  2.32281516E-031  1.34259925E-031
  3.401470E-01  9.19593818E-029  9.15381530E-029  2.66748525E-031  1.54480331E-031
  3.447470E-01  1.05291999E-028  1.04808850E-028  3.05782531E-031  1.77366393E-031
  3.494080E-01  1.20046739E-028  1.19492202E-028  3.51413226E-031  2.03124150E-031
  3.541330E-01  1.36210266E-028  1.35575208E-028  4.02896181E-031  2.32162028E-031
  3.589220E-01  1.53660101E-028  1.52934451E-028  4.60826059E-031  2.64824338E-031
  3.637750E-01  1.72098665E-028  1.71271346E-028  5.25832692E-031  3.01486260E-031
  3.686950E-01  1.90967666E-028  1.90026346E-028  5.98791982E-031  3.42527083E-031
  3.736800E-01  2.09295559E-028  2.08226779E-028  6.80397688E-031  3.88381607E-031
  3.787330E-01  2.25737870E-028  2.24526838E-028  7.71470575E-031  4.39561283E-031
  3.838550E-01  2.39023992E-028  2.37654565E-028  8.72902470E-031  4.96524449E-031
  3.890450E-01  2.49235159E-028  2.47689788E-028  9.85605817E-031  5.59765464E-031
  3.943060E-01  2.58756240E-028  2.57015675E-028  1.11061658E-030  6.29948793E-031
  3.996380E-01  2.70884878E-028  2.68928223E-028  1.24896894E-030  7.07685689E-031
  4.050420E-01  2.87580373E-028  2.85386611E-028  1.40049090E-030  7.93270415E-031
  4.105190E-01  3.08940954E-028  3.06486076E-028  1.56721516E-030  8.87662995E-031
  4.160700E-01  3.33872450E-028  3.31130452E-028  1.75037997E-030  9.91617808E-031
  4.216970E-01  3.61000317E-028  3.57943121E-028  1.95126123E-030  1.10593525E-030
  4.273990E-01  3.89371906E-028  3.85969472E-028  2.17103968E-030  1.23139439E-030
  4.331780E-01  4.18118454E-028  4.14338493E-028  2.41108215E-030  1.36887897E-030
  4.390360E-01  4.45176389E-028  4.40980967E-028  2.67602699E-030  1.51939434E-030
  4.449730E-01  4.66686317E-028  4.62032838E-028  2.97017018E-030  1.68330861E-030
  4.509900E-01  4.77694459E-028  4.72540776E-028  3.29175878E-030  1.86192371E-030
  4.570880E-01  4.74354637E-028  4.68656612E-028  3.64166587E-030  2.05635945E-030
  4.632690E-01  4.57406245E-028  4.51116754E-028  4.02175836E-030  2.26773168E-030
  4.695340E-01  4.33180497E-028  4.26249458E-028  4.43387342E-030  2.49716566E-030
  4.758830E-01  4.08770175E-028  4.01144594E-028  4.87977757E-030  2.74580360E-030
  4.823180E-01  3.86779640E-028  3.78403297E-028  5.36145288E-030  3.01488974E-030
  4.888400E-01  3.65232434E-028  3.56033657E-028  5.89324460E-030  3.30553156E-030
  4.954500E-01  3.40495191E-028  3.30390555E-028  6.48571423E-030  3.61892170E-030
  5.021500E-01  3.10729647E-028  2.99645993E-028  7.12701256E-030  3.95664193E-030
  5.089400E-01  2.78028387E-028  2.65888464E-028  7.81991648E-030  4.32000685E-030
  5.158220E-01  2.46634793E-028  2.33356738E-028  8.56757438E-030  4.71047986E-030
  5.227970E-01  2.19367455E-028  2.04864932E-028  9.37301842E-030  5.12950394E-030
  5.298670E-01  1.96518035E-028  1.80699843E-028  1.02395460E-029  5.57864599E-030
  5.370320E-01  1.77038654E-028  1.59809164E-028  1.11701401E-029  6.05934925E-030
  5.442940E-01  1.59923097E-028  1.41181764E-028  1.21681524E-029  6.57318014E-030
  5.516540E-01  1.44906413E-028  1.24539302E-028  1.32456870E-029  7.12142423E-030
  5.591140E-01  1.32187894E-028  1.10048635E-028  1.44346441E-029  7.70461485E-030
  5.666740E-01  1.21768745E-028  9.77330561E-029  1.57102942E-029  8.32539489E-030
  5.743370E-01  1.13385231E-028  8.73221733E-029  1.70774758E-029  8.98558218E-030
  5.821030E-01  1.06671280E-028  7.84439087E-029  1.85407598E-029  9.68661167E-030
  5.899750E-01  1.01325331E-028  7.07897142E-029  2.01052359E-029  1.04303805E-029
  5.979530E-01  9.71562820E-029  6.41624054E-029  2.17755645E-029  1.12183122E-029
  6.060380E-01  9.40237977E-029  5.84152564E-029  2.35565064E-029  1.20520349E-029
  6.142330E-01  9.17960409E-029  5.34089998E-029  2.54536272E-029  1.29334139E-029
  6.225390E-01  9.03522958E-029  4.90163099E-029  2.74719961E-029  1.38639898E-029
  6.309570E-01  8.95931525E-029  4.51312947E-029  2.96165526E-029  1.48453052E-029
  6.394890E-01  8.94432307E-029  4.16714334E-029  3.18926763E-029  1.58791211E-029
  6.481370E-01  8.98439814E-029  3.85710143E-029  3.43058728E-029  1.69670942E-029
  6.569010E-01  9.07505466E-029  3.57767130E-029  3.68633531E-029  1.81104804E-029
  6.657840E-01  9.21664003E-029  3.32433623E-029  3.96114032E-029  1.93116349E-029
  6.747870E-01  9.40262136E-029  3.09344837E-029  4.25202399E-029  2.05714901E-029
  6.839120E-01  9.63080948E-029  2.88201830E-029  4.55964093E-029  2.18915025E-029
  6.931600E-01  9.89951086E-029  2.68760754E-029  4.88458867E-029  2.32731465E-029
  7.025330E-01  1.02078975E-028  2.50817653E-029  5.22793208E-029  2.47178888E-029
  7.120330E-01  1.05561256E-028  2.34202518E-029  5.59135473E-029  2.62274568E-029
  7.216610E-01  1.09423798E-028  2.18773729E-029  5.97438127E-029  2.78026123E-029
  7.314200E-01  1.13663122E-028  2.04410766E-029  6.37772622E-029  2.94447830E-029
  7.413100E-01  1.18276474E-028  1.91014982E-029  6.80203078E-029  3.11546683E-029
  7.513350E-01  1.23263686E-028  1.78497775E-029  7.24801743E-029  3.29337346E-029
  7.614940E-01  1.28623541E-028  1.66789029E-029  7.71621241E-029  3.47825138E-029
  7.717920E-01  1.34359672E-028  1.55822093E-029  8.20749554E-029  3.67025074E-029
  7.822280E-01  1.40471168E-028  1.45546052E-029  8.72227430E-029  3.86938199E-029
  7.928060E-01  1.46962348E-028  1.35910612E-029  9.26136200E-029  4.07576665E-029
  8.035260E-01  1.53847935E-028  1.26876718E-029  9.82693590E-029  4.28909043E-029
  8.143920E-01  1.61151424E-028  1.18406196E-029  1.04219687E-028  4.50911173E-029
  8.254040E-01  1.68850405E-028  1.10468139E-029  1.10439920E-028  4.73636716E-029
  8.365660E-01  1.76951374E-028  1.03032894E-029  1.16938680E-028  4.97094044E-029
  8.478780E-01  1.85455941E-028  9.60759384E-030  1.23720500E-028  5.21278465E-029
  8.593430E-01  1.94370189E-028  8.95739056E-030  1.30793307E-028  5.46194917E-029
  8.709640E-01  2.03698619E-028  8.35052377E-030  1.38163960E-028  5.71841355E-029
  8.827410E-01  2.13442899E-028  7.78522336E-030  1.45836731E-028  5.98209450E-029
  8.946780E-01  2.23609129E-028  7.25966240E-030  1.53818961E-028  6.25305060E-029
  9.067760E-01  2.34242632E-028  6.77226303E-030  1.62164138E-028  6.53062310E-029
  9.190380E-01  2.45345631E-028  6.32158495E-030  1.70875331E-028  6.81487153E-029
  9.314650E-01  2.56891812E-028  5.90622793E-030  1.79925588E-028  7.10599956E-029
  9.440610E-01  2.68888044E-028  5.52493833E-030  1.89322421E-028  7.40406845E-029
  9.568270E-01  2.81336133E-028  5.17653215E-030  1.99071202E-028  7.70883987E-029
  9.697650E-01  2.94237589E-028  4.85993418E-030  2.09175289E-028  8.02023654E-029
  9.828790E-01  3.07599742E-028  4.57402961E-030  2.19644366E-028  8.33813463E-029
  9.961700E-01  3.21420862E-028  4.31794832E-030  2.30478576E-028  8.66243373E-029
  1.009640E+00  3.35856598E-028  4.09075317E-030  2.41831100E-028  8.99347454E-029
  1.023290E+00  3.50832981E-028  3.89164457E-030  2.53633797E-028  9.33075395E-029
  1.037130E+00  3.66310458E-028  3.71975545E-030  2.65848670E-028  9.67420331E-029
  1.051150E+00  3.82273094E-028  3.57452189E-030  2.78467230E-028  1.00231342E-028
  1.065370E+00  3.98749296E-028  3.45512705E-030  2.91514701E-028  1.03779468E-028
  1.079780E+00  4.15720999E-028  3.36111765E-030  3.04979496E-028  1.07380385E-028
  1.094380E+00  4.33183824E-028  3.29197065E-030  3.18861243E-028  1.11030611E-028
  1.109170E+00  4.51135557E-028  3.24721287E-030  3.33161132E-028  1.14727212E-028
  1.124170E+00  4.69604836E-028  3.22640904E-030  3.47904890E-028  1.18473538E-028
  1.139380E+00  4.89064322E-028  3.22928463E-030  3.63576388E-028  1.22258650E-028
  1.154780E+00  5.09165795E-028  3.25556102E-030  3.79832672E-028  1.26077562E-028
  1.170400E+00  5.29850599E-028  3.30510411E-030  3.96607911E-028  1.29937584E-028
  1.186220E+00  5.51077490E-028  3.37772951E-030  4.13870796E-028  1.33828964E-028
  1.202260E+00  5.72881155E-028  3.47348036E-030  4.31652841E-028  1.37754834E-028
  1.218520E+00  5.95256785E-028  3.59240437E-030  4.49953416E-028  1.41710965E-028
  1.235000E+00  6.18197042E-028  3.73461578E-030  4.68769827E-028  1.45692599E-028
  1.251700E+00  6.41814585E-028  3.90029051E-030  4.88122167E-028  1.49792127E-028
  1.268630E+00  6.66232741E-028  4.08980332E-030  5.08210420E-028  1.53932518E-028
  1.285780E+00  6.91222286E-028  4.30336925E-030  5.28824876E-028  1.58094041E-028
  1.303170E+00  7.16818962E-028  4.54167514E-030  5.49998094E-028  1.62279193E-028
  1.320790E+00  7.43151545E-028  4.80510973E-030  5.71850483E-028  1.66495952E-028
  1.338650E+00  7.70110115E-028  5.09442679E-030  5.94284898E-028  1.70730790E-028
  1.356750E+00  7.97667506E-028  5.41031732E-030  6.17279800E-028  1.74977389E-028
  1.375100E+00  8.25836712E-028  5.75377948E-030  6.40847834E-028  1.79235098E-028
  1.393690E+00  8.54839806E-028  6.12550278E-030  6.65225070E-028  1.83489232E-028
  1.412540E+00  8.84522997E-028  6.52687830E-030  6.90248005E-028  1.87748113E-028
  1.431640E+00  9.14812643E-028  6.95882699E-030  7.15849640E-028  1.92004176E-028
  1.451000E+00  9.45721567E-028  7.42277093E-030  7.42042415E-028  1.96256381E-028
  1.470620E+00  9.77692292E-028  7.92003483E-030  7.69274577E-028  2.00497680E-028
  1.490500E+00  1.01059785E-027  8.45205917E-030  7.97420909E-028  2.04724880E-028
  1.510660E+00  1.04419858E-027  9.02097796E-030  8.26236210E-028  2.08941392E-028
  1.531090E+00  1.07845398E-027  9.62822062E-030  8.55687125E-028  2.13138636E-028
  1.551790E+00  1.11340302E-027  1.02756410E-029  8.85817966E-028  2.17309417E-028
  1.572780E+00  1.14953577E-027  1.09658626E-029  9.17144806E-028  2.21425098E-028
  1.594040E+00  1.18632258E-027  1.17003853E-029  9.49115002E-028  2.25507196E-028
  1.615600E+00  1.22383050E-027  1.24825738E-029  9.81787141E-028  2.29560790E-028
  1.637440E+00  1.26198943E-027  1.33142425E-029  1.01509984E-027  2.33575355E-028
  1.659590E+00  1.30087527E-027  1.41992339E-029  1.04910784E-027  2.37568189E-028
  1.682030E+00  1.34042036E-027  1.51397368E-029  1.08374678E-027  2.41533844E-028
  1.704770E+00  1.38062623E-027  1.61392910E-029  1.11903177E-027  2.45455166E-028
  1.727830E+00  1.42153244E-027  1.72022434E-029  1.15499641E-027  2.49333784E-028
  1.751190E+00  1.46306274E-027  1.83313894E-029  1.19157127E-027  2.53160086E-028
  1.774870E+00  1.50537851E-027  1.95317106E-029  1.22888699E-027  2.56959812E-028
  1.798870E+00  1.54904664E-027  2.08076266E-029  1.26739896E-027  2.60840054E-028
  1.823200E+00  1.59342251E-027  2.21644349E-029  1.30658735E-027  2.64670722E-028
  1.847850E+00  1.63845372E-027  2.36068179E-029  1.34640160E-027  2.68445309E-028
  1.872840E+00  1.68418419E-027  2.51416047E-029  1.38687691E-027  2.72165677E-028
  1.898160E+00  1.73055848E-027  2.67744717E-029  1.42795830E-027  2.75825705E-028
  1.923830E+00  1.77832374E-027  2.85135792E-029  1.47036560E-027  2.79444570E-028
  1.949840E+00  1.82718139E-027  3.03658545E-029  1.51380590E-027  2.83009636E-028
  1.976210E+00  1.87678550E-027  3.23411924E-029  1.55793174E-027  2.86512570E-028
  2.002930E+00  1.92708204E-027  3.44481943E-029  1.60268627E-027  2.89947574E-028
  2.030020E+00  1.97811381E-027  3.66989593E-029  1.64809834E-027  2.93316504E-028
  2.057470E+00  2.02982971E-027  3.91043826E-029  1.69411125E-027  2.96614078E-028
  2.085290E+00  2.08260783E-027  4.16784689E-029  1.74109723E-027  2.99832128E-028
  2.113490E+00  2.13629440E-027  4.44373024E-029  1.78888304E-027  3.02974063E-028
  2.142070E+00  2.19072538E-027  4.73977315E-029  1.83721644E-027  3.06111207E-028
  2.171030E+00  2.24586990E-027  5.05792834E-029  1.88608792E-027  3.09202695E-028
  2.200390E+00  2.30177815E-027  5.40066255E-029  1.93555144E-027  3.12220075E-028
  2.230150E+00  2.35877190E-027  5.77057872E-029  1.98595179E-027  3.15114320E-028
  2.260300E+00  2.41669099E-027  6.17058500E-029  2.03705524E-027  3.17929906E-028
  2.290870E+00  2.47628946E-027  6.60457065E-029  2.08956347E-027  3.20680288E-028
  2.321850E+00  2.53673131E-027  7.07664923E-029  2.14261522E-027  3.23349591E-028
  2.353240E+00  2.59802062E-027  7.59174212E-029  2.19616746E-027  3.25935739E-028
  2.385060E+00  2.66024395E-027  8.15620627E-029  2.25024090E-027  3.28440987E-028
  2.417320E+00  2.72346146E-027  8.77744324E-029  2.30482189E-027  3.30865143E-028
  2.450000E+00  2.78912731E-027  9.46396976E-029  2.36126098E-027  3.33226640E-028
  2.483130E+00  2.85633636E-027  1.02272692E-028  2.41854408E-027  3.35519589E-028
  2.516710E+00  2.92430663E-027  1.10810491E-028  2.47570580E-027  3.37790340E-028
  2.550740E+00  2.99368036E-027  1.20425367E-028  2.53327707E-027  3.39977930E-028
  2.585230E+00  3.06465477E-027  1.31339761E-028  2.59123173E-027  3.42083276E-028
  2.620190E+00  3.13749926E-027  1.43843051E-028  2.64954965E-027  3.44106560E-028
  2.655620E+00  3.21253478E-027  1.58310937E-028  2.70817692E-027  3.46046921E-028
  2.691530E+00  3.29024528E-027  1.75251012E-028  2.76708951E-027  3.47904756E-028
  2.727930E+00  3.37129675E-027  1.95355487E-028  2.82626037E-027  3.49680888E-028
  2.764820E+00  3.45692907E-027  2.19582408E-028  2.88594996E-027  3.51396701E-028
  2.802210E+00  3.54917845E-027  2.49306526E-028  2.94677806E-027  3.53093866E-028
  2.840100E+00  3.64903312E-027  2.86534083E-028  3.00778837E-027  3.54710671E-028
  2.878500E+00  3.75952615E-027  3.34317505E-028  3.06896040E-027  3.56248246E-028
  2.917430E+00  3.88547711E-027  3.97481605E-028  3.13028728E-027  3.57708225E-028
  2.956880E+00  4.03467851E-027  4.83921743E-028  3.19166696E-027  3.59089812E-028
  2.996860E+00  4.22090617E-027  6.07438544E-028  3.25307355E-027  3.60394080E-028
  3.037390E+00  4.47002079E-027  7.93897201E-028  3.31450065E-027  3.61622942E-028
  3.078460E+00  4.83469026E-027  1.09607040E-027  3.37584441E-027  3.62775457E-028
  3.120090E+00  5.43879380E-027  1.63638862E-027  3.43833977E-027  3.64065407E-028
  3.162280E+00  6.61974853E-027  2.75221211E-027  3.50203205E-027  3.65504372E-028
  3.205040E+00  9.59960881E-027  5.66711383E-027  3.56561998E-027  3.66875003E-028
  3.248380E+00  2.16137869E-026  1.76165458E-026  3.62906234E-027  3.68178755E-028
  3.292300E+00  1.25670786E-025  1.21609353E-025  3.69225728E-027  3.69175033E-028
  3.336820E+00  3.63622531E-026  3.22370463E-026  3.75522000E-027  3.69986899E-028
  3.381950E+00  1.24778952E-026  8.28925733E-027  3.81790502E-027  3.70732859E-028
  3.427680E+00  7.99105523E-027  3.73882321E-027  3.88099487E-027  3.71237151E-028
  3.474030E+00  6.50091139E-027  2.18504491E-027  3.94432183E-027  3.71544648E-028
  3.521010E+00  5.86112544E-027  1.48207687E-027  4.00725992E-027  3.71788653E-028
  3.568620E+00  5.55075306E-027  1.10905534E-027  4.06972696E-027  3.71970757E-028
  3.616870E+00  5.39413896E-027  8.90376436E-028  4.13167038E-027  3.72092145E-028
  3.665780E+00  5.31987473E-027  7.53635595E-028  4.19411674E-027  3.72122389E-028
  3.715350E+00  5.29433402E-027  6.64657105E-028  4.25763394E-027  3.72042969E-028
  3.765590E+00  5.29805742E-027  6.05568979E-028  4.32057891E-027  3.71909537E-028
