# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.243020E-01  6.05759774E-031  6.01339925E-031  3.68596616E-033  7.33882365E-034
  2.273350E-01  7.38752601E-031  7.33577911E-031  4.27155395E-033  9.03136564E-034
  2.304090E-01  8.87416830E-031  8.81370935E-031  4.93153074E-033  1.11436399E-033
  2.335250E-01  1.05497358E-030  1.04794723E-030  5.64950335E-033  1.37684493E-033
  2.366830E-01  1.24626983E-030  1.23814343E-030  6.42307483E-033  1.70332873E-033
  2.398830E-01  1.46771078E-030  1.45828623E-030  7.32044395E-033  2.10410376E-033
  2.431270E-01  1.72726287E-030  1.71624754E-030  8.41212099E-033  2.60320318E-033
  2.464150E-01  2.03415412E-030  2.02124239E-030  9.70011053E-033  3.21161571E-033
  2.497470E-01  2.39925943E-030  2.38409504E-030  1.12137884E-032  3.95059738E-033
  2.531240E-01  2.83554216E-030  2.81764158E-030  1.30905885E-032  4.80998928E-033
  2.565470E-01  3.35814741E-030  3.33703313E-030  1.52782284E-032  5.83604839E-033
  2.600160E-01  3.98499099E-030  3.96002003E-030  1.79139585E-032  7.05700143E-033
  2.635320E-01  4.73728942E-030  4.70773775E-030  2.10468445E-032  8.50481768E-033
  2.670960E-01  5.64015360E-030  5.60530958E-030  2.46219498E-032  1.02220672E-032
  2.707070E-01  6.72269629E-030  6.68175306E-030  2.86907365E-032  1.22524973E-032
  2.743680E-01  8.02071167E-030  7.97268914E-030  3.33757514E-032  1.46467808E-032
  2.780780E-01  9.57545640E-030  9.51875204E-030  3.92594118E-032  1.74449460E-032
  2.818380E-01  1.14351847E-029  1.13685542E-029  4.59062930E-032  2.07242932E-032
  2.856490E-01  1.36573265E-029  1.35793010E-029  5.34682802E-032  2.45572606E-032
  2.895120E-01  1.63097304E-029  1.62181822E-029  6.25267254E-032  2.90215400E-032
  2.934270E-01  1.94704583E-029  1.93633053E-029  7.29464840E-032  3.42064711E-032
  2.973950E-01  2.32318289E-029  2.31066018E-029  8.50167605E-032  4.02103276E-032
  3.014160E-01  2.76999661E-029  2.75541160E-029  9.86958101E-032  4.71542814E-032
  3.054920E-01  3.17536282E-029  3.15843253E-029  1.14133161E-031  5.51696889E-032
  3.096230E-01  3.72245719E-029  3.70287025E-029  1.31470597E-031  6.43988193E-032
  3.138100E-01  4.35120599E-029  4.32850551E-029  1.52067874E-031  7.49370139E-032
  3.180530E-01  5.07106836E-029  5.04482579E-029  1.75429915E-031  8.69957319E-032
  3.223540E-01  5.89252995E-029  5.86228052E-029  2.01719987E-031  1.00774352E-031
