# Polarized extinction per H: this code vs HD23 release
# lambda[um]  ours[cm^2/H]  reference[cm^2/H]  ratio
  4.957600E+02  4.223797E-27  4.224400E-27  9.998572E-01
  5.020600E+02  4.133278E-27  4.134400E-27  9.997287E-01
  5.084400E+02  4.043656E-27  4.044400E-27  9.998160E-01
  5.149000E+02  3.958197E-27  3.959000E-27  9.997971E-01
  5.214400E+02  3.873647E-27  3.875100E-27  9.996250E-01
  5.280700E+02  3.791060E-27  3.792100E-27  9.997256E-01
  5.347700E+02  3.712209E-27  3.713400E-27  9.996792E-01
  5.415700E+02  3.632502E-27  3.634400E-27  9.994778E-01
  5.484500E+02  3.556095E-27  3.557800E-27  9.995208E-01
  5.554200E+02  3.479926E-27  3.481400E-27  9.995766E-01
  5.624700E+02  3.406274E-27  3.408000E-27  9.994937E-01
  5.696200E+02  3.336368E-27  3.338400E-27  9.993914E-01
  5.768500E+02  3.265546E-27  3.266500E-27  9.997080E-01
  5.841800E+02  3.197679E-27  3.199000E-27  9.995871E-01
  5.916000E+02  3.129824E-27  3.131000E-27  9.996244E-01
  5.991200E+02  3.065008E-27  3.065700E-27  9.997741E-01
  6.067300E+02  3.001740E-27  3.002500E-27  9.997467E-01
  6.144400E+02  2.938248E-27  2.939300E-27  9.996421E-01
  6.222500E+02  2.876456E-27  2.877800E-27  9.995328E-01
  6.301500E+02  2.817365E-27  2.818000E-27  9.997747E-01
  6.381600E+02  2.759414E-27  2.760000E-27  9.997875E-01
  6.462600E+02  2.701739E-27  2.702300E-27  9.997923E-01
  6.544700E+02  2.646506E-27  2.647400E-27  9.996625E-01
  6.627900E+02  2.590230E-27  2.591100E-27  9.996644E-01
  6.712100E+02  2.537284E-27  2.538200E-27  9.996391E-01
  6.797400E+02  2.485101E-27  2.485800E-27  9.997187E-01
  6.883700E+02  2.434343E-27  2.435400E-27  9.995658E-01
  6.971200E+02  2.383705E-27  2.384800E-27  9.995406E-01
  7.059700E+02  2.335003E-27  2.335700E-27  9.997015E-01
  7.149400E+02  2.286872E-27  2.287800E-27  9.995942E-01
  7.240200E+02  2.240581E-27  2.241500E-27  9.995900E-01
  7.332200E+02  2.194624E-27  2.195400E-27  9.996464E-01
  7.425400E+02  2.150964E-27  2.151700E-27  9.996580E-01
  7.519700E+02  2.105750E-27  2.106500E-27  9.996442E-01
  7.615200E+02  2.064288E-27  2.064800E-27  9.997519E-01
  7.712000E+02  2.022683E-27  2.023400E-27  9.996454E-01
  7.810000E+02  1.980675E-27  1.981400E-27  9.996341E-01
  7.909200E+02  1.940240E-27  1.941000E-27  9.996082E-01
  8.009700E+02  1.900810E-27  1.901400E-27  9.996899E-01
  8.111400E+02  1.863123E-27  1.863800E-27  9.996369E-01
  8.214500E+02  1.825841E-27  1.826700E-27  9.995296E-01
  8.318800E+02  1.788802E-27  1.789400E-27  9.996658E-01
  8.424500E+02  1.753382E-27  1.754000E-27  9.996476E-01
  8.531500E+02  1.718239E-27  1.718900E-27  9.996152E-01
  8.639900E+02  1.683532E-27  1.684000E-27  9.997220E-01
  8.749700E+02  1.650234E-27  1.650800E-27  9.996571E-01
  8.860800E+02  1.617110E-27  1.617700E-27  9.996352E-01
  8.973400E+02  1.584842E-27  1.585400E-27  9.996480E-01
  9.087400E+02  1.553757E-27  1.554200E-27  9.997151E-01
  9.202900E+02  1.522545E-27  1.522900E-27  9.997672E-01
  9.319800E+02  1.492577E-27  1.492900E-27  9.997835E-01
  9.438200E+02  1.463179E-27  1.463700E-27  9.996439E-01
  9.558100E+02  1.433954E-27  1.434300E-27  9.997589E-01
  9.679500E+02  1.405659E-27  1.406200E-27  9.996150E-01
  9.802500E+02  1.378139E-27  1.378600E-27  9.996658E-01
  9.927000E+02  1.350825E-27  1.351300E-27  9.996484E-01
  1.005300E+03  1.325046E-27  1.325000E-27  1.000035E+00
  1.018100E+03  1.298465E-27  1.298900E-27  9.996651E-01
  1.031000E+03  1.272610E-27  1.273400E-27  9.993798E-01
  1.044100E+03  1.248166E-27  1.248700E-27  9.995723E-01
  1.057400E+03  1.223324E-27  1.224100E-27  9.993657E-01
  1.070800E+03  1.200697E-27  1.200400E-27  1.000247E+00
  1.084400E+03  1.176933E-27  1.177200E-27  9.997728E-01
  1.098200E+03  1.152797E-27  1.154000E-27  9.989573E-01
  1.112100E+03  1.131330E-27  1.131800E-27  9.995851E-01
  1.126300E+03  1.109577E-27  1.110000E-27  9.996193E-01
  1.140600E+03  1.087906E-27  1.088400E-27  9.995465E-01
  1.155100E+03  1.066787E-27  1.067600E-27  9.992388E-01
  1.169700E+03  1.046468E-27  1.046900E-27  9.995877E-01
  1.184600E+03  1.025925E-27  1.026700E-27  9.992454E-01
  1.199700E+03  1.006399E-27  1.007200E-27  9.992046E-01
  1.214900E+03  9.870689E-28  9.876400E-28  9.994218E-01
  1.230300E+03  9.683439E-28  9.689100E-28  9.994158E-01
  1.246000E+03  9.496259E-28  9.504900E-28  9.990909E-01
  1.261800E+03  9.319409E-28  9.320900E-28  9.998400E-01
  1.277800E+03  9.145981E-28  9.145000E-28  1.000107E+00
  1.294100E+03  8.964972E-28  8.971000E-28  9.993280E-01
  1.310500E+03  8.793708E-28  8.799400E-28  9.993532E-01
  1.327100E+03  8.633864E-28  8.635100E-28  9.998568E-01
  1.344000E+03  8.468963E-28  8.470000E-28  9.998776E-01
  1.361100E+03  8.309798E-28  8.309900E-28  9.999878E-01
  1.378400E+03  8.149450E-28  8.155400E-28  9.992704E-01
  1.395900E+03  7.992192E-28  7.999100E-28  9.991363E-01
  1.413600E+03  7.843236E-28  7.849900E-28  9.991511E-01
  1.431600E+03  7.700902E-28  7.703700E-28  9.996368E-01
  1.449800E+03  7.551439E-28  7.557100E-28  9.992509E-01
  1.468200E+03  7.413591E-28  7.417500E-28  9.994730E-01
  1.486800E+03  7.275415E-28  7.278800E-28  9.995349E-01
  1.505700E+03  7.141554E-28  7.142800E-28  9.998255E-01
  1.524800E+03  7.010034E-28  7.011000E-28  9.998622E-01
  1.544200E+03  6.878478E-28  6.879500E-28  9.998514E-01
  1.563800E+03  6.751953E-28  6.752300E-28  9.999486E-01
  1.583700E+03  6.627744E-28  6.629100E-28  9.997954E-01
  1.603800E+03  6.499992E-28  6.503500E-28  9.994607E-01
  1.624200E+03  6.384440E-28  6.385400E-28  9.998496E-01
  1.644800E+03  6.268447E-28  6.267800E-28  1.000103E+00
  1.665700E+03  6.151137E-28  6.151300E-28  9.999735E-01
  1.686900E+03  6.038399E-28  6.040100E-28  9.997184E-01
  1.708300E+03  5.927016E-28  5.928900E-28  9.996823E-01
  1.730000E+03  5.818691E-28  5.819800E-28  9.998094E-01
  1.752000E+03  5.713645E-28  5.714700E-28  9.998153E-01
  1.774300E+03  5.606082E-28  5.609000E-28  9.994798E-01
  1.796800E+03  5.506347E-28  5.507800E-28  9.997362E-01
  1.819600E+03  5.408711E-28  5.409000E-28  9.999465E-01
  1.842700E+03  5.308155E-28  5.308800E-28  9.998786E-01
  1.866200E+03  5.212484E-28  5.214200E-28  9.996710E-01
  1.889900E+03  5.119602E-28  5.120200E-28  9.998832E-01
  1.913900E+03  5.026898E-28  5.026800E-28  1.000020E+00
  1.938200E+03  4.937129E-28  4.937600E-28  9.999047E-01
  1.962800E+03  4.846400E-28  4.848200E-28  9.996287E-01
  1.987700E+03  4.758961E-28  4.761300E-28  9.995088E-01
  2.013000E+03  4.669140E-28  4.672300E-28  9.993236E-01
  2.038600E+03  4.583223E-28  4.584300E-28  9.997651E-01
  2.064500E+03  4.495099E-28  4.498300E-28  9.992883E-01
  2.090700E+03  4.409441E-28  4.412000E-28  9.994200E-01
  2.117300E+03  4.328550E-28  4.329000E-28  9.998960E-01
  2.144200E+03  4.246311E-28  4.247500E-28  9.997200E-01
  2.171400E+03  4.165019E-28  4.166000E-28  9.997646E-01
  2.199000E+03  4.086542E-28  4.087700E-28  9.997168E-01
  2.226900E+03  4.008726E-28  4.009600E-28  9.997820E-01
  2.255200E+03  3.932983E-28  3.933300E-28  9.999193E-01
  2.283900E+03  3.859062E-28  3.859700E-28  9.998348E-01
  2.312900E+03  3.783170E-28  3.785500E-28  9.993845E-01
  2.342300E+03  3.712242E-28  3.714000E-28  9.995266E-01
  2.372000E+03  3.641614E-28  3.644000E-28  9.993452E-01
  2.402200E+03  3.573314E-28  3.573900E-28  9.998359E-01
  2.432700E+03  3.506384E-28  3.506900E-28  9.998530E-01
  2.463600E+03  3.439782E-28  3.440500E-28  9.997913E-01
  2.494900E+03  3.373061E-28  3.374500E-28  9.995736E-01
  2.526600E+03  3.309840E-28  3.310800E-28  9.997101E-01
  2.558700E+03  3.246026E-28  3.247500E-28  9.995462E-01
  2.591200E+03  3.184176E-28  3.185900E-28  9.994588E-01
  2.624100E+03  3.124827E-28  3.126100E-28  9.995927E-01
  2.657400E+03  3.065050E-28  3.065800E-28  9.997554E-01
  2.691200E+03  3.007059E-28  3.007800E-28  9.997538E-01
  2.725400E+03  2.950697E-28  2.951400E-28  9.997618E-01
  2.760000E+03  2.893449E-28  2.894600E-28  9.996023E-01
  2.795100E+03  2.838853E-28  2.840200E-28  9.995259E-01
  2.830600E+03  2.785427E-28  2.786800E-28  9.995075E-01
  2.866500E+03  2.732706E-28  2.733500E-28  9.997095E-01
  2.902900E+03  2.680193E-28  2.681400E-28  9.995497E-01
  2.939800E+03  2.630045E-28  2.631100E-28  9.995989E-01
  2.977200E+03  2.579237E-28  2.580600E-28  9.994720E-01
  3.015000E+03  2.530916E-28  2.531700E-28  9.996904E-01
  3.053300E+03  2.483167E-28  2.484000E-28  9.996645E-01
  3.092100E+03  2.435970E-28  2.437100E-28  9.995364E-01
  3.131400E+03  2.389198E-28  2.390100E-28  9.996227E-01
  3.171200E+03  2.344518E-28  2.345300E-28  9.996666E-01
  3.211400E+03  2.300266E-28  2.300800E-28  9.997679E-01
  3.252200E+03  2.255721E-28  2.256600E-28  9.996105E-01
  3.293600E+03  2.212896E-28  2.214000E-28  9.995011E-01
  3.335400E+03  2.171813E-28  2.172400E-28  9.997297E-01
  3.377800E+03  2.129959E-28  2.130800E-28  9.996052E-01
  3.420700E+03  2.089466E-28  2.090100E-28  9.996966E-01
  3.464100E+03  2.049824E-28  2.050700E-28  9.995727E-01
  3.508200E+03  2.011092E-28  2.011300E-28  9.998968E-01
  3.552700E+03  1.972648E-28  1.973400E-28  9.996191E-01
  3.597900E+03  1.935487E-28  1.936400E-28  9.995287E-01
  3.643600E+03  1.898957E-28  1.899400E-28  9.997666E-01
  3.689900E+03  1.862352E-28  1.863000E-28  9.996522E-01
  3.736700E+03  1.827054E-28  1.827900E-28  9.995369E-01
  3.784200E+03  1.792773E-28  1.793400E-28  9.996501E-01
  3.832300E+03  1.758601E-28  1.759100E-28  9.997165E-01
  3.881000E+03  1.724812E-28  1.725600E-28  9.995432E-01
  3.930300E+03  1.692817E-28  1.693100E-28  9.998328E-01
  3.980200E+03  1.660589E-28  1.661300E-28  9.995723E-01
  4.030800E+03  1.628381E-28  1.629100E-28  9.995589E-01
  4.082000E+03  1.597892E-28  1.598400E-28  9.996821E-01
  4.133800E+03  1.567778E-28  1.568200E-28  9.997311E-01
  4.186300E+03  1.538170E-28  1.538500E-28  9.997856E-01
  4.239500E+03  1.508541E-28  1.509000E-28  9.996958E-01
  4.293400E+03  1.479913E-28  1.480500E-28  9.996038E-01
  4.347900E+03  1.452021E-28  1.452600E-28  9.996011E-01
  4.403200E+03  1.424178E-28  1.424600E-28  9.997039E-01
  4.459100E+03  1.397386E-28  1.397700E-28  9.997756E-01
  4.515800E+03  1.370960E-28  1.371300E-28  9.997518E-01
  4.573100E+03  1.345200E-28  1.345600E-28  9.997026E-01
  4.631200E+03  1.318841E-28  1.319300E-28  9.996522E-01
  4.690100E+03  1.293949E-28  1.294500E-28  9.995747E-01
  4.749600E+03  1.269757E-28  1.270100E-28  9.997301E-01
  4.810000E+03  1.245481E-28  1.245900E-28  9.996637E-01
  4.871100E+03  1.221803E-28  1.222100E-28  9.997566E-01
  4.933000E+03  1.198569E-28  1.199100E-28  9.995568E-01
  4.995600E+03  1.175967E-28  1.176400E-28  9.996318E-01
  5.059100E+03  1.153784E-28  1.154200E-28  9.996398E-01
  5.123400E+03  1.131642E-28  1.131900E-28  9.997721E-01
  5.188500E+03  1.110070E-28  1.110500E-28  9.996132E-01
  5.254400E+03  1.089129E-28  1.089500E-28  9.996598E-01
  5.321100E+03  1.068697E-28  1.069000E-28  9.997164E-01
  5.388700E+03  1.047859E-28  1.048300E-28  9.995795E-01
  5.457200E+03  1.028188E-28  1.028700E-28  9.995027E-01
  5.526500E+03  1.008806E-28  1.009200E-28  9.996096E-01
  5.596700E+03  9.896850E-29  9.900800E-29  9.996011E-01
  5.667800E+03  9.705859E-29  9.710200E-29  9.995529E-01
  5.739800E+03  9.522054E-29  9.526800E-29  9.995019E-01
  5.812800E+03  9.342597E-29  9.347000E-29  9.995290E-01
  5.886600E+03  9.165047E-29  9.169400E-29  9.995253E-01
  5.961400E+03  8.990245E-29  8.992500E-29  9.997493E-01
  6.037100E+03  8.820634E-29  8.823600E-29  9.996639E-01
  6.113800E+03  8.654204E-29  8.657600E-29  9.996077E-01
  6.191500E+03  8.490749E-29  8.494300E-29  9.995819E-01
  6.270200E+03  8.328577E-29  8.331600E-29  9.996372E-01
  6.349800E+03  8.169546E-29  8.171300E-29  9.997853E-01
  6.430500E+03  8.014880E-29  8.017700E-29  9.996482E-01
  6.512200E+03  7.862294E-29  7.866000E-29  9.995288E-01
  6.594900E+03  7.714760E-29  7.717900E-29  9.995931E-01
  6.678700E+03  7.564624E-29  7.568900E-29  9.994350E-01
  6.763500E+03  7.423318E-29  7.426100E-29  9.996254E-01
  6.849500E+03  7.282839E-29  7.286000E-29  9.995662E-01
  6.936500E+03  7.145570E-29  7.148100E-29  9.996461E-01
  7.024600E+03  7.009288E-29  7.011300E-29  9.997131E-01
  7.113800E+03  6.874274E-29  6.876300E-29  9.997054E-01
  7.204200E+03  6.743553E-29  6.746700E-29  9.995336E-01
  7.295700E+03  6.616016E-29  6.619200E-29  9.995190E-01
  7.388400E+03  6.491757E-29  6.494700E-29  9.995469E-01
  7.482300E+03  6.367060E-29  6.369500E-29  9.996170E-01
  7.577400E+03  6.246382E-29  6.248600E-29  9.996451E-01
  7.673600E+03  6.128656E-29  6.130500E-29  9.996993E-01
  7.771100E+03  6.011494E-29  6.014200E-29  9.995500E-01
  7.869800E+03  5.898047E-29  5.900300E-29  9.996182E-01
  7.969800E+03  5.786162E-29  5.788500E-29  9.995961E-01
  8.071100E+03  5.673997E-29  5.676500E-29  9.995590E-01
  8.173600E+03  5.567753E-29  5.569900E-29  9.996145E-01
  8.277400E+03  5.463877E-29  5.465100E-29  9.997762E-01
  8.382600E+03  5.360572E-29  5.362000E-29  9.997337E-01
  8.489100E+03  5.256218E-29  5.258400E-29  9.995851E-01
  8.596900E+03  5.156414E-29  5.158100E-29  9.996732E-01
  8.706100E+03  5.058657E-29  5.060300E-29  9.996753E-01
  8.816800E+03  4.963298E-29  4.965700E-29  9.995162E-01
  8.928800E+03  4.869478E-29  4.871300E-29  9.996261E-01
  9.042200E+03  4.777593E-29  4.779300E-29  9.996427E-01
  9.157100E+03  4.685399E-29  4.687000E-29  9.996584E-01
  9.273400E+03  4.596252E-29  4.597700E-29  9.996850E-01
  9.391200E+03  4.509513E-29  4.511000E-29  9.996704E-01
  9.510500E+03  4.424380E-29  4.425700E-29  9.997018E-01
  9.631300E+03  4.341541E-29  4.343000E-29  9.996641E-01
  9.753700E+03  4.257265E-29  4.258900E-29  9.996162E-01
  9.877600E+03  4.176131E-29  4.177500E-29  9.996723E-01
  1.000300E+04  4.097504E-29  4.099300E-29  9.995619E-01
  1.013000E+04  4.022082E-29  4.021100E-29  1.000244E+00
  1.025900E+04  3.942925E-29  3.945700E-29  9.992966E-01
  1.038900E+04  3.869100E-29  3.870800E-29  9.995607E-01
  1.052100E+04  3.793618E-29  3.795800E-29  9.994252E-01
  1.065500E+04  3.723305E-29  3.724000E-29  9.998132E-01
  1.079000E+04  3.654537E-29  3.654100E-29  1.000120E+00
  1.092700E+04  3.582320E-29  3.584900E-29  9.992802E-01
  1.106600E+04  3.514566E-29  3.516800E-29  9.993649E-01
  1.120700E+04  3.447438E-29  3.449100E-29  9.995181E-01
  1.134900E+04  3.382321E-29  3.383200E-29  9.997403E-01
  1.149300E+04  3.318086E-29  3.319700E-29  9.995139E-01
  1.163900E+04  3.253589E-29  3.256300E-29  9.991673E-01
  1.178700E+04  3.193266E-29  3.195000E-29  9.994573E-01
  1.193700E+04  3.130954E-29  3.134200E-29  9.989642E-01
  1.208900E+04  3.071864E-29  3.073900E-29  9.993377E-01
  1.224200E+04  3.014049E-29  3.015700E-29  9.994524E-01
  1.239800E+04  2.956091E-29  2.958500E-29  9.991858E-01
  1.255500E+04  2.901891E-29  2.903100E-29  9.995836E-01
  1.271500E+04  2.848433E-29  2.848200E-29  1.000082E+00
  1.287600E+04  2.790294E-29  2.792200E-29  9.993173E-01
  1.304000E+04  2.738513E-29  2.739900E-29  9.994937E-01
  1.320500E+04  2.686984E-29  2.688400E-29  9.994732E-01
  1.337300E+04  2.637166E-29  2.637000E-29  1.000063E+00
  1.354300E+04  2.587012E-29  2.587400E-29  9.998502E-01
  1.371500E+04  2.537865E-29  2.538600E-29  9.997103E-01
  1.388900E+04  2.488091E-29  2.489900E-29  9.992736E-01
  1.406600E+04  2.440055E-29  2.442000E-29  9.992036E-01
  1.424500E+04  2.394578E-29  2.395700E-29  9.995316E-01
  1.442500E+04  2.349568E-29  2.351000E-29  9.993911E-01
  1.460900E+04  2.304901E-29  2.306300E-29  9.993933E-01
  1.479400E+04  2.261465E-29  2.262300E-29  9.996311E-01
  1.498200E+04  2.217737E-29  2.218800E-29  9.995211E-01
  1.517300E+04  2.176834E-29  2.177000E-29  9.999237E-01
  1.536500E+04  2.134593E-29  2.135400E-29  9.996221E-01
  1.556100E+04  2.094927E-29  2.095300E-29  9.998220E-01
  1.575800E+04  2.055603E-29  2.055800E-29  9.999043E-01
  1.595800E+04  2.016370E-29  2.017000E-29  9.996876E-01
  1.616100E+04  1.977711E-29  1.978100E-29  9.998034E-01
  1.636700E+04  1.940146E-29  1.940300E-29  9.999204E-01
  1.657400E+04  1.903506E-29  1.903400E-29  1.000055E+00
  1.678500E+04  1.867707E-29  1.868000E-29  9.998432E-01
  1.699800E+04  1.831458E-29  1.832300E-29  9.995407E-01
  1.721400E+04  1.796978E-29  1.797500E-29  9.997097E-01
  1.743300E+04  1.763278E-29  1.763600E-29  9.998175E-01
  1.765400E+04  1.729017E-29  1.729600E-29  9.996628E-01
  1.787900E+04  1.696016E-29  1.696700E-29  9.995971E-01
  1.810600E+04  1.664635E-29  1.664800E-29  9.999009E-01
  1.833600E+04  1.633233E-29  1.633500E-29  9.998363E-01
  1.856900E+04  1.602174E-29  1.602700E-29  9.996720E-01
  1.880500E+04  1.571481E-29  1.571600E-29  9.999245E-01
  1.904400E+04  1.541696E-29  1.541700E-29  9.999973E-01
  1.928500E+04  1.512564E-29  1.512500E-29  1.000042E+00
  1.953000E+04  1.483392E-29  1.483700E-29  9.997927E-01
  1.977900E+04  1.454595E-29  1.455600E-29  9.993098E-01
  2.003000E+04  1.427262E-29  1.428000E-29  9.994831E-01
  2.028400E+04  1.399940E-29  1.400500E-29  9.996003E-01
  2.054200E+04  1.373392E-29  1.374000E-29  9.995576E-01
  2.080300E+04  1.347183E-29  1.348000E-29  9.993938E-01
  2.106700E+04  1.322593E-29  1.322700E-29  9.999188E-01
  2.133500E+04  1.297511E-29  1.297900E-29  9.997005E-01
  2.160600E+04  1.272635E-29  1.272800E-29  9.998701E-01
  2.188000E+04  1.247965E-29  1.248200E-29  9.998115E-01
  2.215800E+04  1.224202E-29  1.224700E-29  9.995936E-01
  2.244000E+04  1.201844E-29  1.202100E-29  9.997872E-01
  2.272500E+04  1.178919E-29  1.179100E-29  9.998465E-01
  2.301400E+04  1.155766E-29  1.156200E-29  9.996247E-01
  2.330600E+04  1.133922E-29  1.134500E-29  9.994902E-01
  2.360200E+04  1.112554E-29  1.113100E-29  9.995097E-01
  2.390200E+04  1.091464E-29  1.091800E-29  9.996927E-01
  2.420600E+04  1.070653E-29  1.070900E-29  9.997697E-01
  2.451300E+04  1.050665E-29  1.050800E-29  9.998714E-01
  2.482500E+04  1.030156E-29  1.030700E-29  9.994720E-01
  2.514000E+04  1.011098E-29  1.011400E-29  9.997017E-01
  2.545900E+04  9.919516E-30  9.923500E-30  9.995985E-01
  2.578300E+04  9.728055E-30  9.732800E-30  9.995125E-01
  2.611000E+04  9.545312E-30  9.549700E-30  9.995405E-01
  2.644200E+04  9.364415E-30  9.367200E-30  9.997027E-01
  2.677800E+04  9.186789E-30  9.187500E-30  9.999226E-01
  2.711800E+04  9.012978E-30  9.013600E-30  9.999309E-01
  2.746300E+04  8.839429E-30  8.842800E-30  9.996188E-01
  2.781200E+04  8.670776E-30  8.674800E-30  9.995361E-01
  2.816500E+04  8.509871E-30  8.514400E-30  9.994681E-01
  2.852300E+04  8.344859E-30  8.347600E-30  9.996717E-01
  2.888500E+04  8.189482E-30  8.192800E-30  9.995951E-01
  2.925200E+04  8.031928E-30  8.036100E-30  9.994808E-01
  2.962400E+04  7.882008E-30  7.885200E-30  9.995952E-01
  3.000000E+04  7.706510E-30  7.709400E-30  9.996252E-01
