# Polarized extinction per H: this code vs HD23 release
# lambda[um]  ours[cm^2/H]  reference[cm^2/H]  ratio
  2.336100E+01  1.884368E-24  1.885400E-24  9.994525E-01
  2.365700E+01  1.837004E-24  1.838100E-24  9.994035E-01
  2.395800E+01  1.790592E-24  1.791100E-24  9.997162E-01
  2.426200E+01  1.745386E-24  1.745200E-24  1.000107E+00
  2.457100E+01  1.699811E-24  1.700300E-24  9.997124E-01
  2.488300E+01  1.654736E-24  1.655400E-24  9.995988E-01
  2.519900E+01  1.611568E-24  1.611900E-24  9.997939E-01
  2.551900E+01  1.569927E-24  1.570600E-24  9.995713E-01
  2.584300E+01  1.529042E-24  1.529800E-24  9.995043E-01
  2.617100E+01  1.488783E-24  1.489500E-24  9.995189E-01
  2.650400E+01  1.449861E-24  1.450300E-24  9.996975E-01
  2.684100E+01  1.412832E-24  1.412900E-24  9.999520E-01
  2.718200E+01  1.374984E-24  1.375300E-24  9.997702E-01
  2.752700E+01  1.338392E-24  1.339100E-24  9.994711E-01
  2.787700E+01  1.302515E-24  1.303200E-24  9.994744E-01
  2.823100E+01  1.267419E-24  1.268300E-24  9.993056E-01
  2.858900E+01  1.233937E-24  1.234300E-24  9.997056E-01
  2.895300E+01  1.200811E-24  1.201300E-24  9.995930E-01
  2.932100E+01  1.168302E-24  1.169000E-24  9.994028E-01
  2.969300E+01  1.136790E-24  1.137400E-24  9.994633E-01
  3.007000E+01  1.106700E-24  1.107100E-24  9.996390E-01
  3.045200E+01  1.076999E-24  1.077200E-24  9.998132E-01
  3.083900E+01  1.047411E-24  1.047900E-24  9.995332E-01
  3.123100E+01  1.019050E-24  1.019500E-24  9.995587E-01
  3.162800E+01  9.912074E-25  9.918000E-25  9.994025E-01
  3.202900E+01  9.646058E-25  9.648400E-25  9.997572E-01
  3.243600E+01  9.378551E-25  9.381700E-25  9.996643E-01
  3.284800E+01  9.124801E-25  9.129400E-25  9.994962E-01
  3.326600E+01  8.881119E-25  8.884100E-25  9.996644E-01
  3.368800E+01  8.635516E-25  8.637900E-25  9.997240E-01
  3.411600E+01  8.399154E-25  8.401600E-25  9.997088E-01
  3.455000E+01  8.170848E-25  8.174600E-25  9.995410E-01
