# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  0.32
# solver = draine
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.243020E-01  1.53263600E-031  1.52294990E-031  7.81773184E-034  1.86837126E-034
  2.273350E-01  1.87792048E-031  1.86650720E-031  9.10659202E-034  2.30668392E-034
  2.304090E-01  2.26616114E-031  2.25273878E-031  1.05671572E-033  2.85520084E-034
  2.335250E-01  2.70607423E-031  2.69036917E-031  1.21663329E-033  3.53872654E-034
  2.366830E-01  3.21068007E-031  3.19238824E-031  1.39005542E-033  4.39127096E-034
  2.398830E-01  3.79718740E-031  3.77582693E-031  1.59196328E-033  5.44084225E-034
  2.431270E-01  4.48711083E-031  4.46197817E-031  1.83812811E-033  6.75137878E-034
  2.464150E-01  5.30556814E-031  5.27591898E-031  2.12955976E-033  8.35356003E-034
  2.497470E-01  6.28230304E-031  6.24726493E-031  2.47329965E-033  1.03051098E-033
  2.531240E-01  7.45288029E-031  7.41129375E-031  2.90043980E-033  1.25821355E-033
  2.565470E-01  8.85913036E-031  8.80981818E-031  3.40038239E-033  1.53083546E-033
  2.600160E-01  1.05506169E-030  1.04920089E-030  4.00466618E-033  1.85612900E-033
  2.635320E-01  1.25862729E-030  1.25165884E-030  4.72554988E-033  2.24290386E-033
  2.670960E-01  1.50360990E-030  1.49535505E-030  5.55200227E-033  2.70284870E-033
  2.707070E-01  1.79814554E-030  1.78840064E-030  6.49683271E-033  3.24806308E-033
  2.743680E-01  2.15224864E-030  2.14076684E-030  7.58920820E-033  3.89259498E-033
  2.780780E-01  2.57747766E-030  2.56386620E-030  8.96369126E-033  4.64776391E-033
  2.818380E-01  3.08743472E-030  3.07137614E-030  1.05236421E-032  5.53492902E-033
  2.856490E-01  3.69830795E-030  3.67942769E-030  1.23059294E-032  6.57432278E-033
  2.895120E-01  4.42924155E-030  4.40700664E-030  1.44471637E-032  7.78774190E-033
  2.934270E-01  5.30235286E-030  5.27623281E-030  1.69197735E-032  9.20027236E-033
  2.973950E-01  6.34382234E-030  6.31318831E-030  1.97944396E-032  1.08395935E-032
  3.014160E-01  7.58383081E-030  7.54802563E-030  2.30654174E-032  1.27397611E-032
  3.054920E-01  8.71546872E-030  8.67375924E-030  2.67716395E-032  1.49378399E-032
  3.096230E-01  1.02423427E-029  1.01939180E-029  3.09506037E-032  1.74740992E-032
  3.138100E-01  1.20010205E-029  1.19447162E-029  3.59279802E-032  2.03763189E-032
