# MRN (1977) model SED (this work), Mathis ISRF U =  1.00
# graphite + silicate spheres, dn/da = A_i a^-3.5, 0.005 - 0.25 um, Mie on the D03 dielectric functions
# normalization: Draine & Lee (1984), log10 A = -25.16 (graphite), -25.11 (silicate) [cm^2.5/H]
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.344000E-01  1.16028135E-265  1.16028135E-265  0.00000000E+000
  2.371000E-01  3.93158393E-263  3.93158393E-263  0.00000000E+000
  2.399000E-01  1.44398828E-260  1.44398828E-260  0.00000000E+000
  2.427000E-01  4.66400654E-258  4.66400654E-258  0.00000000E+000
  2.455000E-01  1.32539551E-255  1.32539551E-255  0.00000000E+000
  2.483000E-01  3.32606322E-253  3.32606322E-253  0.00000000E+000
  2.512000E-01  8.98257550E-251  8.98257550E-251  0.00000000E+000
  2.541000E-01  2.14701508E-248  2.14701508E-248  0.00000000E+000
  2.570000E-01  4.53739507E-246  4.53739507E-246  0.00000000E+000
  2.600000E-01  1.02316150E-243  1.02316150E-243  0.00000000E+000
  2.630000E-01  2.04410909E-241  2.04410909E-241  0.00000000E+000
  2.661000E-01  4.28951914E-239  4.28951914E-239  0.00000000E+000
  2.691000E-01  6.72630243E-237  6.72630243E-237  0.00000000E+000
  2.723000E-01  1.30474670E-234  1.30474670E-234  0.00000000E+000
  2.754000E-01  1.92007685E-232  1.92007685E-232  0.00000000E+000
  2.786000E-01  2.96992749E-230  2.96992749E-230  0.00000000E+000
  2.818000E-01  4.08424489E-228  4.08424489E-228  0.00000000E+000
  2.851000E-01  5.81825083E-226  5.81825083E-226  3.25095195E-321
  2.884000E-01  7.44535121E-224  7.44535121E-224  5.54403413E-318
  2.917000E-01  8.51759108E-222  8.51759108E-222  7.98594109E-315
  2.951000E-01  1.00927934E-219  1.00927934E-219  1.20848247E-311
  2.985000E-01  1.07087185E-217  1.07087185E-217  1.54690908E-308
  3.020000E-01  1.16580547E-215  1.16580547E-215  2.06416953E-305
  3.055000E-01  1.13779032E-213  1.13779032E-213  2.33435763E-302
  3.090000E-01  9.99202505E-212  9.99202505E-212  2.24997198E-299
  3.126000E-01  9.01406172E-210  9.01406172E-210  2.24508139E-296
  3.162000E-01  7.34350617E-208  7.34350617E-208  1.91275215E-293
  3.199000E-01  6.08903572E-206  6.08903572E-206  1.67690093E-290
  3.236000E-01  4.55731022E-204  4.55731022E-204  1.25838760E-287
  3.273000E-01  3.09471287E-202  3.09471287E-202  8.12576635E-285
  3.311000E-01  2.14225542E-200  2.14225542E-200  5.37303256E-282
  3.350000E-01  1.49863191E-198  1.49863191E-198  3.61424654E-279
  3.388000E-01  8.54939883E-197  8.54939883E-197  1.78015512E-276
  3.428000E-01  5.47135738E-195  5.47135738E-195  1.04684111E-273
  3.467000E-01  2.88435077E-193  2.88435077E-193  4.55174407E-271
  3.507000E-01  1.53720211E-191  1.53720211E-191  2.00853094E-268
  3.548000E-01  8.23857306E-190  8.23857306E-190  8.94498376E-266
  3.589000E-01  4.02854011E-188  4.02854011E-188  3.46370202E-263
  3.631000E-01  1.97590807E-186  1.97590807E-186  1.34834074E-260
  3.673000E-01  8.86142711E-185  8.86142711E-185  4.57683175E-258
  3.715000E-01  3.64495564E-183  3.64495564E-183  1.36102844E-255
  3.758000E-01  1.50197333E-181  1.50197333E-181  4.06047928E-253
  3.802000E-01  6.18159910E-180  6.18159910E-180  1.20972835E-250
  3.846000E-01  2.33526355E-178  2.33526355E-178  3.16174219E-248
  3.891000E-01  8.79561310E-177  8.79561310E-177  8.22871780E-246
  3.936000E-01  3.04729772E-175  3.04729772E-175  1.88503199E-243
  3.981000E-01  9.73913792E-174  9.73913792E-174  3.81745082E-241
  4.027000E-01  3.09989937E-172  3.09989937E-172  7.68990876E-239
  4.074000E-01  9.80392821E-171  9.80392821E-171  1.53521352E-236
  4.121000E-01  2.86420366E-169  2.86420366E-169  2.71507132E-234
  4.169000E-01  8.30721029E-168  8.30721029E-168  4.75059301E-232
  4.217000E-01  2.23046634E-166  2.23046634E-166  7.38757186E-230
  4.266000E-01  5.93916275E-165  5.93916275E-165  1.13474373E-227
  4.315000E-01  1.46717312E-163  1.46717312E-163  1.55418233E-225
  4.365000E-01  3.59340719E-162  3.59340719E-162  2.09962449E-223
  4.416000E-01  8.71410512E-161  8.71410512E-161  2.78952753E-221
  4.467000E-01  1.96631680E-159  1.96631680E-159  3.31304759E-219
  4.519000E-01  4.38542965E-158  4.38542965E-158  3.86618929E-217
  4.571000E-01  9.11062036E-157  9.11062036E-157  4.04773434E-215
  4.624000E-01  1.86978875E-155  1.86978875E-155  4.16052096E-213
  4.677000E-01  3.58240176E-154  3.58240176E-154  3.84952175E-211
  4.732000E-01  7.15256192E-153  7.15256192E-153  3.79510038E-209
  4.786000E-01  1.26454752E-151  1.26454752E-151  3.10560325E-207
  4.842000E-01  2.32347043E-150  2.32347043E-150  2.69649329E-205
  4.898000E-01  4.00490816E-149  4.00490816E-149  2.11375053E-203
  4.954000E-01  6.48155161E-148  6.48155161E-148  1.50119765E-201
  5.012000E-01  1.08515473E-146  1.08515473E-146  1.12280685E-199
  5.070000E-01  1.70354094E-145  1.70354094E-145  7.60825389E-198
  5.129000E-01  2.63119830E-144  2.63119830E-144  5.02738134E-196
  5.188000E-01  3.81953030E-143  3.81953030E-143  3.01999927E-194
  5.248000E-01  5.45616283E-142  5.45616283E-142  1.76936502E-192
  5.309000E-01  7.66306337E-141  7.66306337E-141  1.00960666E-190
  5.370000E-01  1.01396925E-139  1.01396925E-139  5.25553164E-189
  5.433000E-01  1.37466856E-138  1.37466856E-138  2.83752333E-187
  5.495000E-01  1.68770680E-137  1.68770680E-137  1.31532033E-185
  5.559000E-01  2.12506321E-136  2.12506321E-136  6.30763504E-184
  5.623000E-01  2.52852463E-135  2.52852463E-135  2.77009153E-182
  5.688000E-01  2.95667218E-134  2.95667218E-134  1.18309832E-180
  5.754000E-01  3.39578221E-133  3.39578221E-133  4.90925814E-179
  5.821000E-01  3.82878824E-132  3.82878824E-132  1.97733683E-177
  5.888000E-01  4.09066507E-131  4.09066507E-131  7.32327064E-176
  5.957000E-01  4.44294037E-130  4.44294037E-130  2.77567409E-174
  6.026000E-01  4.57614721E-129  4.57614721E-129  9.68231396E-173
  6.095000E-01  4.47832946E-128  4.47832946E-128  3.11720302E-171
  6.166000E-01  4.44729749E-127  4.44729749E-127  1.02361524E-169
  6.237000E-01  4.19979527E-126  4.19979527E-126  3.10524664E-168
  6.310000E-01  4.01680112E-125  4.01680112E-125  9.57514777E-167
  6.383000E-01  3.65671470E-124  3.65671470E-124  2.73057706E-165
  6.457000E-01  3.26857059E-123  3.26857059E-123  7.54808655E-164
  6.531000E-01  2.78719915E-122  2.78719915E-122  1.93585533E-162
  6.607000E-01  2.40366993E-121  2.40366993E-121  5.02652729E-161
  6.683000E-01  1.98034281E-120  1.98034281E-120  1.21233873E-159
