# THEMIS (Jones et al. 2013 / Koehler et al. 2014) model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_CM20/NH  lamI_CM20/NH  lamI_aPyM5/NH  lamI_aOlM5/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.249500E-01  3.12347488E-030  3.12347488E-030  7.46291008E-044  5.52309609E-093  6.33354456E-093
  2.286400E-01  4.11587500E-030  4.11587500E-030  1.26230025E-043  4.35236844E-092  4.98627200E-092
  2.324000E-01  5.35593005E-030  5.35593005E-030  2.09894172E-043  3.30491877E-091  3.78274772E-091
  2.362200E-01  6.90785259E-030  6.90785259E-030  3.44035645E-043  2.41157947E-090  2.75770398E-090
  2.401000E-01  8.83404979E-030  8.83404979E-030  5.56390423E-043  1.69274875E-089  1.93401186E-089
  2.440400E-01  1.12207744E-029  1.12207744E-029  8.88897474E-043  1.14366819E-088  1.30554070E-088
  2.480500E-01  1.41628267E-029  1.41628267E-029  1.40635380E-042  7.48801353E-088  8.53987780E-088
  2.521200E-01  1.77825698E-029  1.77825698E-029  2.20158087E-042  4.72556819E-087  5.38459779E-087
  2.562700E-01  2.21936985E-029  2.21936985E-029  3.41853685E-042  2.90553043E-086  3.30802744E-086
  2.604700E-01  2.75768698E-029  2.75768698E-029  5.25322966E-042  1.71644091E-085  1.95267644E-085
  2.647500E-01  3.40498621E-029  3.40498621E-029  8.00741614E-042  9.88221414E-085  1.12337196E-084
  2.691000E-01  4.18847484E-029  4.18847484E-029  1.21090666E-041  5.51850995E-084  6.26841249E-084
  2.735200E-01  5.11872677E-029  5.11872677E-029  1.81468431E-041  2.99095188E-083  3.39475367E-083
  2.780200E-01  6.22903572E-029  6.22903572E-029  2.69952354E-041  1.57895915E-082  1.79077580E-082
  2.825800E-01  7.53281187E-029  7.53281187E-029  3.97754759E-041  8.06244136E-082  9.13760564E-082
  2.872200E-01  9.05862766E-029  9.05862766E-029  5.81431849E-041  4.01139844E-081  4.54308566E-081
  2.919400E-01  1.08451210E-028  1.08451210E-028  8.43694429E-041  1.94478253E-080  2.20109634E-080
  2.967400E-01  1.28891956E-028  1.28891956E-028  1.21345712E-040  9.18778551E-080  1.03916145E-079
  3.016100E-01  1.52657667E-028  1.52657667E-028  1.73240143E-040  4.21785875E-079  4.76733397E-079
