# THEMIS (Jones et al. 2013 / Koehler et al. 2014) model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_CM20_plaw-ed/NH  lamI_CM20_logn/NH  lamI_aPyM5/NH  lamI_aOlM5/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.249500E-01  3.12353749E-030  3.12353749E-030  7.46427802E-044  5.62745274E-093  6.46245045E-093
  2.286400E-01  4.11595561E-030  4.11595561E-030  1.26252724E-043  4.43296798E-092  5.08573472E-092
  2.324000E-01  5.35603275E-030  5.35603275E-030  2.09931187E-043  3.36489880E-091  3.85669469E-091
  2.362200E-01  6.90798233E-030  6.90798233E-030  3.44095182E-043  2.45447254E-090  2.81053532E-090
  2.401000E-01  8.83421190E-030  8.83421190E-030  5.56484862E-043  1.72225536E-089  1.97032264E-089
  2.440400E-01  1.12209762E-029  1.12209762E-029  8.89045486E-043  1.16320598E-088  1.32956265E-088
  2.480500E-01  1.41630753E-029  1.41630753E-029  1.40658353E-042  7.61338002E-088  8.69387147E-088
  2.521200E-01  1.77828763E-029  1.77828763E-029  2.20193375E-042  4.80310832E-087  5.47975831E-087
  2.562700E-01  2.21940715E-029  2.21940715E-029  3.41907418E-042  2.95225451E-086  3.36532175E-086
  2.604700E-01  2.75773245E-029  2.75773245E-029  5.25403963E-042  1.74349540E-085  1.98582519E-085
  2.647500E-01  3.40504115E-029  3.40504115E-029  8.00862745E-042  1.00348870E-084  1.14206403E-084
  2.691000E-01  4.18854066E-029  4.18854066E-029  1.21108639E-041  5.60208235E-084  6.37065365E-084
  2.735200E-01  5.11880579E-029  5.11880579E-029  1.81494843E-041  3.03535653E-083  3.44903583E-083
  2.780200E-01  6.22912973E-029  6.22912973E-029  2.69990895E-041  1.60194258E-082  1.81885082E-082
  2.825800E-01  7.53292321E-029  7.53292321E-029  3.97810461E-041  8.17753098E-082  9.27809540E-082
  2.872200E-01  9.05875857E-029  9.05875857E-029  5.81511761E-041  4.06756515E-081  4.61160088E-081
  2.919400E-01  1.08452742E-028  1.08452742E-028  8.43808164E-041  1.97149921E-080  2.23366629E-080
  2.967400E-01  1.28893741E-028  1.28893741E-028  1.21361756E-040  9.31166569E-080  1.05425382E-079
  3.016100E-01  1.52659728E-028  1.52659728E-028  1.73262612E-040  4.27370168E-079  4.83532566E-079
  3.065700E-01  1.79176781E-028  1.79176781E-028  2.45089260E-040  1.91792324E-078  2.16860286E-078
  3.116000E-01  2.09970670E-028  2.09970670E-028  3.44481194E-040  8.37128024E-078  9.45922542E-078
  3.167200E-01  2.43577006E-028  2.43577006E-028  4.79466967E-040  3.57417948E-077  4.03605704E-077
  3.219200E-01  2.82058685E-028  2.82058685E-028  6.63357421E-040  1.48982762E-076  1.68134495E-076
  3.272100E-01  3.23577011E-028  3.23577011E-028  9.09202452E-040  6.07910870E-076  6.85612477E-076
  3.325800E-01  3.69901062E-028  3.69901062E-028  1.23757453E-039  2.42409001E-075  2.73213434E-075
  3.380500E-01  4.19749958E-028  4.19749958E-028  1.67126652E-039  9.49787543E-075  1.06982221E-074
  3.436000E-01  4.73595653E-028  4.73595653E-028  2.23873987E-039  3.64074064E-074  4.09825399E-074
  3.492400E-01  5.31546074E-028  5.31546074E-028  2.97737185E-039  1.37030147E-073  1.54137637E-073
