# DL07 model SED (this work), mw31_60, Mathis ISRF U =  1.00
# silicate (D03) + carbonaceous (DL07 PAH Nc=470 + D03 graphite blend)
# PAH ionization computed via WD01b grain charging (pah_ionfrac)
# columns: lambda[um]  lamI_total/NH  lamI_sil/NH  lamI_carb/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.399000E-01  4.67520502E-032  5.72821525E-033  4.10238350E-032
  2.427000E-01  5.61518837E-032  6.65103156E-033  4.95008521E-032
  2.455000E-01  6.72698564E-032  7.69642490E-033  5.95734315E-032
  2.483000E-01  8.04320327E-032  8.87617554E-033  7.15558571E-032
  2.512000E-01  9.65958426E-032  1.02249050E-032  8.63709376E-032
  2.541000E-01  1.15790808E-031  1.16914447E-032  1.04099363E-031
  2.570000E-01  1.38610353E-031  1.33258926E-032  1.25284460E-031
  2.600000E-01  1.66712993E-031  1.51995387E-032  1.51513454E-031
  2.630000E-01  2.00200243E-031  1.72742041E-032  1.82926039E-031
  2.661000E-01  2.41469769E-031  1.96529245E-032  2.21816845E-031
  2.691000E-01  2.88978451E-031  2.21998997E-032  2.66778552E-031
  2.723000E-01  3.49286281E-031  2.52026751E-032  3.24083606E-031
  2.754000E-01  4.18797589E-031  2.84015663E-032  3.90396023E-031
  2.786000E-01  5.03932493E-031  3.20179211E-032  4.71914572E-031
  2.818000E-01  6.04904793E-031  3.59906430E-032  5.68914149E-031
  2.851000E-01  7.28352902E-031  4.04859935E-032  6.87866909E-031
  2.884000E-01  8.74632254E-031  4.54036437E-032  8.29228611E-031
  2.917000E-01  1.04737834E-030  5.07787093E-032  9.96599631E-031
  2.951000E-01  1.25741426E-030  5.68031010E-032  1.20061116E-030
  2.985000E-01  1.50504297E-030  6.33697938E-032  1.44167318E-030
  3.020000E-01  1.80529635E-030  7.07299250E-032  1.73456642E-030
  3.055000E-01  2.05663407E-030  7.87342597E-032  1.97789981E-030
  3.090000E-01  2.41576195E-030  8.74190067E-032  2.32834294E-030
  3.126000E-01  2.83627378E-030  9.70427975E-032  2.73923098E-030
  3.162000E-01  3.31280034E-030  1.07430539E-031  3.20536980E-030
  3.199000E-01  3.86479926E-030  1.18963941E-031  3.74583532E-030
  3.236000E-01  4.48277485E-030  1.31408868E-031  4.35136598E-030
  3.273000E-01  5.16783783E-030  1.44804964E-031  5.02303287E-030
  3.311000E-01  5.93930022E-030  1.59591105E-031  5.77970911E-030
  3.350000E-01  6.79492459E-030  1.75908253E-031  6.61901634E-030
  3.388000E-01  7.67543639E-030  1.92968015E-031  7.48246837E-030
  3.428000E-01  8.62350223E-030  2.12216179E-031  8.41128605E-030
  3.467000E-01  9.52732033E-030  2.32235518E-031  9.29508482E-030
  3.507000E-01  1.03828740E-029  2.54130694E-031  1.01287433E-029
  3.548000E-01  1.11499084E-029  2.78093049E-031  1.08718154E-029
  3.589000E-01  1.18297755E-029  3.03649946E-031  1.15261256E-029
  3.631000E-01  1.25377866E-029  3.31541965E-031  1.22062447E-029
  3.673000E-01  1.33892175E-029  3.61191829E-031  1.30280256E-029
  3.715000E-01  1.44837071E-029  3.92656302E-031  1.40910508E-029
  3.758000E-01  1.59075330E-029  4.26835006E-031  1.54806980E-029
  3.802000E-01  1.76925584E-029  4.63928626E-031  1.72286298E-029
  3.846000E-01  1.97857533E-029  5.03154877E-031  1.92825984E-029
  3.891000E-01  2.21884317E-029  5.45572672E-031  2.16428590E-029
  3.936000E-01  2.47687269E-029  5.90407918E-031  2.41783190E-029
  3.981000E-01  2.74139930E-029  6.37721603E-031  2.67762714E-029
  4.027000E-01  3.00382155E-029  6.88536909E-031  2.93496786E-029
  4.074000E-01  3.24334569E-029  7.43103508E-031  3.16903534E-029
  4.121000E-01  3.42795683E-029  8.00515441E-031  3.34790529E-029
  4.169000E-01  3.53192783E-029  8.62144933E-031  3.44571334E-029
  4.217000E-01  3.53406745E-029  9.26859637E-031  3.44138148E-029
  4.266000E-01  3.44254186E-029  9.96162305E-031  3.34292563E-029
  4.315000E-01  3.29760365E-029  1.06879360E-030  3.19072429E-029
  4.365000E-01  3.14510006E-029  1.14641368E-030  3.03045869E-029
