# Zubko/ZDA BARE-GR-S model SED (this work), Mathis ISRF U =  1.00
# solver = qm
# columns: lambda[um]  lamI_total/NH  lamI_PAH/NH  lamI_GRA/NH  lamI_SIL/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.243020E-01  9.88830509E-031  9.53760419E-031  4.90950568E-033  3.01605849E-032
  2.273350E-01  1.20913230E-030  1.16796385E-030  5.71557619E-033  3.54528755E-032
  2.304090E-01  1.45686244E-030  1.40842704E-030  6.62815478E-033  4.18072428E-032
  2.335250E-01  1.73751034E-030  1.68049051E-030  7.62617648E-033  4.93936538E-032
  2.366830E-01  2.05929579E-030  1.99212565E-030  8.70710082E-033  5.84630390E-032
  2.398830E-01  2.43287455E-030  2.35377779E-030  9.96436488E-033  6.91323877E-032
  2.431270E-01  2.87189652E-030  2.77848302E-030  1.14960159E-032  8.19174837E-032
  2.464150E-01  3.39170260E-030  3.28155200E-030  1.33074693E-032  9.68431327E-032
  2.497470E-01  4.01066800E-030  3.88101554E-030  1.54416852E-032  1.14210772E-031
  2.531240E-01  4.74976653E-030  4.59829110E-030  1.80913749E-032  1.33384058E-031
  2.565470E-01  5.63519041E-030  5.45868977E-030  2.11885694E-032  1.55312071E-031
  2.600160E-01  6.69713233E-030  6.49188469E-030  2.49276947E-032  1.80319941E-031
  2.635320E-01  7.97134394E-030  7.73320944E-030  2.93822278E-032  2.08752277E-031
  2.670960E-01  9.50026857E-030  9.22466002E-030  3.44804102E-032  2.41128132E-031
  2.707070E-01  1.13329162E-029  1.10147223E-029  4.02984254E-032  2.77895541E-031
  2.743680E-01  1.35294255E-029  1.31628635E-029  4.70130475E-032  3.19548924E-031
  2.780780E-01  1.61585895E-029  1.57368705E-029  5.54518098E-032  3.66267204E-031
  2.818380E-01  1.93016665E-029  1.88177373E-029  6.50088173E-032  4.18920419E-031
  2.856490E-01  2.30546918E-029  2.25006631E-029  7.59044923E-032  4.78124231E-031
  2.895120E-01  2.75307108E-029  2.68972722E-029  8.89715498E-032  5.44467071E-031
  2.934270E-01  3.28597895E-029  3.21371324E-029  1.04027104E-031  6.18629986E-031
  2.973950E-01  3.91952567E-029  3.83724573E-029  1.21491424E-031  7.01308014E-031
  3.014160E-01  4.67132202E-029  4.57784613E-029  1.41312494E-031  7.93446443E-031
  3.054920E-01  5.35390169E-029  5.24793411E-029  1.63710448E-031  8.95965376E-031
  3.096230E-01  6.27306875E-029  6.15320021E-029  1.88893694E-031  1.00979165E-030
  3.138100E-01  7.32787923E-029  7.19250148E-029  2.18822522E-031  1.13495502E-030
  3.180530E-01  8.53369205E-029  8.38109945E-029  2.52793050E-031  1.27313295E-030
  3.223540E-01  9.90735026E-029  9.73569247E-029  2.91043987E-031  1.42553384E-030
  3.267130E-01  1.14656188E-028  1.12728744E-028  3.34169806E-031  1.59327462E-030
  3.311310E-01  1.32259991E-028  1.30097608E-028  3.84981396E-031  1.77740124E-030
  3.356090E-01  1.52045950E-028  1.49624361E-028  4.42246155E-031  1.97934268E-030
